百般难描	baibannanmiao
颖之藻仪	yingzhizaoyi
英姿飒爽	yingzisashuang
雍容华贵	yongronghuagui
雍容雅步	yongrongyabu
幽梦恼襄王	youmengnaoxiangwang
尤物移人	youwuyiren
优雅闲适	youyaxianshi
玉面淡拂	yumiandanfu
玉女品箫	yunvpinxiao
玉软花柔	yuruanhuarou
玉体迎风玉骨冰肌	yutiyingfengyugubingji
玉颜艳堪春红	yuyanyankanchunhong
煜煜垂晖	yuyuchuihui
玉瓒螺髻	yuzanluoji
圆润如玉	yuanrunruyu
月里嫦娥	yuelichange
月貌花容	yuemaohuarong
月眉星眼	yuemeixingyan
云鬓花颜金步摇	yunbinhuayanjinbuyao
云髻峨峨	yunjiee
再笑倾国	zaixiaoqingguo
增娇盈媚	zengjiaoyingmei
占尽风流	zhanjinfengliu
折纤腰以微步	zhexianyaoyiweibu
脂粉污颜色	zhifenwuyanse
指如削葱根	zhiruxueconggen
朱唇榴齿	zhuchunliuchi
珠纱遮面	zhushazhemian
珠围翠绕	zhuweicuirao
珠圆玉润	zhuyuanyurun
擢纤纤之素手	zhuoxianxianzhisushou
姿色天然	zisetianran
紫芝眉宇	zizhimeiyu
走马轻风雪	zoumaqingfengxue
足下蹑丝履	zuxianiesilv
醉颜微酡	zuiyanweituo
