安眠穴	anmianxue
灵道穴	lingdaoxue
零点	lingdian
灵台	lingtai
灵台穴	lingtaixue
灵墟	lingxu
灵墟穴	lingxuxue
漏谷	lougu
漏谷穴	louguxue
颅息	luxi
颅息穴	luxixue
卵巢	luanchao
轮二	luner
轮六	lunliu
轮三	lunsan
轮四	lunsi
轮五	lunwu
轮一	lunyi
络却	luoque
络却穴	luoquexue
络穴	luoxue
率谷	lvgu
率谷穴	lvguxue
眉冲	meichong
眉冲穴	meichongxue
面颊	mianjia
命门	mingmen
命门穴	mingmenxue
目窗	muchuang
目窗穴	muchuangxue
目二	muer
募穴	muxue
目一	muyi
脑户	naohu
脑户穴	naohuxue
臑会	naohui
臑会穴	naohuixue
脑空	naokong
脑空穴	naokongxue
臑俞	naoyu|naoshu
臑俞穴	naoyuxue
内鼻	neibi
内耳	neier
内分泌	neifenmi
内关	neiguan
内关穴	neiguanxue
内踝尖	neihuaijian
内踝尖穴	neihuaijianxue
内生殖器	neishengzhiqi
内庭	neiting
内庭穴	neitingxue
内膝眼	neixiyan
内膝眼穴	neixiyanxue
内迎香	neiyingxiang
内迎香穴	neiyingxiangxue
尿道	niaodao
颞区	niequ
颞穴	niexue
女膝	nvxi
女膝穴	nvxixue
膀胱	pangguang|bangguang
膀胱经	pangguangjing
膀胱俞穴	pangguangshuxue|bangguangyuxue
膀胱俞	pangguangyu|pangguangshu|bangguangyu
盆腔	penqiang
痞根	pigen
痞根穴	pigenxue
脾经	pijing
脾区	piqu
脾穴	pixue
脾俞	piyu|pishu
脾俞穴	piyuxue
皮质下	pizhixia
偏历	pianli
偏历穴	pianlixue
平喘	pingchuan
屏尖	pingjian
屏间切迹	pingjianqieji
魄户	pohu
魄户穴	pohuxue
仆参	pucan
仆参穴	pucanxue
气冲	qichong
气冲穴	qichongxue
奇点	qidian|jidian
气端	qiduan
气端穴	qiduanxue
气管	qiguan
气海	qihai
气海穴	qihaixue
气海俞	qihaiyu|qihaishu
气海俞穴	qihaishuxue|qihaiyuxue
气户	qihu
气户穴	qihuxue
期门	qimen
期门穴	qimenxue
气舍	qishe
气舍穴	qishexue
气穴	qixue
气穴穴	qixuexue
脐周	qizhou
前顶	qianding
前顶穴	qiandingxue
前谷	qiangu
前谷穴	qianguxue
牵正	qianzheng
牵正穴	qianzhengxue
强间	qiangjian
强间穴	qiangjianxue
清冷渊	qinglengyuan
清冷渊穴	qinglengyuanxue
青灵	qingling
青灵穴	qinglingxue
晴明	qingming
球后	qiuhou
球后穴	qiuhouxue
丘脑	qiunao
丘墟	qiuxu
丘墟穴	qiuxuxue
曲鬓	qubin
曲鬓穴	qubinxue
曲差	qucha
曲差穴	quchaxue
曲池	quchi
曲池穴	quchixue
曲骨	qugu
曲骨穴	quguxue
曲泉	ququan
曲泉穴	ququanxue
曲垣	quyuan
曲垣穴	quyuanxue
曲泽	quze
曲泽穴	quzexue
颧髎	quanliao
颧髎穴	quanliaoxue
缺盆	quepen
缺盆穴	quepenxue
然谷	rangu
然谷穴	ranguxue
热穴	rexue
任脉	renmai
人迎	renying
人迎穴	renyingxue
人中	renzhong
日月	riyue
日月穴	riyuexue
乳根	rugen
乳根穴	rugenxue
乳突	rutu
乳腺	ruxian
乳中	ruzhong
乳中穴	ruzhongxue
三间	sanjian
三间穴	sanjianxue
三焦	sanjiao
三焦经	sanjiaojing
三角灸	sanjiaojiu
三角灸穴	sanjiaojiuxue
三角窝	sanjiaowo
三焦俞	sanjiaoyu|sanjiaoshu
三焦俞穴	sanjiaoshuxue|sanjiaoyuxue
三阳络	sanyangluo
三阳络穴	sanyangluoxue
三阴交	sanyinjiao
三阴交穴	sanyinjiaoxue
膻中	shanzhong
上背	shangbei
上腭	shange
上耳根	shangergen
上关	shangguan
上关穴	shangguanxue
上角窝	shangjiaowo
上巨虚	shangjuxu
上巨虚穴	shangjuxuxue
上廉	shanglian
上廉泉	shanglianquan
上廉泉穴	shanglianquanxue
上廉穴	shanglianxue
上髎	shangliao
上髎穴	shangliaoxue
上明	shangming
上明穴	shangmingxue
商丘	shangqiu
商丘穴	shangqiuxue
商曲	shangqu
商曲穴	shangquxue
上脘	shangwan
上脘穴	shangwanxue
上星	shangxing
上星穴	shangxingxue
商阳	shangyang
商阳穴	shangyangxue
上迎香	shangyingxiang
上迎香穴	shangyingxiangxue
少冲	shaochong
少冲穴	shaochongxue
少府	shaofu
少府穴	shaofuxue
少海	shaohai
少海穴	shaohaixue
少商	shaoshang
少商穴	shaoshangxue
少泽	shaoze
少泽穴	shaozexue
舌区	shequ
舌穴	shexue
神道	shendao
神道穴	shendaoxue
神封	shenfeng
神封穴	shenfengxue
肾经	shenjing
神经丛点	shenjingcongdian
申脉	shenmai
申脉穴	shenmaixue
神门	shenmen
神门穴	shenmenxue
肾区	shenqu
神阙	shenque
神阙穴	shenquexue
肾上腺	shenshangxian
神堂	shentang
神堂穴	shentangxue
神庭	shenting
神庭穴	shentingxue
肾穴	shenxue
肾炎点	shenyandian
肾俞	shenyu|shenshu
肾俞穴	shenyuxue
神藏	shenzang
神藏穴	shencangxue|shenzangxue
身柱	shenzhu
身柱穴	shenzhuxue
声带	shengdai
升压点	shengyadian
食窦	shidou
食窦穴	shidouxue
十二经络	shierjingluo
十二指肠	shierzhichang
石关	shiguan
食管	shiguan
石关穴	shiguanxue
石门	shimen
石门穴	shimenxue
失眠穴	shimianxue
十七椎	shiqizhui
十七椎穴	shiqizhuixue
十四经络	shisijingluo
十宣	shixuan
十宣穴	shixuanxue
手厥阴	shoujueyin
手厥阴心包经	shoujueyinxinbaojing
手逆注	shounizhu
手逆注穴	shounizhuxue
手三里	shousanli
手三里穴	shousanlixue
手三阳	shousanyang
手三阴	shousanyin
手少阳	shoushaoyang
手少阳三焦经	shoushaoyangsanjiaojing
手少阴	shoushaoyin
手少阴心经	shoushaoyinxinjing
手太阳	shoutaiyang
手太阳小肠经	shoutaiyangxiaochangjing
手太阴	shoutaiyin
手太阴肺经	shoutaiyinfeijing
手五里	shouwuli
手五里穴	shouwulixue
手阳明	shouyangming
手阳明大肠经	shouyangmingdachangjing
束骨	shugu
束骨穴	shuguxue
输尿管	shuniaoguan
俞穴	shuxue
输穴	shuxue
水道	shuidao
水道穴	shuidaoxue
水分	shuifen
水分穴	shuifenxue
水沟	shuigou
水沟穴	shuigouxue
水泉	shuiquan
水泉穴	shuiquanxue
水突	shuitu
水突穴	shuituxue
四白	sibai
四白穴	sibaixue
四渎	sidu
四渎穴	siduxue
四缝	sifeng
四缝穴	sifengxue
四满	siman
四满穴	simanxue
四神聪	sishencong
四神聪穴	sishencongxue
丝竹空	sizhukong
丝竹空穴	sizhukongxue
素髎	suliao
素髎穴	suliaoxue
锁骨	suogu
太白	taibai
太白穴	taibaixue
太冲	taichong
太冲穴	taichongxue
太溪	taixi
太溪穴	taixixue
太阳	taiyang
太阳穴	taiyangxue
太乙	taiyi
太乙穴	taiyixue
太渊	taiyuan
太渊穴	taiyuanxue
陶道	taodao
陶道穴	taodaoxue
天池	tianchi
天池穴	tianchixue
天冲	tianchong
天冲穴	tianchongxue
天窗	tianchuang
天窗穴	tianchuangxue
天鼎	tianding
天鼎穴	tiandingxue
天府	tianfu
天府穴	tianfuxue
天井	tianjing
天井穴	tianjingxue
天髎	tianliao
天髎穴	tianliaoxue
天泉	tianquan
天泉穴	tianquanxue
天容	tianrong
天容穴	tianrongxue
天枢	tianshu
天枢穴	tianshuxue
天突	tiantu
天突穴	tiantuxue
天溪	tianxi
天溪穴	tianxixue
天牖	tianyou
天牖穴	tianyouxue
天柱	tianzhu
天柱穴	tianzhuxue
天宗	tianzong
天宗穴	tianzongxue
条口	tiaokou
条口穴	tiaokouxue
听宫	tinggong
听宫穴	tinggongxue
听会	tinghui
听会穴	tinghuixue
艇角	tingjiao
艇中	tingzhong
通里	tongli
通里穴	tonglixue
通天	tongtian
通天穴	tongtianxue
瞳子髎	tongziliao
瞳子髎穴	tongziliaoxue
头昏穴	touhunxue
头临泣	toulinqi
头临泣穴	toulinqixue
头窍阴	touqiaoyin
头窍阴穴	touqiaoyinxue
头维	touwei
头维穴	touweixue
臀区	tunqu
臀穴	tunxue
外鼻	waibi
外耳	waier
外关	waiguan
外关穴	waiguanxue
外踝尖	waihuaijian
外踝尖穴	waihuaijianxue
外劳宫	wailaogong
外劳宫穴	wailaogongxue
外陵	wailing
外陵穴	wailingxue
外丘	waiqiu
外丘穴	waiqiuxue
外生殖器	waishengzhiqi
完骨	wangu
腕骨	wangu
完骨穴	wanguxue
腕骨穴	wanguxue
腕区	wanqu
腕穴	wanxue
胃仓	weicang
胃仓穴	weicangxue
维道	weidao
维道穴	weidaoxue
胃经	weijing
胃区	weiqu
胃上	weishang
胃上穴	weishangxue
胃俞穴	weiyuxue|weishuxue
胃脘下俞穴	weiwanxiashuxue
胃脘下俞	weiwanxiayu|weiwanxiashu
胃穴	weixue
委阳	weiyang
委阳穴	weiyangxue
胃俞	weiyu|weishu
委中	weizhong
委中穴	weizhongxue
温溜	wenliu
温溜穴	wenliuxue
五处	wuchu
五处穴	wuchuxue
五枢	wushu
五枢穴	wushuxue
屋翳	wuyi
屋翳穴	wuyixue
膝关	xiguan
膝关穴	xiguanxue
郄门	ximen
郄门穴	ximenxue
膝区	xiqu
膝穴	xixue
郄穴	xixue
膝眼	xiyan
膝眼穴	xiyanxue
膝阳关	xiyangguan
膝阳关穴	xiyangguanxue
侠白	xiabai
侠白穴	xiabaixue
下背	xiabei
下垂点	xiachuidian
下腭	xiae
下耳根	xiaergen
下关	xiaguan
下关穴	xiaguanxue
下合穴	xiahexue
下极俞穴	xiajishuxue
下极俞	xiajiyu|xiajishu
下巨虚	xiajuxu
下巨虚穴	xiajuxuxue
下廉	xialian
下廉穴	xialianxue
下髎	xialiao
下髎穴	xialiaoxue
下脘	xiawan
下脘穴	xiawanxue
侠溪	xiaxi
侠溪穴	xiaxixue
陷谷	xiangu
陷谷穴	xianguxue
小肠	xiaochang
小肠经	xiaochangjing
小肠俞穴	xiaochangshuxue
小肠俞	xiaochangyu|xiaochangshu
小骨空	xiaogukong
小骨空穴	xiaogukongxue
小海	xiaohai
小海穴	xiaohaixue
消泺	xiaoluo
消泺穴	xiaoluoxue
泻法	xiefa
胁肋	xielei
心包经	xinbaojing
囟会	xinhui
囟会穴	xinhuixue
心经	xinjing
心区	xinqu
心俞穴	xinyuxue|xinshuxue
心穴	xinxue
新眼点	xinyandian
心俞	xinyu|xinshu
心脏点	xinzangdian
兴奋点	xingfendian
荥穴	xingxue
胸区	xiongqu
胸乡	xiongxiang
胸乡穴	xiongxiangxue
胸穴	xiongxue
胸椎	xiongzhui
璇玑	xuanji
璇玑穴	xuanjixue
悬厘	xuanli
悬厘穴	xuanlixue
悬颅	xuanlu
悬颅穴	xuanluxue
悬枢	xuanshu
悬枢穴	xuanshuxue
悬钟	xuanzhong
