风水	fengshui
山头火	shantouhuo
山下火	shanxiahuo
伤官见官	shangguanjianguan
伤官佩印	shangguanpeiyin
伤官入墓	shangguanrumu
伤官伤尽	shangguanshangjin
伤官桃花	shangguantaohua
伤官用财	shangguanyongcai
伤食泄秀	shangshixiexiu
身杀二停	shenshaerting
时带比劫	shidaibijie
时带偏印	shidaipianyin
时带伤官	shidaishangguan
时带食神	shidaishishen
时带正官	shidaizhengguan
时带正印	shidaizhengyin
十二地支	shierdizhi
十二主星宿	shierzhuxingsu
石榴木	shiliumu
时煞归库	shishaguiku
时上偏财	shishangpiancai
时上七煞	shishangqisha
食伤吐秀	shishangtuxiu
时上正财	shishangzhengcai
十神	shishen
食神带合	shishendaihe
食神带禄	shishendailu
食神旺变	shishenwangbian
十天干	shitiangan
水空	shuikong
四墓库	simuku
四生方	sishengfang
四位纯全	siweichunquan
四正方	sizhengfang
松柏木	songbaimu
岁带正马	suidaizhengma
岁德正官	suidezhengguan
岁运并临	suiyunbinglin
太岁	taisui
贪财坏印	tancaihuaiyin
贪合忘官	tanhewangguan
桃花	taohua
桃花带刃	taohuadairen
桃花劫	taohuajie
桃花煞	taohuasha
提纲克年	tigangkenian
天德	tiande
天地德合	tiandidehe
天干	tiangan
天干连珠	tianganlianzhu
天干顺食	tianganshunshi
天狗	tiangou
天河水	tianheshui
天上火	tianshanghuo
天喜	tianxi
天元暗禄	tianyuananlu
天元一气	tianyuanyiqi
天元坐财	tianyuanzuocai
天元坐禄	tianyuanzuolu
天元坐煞	tianyuanzuosha
土空	tukong
五鬼	wugui
五煞詹花	wushazhanhua
屋上土	wushangtu
枭神夺食	xiaoshenduoshi
刑合格	xinghege
玄武当权	xuanwudangquan
炎上格	yanshangge
羊击猪蛇	yangjizhushe
杨柳木	yangliumu
羊刃驾杀	yangrenjiasha
阳死阴生	yangsiyinsheng
印墓夭寿	yinmuyaoshou
印绶护身	yinshouhushen
印星	yinxing
用神	yongshen
有驿有马	youyiyouma
鸳鸯合	yuanyanghe
月带偏官	yuedaipianguan
月带正官	yuedaizhengguan
月德	yuede
月上比劫	yueshangbijie
月上偏财	yueshangpiancai
月上偏印	yueshangpianyin
月上伤官	yueshangshangguan
月上食神	yueshangshishen
月上正财	yueshangzhengcai
月上正印	yueshangzhengyin
真伤官	zhenshangguan
正官五忌	zhengguanwuji
支辰一字	zhichenyizi
专禄格	zhuanluge
紫微	ziwei
子午双包	ziwushuangbao
子遥巳格	ziyaosige
子遥巳禄	ziyaosilu
华盖	huagai
十恶大败	shiedabai
