安永	anyong
北条氏繁	beitiaoshifan
备前	beiqian
井伊直政	jingyizhizheng
稻姬	daoji
斋藤龙兴	zhaitenglongxing
山本勘助	shanbenkanzhu
直江兼续	zhijiangjianxu
上杉景胜	shangshanjingsheng
直江景纲	zhijiangjinggang
太田牛一	taitianniuyi
永田德本	yongtiandeben
太原雪斋	taiyuanxuezhai
吉川元春	jichuanyuanchun
清水宗治	qingshuizongzhi
立花宗茂	lihuazongmao
真田信之	zhentianxinzhi
宫本武藏	gongbenwuzang
佐佐木小次郎	zuozuomuxiaocilang
五轮书	wulunshu
车悬	chexuan
斋藤归蝶	zhaitengguidie
伊达成实	yidachengshi
片仓景纲	piancangjinggang
茶屋四郎次郎	chawusilangcilang
甲阳军鉴	jiayangjunjian
前田利长	qiantianlichang
母里太兵卫	mulitaibingwei
氏家卜全	shijiabuquan|shijiaboquan
斋藤利三	zhaitenglisan
稻叶贞通	daoyezhentong
金森长近	jinsenchangjin
名古屋山三郎	mingguwushansanlang
出云阿国	chuyunaguo
山中鹿介	shanzhonglujie
足利义晴	zuliyiqing
足利义政	zuliyizheng
平手政秀	pingshouzhengxiu
柴田胜丰	chaitianshengfeng
前田利昌	qiantianlichang
前田利久	qiantianlijiu
武田胜赖	wutianshenglai
武田信丰	wutianxinfeng
姊小路赖纲	zixiaolulaigang
菊亭晴季	jutingqingji
村井长赖	cunjingchanglai
茶茶	chacha
前田利常	qiantianlichang
前田利政	qiantianlizheng
前田玄以	qiantianxuanyi
安土	antu
金泽	jinze
大阪	daban
佐贺山	zuoheshan
姬路	jilu
小谷	xiaogu
富山	fushan
七尾	qiwei
石山御坊	shishanyufang
本愿寺	benyuansi
本能寺之变	bennengsizhibian
阿松	asong
阿市	ashi
北政所	beizhengsuo
宁宁	ningning
小督	xiaodu
阿初	achu
阿部正次	abuzhengci
阿茶局	achaju
阿苏惟将	asuweijiang
安部政吉	anbuzhengji
安东爱季	andongaiji
安东高季	andonggaoji
安房	anfang
安国寺惠琼	anguosihuiqiong
安见直政	anjianzhizheng
安井道顿	anjingdaodun
安藤良整	antengliangzheng
安藤守就	antengshoujiu
安藤直次	antengzhici
安藤重信	antengzhongxin
安田显元	antianxianyuan
安田长秀	antianchangxiu
安土桃山	antutaoshan
安西又助	anxiyouzhu
安艺	anyi
安芸国虎	anyunguohu
安宅冬康	anzhaidongkang
安宅信康	anzhaixinkang
奥村荣明	aocunrongming
奥平信昌	aopingxinchang
八板金兵卫	babanjinbingwei
白石宗实	baishizongshi
百地三太夫	baidisantaifu
百武贤兼	baiwuxianjian
拜乡家嘉	baixiangjiajia
坂井政尚	banjingzhengshang
坂崎直盛	banqizhisheng
坂田源右卫门	bantianyuanyouweimen
板部冈江雪斋	banbugangjiangxuezhai
板仓胜重	bancangshengzhong
板垣信方	banyuanxinfang
薄田兼相	botianjianxiang
宝藏院胤荣	baozangyuanyinrong
北陆道	beiludao
北陆孤狼	beilugulang
北畠教具	beitianjiaoju
北畠具房	beizaijufang|beitianjufang
北畠具教	beizaijujiao|beitianjujiao
北畠晴具	beizaiqingju|beitianqingju
北条高广	beitiaogaoguang
北条幻庵	beitiaohuanan
北条景广	beitiaojingguang
北条氏邦	beitiaoshibang
北条氏定	beitiaoshiding
北条氏规	beitiaoshigui
北条氏胜	beitiaoshisheng
北条氏秀	beitiaoshixiu
北条氏照	beitiaoshizhao
北乡氏久	beixiangshijiu
北信爱	beixinai
备后	beihou
备中	beizhong
本多小松	benduoxiaosong
本多政重	benduozhengzhong
本多忠纯	benduozhongchun
本多忠高	benduozhonggao
本多忠胜	benduozhongsheng
本多忠真	benduozhongzhen
本多重次	benduochongci|benduozhongci
本山茂宗	benshanmaozong
本因坊算砂	benyinfangsuansha
本愿寺教如	benyuansijiaoru
本愿寺显如	benyuansixianru
本愿寺证如	benyuansizhengru
本愿寺准如	benyuansizhunru
比叡山	biruishan
别所长治	biesuochangzhi
并和氏续	bingheshixu
波多野晴通	boduoyeqingtong
波多野秀尚	boduoyexiushang
波多野秀治	boduoyexiuzhi
波多野稙通	boduoyezhitong
播磨	bomo
播磨屋宗德	bomowuzongde
伯耆	boqi
不破光治	bupoguangzhi
不破直光	bupozhiguang
藏田五郎左	cangtianwulangzuo
曾根昌世	zenggenchangshi|cenggenchangshi
茶屋又四郎	chawuyousilang
常陆	changlu
朝比奈泰朝	chaobinaitaichao
朝仓景恒	chaocangjingheng
朝仓景健	chaocangjingjian
朝仓景镜	chaocangjingjing
朝仓景连	chaocangjinglian
朝仓孝景	chaocangxiaojing
朝仓义景	chaocangyijing
朝仓宗滴	chaocangzongdi
成富茂安	chengfumaoan
成松信胜	chengsongxinsheng
成田氏长	chengtianshichang
成田长泰	chengtianchangtai
成田长忠	chengtianchangzhong
城井镇房	chengjingzhenfang
池赖和	chilaihe
池田恒兴	chitianhengxing
池田辉政	chitianhuizheng
池田物左卫门	chitianwuzuoweimen
赤池长任	chichichangren
赤井直正	chijingzhizheng
赤松义佑	chisongyiyou
赤松政秀	chisongzhengxiu
赤松政则	chisongzhengze
赤尾清纲	chiweiqinggang
赤穴盛清	chixueshengqing
出浦盛清	chupushengqing
出羽	chuyu
出云	chuyun
出云的阿国	chuyundeaguo
出云之鹿	chuyunzhilu
初井教业	chujingjiaoye
川上久朗	chuanshangjiulang
川上忠坚	chuanshangzhongjian
川上忠智	chuanshangzhongzhi
春日局	chunriju
村井长明	cunjingchangming
村井贞胜	cunjingzhensheng
村上国清	cunshangguoqing
村上义清	cunshangyiqing
村上元吉	cunshangyuanji
大阪七星将	dabanqixingjiang
大宝寺义氏	dabaosiyishi
大村纯忠	dacunchunzhong
大道寺政繁	dadaosizhengfan
大国实赖	daguoshilai
大和	dahe|dahu
大久保长安	dajiubaochangan|dajiubaozhangan
大久保忠教	dajiubaozhongjiao
大久保忠世	dajiubaozhongshi
大久保忠员	dajiubaozhongyuan
大内定纲	daneidinggang
大内辉弘	daneihuihong
大内隆宏	daneilonghong
大内义隆	daneiyilong
大内义兴	daneiyixing
大内政弘	daneizhenghong
大崎义隆	daqiyilong
大崎义直	daqiyizhi
大石智久	dashizhijiu
大熊朝秀	daxiongchaoxiu
大须贺康高	daxuhekanggao
大野治房	dayezhifang
大野治胤	dayezhiyin
大友亲家	dayouqingjia
大友亲盛	dayouqinsheng
大友义统	dayouyitong
大隅	dayu
大月景秀	dayuejingxiu
丹波	danbo
丹波鬼	danbogui
丹后	danhou
丹羽长重	danyuchangzhong
但马	danma
淡路	danlu
刀狩	daoshou
岛津丰久	daojinfengjiu
岛津龙伯	daojinlongbo
岛津日新斋	daojinrixinzhai
岛津义虎	daojinyihu
岛津忠恒	daojinzhongheng
岛井宗室	daojingzongshi
岛胜猛	daoshengmeng
岛左近	daozuojin
道川兵卫三郎	daochuanbingweisanlang
稻富一梦	daofuyimeng
稻叶正成	daoyezhengcheng
得居通之	dejutongzhi
德川家光	dechuanjiaguang
德川赖房	dechuanlaifang
德川赖宣	dechuanlaixuan
德川义直	dechuanyizhi
德永寿昌	deyongshouchang
淀屋长安	dianwuchangan
东海道	donghaidao
东海道第一弓取	donghaidaodiyigongqu
东山道	dongshandao
东乡重位	dongxiangzhongwei
独眼龙政宗	duyanlongzhengzong
笃十藏	dushicang
渡边勘兵卫	dubiankanbingwei
渡边守纲	dubianshougang
对马	duima
盾冈满茂	dungangmanmao
多罗尾光俊	duoluoweiguangjun
多田满赖	duotianmanlai
二本松义继	erbensongyiji
二宫就辰	ergongjiuchen
二阶堂辉行	erjietanghuixing
二阶堂盛义	erjietangshengyi
二阶堂照行	erjietangzhaoxing
二曲轮之助	erqulunzhizhu
繁尺元氏	fanchiyuanshi
饭田觉兵卫	fantianjuebingwei
饭田直政	fantianzhizheng
饭尾连龙	fanweilianlong
