阿老	alao
樊桂贞	fanguizhen
樊海忠	fanhaizhong
范洪涛	fanhongtao
范久鹏	fanjiupeng
樊俊	fanjun
樊俊娥	fanjune
范宽	fankuan
范佩俊	fanpeijun
范朴	fanpu
樊圻	fanqi
番茄红	fanqiehong
帆山子	fanshanzi
樊少云	fanshaoyun
繁峙岩山寺壁画	fanshiyanshansibihua
范泰炯	fantaijiong
矾头皴	fantoucun
樊威	fanwei
范新林	fanxinlin
范秀琴	fanxiuqin
范翼	fanyi
范蕴蕴	fanyunyun
范曾	fanzeng
范昭平	fanzhaoping
方冰山	fangbingshan
方从礼	fangcongli
访戴鹰阿图	fangdaiyingatu
方得林	fangdelin
方昉	fangfang
方格放大法	fanggefangdafa
方广泓	fangguanghong
方鹤	fanghe
房恒勃	fanghengbo
方济众	fangjizhong
方见尘	fangjianchen
房建平	fangjianping
方介堪	fangjiekan
方金河	fangjinhe
方景华	fangjinghua
方君璧	fangjunbi
方濬颐	fangjunyi
方力钧	fanglijun
方力均	fanglijun
方人定	fangrending
方士庶	fangshishu
方婉仪	fangwanyi
方伟绩	fangweiji
方闻	fangwen
方晓宝	fangxiaobao
方兴国	fangxingguo
方薰	fangxun
方樟连	fangzhanglian
方照华	fangzhaohua
方镇养	fangzhenyang
飞衬	feichen
费春	feichun
翡翠绿	feicuilv
费丹旭	feidanxu
啡黑	feihei
啡红	feihong
啡红色	feihongse
废肩	feijian
非受也	feishouye
飞托	feituo
费新我	feixinwo
啡杏色	feixingse
费扬滔	feiyangtao
费以复	feiyifu
非洲岩洞艺术	feizhouyandongyishu
非洲紫	feizhouzi
粉本	fenben
粉橙	fencheng
粉红白	fenhongbai
粉兰	fenlan
粉绿	fenlv
粉玫红	fenmeihong
粉末蓝	fenmolan
粉茄紫	fenqiezi
分染	fenran
分散黑色	fensanheise
分色法	fensefa
汾阳圣母庙壁画	fenyangshengmumiaobihua
粉紫	fenzi
粉紫红	fenzihong
粉紫色	fenzise
冯帮俊	fengbangjun
冯炳文	fengbingwen
冯超然	fengchaoran
冯大中	fengdazhong
凤丹白	fengdanbai
枫丹白露派	fengdanbailupai
冯法祀	fengfasi
冯国东	fengguodong
冯怀荣	fenghuairong
奉家丽	fengjiali
冯健慈	fengjianci
冯健亲	fengjianqin
冯椒生	fengjiaosheng
冯劲草	fengjingcao
冯丽安	fenglian
冯莉莉	fenglili
冯路敏	fenglumin
蜂蜜黄	fengmihuang
封明清	fengmingqing
冯少协	fengshaoxie
冯巍	fengwei
冯文彪	fengwenbiao
冯晓东	fengxiaodong
冯耀宗	fengyaozong
封永辉	fengyonghui
冯玉琪	fengyuqi
俸振杰	fengzhenjie
俸正杰	fengzhengjie
俸正泉	fengzhengquan
冯忠莲	fengzhonglian
冯中起	fengzhongqi
丰子恺	fengzikai
傅抱石	fubaoshi
复背	fubei
富春山居图	fuchunshanjutu
傅从深	fucongshen
付栋	fudong
复勾	fugou
付泓	fuhong
复画	fuhua
夫画贵乎思	fuhuaguihusi
傅慧瑶	fuhuiyao
付经岩	fujingyan
弗拉戈纳尔	fulagenaer
傅丽莉	fulili
甫立亚	fuliya
符罗飞	fuluofei
傅乃琳	funailin
斧劈皴	fupicun
傅庆丰	fuqingfeng
赋色	fuse
傅色	fuse
复色	fuse
傅申	fushen
夫受	fushou
夫水	fushui
复托	futuo
