机械系统设计	jixiexitongsheji
机械运转不均匀系数	jixieyunzhuanbujunyunxishu
机械制图	jixiezhitu
基于实例设计	jiyushilisheji
基圆	jiyuan
基圆齿距	jiyuanchiju
基圆压	jiyuanya
基圆柱	jiyuanzhu
基圆锥	jiyuanzhui
棘爪	jizhua
加速度分析	jiasudufenxi
加速度曲线	jiasuduquxian
键槽	jiancao
尖底从动件	jiandicongdongjian
监督单位	jiandudanwei
渐开线	jiankaixian
渐开线齿廓	jiankaixianchikuo
渐开线齿轮	jiankaixianchilun
渐开线发生线	jiankaixianfashengxian
渐开线方程	jiankaixianfangcheng
渐开线花键	jiankaixianhuajian
渐开线蜗杆	jiankaixianwogan
渐开线压力角	jiankaixianyalijiao
减摩性	jianmoxing
减速比	jiansubi
减速器	jiansuqi
间隙	jianxi
间隙配合	jianxipeihe
间歇运动机构	jianxieyundongjigou
减压阀	jianyafa
交叉带传动	jiaochadaichuandong
交错轴斜齿轮	jiaocuozhouxiechilun
绞刀	jiaodao
角接触推力轴承	jiaojiechutuilizhoucheng
角接触向心轴承	jiaojiechuxiangxinzhoucheng
角接触轴承	jiaojiechuzhoucheng
绞孔	jiaokong
校正平面	jiaozhengpingmian
接触印痕	jiechuyinhen
节点	jiedian
结合剂	jieheji
截交线	jiejiaoxian
节距	jieju
节流阀	jieliufa
截面	jiemian
阶梯轴	jietizhou
解析设计	jiexisheji
节线	jiexian
节圆	jieyuan
节圆齿厚	jieyuanchihou
节圆直径	jieyuanzhijing
节圆锥	jieyuanzhui
节圆锥角	jieyuanzhuijiao
节锥顶点距	jiezhuidingdianju
节锥角	jiezhuijiao
紧边	jinbian
进给方向	jinjifangxiang|jingeifangxiang
进给运动	jinjiyundong|jingeiyundong
紧固件	jingujian
金属工艺学	jinshugongyixue
金属切削	jinshuqiexiao
精车图	jingchetu
精车外圆	jingchewaiyuan
精加工	jingjiagong
井架提升机	jingjiatishengji
径节	jingjie
静力学	jinglixue
静密封	jingmifeng
精镗内孔	jingtangneikong
径向当量静载荷	jingxiangdangliangjingzaihe
径向基本额定静载荷	jingxiangjibenedingjingzaihe
径向间隙	jingxiangjianxi
径向接触轴承	jingxiangjiechuzhoucheng
径向平面	jingxiangpingmian
径向游隙	jingxiangyouxi
径向载荷	jingxiangzaihe
径向载荷系数	jingxiangzaihexishu
静载荷	jingzaihe
局部视图	jubushitu
局部自由度	jubuziyoudu
锯齿形螺纹	juchixingluowen
矩形螺纹	juxingluowen
矩形牙嵌式离合器	juxingyaqianshiliheqi
绝对尺寸系数	jueduichicunxishu
掘进二队	juejinerdui
掘进一队	juejinyidui
均衡装置	junhengzhuangzhi
卡盘	kapan
开槽沉头螺钉	kaicaochentouluoding
开槽圆柱头螺钉	kaicaoyuanzhutouluoding
开槽锥端紧定螺钉	kaicaozhuiduanjindingluoding
开口传动	kaikouchuandong
开口销	kaikouxiao
开链机构	kailianjigou
开式链	kaishilian
可编程序逻辑控制器	kebianchengxuluojikongzhiqi
可见棱边线	kejianlengbianxian
可见轮廓线	kejianlunkuoxian
可靠性	kekaoxing
可靠性设计	kekaoxingsheji
孔加工	kongjiagong
空间机构	kongjianjigou
空间连杆机构	kongjianlianganjigou
空间凸轮机构	kongjiantulunjigou
空间运动副	kongjianyundongfu
空间运动链	kongjianyundonglian
空气弹簧	kongqitanhuang
孔系分布中心线	kongxifenbuzhongxinxian
跨棒距	kuabangju
宽度系列	kuanduxilie
矿井避灾路线图	kuangjingbizailuxiantu
矿井通风系统图	kuangjingtongfengxitongtu
矿井瓦斯	kuangjingwasi
拉床	lachuang
拉孔	lakong
拉伸	lashen
冷加工	lengjiagong
