挡板	dangban
档板式遮阳	dangbanshizheyang
当地可用材料	dangdikeyongcailiao
挡墩	dangdun
挡墙	dangqiang
挡水墙	dangshuiqiang
挡土墙	dangtuqiang
道板砖	daobanzhuan
倒槽式拱	daocaoshigong
导轨	daogui
导荷载	daohezai
导流墙	daoliuqiang
倒楼盖	daolougai
倒楼盖模型	daolougaimoxing
道路	daolu
道路断面	daoluduanmian
道路面积率	daolumianjilv
道路面积密度	daolumianjimidu
道路容量	daolurongliang
道路设计	daolusheji
道路网	daoluwang
道路网密度	daoluwangmidu
道路系统	daoluxitong
道路用地	daoluyongdi
导墙	daoqiang
导温系数	daowenxishu
导线穿管敷设	daoxianchuanguanfushe
倒影池	daoyingchi
导游解说	daoyoujieshuo
导游图	daoyoutu
岛园	daoyuan
岛状冻土	daozhuangdongtu
灯槽	dengcao
等电位	dengdianwei
等电位联结安装	dengdianweilianjieanzhuang
等分平衡法	dengfenpinghengfa
等高线	denggaoxian
灯光渡桥	dengguangduqiao
灯光控制室	dengguangkongzhishi
灯光平台	dengguangpingtai
灯光天桥	dengguangtianqiao
灯光指示器	dengguangzhishiqi
登机口	dengjikou
等截面	dengjiemian
灯具	dengju
灯具亮度限制曲线	dengjuliangduxianzhiquxian
灯具效率	dengjuxiaolv
灯盘	dengpan
等视图	dengshitu
灯箱片	dengxiangpian
等响曲线	dengxiangquxian
等效连续	dengxiaolianxu
等效连续声级	dengxiaolianashengji|dengxiaolianxushengji
等效吸声面积	dengxiaoxishengmianji
灯罩	dengzhao
等照度曲线	dengzhaoduquxian
低矮墙	diaiqiang
堤岸种植	dianzhongzhi
地板	diban
底板	diban
地被植物	dibeizhiwu
底标高	dibiaogao
地表面	dibiaomian
底部加强	dibujiaqiang
底部加强部位	dibujiaqiangbuwei
底部加强区	dibujiaqiangqu
底层	diceng
低层建筑	dicengjianzhu
底层抹灰	dicengmohui
底层平面	dicengpingmian
第二产业	dierchanye
地方时	difangshi
地方性	difangxing
地方性气候	difangxingqihou
地袱	difu
地伏	difu
地沟管	digouguan
滴灌	diguan
地基	diji
地基承载力	dijichengzaili
地基承载力特征值	dijichengzailitezhengzhi
地基处理	dijichuli
地基处理记录	dijichulijilu
地基检测报告	dijijiancebaogao
地基梁	dijiliang
地基钎探记录	dijiqiantanjilu
地基验槽检查记录	dijiyancaojianchajilu
地基应力	dijiyingli
地基与基础	dijiyujichu
地价	dijia
递匠司	dijiangsi
地脚	dijiao
底脚螺栓	dijiaoluoshuan
地堪	dikan
底坑	dikeng
底框	dikuang
地理景观	dilijingguan
地沥青	diliqing
地梁	diliang
地梁平面布置图	diliangpingmianbuzhitu
地垄墙	dilongqiang
地漏	dilou
地漏排水试验记录	diloupaishuishiyanjilu
涤纶无纺布	dilunwufangbu
地貌	dimao
地面	dimian
地面暗管道	dimiananguandao
地面标高	dimianbiaogao
地面波化	dimianbohua
地面插座	dimianchazuo
地面插座出线口	dimianchazuochuxiankou
地面出线盒	dimianchuxianhe
地面出线口	dimianchuxiankou
地面粗糙度	dimiancucaodu
地面地砖铺砌	dimiandizhuanpuqi
地面电话出线口	dimiandianhuachuxiankou
地面工程	dimiangongcheng
地面隆起	dimianlongqi
地面升起	dimianshengqi
地面砖	dimianzhuan
地面专用插座	dimianzhuanyongchazuo
低能耗建筑	dinenghaojianzhu
低频变压器	dipinbianyaqi
低频扬声器	dipinyangshengqi
