阿达马变换	adamabianhuan
等值区域法	dengzhiquyufa
等值区域图	dengzhiquyutu
等值线地图	dengzhixianditu
等值线法	dengzhixianfa
堤坝施工测量	dibashigongceliang
底板测点	dibancedian
地表移动观测站	dibiaoyidongguancezhan
地表移动曲线图	dibiaoyidongquxiantu
地产界测量	dichanjieceliang
低潮适淹礁	dichaoshiyanjiao
低潮线	dichaoxian
地磁经纬仪	dicijingweiyi
地磁仪	diciyi
地底点	dididian
底点纬度	didianweidu
第二偏心率	dierpianxinlv
地固坐标系	diguzuobiaoxi
地籍	diji
地籍簿	dijibu
地籍册	dijice
地籍测量	dijiceliang
地籍测量系统	dijiceliangxitong
地籍测量细则	dijiceliangxize
地籍调查	dijidiaocha
地籍更新	dijigengxin
地籍管理	dijiguanli
地籍图	dijitu
地籍图册	dijituce
地基系统	dijixitong
地籍信息系统	dijixinxixitong
地籍修测	dijixiuce
地籍制图	dijizhitu
地极坐标	dijizuobiao
地极坐标系	dijizuobiaoxi
地界测量	dijieceliang
地块测量	dikuaiceliang
地块数据库	dikuaishujuku
地类界图	dileijietu
地理格网	diligewang
地理视距	dilishiju
地理信息传输	dilixinxichuanshu
地理信息系统	dilixinxixitong
地理要素	diliyaosu
地理坐标	dilizuobiao
地理坐标参考系	dilizuobiaocankaoxi
地理坐标网	dilizuobiaowang
地貌图	dimaotu
地貌形态示量图	dimaoxingtaishiliangtu
地面点的天文纬度呈	dimiandiandetianwenweiducheng
地面接收站	dimianjieshouzhan
地面立体测图仪	dimianliticetuyi
地面摄谱仪	dimianshepuyi
地面摄影测量	dimiansheyingceliang
地面摄影机	dimiansheyingji
地面实况	dimianshikuang
地面照度	dimianzhaodu
地名标准化	dimingbiaozhunhua
地名录	diminglu
地名数据库	dimingshujuku
地名索引	dimingsuoyin
地名通名	dimingtongming
地名学	dimingxue
地名正名	dimingzhengming
地名转写	dimingzhuanxie
底片常数法	dipianchangshufa
底片方位元素法	dipianfangweiyuansufa
地平线摄影机	dipingxiansheyingji
地平线像片	dipingxianxiangpian
地壳均衡	diqiaojunheng
