阿达马变换	adamabianhuan
数字经纬仪	shuzijingweiyi
数字纠正	shuzijiuzheng
数字滤波	shuzilvbo
数字摄影测量	shuzisheyingceliang
数字摄影测量工作站	shuzisheyingcelianggongzuozhan
数字图像处理	shuzituxiangchuli
数字图形处理	shuzituxingchuli
数字相关	shuzixiangguan
数字镶嵌	shuzixiangqian
数字影像	shuziyingxiang
数字正射影像	shuzizhengsheyingxiang
数字正射影像图	shuzizhengsheyingxiangtu
数字制图数据标准	shuzizhitushujubiaozhun
双标准纬线投影	shuangbiaozhunweixiantouying
双差相位观测	shuangchaxiangweiguance
双介质摄影测量	shuangjiezhisheyingceliang
双频测深仪	shuangpinceshenyi
双频信标	shuangpinxinbiao
双曲线导航图	shuangquxiandaohangtu
双曲线定位	shuangquxiandingwei
双曲线定位系统	shuangquxiandingweixitong
双曲线格网	shuangquxiangewang
双三次卷积	shuangsancijuanji
双色激光测距仪	shuangsejiguangcejuyi
双线性内插	shuangxianxingneicha
双向航道	shuangxianghangdao
水尺	shuichi
水道测量	shuidaoceliang
水道测量学	shuidaoceliangxue
水库测量	shuikuceliang
水库淹没线测设	shuikuyanmoxianceshe
水雷	shuilei
水利工程测量	shuiligongchengceliang
水面水准	shuimianshuizhun
水难测量	shuinanceliang
水平角	shuipingjiao
水平控制网	shuipingkongzhiwang
水平折光差	shuipingzheguangcha
水汽辐射仪	shuiqifusheyi
水深	shuishen
水深测量	shuishenceliang
水深测量自动化系统	shuishenceliangzidonghuaxitong
水深数字化器	shuishenshuzihuaqi
水深信号杆	shuishenxinhaogan
水声定位	shuishengdingwei
水声定位系统	shuishengdingweixitong
水声全息系统	shuishengquanxixitong
水声应答器	shuishengyingdaqi
水铊	shuita
水听器	shuitingqi
水位	shuiwei
水位分带改正	shuiweifendaigaizheng
水位改正	shuiweigaizheng
水位曲线	shuiweiquxian
水位遥报仪	shuiweiyaobaoyi
水文测验	shuiwenceyan
水文观测	shuiwenguance
水文要素	shuiwenyaosu
水系图	shuixitu
水下摄影测量	shuixiasheyingceliang
水下摄影机	shuixiasheyingji
水准测量	shuizhunceliang
水准尺	shuizhunchi
水准点	shuizhundian
水准路线	shuizhunluxian
水准面	shuizhunmian
水准器	shuizhunqi
水准椭球	shuizhuntuoqiu
水准网	shuizhunwang
水准仪	shuizhunyi
水准原点	shuizhunyuandian
瞬间地图	shunjiandetu
瞬时极	shunshiji
瞬时视场	shunshishichang
顺序量表	shunxuliangbiao
似大地水准面	sidadishuizhunmian
似大地水准面至	sidadishuizhunmianzhi
撕膜片	simopian
四色印刷	siseyinshua
斯托克斯公式	situokesigongshi
斯托克斯理论	situokesililun
丝网印刷	siwangyinshua
搜索区	sousuoqu
碎部测量	suibuceliang
碎部点	suibudian
岁差	suicha
隧道测量	suidaoceliang
穗帽变换	suimaobianhuan
缩放仪	suofangyi
缩微地图	suoweiditu
缩微摄影	suoweisheying
缩小仪	suoxiaoyi
塔尺	tachi
塔尔科特测纬度法	taerketeceweidufa
台卡定位系统	taikadingweixitong
台卡海图	taikahaitu
太空摄影测量	taikongsheyingceliang
台链	tailian
态势地图	taishiditu
太阳辐射波谱	taiyangfushebopu
太阳光压摄动	taiyangguangyashedong
太阳同步卫星	taiyangtongbuweixing
探测者	tancezhe
特殊水深	teshushuishen
特殊凿井法施工测量	teshuzaojingfashigongceliang
特征编码	tezhengbianma
特征码	tezhengma
特征码清单	tezhengmaqingdan
特征提取	tezhengtiqu
特征选择	tezhengxuanze
特种地图	tezhongditu
体素	tisu
梯田坎	titiankan
天波干扰	tianboganrao
天波修正	tianboxiuzheng
填充地图	tianchongditu
天吊	tiandiao
天顶距	tiandingju
天球坐标系	tianqiuzuobiaoxi
天文常数和	tianwenchangshuhe
天文大地垂线偏差	tianwendadichuixianpiancha
天文大地网	tianwendadiwang
天文大地网平差	tianwendadiwangpingcha
天文点	tianwendian
天文定位系统	tianwendingweixitong
天文方位角	tianwenfangweijiao
天文经度	tianwenjingdu
天文经纬仪	tianwenjingweiyi
天文年历	tianwennianli
天文水准	tianwenshuizhun
天文纬度	tianwenweidu
天文重力水准	tianwenzhonglishuizhun
天文坐标	tianwenzuobiao
天文坐标量测仪	tianwenzuobiaoliangceyi
天线方向性	tianxianfangxiangxing
天线高度	tianxiangaodu
田谐系数	tianxiexishu
条带	tiaodai
调绘	tiaohui
条件方程	tiaojianfangcheng
条件平差	tiaojianpingcha
调焦误差	tiaojiaowucha
调制传递函数	tiaozhichuandihanshu
调制频率	tiaozhipinlv
调制器	tiaozhiqi
铁路工程测量	tielugongchengceliang
同步观测	tongbuguance
同步平面	tongbupingmian
同步验潮	tongbuyanchao
通常是图例中的符号	tongchangshitulizhongdefuhao
通过立井导入高程测量	tongguolijingdaorugaochengceliang
统计地图	tongjiditu
同名光线	tongmingguangxian
同名核线	tongminghexian
同名像点	tongmingxiangdian
通用横墨卡托投影	tongyonghengmokatuotouying
通用极球面投影	tongyongjiqiumiantouying
透光率	touguanglv
透明负片	toumingfupian
透明正片	toumingzhengpian
透明注记	toumingzhuji
透视截面法	toushijiemianfa
透视投影	toushitouying
透视旋转定律	toushixuanzhuandinglv
透写图	touxietu
投影变换	touyingbianhuan
投影变形	touyingbianxing
投影差	touyingcha
投影方程	touyingfangcheng
投影器	touyingqi
投影器主距	touyingqizhuju
投影晒印	touyingshaiyin
图斑	tuban
土地档案	tudidangan
土地登记	tudidengji
土地规划测量	tudiguihuaceliang
土地划分	tudihuafen
土地利用	tudiliyong
土地利用现状图	tudiliyongxianzhuangtu
土地评价	tudipingjia
土地统计	tuditongji
土地信息系统	tudixinxixitong
土地证	tudizheng
土地整理	tudizhengli
图幅	tufu
图幅编号	tufubianhao
图幅接边	tufujiebian
图幅接合表	tufujiehebiao
图根点	tugendian
图根控制	tugenkongzhi
图解法	tujiefa
图解纠正	tujiejiuzheng
图解图根点	tujietugendian
图廓	tukuo
图例	tuli
图历簿	tulibu
图面配置	tumianpeizhi
图像变换	tuxiangbianhuan
图像编码	tuxiangbianma
图像处理	tuxiangchuli
图像分割	tuxiangfenge
图像分析	tuxiangfenxi
图像复合	tuxiangfuhe
图像复原	tuxiangfuyuan
图像几何纠正	tuxiangjihejiuzheng
图像几何配准	tuxiangjihepeizhun
图像理解	tuxianglijie
图像描述	tuxiangmiaoshu
图像识别	tuxiangshibie
图像数字化	tuxiangshuzihua
图像镶嵌	tuxiangxiangqian
图像增强	tuxiangzengqiang
图形符号	tuxingfuhao
图形记号	tuxingjihao
图形权倒数	tuxingquandaoshu
图形输出设备	tuxingshuchushebei
图形输入设备	tuxingshurushebei
图形显示	tuxingxianshi
图形元素	tuxingyuansu
推荐航线	tuijianhangxian
拖底扫海	tuodisaohai
陀螺定向测量	tuoluodingxiangceliang
陀螺定向光电测距导线	tuoluodingxiangguangdiancejudaoxian
陀螺定向误差	tuoluodingxiangwucha
陀螺方位角	tuoluofangweijiao
陀螺方位角排	tuoluofangweijiaopai
陀螺经纬仪	tuoluojingweiyi
陀螺水准仪	tuoluoshuizhunyi
陀螺仪定向测量	tuoluoyidingxiangceliang
陀螺仪子午线	tuoluoyiziwuxian
托帕克斯卫星	tuopakesiweixing
拓扑地图	tuopuditu
拓扑关系	tuopuguanxi
拓扑检索	tuopujiansuo
椭球扁率	tuoqiubianlv
椭球长半轴	tuoqiuchangbanzhou
椭球短半轴	tuoqiuduanbanzhou
椭球面大地测量学	tuoqiumiandadiceliangxue
椭球偏心率	tuoqiupianxinlv
外部定向	waibudingxiang
弯管目镜	wanguanmujing
网点	wangdian
网点板法	wangdianbanfa
网点或网穴	wangdianhuowangxue
网格地图	wanggeditu
网格法	wanggefa
网格结构	wanggejiegou
网屏	wangping
网纹片	wangwenpian
网线	wangxian
微波测距仪	weibocejuyi
微波辐射	weibofushe
微波辐射计	weibofusheji
微波图像	weibotuxiang
微波遥感	weiboyaogan
微波遥感器	weiboyaoganqi
伪彩色	weicaise
伪彩色图像	weicaisetuxiang
伪等值线地图	weidengzhixianditu
微分法测图	weifenfacetu
微分纠正	weifenjiuzheng
伪距测量	weijuceliang
维纳频谱	weinapinpu
维宁曼乃兹公式	weiningmannaizigongshi
微三角形法	weisanjiaoxingfa
危险界线	weixianjiexian
卫星测高	weixingcegao
卫星大地测量学	weixingdadiceliangxue
卫星定位	weixingdingwei
卫星多普勒定位	weixingduopuledingwei
卫星高度	weixinggaodu
卫星跟踪卫星技术	weixinggenzongweixingjishu
卫星跟踪站	weixinggenzongzhan
卫星共振分析	weixinggongzhenfenxi
卫星构形	weixinggouxing
卫星惯导组合定位系统	weixingguandaozuhedingweixitong
卫星光行差	weixingguangxingcha
卫星轨道改进	weixingguidaogaijin
卫星轨道近地点幅角	weixingguidaojindidianfujiao
卫星过近地点时刻	weixingguojindidianshike
卫星激光测距	weixingjiguangceju
卫星激光测距仪	weixingjiguangcejuyi
卫星三角测量	weixingsanjiaoceliang
卫星升交点赤经	weixingshengjiaodianchijing
卫星声学组合定位系统	weixingshengxuezuhedingweixitong
卫星受摄运动	weixingshousheyundong
卫星像片图	weixingxiangpiantu
卫星相位差	weixingxiangweicha
卫星星下点	weixingxingxiadian
卫星运动方程	weixingyundongfangcheng
卫星重力梯度测量	weixingzhonglitiduceliang
卫星姿态	weixingzitai
位移观测	weiyiguance
位置函数	weizhihanshu
位置精度	weizhijingdu
位置线	weizhixian
位置线方程	weizhixianfangcheng
微重力测量	weizhongliceliang
稳定锤投影	wendingchuitouying
文化地图	wenhuaditu
稳健估计	wenjianguji
纹理分析	wenlifenxi
纹理增强	wenlizengqiang
沃尔什变换	woershibianhuan
我国于	woguoyu
误差放大因子	wuchafangdayinzi
误差检验	wuchajianyan
误差理论	wuchalilun
误差椭圆	wuchatuoyuan
五角棱镜	wujiaolengjing
物镜分辨力	wujingfenbianli
物空间坐标系	wukongjianzuobiaoxi
物理大地测量学	wulidadiceliangxue
物理定向	wulidingxiang
无线电定位	wuxiandiandingwei
无线电航行警告	wuxiandianhangxingjinggao
无线电指向标	wuxiandianzhixiangbiao
无线电指向标表	wuxiandianzhixiangbiaobiao
西安坐标系	xianzuobiaoxi
系列地图	xilieditu
系统集成	xitongjicheng
系统误差	xitongwucha
限差	xiancha
线改正	xiangaizheng
限航区	xianhangqu
线路平面图	xianlupingmiantu
显露色光三原色	xianluseguangsanyuanse
线路水准测量	xianlushuizhunceliang
线路中线测量	xianluzhongxianceliang
现势地图	xianshiditu
显微摄影	xianweisheying
线纹米尺	xianwenmichi
弦线偏距法	xianxianpianjufa
弦线支距法	xianxianzhijufa
线形锁	xianxingsuo
线性调频脉冲	xianxingtiaopinmaichong
线形网	xianxingwang
显影	xianying
线阵遥感器	xianzhenyaoganqi
线状符号	xianzhuangfuhao
像场角	xiangchangjiao
乡村规划测量	xiangcunguihuaceliang
像等角点	xiangdengjiaodian
像底点	xiangdidian
像点位移	xiangdianweiyi
相对定位	xiangduidingwei
相对定向	xiangduidingxiang
相对定向元素	xiangduidingxiangyuansu
相对航高	xiangduihanggao
相对论改正	xiangduilungaizheng
相对误差	xiangduiwucha
相对重力测量	xiangduizhongliceliang
像幅	xiangfu
向甫鲁条件	xiangfulutiaojian
相干声呐测深系统	xiangganshengnaceshenxitong
相关平差	xiangguanpingcha
相关器	xiangguanqi
像空间坐标系	xiangkongjianzuobiaoxi
巷宽	xiangkuan
橡皮布滚筒	xiangpibuguntong
像片比例尺	xiangpianbilichi
像片地质解译	xiangpiandizhijieyi
像片地质判读	xiangpiandizhipandu
像片方位角	xiangpianfangweijiao
像片方位元素	xiangpianfangweiyuansu
像片基线	xiangpianjixian
像片纠正	xiangpianjiuzheng
像片内方位元素	xiangpianneifangweiyuansu
像片判读	xiangpianpandu
像片平面图	xiangpianpingmiantu
像片倾角	xiangpianqingjiao
像片外方位元素	xiangpianwaifangweiyuansu
像片镶嵌	xiangpianxiangqian
像片旋角	xiangpianxuanjiao
像片主距	xiangpianzhuju
像平面坐标系	xiangpingmianzuobiaoxi
镶嵌索引图	xiangqiansuoyintu
相位传递函数	xiangweichuandihanshu
相位多值性	xiangweiduozhixing
相位模糊度解算	xiangweimohudujiesuan
相位漂移	xiangweipiaoyi
相位稳定性	xiangweiwendingxing
相位滞后	xiangweizhihou
相位周	xiangweizhou
相位周值	xiangweizhouzhi
象限仪	xiangxianyi
象形符号	xiangxingfuhao
像移补偿	xiangyibuchang
像元	xiangyuan
像主点	xiangzhudian
小比例尺地形图	xiaobilichidixingtu
小潮升	xiaochaosheng
销钉定位法	xiaodingdingweifa
小角度法	xiaojiaodufa
小三角测量	xiaosanjiaoceliang
小像幅航空摄影	xiaoxiangfuhangkongsheying
协方差传播律	xiefangchachuanbolv
协方差函数	xiefangchahanshu
协方差矩阵	xiefangchajuzhen
斜截面法	xiejiemianfa
斜距	xieju
协调世界时	xietiaoshijieshi
协调世界时时号	xietiaoshijieshishihao
斜轴投影	xiezhoutouying
新版海图	xinbanhaitu
信号杆	xinhaogan
信息量	xinxiliang
信息属性	xinxishuxing
信息提取	xinxitiqu
心象地图	xinxiangditu
星表	xingbiao
行差	xingcha
星径曲率改正	xingjingqulvgaizheng
行星大地测量学	xingxingdadiceliangxue
星载传感器	xingzaichuanganqi
星载遥感器	xingzaiyaoganqi
行政区划图	xingzhengquhuatu
修版	xiuban
虚地图	xuditu
序贯平差	xuguanpingcha
虚拟地景	xunidijing
选厂测量	xuanchangceliang
悬挂带零位观测	xuanguadailingweiguance
选取限额	xuanquxiane
选取指标	xuanquzhibiao
选权迭代法	xuanquandiedaifa
悬式经纬仪	xuanshijingweiyi
旋转参数	xuanzhuancanshu
寻北器	xunbeiqi
压力验潮仪	yaliyanchaoyi
沿岸测量	yananceliang
验潮	yanchao
验潮仪	yanchaoyi
验潮站	yanchaozhan
验潮站零点	yanchaozhanlingdian
研究利用几何观测量	yanjiuliyongjiheguanceliang
严密平差	yanmipingcha
砚牌	yanpai
颜色空间	yansekongjian|yanshaikongjian
延伸三角形	yanshensanjiaoxing
阳像	yangxiang
遥感	yaogan
遥感测深	yaoganceshen
遥感模式识别	yaoganmoshishibie
遥感平台	yaoganpingtai
遥感数据获取	yaoganshujuhuoqu
遥感图象处理	yaogantuxiangchuli
遥感制图	yaoganzhitu
野外地质图	yewaidizhitu
野外填图	yewaitiantu
一般由直径	yibanyouzhijing
一般指距岸	yibanzhijuan
一般指距岸约	yibanzhijuanyue
移动角	yidongjiao
移动台	yidongtai
以国际制秒	yiguojizhimiao
仪器	yiqi
一种等角横割椭圆柱	yizhongdengjiaohenggetuoyuanzhu
引潮力	yinchaoli
引潮位	yinchaowei
印度大潮低潮面	yindudachaodichaomian
引航图集	yinhangtuji
引力位	yinliwei
印刷版	yinshuaban
引水锚地	yinshuimaodi
因瓦基线尺	yinwajixianchi
阴像	yinxiang
引张线法	yinzhangxianfa
应变仪	yingbianyi
营房建筑测量	yingfangjianzhuceliang
荧光地图	yingguangditu
影象地质图	yingxiangdizhitu
影像地质图	yingxiangdizhitu
影像分辨力	yingxiangfenbianli
影像金字塔	yingxiangjinzita
影像匹配	yingxiangpipei
影像融合	yingxiangronghe
影像数据库	yingxiangshujuku
影像相关	yingxiangxiangguan
影像质量	yingxiangzhiliang
永久界柱	yongjiujiezhu
涌浪滤波器	yonglanglvboqi
用数码	yongshuma
用下式表示的常数	yongxiashibiaoshidechangshu
由德国数学家兰勃特	youdeguoshuxuejialanbote
由观测值的方差	youguancezhidefangcha
游艇用图	youtingyongtu
由下式定义的纬度	youxiashidingyideweidu
有限元法	youxianyuanfa
有效孔径	youxiaokongjing
预报地图	yubaoditu
与大地水准面高	yudadishuizhunmiangao
预打样图	yudayangtu
鱼礁	yujiao
渔堰	yuyan
渔业用图	yuyeyongtu
渔栅	yuzha
预制符号	yuzhifuhao
预制感光版	yuzhiganguangban
宇宙制图	yuzhouzhitu
与左片上	yuzuopianshang
远程定位系统	yuanchengdingweixitong
圆定位	yuandingwei
远海测量	yuanhaiceliang
圆曲线测设	yuanquxianceshe
圆一圆定位系统	yuanyiyuandingweixitong
圆柱投影	yuanzhutouying
圆锥投影	yuanzhuitouying
原子钟	yuanzizhong
约定从公元前	yuedingconggongyuanqian
月平均海面	yuepingjunhaimian
月球轨道飞行器	yueqiuguidaofeixingqi
运动方程分析解	yundongfangchengfenxijie
运动方程数值解	yundongfangchengshuzhijie
运动线法	yundongxianfa
晕翁法	yunwengfa
晕渲法	yunxuanfa
载波相位测量	zaiboxiangweiceliang
在残差满足	zaicanchamanzu
再分结构	zaifenjiegou
载荷潮	zaihechao
凿井施工测量	zaojingshigongceliang
展点	zhandian
站心坐标系	zhanxinzuobiaoxi
照难点归心	zhaonandianguixin
照相排字机	zhaoxiangpaiziji
照相制板镜头	zhaoxiangzhibanjingtou
照相制版镜头	zhaoxiangzhibanjingtou
照准点	zhaozhundian
照准点归心	zhaozhundianguixin
真地平线	zhendepingxian|zhendipingxian
真近点角	zhenjindianjiao
阵列摄影机	zhenliesheyingji
真实孔径雷达	zhenshikongjingleida
真水平线	zhenshuipingxian
真误差	zhenwucha
真子午线	zhenziwuxian
正常高	zhengchanggao
正常水准椭球	zhengchangshuizhuntuoqiu
正常引力位	zhengchangyinliwei
正常重力	zhengchangzhongli
正常重力场	zhengchangzhonglichang
正常重力公式	zhengchangzhongligongshi
正常重力位	zhengchangzhongliwei
正常重力线	zhengchangzhonglixian
正锤法	zhengchuifa
正锤线观测	zhengchuixianguance
正方形分幅	zhengfangxingfenfu
正高	zhenggao
郑和航海图	zhenghehanghaitu
正立体	zhengliti
正立体效应	zhenglitixiaoying
正片	zhengpian
正色片	zhengsepian
正射投影	zhengshetouying
正射投影仪	zhengshetouyingyi
正射像片	zhengshexiangpian
正射影像地图	zhengsheyingxiangditu
正射影像技术	zhengsheyingxiangjishu
正射影像立体配对片	zhengsheyingxianglitipeiduipian
整饰	zhengshi
征税地籍	zhengshuidiji
整体大地测量	zhengtidadiceliang
整体感	zhengtigan
整体结构	zhengtijiegou
正像	zhengxiang
正形投影	zhengxingtouying
政治地图	zhengzhidetu
正直摄影	zhengzhisheying
正轴投影	zhengzhoutouying
支导线	zhidaoxian
质底法	zhidifa
制点仪	zhidianyi
直方图规格化	zhifangtuguigehua
直方图均衡	zhifangtujunheng
直角坐标网	zhijiaozuobiaowang
直角坐标系	zhijiaozuobiaoxi
直接法纠正	zhijiefajiuzheng
直接线性变换	zhijiexianxingbianhuan
秩亏平差	zhikuipingcha
秩亏网平差	zhikuiwangpingcha
质量感	zhilianggan
止抛	zhipao
直伸三角形	zhishensanjiaoxing
支水准路线	zhishuizhunluxian
志田数	zhitianshu
制图分级	zhitufenji
制图简化	zhitujianhua
制图精度	zhitujingdu
制图夸大	zhitukuada
制图模型	zhitumoxing
制图选取	zhituxuanqu
制图专家系统	zhituzhuanjiaxitong
制图资料	zhituziliao
制图综合	zhituzonghe
置信度	zhixindu
重采样	zhongcaiyang
钟差	zhongcha
中程定位系统	zhongchengdingweixitong
重锤投点	zhongchuitoudian
重氮复印	zhongdanfuyin
中国测绘学会	zhongguocehuixuehui
中国大地测量星表	zhongguodadiceliangxingbiao
中华人民共和国测绘法	zhonghuarenmingongheguocehuifa
重力	zhongli
重力测量	zhongliceliang
重力场	zhonglichang
重力潮汐改正	zhonglichaoxigaizheng
重力垂线偏差	zhonglichuixianpiancha
重力垂直梯度	zhonglichuizhitidu
重力点	zhonglidian
重力固体潮观测	zhongligutichaoguance
重力归算	zhongliguisuan
重力基线	zhonglijixian
重力基准	zhonglijizhun
重力基准网	zhonglijizhunwang
重力数据库	zhonglishujuku
重力水平梯度	zhonglishuipingtidu
重力梯度测量	zhonglitiduceliang
重力梯度仪	zhonglitiduyi
重力位	zhongliwei
重力仪	zhongliyi
重力异常	zhongliyichang
重力异常阶方差	zhongliyichangjiefangcha
钟偏	zhongpian
钟速	zhongsu
中天法	zhongtianfa
中误差	zhongwucha
中心式快门	zhongxinshikuaimen
中性色调	zhongxingsediao
中星仪	zhongxingyi
中央子午线	zhongyangziwuxian
中轴线	zhongzhouxian
中桩水准测量	zhongzhuangshuizhunceliang
轴颈误差	zhoujingwucha
周期误差	zhouqiwucha
轴顺时针旋转	zhoushunshizhenxuanzhuan
周跳	zhoutiao
轴指向从	zhouzhixiangcong
主垂面	zhuchuimian
主动式遥感	zhudongshiyaogan
主分量变换	zhufenliangbianhuan
主合点	zhuhedian
主核面	zhuhemian
主核线	zhuhexian
主检比对	zhujianbidui
主距	zhuju
助曲线	zhuquxian
主台	zhutai
主要巷道平面图	zhuyaohangdaopingmiantu
主轴线测设	zhuzhouxianceshe
转点仪	zhuandianyi
转绘仪	zhuanhuiyi
专题测图传感器	zhuanticetuchuanganqi
专题测图仪	zhuanticetuyi
专题层	zhuanticeng
专题地图	zhuantiditu
专题地图集	zhuantidituji
专题地图学	zhuantidituxue
专题海图	zhuantihaitu
专用地图	zhuanyongditu
状态向量	zhuangtaixiangliang
准确度	zhunquedu
自动安平	zidonganping
自动安平水准仪	zidonganpingshuizhunyi
自动归算照准仪	zidongguisuanzhaozhunyi
自动化地图制图	zidonghuadituzhitu
自动化制图	zidonghuazhitu
自动绘图	zidonghuitu
自动绘图机	zidonghuituji
自动空中三角测量	zidongkongzhongsanjiaoceliang
自动坐标展点仪	zidongzuobiaozhandianyi
自检校	zijianxiao
自然边界测量	ziranbianjieceliang
自然地图	zirandetu
姿态参数	zitaicanshu
姿态测量遥感器	zitaiceliangyaoganqi
子午面	ziwumian
子午圈	ziwuquan
子午圈曲率半径	ziwuquanqulvbanjing
资源与环境遥感	ziyuanyuhuanjingyaogan
自准直目镜	zizhunzhimujing
纵断	zongduan
纵断面测量	zongduanmianceliang
纵断面水准测量	zongduanmianshuizhunceliang
纵断面图	zongduanmiantu
综合测绘系统	zonghecehuixitong
综合地图集	zonghedituji
综合地图	zonghedetu
综合法测图	zonghefacetu
组合地图	zuheditu
组合定位	zuhedingwei
钻井法	zuanjingfa
钻井法施工测量	zuanjingfashigongceliang
钻孔位置测量	zuankongweizhiceliang
最大似然分类	zuidasiranfenlei
最小二乘法	zuixiaoerchengfa
最小二乘拟合推估法	zuixiaoerchengnihetuigufa
最小二乘配置法	zuixiaoerchengpeizhifa
最小二乘相关	zuixiaoerchengxiangguan
最小距离分类	zuixiaojulifenlei
坐标地籍	zuobiaodiji
坐标方位角	zuobiaofangweijiao
坐标格网	zuobiaogewang
坐标函数	zuobiaohanshu
坐标量测仪	zuobiaoliangceyi
坐标增量	zuobiaozengliang
坐标增量闭合差	zuobiaozengliangbihecha
坐标中误差	zuobiaozhongwucha
作用距离约为	zuoyongjuliyuewei
作用距离约在	zuoyongjuliyuezai
左右视差	zuoyoushicha
