阿尔都塞	aerdusai
天属	tianshu
天体非气	tiantifeiqi
天网	tianwang
天文	tianwen
天下为公	tianxiaweigong
天下惟器	tianxiaweiqi
田襄子	tianxiangzi
天行	tianxing
天刑	tianxing
天行有常	tianxingyouchang
天性之知	tianxingzhizhi
天演	tianyan
天养	tianyang
天意	tianyi
天有常道	tianyouchangdao
天与地卑	tianyudibei
天与人交相胜还相用	tianyurenjiaoxiangshenghaixiangyong
天元	tianyuan
天政	tianzheng
天职	tianzhi
天志	tianzhi
天智	tianzhi
田仲	tianzhong
条理	tiaoli
听其言而观其行	tingqiyanerguanqixing
通达	tongda
统待	tongdai
同而不和	tongerbuhe
同归殊途	tongguishutu
通过直觉	tongguozhijue
通几	tongji
通经致用	tongjingzhiyong
同类相动	tongleixiangdong
同气相应	tongqixiangying
通天教主	tongtianjiaozhu
同天人	tongtianren
童心说	tongxinshuo
痛痒之知	tongyangzhizhi
同异	tongyi
同异交得	tongyijiaode
同一性	tongyixing
同则不继	tongzebuji
同则同之	tongzetongzhi
突驾	tujia
吐纳	tuna
图难于易	tunanyuyi
涂之人可以为禹	tuzhirenkeyiweiyu
推故致新	tuiguzhixin
推论	tuilun
推知	tuizhi
托古改制	tuogugaizhi
瓦斯一大块	wasiyidakuai
外部环境	waibuhuanjing
外丹	waidan
外化而内不化	waihuaerneibuhua
外界事物	waijieshiwu
外界条理	waijietiaoli
外来词	wailaici
外生	waisheng
外籀	waizhou
万法唯识	wanfaweishi
万化皆渐而无顿	wanhuajiejianerwudun
万化我出	wanhuawochu
玩世不恭	wanshibugong
万物皆备于我	wanwujiebeiyuwo
万物一马	wanwuyima
万物一齐	wanwuyiqi
万物与我为一	wanwuyuwoweiyi
万物之数括于三	wanwuzhishukuoyusan
万章	wanzhang
王安石	wanganshi
王霸并用	wangbabingyong
王柏	wangbai
王弼	wangbi
王充	wangchong
王重阳	wangchongyang
王处一	wangchuyi
王船山	wangchuanshan
王道	wangdao
王导	wangdao
汪奠基	wangdianji
王栋	wangdong
王浮	wangfu
王符	wangfu
王辅嗣	wangfusi
王夫之	wangfuzhi
王艮	wanggen
王国维	wangguowei
王畿	wangji
王荆公	wangjinggong
王临川	wanglinchuan
王门四句教	wangmensijujiao
王门四句诀	wangmensijujue
王明	wangming
王雱	wangpang
王清任	wangqingren
王戎	wangrong
汪容甫	wangrongfu
王若水	wangruoshui
王士元	wangshiyuan
王守仁	wangshouren
王肃	wangsu
王韬	wangtao
王廷相	wangtingxiang
王通	wangtong
王文公	wangwengong
王宪钧	wangxianjun
王先谦	wangxianqian
王心斋	wangxinzhai
王星拱	wangxinggong
王玄览	wangxuanlan
王衍	wangyan
王阳明	wangyangming
汪应辰	wangyingchen
王应麟	wangyinglin
王源	wangyuan
罔直蒙酋冥	wangzhimengqiuming
汪中	wangzhong
汪子嵩	wangzisong
魏伯阳	weiboyang
为大于细	weidayuxi
为道日损	weidaorisun
未发	weifa
卫国者	weiguozhe
魏华存	weihuacun
未济	weiji
卫玠	weijie
魏了翁	weileweng
唯理论	weililun
惟理为实	weiliweishi
魏良弼	weiliangbi
尉缭子	weiliaozi
微明	weiming
唯名论	weiminglun
魏默深	weimoshen
魏牟	weimou
为仁由己	weirenyouji
为人者天	weirenzhetian
唯上智与下愚不移	weishangzhiyuxiayubuyi
微生灭	weishengmie
唯实论	weishilun
唯识无境	weishiwujing
唯识五位	weishiwuwei
纬书	weishu
魏特林	weitelin
危微精一	weiweijingyi
为我	weiwo
唯我独尊	weiwoduzun
唯物辩证法	weiwubianzhengfa
唯物辩证法论战	weiwubianzhengfalunzhan
唯物史观	weiwushiguan
唯物主义	weiwuzhuyi
唯物主义世界观	weiwuzhuyishijieguan
唯物主义哲学家	weiwuzhuyizhexuejia
微显阐幽	weixianchanyou
韦弦之喻	weixianzhiyu
维新	weixin
唯心辩证法	weixinbianzhengfa
唯心史观	weixinshiguan
唯心主义	weixinzhuyi
唯心主义倾向	weixinzhuyiqingxiang
唯心主义者	weixinzhuyizhe
唯心主义哲学	weixinzhuyizhexue
为学日益	weixueriyi
微言大义	weiyandayi
卫鞅	weiyang
惟以五路知	weiyiwuluzhi
唯一心是实	weiyixinshishi
唯一者	weiyizhe
魏源	weiyuan
文便是道	wenbianshidao
问答方法	wendafangfa
温公颐	wengongyi
温故知新	wenguzhixin
文化生活	wenhuashenghuo
文化政治学	wenhuazhengzhixue
闻见之知	wenjianzhizhi
温良恭俭让	wenlianggongjianrang
文乱法	wenluanfa
文明	wenming
文气说	wenqishuo
温柔敦厚	wenroudunhou
问题与主义论战	wentiyuzhuyilunzhan
文天祥	wentianxiang
文武并行	wenwubingxing
文武之道一也	wenwuzhidaoyiye
文偃	wenyan
文益	wenyi
文艺复兴	wenyifuxing
闻知	wenzhi
文质	wenzhi
文质彬彬	wenzhibinbin
文质交替	wenzhijiaoti
握固	wogu
我慢心	womanxin
握一知多	woyizhiduo
我执	wozhi
我知天下之中央	wozhitianxiazhizhongyang
无跋尚	wubashang
五百年必有王者兴	wubainianbiyouwangzhexing
物必有合	wubiyouhe
物不迁	wubuqian
五材	wucai
无产阶级专政	wuchanjiejizhuanzheng
五常	wuchang
无常	wuchang
吴澄	wucheng
无待	wudai
五德	wude
五德终始	wudezhongshi
五德转移	wudezhuanyi
无独必有对	wudubiyoudui
无对	wudui
无对待在对待中	wuduidaizaiduidaizhong
物各自生	wugezisheng
无故从有故	wugucongyougu
五鬼闹中华	wuguinaozhonghua
无何有之乡	wuheyouzhixiang
无厚不可积也	wuhoubukejiye
物化	wuhua
无会运世	wuhuiyunshi
无迹	wuji
无己	wuji
无极	wuji
物极必反	wujibifan
无极而太极	wujiertaiji
五戒	wujie
无尽缘起	wujinyuanqi
物竞天择	wujingtianze
伍举论美	wujulunmei
吴筠	wujun
物理可知	wulikezhi
吴亮平	wuliangping
无量世	wuliangshi
无漏	wulou
五路	wulu
五伦	wulun
无名	wuming
无明	wuming
物莫非指	wumofeizhi
五逆	wuni
无念	wunian
无念为宗	wunianweizong
无平不陂	wupingbubei
吴起	wuqi
五其比	wuqibi
无其器则无其道	wuqiqizewuqidao
物气之理	wuqizhili
无情	wuqing
无情有性	wuqingyouxing
无穷	wuqiong
无染	wuran
吾日三省吾身	wurisanxingwushen
无神教	wushenjiao
无生	wusheng
物生有两	wushengyouliang
五事	wushi
五时七候	wushiqihou
勿施于人	wushiyuren
五殊二实	wushuershi
五四新文化运动	wusixinwenhuayundong
无私则无心	wusizewuxin
吴廷翰	wutinghan
乌托邦	wutuobang
无往不复	wuwangbufu
无为	wuwei
五位百法	wuweibaifa
无为而无不为	wuweierwubuwei
无为而治	wuweierzhi
无为法	wuweifa
五位君臣	wuweijunchen
无我	wuwo
无我之境	wuwozhijing
五无	wuwu
无无	wuwu
物无孤立之理	wuwugulizhili
物物者非物	wuwuzhefeiwu
无限性	wuxianxing
无心	wuxin
吾心即是宇宙	wuxinjishiyuzhou
无心与顺有	wuxinyushunyou
五行	wuxing
五性	wuxing
五行无常胜	wuxingwuchangsheng
五行毋常胜	wuxingwuchangsheng
五行相胜	wuxingxiangsheng
五行相生	wuxingxiangsheng
毋须担心	wuxudanxin
无言无意之域	wuyanwuyizhiyu
务义	wuyi
毋意	wuyi
无以人灭天	wuyirenmietian
无以小害大	wuyixiaohaida
无因论	wuyinlun
物因意果	wuyinyiguo
无用之用	wuyongzhiyong
无有	wuyou
吴虞	wuyu
无欲	wuyu
吴与弼	wuyubi
吴樾	wuyue
五蕴	wuyun
物则不通	wuzebutong
五贼	wuzei
无政府主义论战	wuzhengfuzhuyilunzhan
物质	wuzhi
物指	wuzhi
无质独影	wuzhiduying
吴稚晖	wuzhihui
物质进化时期	wuzhijinhuashiqi
物质论	wuzhilun
物质性	wuzhixing
物至则应	wuzhizeying
五支作法	wuzhizuofa
物种进化之时期	wuzhongjinhuazhishiqi
物种竞争原则	wuzhongjingzhengyuanze
五重唯识观	wuzhongweishiguan
无住	wuzhu
无足轻重	wuzuqingzhong|wuzuqingchong
袭常	xichang
习常	xichang
郗超	xichao
系辞尽言	xicijinyan
习动	xidong
西方人	xifangren
西方文化	xifangwenhua
西方哲学	xifangzhexue
西方政治思想	xifangzhengzhisixiang
西方政治学	xifangzhengzhixue
西方中世纪	xifangzhongshiji
羲和	xihe
希腊本土	xilabentu
希腊城邦时代	xilachengbangshidai
希腊城邦制度	xilachengbangzhidu
希腊化时代	xilahuashidai
希腊文	xilawen
希腊语	xilayu
希腊哲学	xilazhexue
希腊哲学家	xilazhexuejia
昔兰尼学派	xilannixuepai
西门豹	ximenbao
袭明	ximing
锡诺普	xinuopu
翕辟	xipi
翕辟成变	xipichengbian
希迁	xiqian
西塞罗	xisailuo
吸摄力	xisheli
西天	xitian
习相远	xixiangyuan
习心	xixin
洗心	xixin
习行	xixing
西学其末	xixueqimo
希运	xiyun
下德	xiade
夏侯建	xiahoujian
夏侯胜	xiahousheng
夏侯玄	xiahouxuan
下学上达	xiaxueshangda
现代科学	xiandaikexue
现代哲学	xiandaizhexue
宪法国家	xianfaguojia
现量	xianliang
纤秾	xiannong
现实性	xianshixing
见素抱朴	xiansubaopu|jiansubaopu
先天学	xiantianxue
先王之道	xianwangzhidao
显微阐幽	xianweichanyou
现象世界	xianxiangshijie
现行	xianxing
先验论	xianyanlun
宪章文武	xianzhangwenwu
先质后文	xianzhihouwen
先知先觉	xianzhixianjue
相待	xiangdai
相对	xiangdui
相对民主	xiangduiminzhu
相对真理	xiangduizhenli
相对主义	xiangduizhuyi
相反而不可以相无	xiangfanerbukeyixiangwu
相反相成	xiangfanxiangcheng
相反相济	xiangfanxiangji
相反相因	xiangfanxiangyin
相非	xiangfei
相分	xiangfen
相夫氏	xiangfushi
向郭逍遥义	xiangguoxiaoyaoyi
相火	xianghuo
相即	xiangji
相济	xiangji
相捄相胜而相成	xiangjiuxiangshengerxiangcheng
相里勤	xiangliqin
相里氏	xianglishi
乡陵氏	xianglingshi
相入	xiangru
相生养之道	xiangshengyangzhidao
象数	xiangshu
相天	xiangtian
象外	xiangwai
象外无道	xiangwaiwudao
象外之象	xiangwaizhixiang
相为	xiangwei
向秀	xiangxiu
相续	xiangxu
飨宴篇	xiangyanpian
相因	xiangyin
相因之功	xiangyinzhigong
相与	xiangyu
乡愿	xiangyuan
向子期	xiangziqi
萧抱珍	xiaobaozhen
小辩	xiaobian
小变而不失大常	xiaobianerbushidachang
萧琛	xiaochen
萧楚女	xiaochunv
孝慈则忠	xiaocizezhong
孝弟	xiaodi
小故	xiaogu
小国寡民	xiaoguoguamin
小康	xiaokang
肖前	xiaoqian
小人喻于利	xiaorenyuyuli
小人之辩	xiaorenzhibian
小三世	xiaosanshi
萧萐父	xiaoshafu
小苏格拉底学派	xiaosugeladixuepai
孝悌	xiaoti
小体	xiaoti
孝悌忠信	xiaotizhongxin
肖统	xiaotong
小同异	xiaotongyi
消息	xiaoxi
小亚细亚	xiaoyaxiya
萧衍	xiaoyan
效验	xiaoyan
逍遥	xiaoyao
逍遥学派	xiaoyaoxuepai
小一	xiaoyi
萧子良	xiaoziliang
谢赫	xiehe
絜矩之道	xiejuzhidao
谢鲲	xiekun
谢良佐	xieliangzuo
谢林	xielin
邪魔外道	xiemowaidao
谢上蔡	xieshangcai
谢玄	xiexuan
谢应芳	xieyingfang
心辩	xinbian
新柏拉图学派	xinbolatuxuepai
新柏拉图主义	xinbolatuzhuyi
心成之说	xinchengzhishuo
新村主义运动	xincunzhuyiyundong
心法	xinfa
新故相除	xinguxiangchu
薪火之喻	xinhuozhiyu
心迹	xinji
心即理	xinjili
心即气	xinjiqi
心即生命力	xinjishengmingli
心境更互缘生	xinjinggenghuyuansheng
心具众理	xinjuzhongli
心力	xinli
心灵智慧	xinlingzhihui
心声二物	xinshengerwu
心声心画	xinshengxinhua
心术	xinshu
心所	xinsuo
心统性情	xintongxingqing
心外无理	xinwaiwuli
心外无物	xinwaiwuwu
心外无学	xinwaiwuxue
心王	xinwang
新王必改制	xinwangbigaizhi
心为虑本	xinweilvben
心物	xinwu
心无本体	xinwubenti
心物合一	xinwuheyi
心无自体	xinwuziti
信行	xinxing
心性	xinxing
心意识	xinyishi
心斋	xinzhai
新政治学	xinzhengzhixue
心之官则思	xinzhiguanzesi
兴必有废	xingbiyoufei
邢昺	xingbing
省察克治	xingchakezhi
性成命定	xingchengmingding
性成于习	xingchengyuxi
形存则神存	xingcunzeshencun
刑德	xingde
刑德相养	xingdexiangyang
性恶	xinge
形而上	xingershang
形而上学	xingershangxue
形而上学唯物主义	xingershangxueweiwuzhuyi
形而下	xingerxia
性分	xingfen
性分之知	xingfenzhizhi
性各自足	xinggezizu
兴观群怨	xingguanqunyuan
性禾善米	xingheshanmi
形化	xinghua
形魂	xinghun
形迹	xingji
性即理	xingjili
形静神驰	xingjingshenchi
性具	xingju
形具而神生	xingjuershensheng
性觉	xingjue
行可兼知	xingkejianzhi
性空	xingkong
形溃反原	xingkuifanyuan
性理	xingli
性灵说	xinglingshuo
兴灭继绝	xingmiejijue
刑名	xingming
形名	xingming
性命	xingming
幸偶遭遇	xingouzaoyu
行气	xingqi
性起	xingqi
性其情	xingqiqing
行其所不知以致其知	xingqisuobuzhiyizhiqizhi
性情	xingqing
性情三品	xingqingsanpin
兴趣	xingqu
性日生日成	xingrishengricheng
性三品	xingsanpin
性善	xingshan
性善恶混	xingshanehun
性善情恶	xingshanqinge
邢邵	xingshao
形神	xingshen
形神不二	xingshenbuer
形神非一	xingshenfeiyi
形神相合	xingshenxianghe
形神相即	xingshenxiangji
形神相异	xingshenxiangyi
形恃神以立	xingshishenyili
形式质料说	xingshizhiliaoshuo
行是知之成	xingshizhizhicheng
形似	xingsi
行为方式	xingweifangshi
性伪之分	xingweizhifen
性无善恶论	xingwushanelun
性习	xingxi
行先知后	xingxianzhihou
兴象	xingxiang
性相	xingxiang
性相近	xingxiangjin
形谢则神灭	xingxiezeshenmie
形性不二	xingxingbuer
行秀	xingxiu
性修不二	xingxiubuer
形须气而成	xingxuqiercheng
形须神而立焉	xingxushenerliyan
行易知难	xingyizhinan
性有善有恶	xingyoushanyoue
行远必自迩	xingyuanbizier
星云	xingyun
形者生之具	xingzheshengzhiju
性智	xingzhi
性知	xingzhi
形质神用	xingzhishenyong
行重知轻	xingzhongzhiqing
熊伯龙	xiongbolong
熊赐履	xiongcilv
雄浑	xionghun
雄节	xiongjie
熊十力	xiongshili
熊钟陵	xiongzhongling
修齐治平	xiuqizhiping
修饰学	xiushixue
羞恶之心	xiuwuzhixin
修正的民主政治	xiuzhengdeminzhuzhengzhi
徐爱	xuai
徐复观	xufuguan
徐干	xugan
徐光启	xuguangqi
许衡	xuheng
虚极	xuji
虚霩	xukuo
许谦	xuqian
许慎	xushen
虚实	xushi
虚室生白	xushishengbai
徐寿	xushou
虚位	xuwei
徐谓	xuwei
虚无形	xuwuxing
虚无有	xuwuyou
虚象	xuxiang
许行	xuxing
虚一而静	xuyierjing
玄德	xuande
悬解	xuanjie
玄览	xuanlan
玄妙	xuanmiao
玄冥	xuanming
玄牝	xuanpin
玄谈	xuantan
玄通	xuantong
玄同	xuantong
玄学鬼	xuanxuegui
宣夜说	xuanyeshuo
玄一	xuanyi
玄一之道	xuanyizhidao
玄远	xuanyuan
玄奘	xuanzang
学而不思则罔	xueerbusizewang
学而不厌	xueerbuyan
学而时习之	xueershixizhi
学而优则仕	xueeryouzeshi
学而知之	xueerzhizhi
薛福成	xuefucheng
薛季宣	xuejixuan
血气心知	xueqixinzhi
学说库	xueshuoku
学思	xuesi
学问思辨	xuewensibian
学习	xuexi
薛瑄	xuexuan
学园派	xueyuanpai
学知	xuezhi
荀粲	xuncan
循道而不贰	xundaoerbuer
荀况	xunkuang
循理	xunli
循名究理	xunmingjiuli
循名责实	xunmingzeshi
荀卿	xunqing
寻求超越	xunqiuchaoyue
荀融	xunrong
荀爽	xunshuang
熏习	xunxi
荀彧	xunyu
荀悦	xunyue
荀子	xunzi
雅典法庭	yadianfating
牙含章	yahanzhang
亚里士多德	yalishiduode
亚里斯提布	yalisitibu
亚里土多德学说	yalituduodexueshuo
揠苗助长	yamiaozhuzhang|yamiaozhuchang
雅远	yayuan
严北溟	yanbeiming
言不尽意	yanbujinyi
彦琮	yancong
言多方	yanduofang
严复	yanfu
颜回	yanhui
严几道	yanjidao
言尽意	yanjinyi
研究对象	yanjiuduixiang
研究自然	yanjiuziran
颜钧	yanjun
严君平	yanjunping
严灵峰	yanlingfeng
阎罗妖	yanluoyao
晏平仲	yanpingzhong
阎若璩	yanruoqu
颜师古	yanshigu
延寿	yanshou
延天佑人	yantianyouren
言为心声	yanweixinsheng
颜习斋	yanxizhai
言行	yanxing
言偃	yanyan
颜延之	yanyanzhi
言意	yanyi
言以谕心	yanyiyuxin
言意之辨	yanyizhibian
言因理而变	yanyinlierbian
晏婴	yanying
严羽	yanyu
颜元	yanyuan
颜渊	yanyuan
燕之北越之南是也	yanzhibeiyuezhinanshiye
颜之推	yanzhitui
晏子	yanzi
严遵	yanzun
杨布利柯	yangbulike
杨诚斋	yangchengzhai
杨慈湖	yangcihu
杨东明	yangdongming
阳刚之美	yanggangzhimei
仰观俯察	yangguanfucha
杨龟山	yangguishan
杨何	yanghe
杨简	yangjian
杨柳桥	yangliuqiao
养气	yangqi
扬弃	yangqi
杨泉	yangquan
杨荣国	yangrongguo
杨慎	yangshen
杨升庵	yangshengan
杨时	yangshi
杨万里	yangwanli
杨王孙	yangwangsun
杨文会	yangwenhui
杨献珍	yangxianzhen
养心	yangxin
扬雄	yangxiong
杨雄	yangxiong
杨朱	yangzhu
杨子	yangzi
阳子居	yangziju
阳尊阴卑	yangzunyinbei
要摆脱	yaobaituo
爻辞	yaoci
姚际恒	yaojiheng
业报	yebao
叶德辉	yedehui
野马	yema
夜气	yeqi
叶青	yeqing
叶适	yeshi
叶水心	yeshuixin
叶燮	yexie
叶子奇	yeziqi
伊奥尼亚	yiaoniya
易白沙	yibaisha
一本	yiben
一本万殊	yibenwanshu
伊壁鸠鲁	yibijiulu
伊壁鸠鲁派	yibijiulupai
伊壁鸠鲁篇	yibijiulupian
伊壁鸠鲁学派	yibijiuluxuepai
伊壁鸠鲁主义	yibijiuluzhuyi
义兵	yibing
以不知为宗	yibuzhiweizong
一阐提	yichanti
一阐提迦	yichantijia
以禅喻诗	yichanyushi
以辞抒意	yicishuyi
义存	yicun
意大利南部	yidalinanbu
一旦拥有	yidanyongyou
以道制欲	yidaozhiyu
以德报怨	yidebaoyuan
以德配天	yidepeitian
一多	yiduo
一多相即	yiduoxiangji
一多相容	yiduoxiangrong
一而二	yierer
已发	yifa
以法为教	yifaweijiao
一分为二	yifenweier
易服色	yifuse
异故	yigu
一故神	yigushen
一贯	yiguan
一行	yihang|yixing
医和	yihe
一画	yihua
一即三	yijisan
一即一切	yijiyiqie
意见	yijian
易简工夫	yijiangongfu
以见知隐	yijianzhiyin
意匠	yijiang
以今推古	yijintuigu
义净	yijing
意境	yijing
以静制动	yijingzhidong
异类不比	yileibubi
以类度类	yileidulei
以类取	yileiqu
以类行杂	yileixingza
以类予	yileiyu
义利	yili
义理	yili
以理杀人	yilisharen
义利双行	yilishuangxing
以吏为师	yiliweishi
义利之辨	yilizhibian
义理之性	yilizhixing
义理之学	yilizhixue
一两	yiliang
以名举实	yimingjushi
一念发动即是行	yinianfadongjishixing
一念三千	yiniansanqian
以其取也	yiqiquye
以奇相御	yiqixiangyu
一切即一	yiqiejiyi
一切知识	yiqiezhishi
以情纬文	yiqingweiwen
一曲	yiqu
依人建极	yirenjianji
以仁为本	yirenweiben
义荣	yirong
义辱	yiru
以儒学为本	yiruxueweiben
意识	yishi
一是而一非	yishieryifei
以适听适	yishitingshi
意识形态	yishixingtai
衣食足以知荣辱	yishizuyizhirongru
异熟	yishu
以说出故	yishuochugu
依他起性	yitaqixing
以太	yitai
以天合天	yitianhetian
异同攻取	yitonggongqu
以往知来	yiwangzhilai
以物观物	yiwuguanwu
一物两体	yiwuliangti
以无为本	yiwuweiben
夷夏之辨	yixiazhibian
意象	yixiang
以小推大	yixiaotuida
以心传心	yixinchuanxin
一心三观	yixinsanguan
一心三智	yixinsanzhi
以心挽劫	yixinwanjie
易心莹	yixinying
以心原物	yixinyuanwu
以行而求知	yixingerqiuzhi
以刑去刑	yixingquxing
以性统情	yixingtongqing
以形务名	yixingwuming
以形写神	yixingxieshen
以形写形	yixingxiexing
义玄	yixuan
意验相符	yiyanxiangfu
一以贯之	yiyiguanzhi
以义为利	yiyiweili
一阴一阳之谓道	yiyinyiyangzhiweidao
意欲	yiyu
以元为本	yiyuanweiben
意在笔前	yizaibiqian
异则异之	yizeyizhi
一真法界	yizhenfajie
一真绝待	yizhenjuedai
以真为师	yizhenweishi
一致百虑	yizhibailv
意之所在便是物	yizhisuozaibianshiwu
以知为力	yizhiweili
以智相识	yizhixiangshi
一中多	yizhongduo
一种万实	yizhongwanshi
一周而一不周	yizhoueryibuzhou
依自不依他	yizibuyita
引蔽习染	yinbixiran
因革	yinge
隐栝之道	yinguazhidao
因果	yinguo
因果报应	yinguobaoying
因过而知	yinguoerzhi
因果非物	yinguofeiwu
殷海光	yinhaiguang
殷浩	yinhao
因门六义	yinmenliuyi
因明	yinming
阴柔之美	yinrouzhimei
因三相	yinsanxiang
因势慎小	yinshishenxiao
因十四过	yinshisiguo
尹焞	yintui
尹文	yinwen
尹文子	yinwenzi
因悟而知	yinwuerzhi
因习而知	yinxierzhi
隐秀	yinxiu
因循革化	yinxungehua
阴阳	yinyang
阴阳五行说	yinyangwuxingshuo
阴阳相薄	yinyangxiangbo
阴阳之大义	yinyangzhidayi
因疑而知	yinyierzhi
因缘	yinyuan
氤氲	yinyun
絪缊	yinyun
因知以进行	yinzhiyijinxing
阴骘之说	yinzhizhishuo
赢绌变化	yingchubianhua
应化之道	yinghuazhidao
盈坚白	yingjianbai
撄宁	yingning
营魄	yingpo
赢缩转化	yingsuozhuanhua
盈天地者无非物	yingtiandizhewufeiwu
盈天地之间唯万物	yingtiandizhijianweiwanwu
英雄与时势互为因果	yingxiongyushishihuweiyinguo
盈虚	yingxu
郢有天下	yingyoutianxia
用常动	yongchangdong
永恒不变	yonghengbubian
永恒存在	yonghengcunzai
永恒真理	yonghengzhenli
用名以乱名	yongmingyiluanming
用名以乱实	yongmingyiluanshi
用实以乱名	yongshiyiluanming
有待	youdai
有对	youdui
有对争而后能进	youduizhengerhounengjin
犹火之燃烛	youhuozhiranzhu
有迹	youji
有教无类	youjiaowulei
有漏	youlou
又名	youming
有名	youming
有情	youqing
有穷	youqiong
有若	youruo
有生于无	youshengyuwu
有统一而后能成	youtongyierhounengcheng
游外弘内	youwaihongnei
有为	youwei
有为法	youweifa
有我之境	youwozhijing
有无	youwu
有无混一之常	youwuhunyizhichang
有无相生	youwuxiangsheng
有物有则	youwuyouze
有物之域	youwuzhiyu
有限性	youxianxing
有相	youxiang
游心	youxin
有因而无生焉	youyinerwushengyan
游于艺	youyuyi
有子	youzi
游酢	youzuo
玉柄麈尾	yubingzhuwei
虞翻	yufan
于光远	yuguangyuan
于吉	yuji
余家菊	yujiaju
余靖	yujing
与民同乐	yumintongle
俞曲园	yuquyuan
喻十过	yushiguo
喻体	yuti
与天为徙	yutianweixi
与天为一	yutianweiyi
宇徙久	yuxijiu
喻依	yuyi
余英时	yuyingshi
虞愚	yuyu
俞樾	yuyue
豫则立	yuzeli
宇宙	yuzhou
宇宙便是吾心	yuzhoubianshiwuxin
宇宙观	yuzhouguan
宇宙之砖	yuzhouzhizhuan
袁粲	yuancan
圆成实性	yuanchengshixing
缘道理	yuandaoli
缘督为经	yuanduweijing
辕固生	yuangusheng
圆寂	yuanji
元结	yuanjie
元精	yuanjing
袁枚	yuanmei
元气	yuanqi
缘起	yuanqi
元气本体论	yuanqibentilun
元气之外无太极	yuanqizhiwaiwutaiji
元气自动论	yuanqizidonglun
元气自然论	yuanqiziranlun
缘情论	yuanqinglun
圆融三谛	yuanrongsandi
缘生	yuansheng
原始反终	yuanshifanzhong
元始天尊	yuanshitianzun
原始要终	yuanshiyaozhong
缘天官	yuantianguan
元享利贞	yuanxianglizhen
袁燮	yuanxie
原型观念	yuanxingguannian
元照	yuanzhao
元知	yuanzhi
原质	yuanzhi
原子论者	yuanzilunzhe
月旦评	yuedanping
约定俗成	yuedingsucheng
约公元前	yuegongyuanqian
越名教而任自然	yuemingjiaoerrenziran
月映万川	yueyingwanchuan
恽代英	yundaiying
云门三句	yunmensanju
韵味说	yunweishuo
允执其中	yunzhiqizhong
宰理	zaili
宰我	zaiwo
灾异	zaiyi
宰予	zaiyu
在运动中	zaiyundongzhong
暂时变动	zanshibiandong
藏传因明	zangchuanyinming
臧三耳	zangsaner
臧文仲	zangwenzhong
凿不围枘	zaobuweirui
造命	zaoming
早期希腊哲学	zaoqixilazhexue
造物者	zaowuzhe
增多人性	zengduorenxing
曾国藩	zengguofan
曾参	zengshen
增益执	zengyizhi
曾子	zengzi
湛甘泉	zhanganquan
詹何	zhanhe
战略学	zhanluexue
湛然	zhanran
湛若水	zhanruoshui
章炳麟	zhangbinglin
张伯端	zhangboduan
张伯行	zhangboxing
张岱年	zhangdainian
张道陵	zhangdaoling
张东荪	zhangdongsun
张韩	zhanghan
张衡	zhangheng
张横渠	zhanghengqu
张华	zhanghua
张惠言	zhanghuiyan
张讥	zhangji
张角	zhangjiao
张九成	zhangjiucheng
张居正	zhangjuzheng
张君房	zhangjunfang
张君劢	zhangjunmai
张陵	zhangling
张鲁	zhanglu
张履祥	zhanglvxiang
张南轩	zhangnanxuan
张融	zhangrong
张如心	zhangruxin
张三丰	zhangsanfeng
张申府	zhangshenfu
张盛	zhangsheng
张栻	zhangshi
张世英	zhangshiying
章实斋	zhangshizhai
章士钊	zhangshizhao
张崧年	zhangsongnian
章太炎	zhangtaiyan
彰往察来	zhangwangchalai
张遐	zhangxia
张修	zhangxiu
章学诚	zhangxuecheng
张杨园	zhangyangyuan
张仪	zhangyi
张元忭	zhangyuanbian
张载	zhangzai
张湛	zhangzhan
张之洞	zhangzhidong
张仲景	zhangzhongjing
照单全收	zhaodanquanshou
赵复	zhaofu
赵归真	zhaoguizhen
赵纪彬	zhaojibin
赵歧	zhaoqi
赵蕤	zhaorui
朝三暮四	zhaosanmusi|chaosanmusi
遮诠与表诠	zhequanyubiaoquan
这些思想	zhexiesixiang
哲学	zhexue
哲学基础	zhexuejichu
哲学论战	zhexuelunzhan
哲学史	zhexueshi
哲学思维	zhexuesiwei
哲学体系	zhexuetixi
哲学学派	zhexuexuepai
哲学学说	zhexuexueshuo
哲学研究	zhexueyanjiu
哲学之父	zhexuezhifu
哲学追求	zhexuezhuiqiu
这一主义	zheyizhuyi
折衷主义	zhezhongzhuyi
真德秀	zhendexiu
真谛	zhendi
贞而不谅	zhenerbuliang
真迹	zhenji
真几	zhenji
真己	zhenji
真可	zhenke
真理	zhenli
真理性	zhenlixing
甄鸾	zhenluan
真趣	zhenqu
真人	zhenren
真如	zhenru
真善美	zhenshanmei
珍生	zhensheng
真实本质	zhenshibenzhi
真实的存在	zhenshidecunzai
真实知识	zhenshizhishi
真唯识量	zhenweishiliang
真性	zhenxing
真一	zhenyi
真一统万一	zhenyitongwanyi
真一之道	zhenyizhidao
真宰	zhenzai
真正的社会主义	zhenzhengdeshehuizhuyi
真知	zhenzhi
正德	zhengde
正法眼藏	zhengfayancang|zhengfayanzang
正反	zhengfan
正反合	zhengfanhe
郑观应	zhengguanying
证会	zhenghui
整理材料	zhenglicailiao
证量	zhengliang
正名	zhengming
正命	zhengming
正奇	zhengqi
正奇有位	zhengqiyouwei
争起于不足	zhengqiyubuzu
郑樵	zhengqiao
正确认识	zhengquerenshi
