阿尔都塞	aerdusai
傅斯年	fusinian
傅伟勋	fuweixun
复性	fuxing
傅玄	fuxuan
符验	fuyan
傅奕	fuyi
负阴而抱阳	fuyinerbaoyang
付之天均	fuzhitianjun
盖公	gaigong
改过迁善	gaiguoqianshan
概念	gainian
概念范畴	gainianfanchou
盖天说	gaitianshuo
概要观点	gaiyaoguandian
改正朔	gaizhengshuo
感观	ganguan
干吉	ganji
感觉和理性	ganjuehelixing
感觉灵敏	ganjuelingmin
干室	ganshi
感相	ganxiang
感兴	ganxing
感性认识	ganxingrenshi
敢咬敢斗	ganyaogandou
刚柔	gangrou
刚毅木讷	gangyimune
高岸为谷	gaoanweigu
高度发展	gaodufazhan
高尔吉亚	gaoerjiya
高尔吉亚篇	gaoerjiyapian
高拱	gaogong
高亨	gaoheng
高攀龙	gaopanlong
高清海	gaoqinghai
高相	gaoxiang
高诱	gaoyou
告子	gaozi
个别特征	gebietezheng
革不必世	gebubishi
革故鼎新	gegudingxin
格合外内	gehewainei
葛洪	gehong
葛兰西	gelanxi
革命	geming
革命性	gemingxing
格式	geshi
革天	getian
格物	gewu
格物致知	gewuzhizhi
格心	gexin
葛玄	gexuan
格义	geyi
格致	gezhi
格致相因	gezhixiangyin
根本变化	genbenbianhua
根本原因	genbenyuanyin
根由	genyou
耿定向	gengdingxiang
更化	genghua
更有名	gengyouming
耕战	gengzhan
公案	gongan
共比量	gongbiliang
公德	gongde
龚定庵	gongdingan
公都子	gongdouzi
工夫所至	gongfusuozhi
恭敬之心	gongjingzhixin
恭宽信敏惠	gongkuanxinminhui
公例	gongli
功利	gongli
公孟子	gongmengzi
共名与别名	gongmingyubieming
功能	gongneng
弓矢从的	gongshicongde
攻守异势与攻取异术	gongshouyishiyugongquyishu
公输班	gongshuban
公孙丑	gongsunchou
公孙弘	gongsunhong
公孙龙	gongsunlong
公孙龙子	gongsunlongzi
公孙尼子	gongsunnizi
公孙侨	gongsunqiao
公孙鞅	gongsunyang
公西赤	gongxichi
共相	gongxiang
公心	gongxin
公性	gongxing
躬行践履	gongxingjianlv
公性在独性中	gongxingzaiduxingzhong
公羊高	gongyanggao
公羊三世说	gongyangsanshishuo
公冶长	gongyechang
公因	gongyin
功用	gongyong
