进贤冠	jinxianguan
京族服饰	jingzufushi
惊鹄髻	jinghuji
救生衣	jiushengyi
鞠衣	juyi
具服	jufu
卷荷帽	juanhemao
卷衣	juanyi
卷云冠	juanyunguan
爵弁	juebian
军容头	junrongtou
袀玄	junxuan
袀袨	junxuan
卡曲	kaqu
开襟裙	kaijinqun
开浦帽	kaipumao
开衫	kaishan
开贴袋	kaitiedai
铠甲	kaijia
坎肩	kanjian
拷钮裙	kaoniuqun
空顶帻	kongdingze
孔雀翎	kongqueling
扣子衫	kouzishan
纩紘	kuanghong
盔甲	kuijia
髡发	kunfa
拉链衫	lalianshan
喇叭裙	labaqun
蜡烛包	lazhubao
蓝翎	lanling
蓝衫	lanshan
褴衫	lanshan
襕衫	lanshan
懒收网	lanshouwang
乐天巾	letianjin
雷巾	leijin
泪妆	leizhuang
离尘服	lichenfu
黎族服饰	lizufushi
礼服	lifu
礼帽	limao
礼仪服装	liyifuzhuang
蟸帽	limao
立笔	libi
利屣	lixi
连驳领	lianboling
连衫裤	lianshanku
连衫裙	lianshanqun
连袜裤	lianwaku
莲花冠	lianhuaguan
莲蓬衣	lianpengyi
莲叶帽	lianyemao
练甲	lianjia
凉帽	liangmao
凉衫	liangshan
两博鬓	liangbobin
两当	liangdang
两髦	liangmao
两用衫	liangyongshan
列宁装	lieningzhuang
林宗巾	linzongjin
灵蛇髻	lingsheji
翎根铠	linggenkai
翎子	lingzi
领带	lingdai
领带夹	lingdaijia
领结	lingjie
领巾	lingjin
领圈	lingquan
领套	lingtao
刘氏冠	liushiguan
流苏髻	liusuji
柳叶眉	liuyemei
六缝靴	liufengxue
六服	liufu
六合靴	luhexue
六冕	liumian
龙火衣	longhuoyi
龙卷	longjuan
龙鳞	longlin
龙袍	longpao
龙章	longzhang
笼巾	longjin
笼裙	longqun
笼衫	longshan
芦花靴	luhuaxue
鲁风鞋	lufengxie
鹿巾	lujin
鹿皮冠	lupiguan
鹿皮巾	lupijin
纶巾	guanjin
罗胜	luosheng
罗宋帽	luosongmao
螺髻	luoji
络头	luotou|laotou
旅游服装	lvyoufuzhuang
履袍	lvpao
绿帻	lvze
麻冕	mamian
麻鞋	maxie
麻衣	mayi
马褂	magua
马甲	majia
马甲裙	majiaqun
马甲袖	majiaxiu
马帽	mamao
马面裙	mamianqun
马蹄袖	matixiu
马尾裙	maweiqun
满族服饰	manzufushi
缦衫	manshan
缦衣	manyi
缦缘	manyuan
蟒袍	mangpao
蟒衣	mangyi
猫头鞋	maotouxie
毛连	maolian
茅靴	maoxue
冒絮	maoxu
梅花妆	meihuazhuang
媚子	meizi
蒙古袍	menggupao
蒙靴	mengxue
麛裘	miqiu
米纹	miwen
冕服	mianfu
冕旒	mianliu
面纱	miansha
面衣	mianyi
苗族服饰	miaozufushi
苗族花带	miaozuhuadai
民族服装	minzufuzhuang
明光铠	mingguangkai
命服	mingfu
抹额	moe
抹胸	moxiong
抹胸肚	moxiongdu
帞头	motou
貉袖	haoxiu
牟追	mouzhui
氁衫	mushan
牡丹头	mudantou
木耳边	muerbian
木屐	muji
衲衣	nayi
闹扫妆髻	naosaozhuangji
麑裘	niqiu
牛舌头	niushetou
牛仔裤	niuzaiku
怒族服饰	nuzufushi
暖耳	nuaner
暖帽	nuanmao
暖靴	nuanxue
藕覆	oufu
藕丝衫	ousishan
帕头	patou
