奥陶纪	aotaoji
含水层	hanshuiceng
寒武纪	hanwuji
寒武系	hanwuxi
含油地层	hanyoudiceng
航空重力仪	hangkongzhongliyi
合成地图	hechengditu
合成地震记录	hechengdizhenjilu
河床	hechuang
河口湾	hekouwan
河流阶地	heliujiedi
河流学	heliuxue
河漫滩	hemantan
褐煤	hemei
河网密度	hewangmidu
红堡	hongbao
红花园组	honghuayuanzu
洪积扇	hongjishan
洪积物	hongjiwu
红树林沼泽	hongshulinzhaoze
后坝组	houbazu
厚层状	houcengzhuang
互层	huceng
湖泊水文学	huposhuiwenxue
湖沼学	huzhaoxue
花岗岩	huagangyan
滑坡	huapo
华氏城	huashicheng
滑塌	huata
化探	huatan
环境保护	huanjingbaohu
环境地球化学	huanjingdiqiuhuaxue
环境地质学	huanjingdizhixue
环境规划	huanjingguihua
环境区划	huanjingquhua
环境容量	huanjingrongliang
环境退化	huanjingtuihua
环境污染	huanjingwuran
环境异常	huanjingyichang
环境影响评价	huanjingyingxiangpingjia
环境质量	huanjingzhiliang
环境质量参数	huanjingzhiliangcanshu
环境质量评价	huanjingzhiliangpingjia
环境质量指数	huanjingzhiliangzhishu
环境自净	huanjingzijing
荒漠化	huangmohua
黄铁矿	huangtiekuang
黄铜矿	huangtongkuang
黄土	huangtu
辉长岩	huichangyan
灰漠土	huimotu
灰壤	huirang
汇水区	huishuiqu
灰岩	huiyan
活动断层	huodongduanceng
活动构造	huodonggouzao
活动构造带	huodonggouzaodai
活火山	huohuoshan
火山	huoshan
火山带	huoshandai
火山弹	huoshandan
火山湖	huoshanhu
火山活动	huoshanhuodong
火山机构	huoshanjigou
火山口	huoshankou
火山砾	huoshanli
火山穹丘	huoshanqiongqiu
火山锥	huoshanzhui
火山作用	huoshanzuoyong
罽宾	jibin
基底	jidi
极地冰川	jidibingchuan
季风	jifeng
季节冻土	jijiedongtu
季节性河流	jijiexingheliu
季节性湖泊	jijiexinghupo
集块岩	jikuaiyan
积累区	jileiqu
姬路城	jilucheng
寄生火山锥	jishenghuoshanzhui
基岩	jiyan
极夜	jiye
济阴	jiyin
集约农业	jiyuenongye
基质	jizhi
加积	jiaji
嘉陵江组	jialingjiangzu
假整合	jiazhenghe
间冰期	jianbingqi
间歇泉	jianxiequan
渐新世	jianxinshi
降水	jiangshui
