更上一层楼	gengshangyicenglou
德亦乐得之	deyiledezhi
雪入春分省见稀	xueruchunfenshengjianxi
不得到辽西	budedaoliaoxi
千里念行客	qianlinianxingke
欢笑情如旧	huanxiaoqingrujiu
良人罢远征	liangrenbayuanzheng
交不忠兮怨长	jiaobuzhongxiyuanchang
晨前命对朝霞	chenqianmingduizhaoxia
春风十里柔情	chunfengshilirouqing
小子别金陵	xiaozibiejinling
新秋雁带来	xinqiuyandailai
不顾父母之养	bugufumuzhiyang
风日似长沙	fengrisichangsha
侧身西望长咨嗟	ceshenxiwangchangzijie
君义莫不义	junyimobuyi
且君子之交淡若水	qiejunzizhijiaodanruoshui
南园十三首	nanyuanshisanshou
为之权衡以称之	weizhiquanhengyichengzhi
向晚霾残日	xiangwanmaicanri
世路如今已惯	shilurujinyiguan
圣人存而不论	shengrencunerbulun
六朝旧事随流水	liuchaojiushisuiliushui
态浓意远淑且真	tainongyiyuanshuqiezhen
不足以为士矣	buzuyiweishiyi
月明人倚楼	yuemingrenyilou
与人有痔病者	yurenyouzhibingzhe
田园寥落干戈后	tianyuanliaoluogangehou
塞源而欲流长也	saiyuaneryuliuchangye
胡取禾三百廛兮	huquhesanbaichanxi
叶叶梧桐坠	yeyewutongzhui
铁骑突出刀枪鸣	tieqituchudaoqiangming
沈园柳老不吹绵	shenyuanliulaobuchuimian
恭者不侮人	gongzhebuwuren
明敕内外臣	mingchineiwaichen
忆与高李辈	yiyugaolibei
老去溪头作钓翁	laoquxitouzuodiaoweng
结爱务在深	jieaiwuzaishen
而迁徙之徒也	erqianxizhituye
吾见其人矣	wujianqirenyi
多易必多难	duoyibiduonan
其何伤于日月乎	qiheshangyuriyuehu
十六君远行	shiliujunyuanxing
水深波浪阔	shuishenbolangkuo
为君扶病上高台	weijunfubingshanggaotai
万里归来颜愈少	wanliguilaiyanyushao
残暑蝉催尽	canshuchancuijin
不与徐凝洗恶诗	buyuxuningxieshi
箫鼓鸣兮发棹歌	xiaogumingxifazhaoge
而或长烟一空	erhuochangyanyikong
百姓如丧考妣	baixingrusangkaobi
须臾发成丝	xuyufachengsi
枣熟从人打	zaoshucongrenda
天净沙秋思	tianjingshaqiusi
今春看又过	jinchunkanyouguo
几时高议排金门	jishigaoyipaijinmen
相知在急难	xiangzhizaijinan
倚天照海花无数	yitianzhaohaihuawushu
雪花照芙蓉	xuehuazhaofurong
使我介然有知	shiwojieranyouzhi
春心莫共花争发	chunxinmogonghuazhengfa
轮台九月风夜吼	luntaijiuyuefengyehou
齐纨鲁缟车班班	qiwanlugaochebanban
寒天催日短	hantiancuiriduan
因招樊哙出	yinzhaofankuaichu
解把飞花蒙日月	jiebafeihuamengriyue
涧户寂无人	jianhujiwuren
如婴儿之未孩	ruyingerzhiweihai
人间物类无可比	renjianwuleiwukebi
可爱者甚蕃	keaizheshenfan
多情却似总无情	duoqingquesizongwuqing
唯有此江郊	weiyoucijiangjiao
雨脚如麻未断绝	yujiaorumaweiduanjue
君向潇湘我向秦	junxiangxiaoxiangwoxiangqin
玉真公主别馆苦雨	yuzhengongzhubieguankuyu
不愿鞠躬车马前	buyuanjugongchemaqian
墙里佳人笑	qianglijiarenxiao
排空驭气奔如电	paikongyuqibenrudian
常存抱柱信	changcunbaozhuxin
山行十日雨沾衣	shanxingshiriyuzhanyi
虽天地之大	suitiandizhida
要向潇湘直进	yaoxiangxiaoxiangzhijin
外举不弃仇	waijubuqichou
楚王台榭空山丘	chuwangtaixiekongshanqiu
月黑雁飞高	yueheiyanfeigao
离离山上苗	lilishanshangmiao
非国之灾也	feiguozhizaiye
清月出岭光入扉	qingyuechulingguangrufei
三旬两入省	sanxunliangrusheng
唯将旧物表深情	weijiangjiuwubiaoshenqing
石泉碧漾漾	shiquanbiyangyang
南山何其悲	nanshanheqibei
直破烟波远远回	zhipoyanboyuanyuanhui
凌波不过横塘路	lingbobuguohengtanglu
送储邕之武昌	songchuyongzhiwuchang
与日月兮齐光	yuriyuexiqiguang
千万人之心也	qianwanrenzhixinye
观千剑而识器	guanqianjianershiqi
洞庭西望楚江分	dongtingxiwangchujiangfen
桃花浅深处	taohuaqianshenchu
归来寻旧蹊	guilaixunjiuqi|guilaixunjiuxi
斫取青光写楚辞	zhuoquqingguangxiechuci
夜长天色总难明	yechangtiansezongnanming
治天下可运之掌上	zhitianxiakeyunzhizhangshang
少壮几时兮奈老何	shaozhuangjishixinailaohe
为善无近名	weishanwujinming
而乐亦无穷也	erleyiwuqiongye
请看石上藤萝月	qingkanshishangtengluoyue
民之于仁也	minzhiyurenye
贫贱之知不可忘	pinjianzhizhibukewang
闻风坐相悦	wenfengzuoxiangyue
寒江雪柳日新晴	hanjiangxueliurixinqing
岁岁春草生	suisuichuncaosheng
惠而不知为政	huierbuzhiweizheng
苦恨年年压金线	kuhenniannianyajinxian
嫣然一笑竹篱间	yanranyixiaozhulijian
驾八龙之婉婉兮	jiabalongzhiwanwanxi
交乃意气合	jiaonaiyiqihe
退衙归逼夜	tuiyaguibiye
泪痕红浥鲛绡透	leihenhongyijiaoxiaotou
端庄杂流丽	duanzhuangzaliuli
其美者自美	qimeizhezimei
雨洗娟娟净	yuxijuanjuanjing
出门搔白首	chumensaobaishou
常于几成而败之	changyujichengerbaizhi
其次毁肌肤	qicihuijifu
不可得而贵	bukedeergui
空中闻天鸡	kongzhongwentianji
吾独穷困乎此时也	wuduqiongkunhucishiye
风吹仙袂飘飘举	fengchuixianmeipiaopiaoju
笔所未到气已吞	bisuoweidaoqiyitun
孟冬十郡良家子	mengdongshijunliangjiazi
道路迢迢一月程	daolutiaotiaoyiyuecheng
园柳变鸣禽	yuanliubianmingqin
反是生女好	fanshishengnvhao
乘清气兮御阴阳	chengqingqixiyuyinyang
料钱随月用	liaoqiansuiyueyong
陶然共忘机	taorangongwangji
不可与言而与之言	bukeyuyaneryuzhiyan
一往情深深几许	yiwangqingshenshenjixu
忽有人家笑语声	huyourenjiaxiaoyusheng
绝代有佳人	juedaiyoujiaren
同行皆狼狈	tonghangjielangbei
今朝都到眼前来	jinzhaodoudaoyanqianlai
一年居梓州	yinianjuzizhou
老而无夫曰寡	laoerwufuyuegua
醉不成欢惨将别	zuibuchenghuancanjiangbie
五更钟动笙歌散	wugengzhongdongshenggesan
骨肉流离道路中	gurouliulidaoluzhong
犹为离人照落花	youweilirenzhaoluohua
春江花朝秋月夜	chunjianghuazhaoqiuyueye|chunjianghuachaoqiuyueye
四句烧香偈子	sijushaoxiangjizi
生也死之徒	shengyesizhitu
葵藿倾太阳	kuihuoqingtaiyang
丈夫非无泪	zhangfufeiwulei
驿骑如星流	yiqiruxingliu
喜见外弟又言别	xijianwaidiyouyanbie
棹经垂猿把	zhaojingchuiyuanba
哀高丘之无女	aigaoqiuzhiwunv
劝君少求利	quanjunshaoqiuli
直至长风沙	zhizhichangfengsha
物性固莫夺	wuxinggumoduo
灯火钱塘三五夜	denghuoqiantangsanwuye
诗画本一律	shihuabenyilv
则其负大翼也无力	zeqifudayiyewuli
夜长人奈何	yechangrennaihe
生长明妃尚有村	shengzhangmingfeishangyoucun
无主荷花到处开	wuzhuhehuadaochukai
各在天一涯	gezaitianyiya
予之不仁也	yuzhiburenye
信则民任焉	xinzeminrenyan
权奇蹴踏无尘埃	quanqicutawuchenai
绿槐高柳咽新蝉	lvhuaigaoliuyanxinchan
太乙近天都	taiyijintiandu
昨日登高罢	zuoridenggaoba
马鸣风萧萧	mamingfengxiaoxiao
则天下之民皆引领而望之矣	zetianxiazhiminjieyinlingerwangzhiyi
万花纷谢一时稀	wanhuafenxieyishixi
梦魂不到关山难	menghunbudaoguanshannan
寄与爱茶人	jiyuaicharen
如杀人之罪	rusharenzhizui
游子久不至	youzijiubuzhi
赢粮而景从	yingliangerjingcong
沛公北向坐	peigongbeixiangzuo
冉冉孤生竹	ranrangushengzhu
长吟望浊泾	changyinwangzhuojing
自是白衣卿相	zishibaiyiqingxiang
鼓声渐急标将近	gushengjianjibiaojiangjin
若负平生志	ruofupingshengzhi
人岂为之哉	renqiweizhizai
入则无法家拂士	ruzewufajiabishi
佳处未易识	jiachuweiyishi
林间暖酒烧红叶	linjiannuanjiushaohongye
笛奏龙吟水	dizoulongyinshui
落叶聚还散	luoyejuhaisan
松柏有本性	songbaiyoubenxing
衔得锦标第一归	xiandejinbiaodiyigui
闲居非吾志	xianjufeiwuzhi
莫叹韶华容易逝	motanshaohuarongyishi
是则可忧也	shizekeyouye
圣之时者也	shengzhishizheye
往事已成空	wangshiyichengkong
春丛认取双栖蝶	chuncongrenqushuangqidie
今夜闻君琵琶语	jinyewenjunpipayu
断肢体受辱	duanzhitishouru
初宵鼓大炉	chuxiaogudalu
楚人悲屈原	churenbeiquyuan
坐断东南战未休	zuoduandongnanzhanweixiu
吾所谓明者	wusuoweimingzhe
乐夫天命复奚疑	lefutianmingfuxiyi
空水共悠悠	kongshuigongyouyou
不遣雨雪来	buqianyuxuelai
而民不被其泽	erminbubeiqize
安得万里风	andewanlifeng
吹伤了那家	chuishanglenajia
船回雾起堤	chuanhuiwuqidi
胜败兵家事不期	shengbaibingjiashibuqi
抱琴看鹤去	baoqinkanhequ
何处相思明月楼	hechuxiangsimingyuelou
杨叶万条烟	yangyewantiaoyan
吾将曳尾于涂中	wujiangyeweiyutuzhong
鸡犬图书共一船	jiquantushugongyichuan
气势两相高	qishiliangxianggao
扁舟共济与君同	pianzhougongjiyujuntong
深柳读书堂	shenliudushutang
大隐住朝市	dayinzhuchaoshi
其次不辱理色	qiciburulise
未老身溘然	weilaoshenkeran
我云何足怪	woyunhezuguai
霸必有大国	babiyoudaguo
达人无不可	darenwubuke
灵均何年歌已矣	lingjunheniangeyiyi
长铗归来乎	changjiaguilaihu
深藏数十家	shencangshushijia
无以知人也	wuyizhirenye
其次不辱身	qiciburushen
仙家犬吠白云间	xianjiaquanfeibaiyunjian
来如春梦几多时	lairuchunmengjiduoshi
襄阳小儿齐拍手	xiangyangxiaoerqipaishou
常羡人间琢玉郎	changxianrenjianzhuoyulang
乃若所忧则有之	nairuosuoyouzeyouzhi
各复归其根	gefuguiqigen
青泥何盘盘	qingnihepanpan
君王台榭枕巴山	junwangtaixiezhenbashan
炙手可热势绝伦	zhishoukereshijuelun
阳景逐回流	yangjingzhuhuiliu
自矜者不长	zijinzhebuchang
一树春风千万枝	yishuchunfengqianwanzhi
西园翰墨林	xiyuanhanmolin
对此欲倒东南倾	duiciyudaodongnanqing
江山如有待	jiangshanruyoudai
森罗移地轴	senluoyidizhou
只吹的水尽鹅飞罢	zhichuideshuijinefeiba
跃上葱笼四百旋	yueshangconglongsibaixuan
我爱铜官乐	woaitongguanle
非世俗之所服	feishisuzhisuofu
遂许先帝以驱驰	suixuxiandiyiquchi
干戈寥落四周星	gangeliaoluosizhouxing
知章骑马似乘船	zhizhangqimasichengchuan
记得偏重三五	jidepianzhongsanwu
今岁今宵尽	jinsuijinxiaojin
水深鱼极乐	shuishenyujile
今有人日攘其邻之鸡者	jinyourenrirangqilinzhijizhe
宝剑双蛟龙	baojianshuangjiaolong
未到清明先禁火	weidaoqingmingxianjinhuo
拾此充饥肠	shicichongjichang
不趁青梅尝煮酒	buchenqingmeichangzhujiu
引壶觞以自酌	yinhushangyizizhuo
振长策而御宇内	zhenchangceeryuyunei
或因寄所托	huoyinjisuotuo
美人帐下犹歌舞	meirenzhangxiayougewu
已觉春心动	yijuechunxindong
否泰如天地	pitairutiandi
预将书报家	yujiangshubaojia
无花只有寒	wuhuazhiyouhan
烟霄微月澹长空	yanxiaoweiyuedanchangkong
春风一曲杜韦娘	chunfengyiquduweiniang
读罢泪沾襟	dubaleizhanjin
夜来风雨急	yelaifengyuji
亭亭山上松	tingtingshanshangsong
一诗换得两尖团	yishihuandeliangjiantuan
先应去蟊贼	xianyingqumaozei
忧懈怠则思慎始而敬终	youxiedaizesishenshierjingzhong
拟古决绝词	nigujuejueci
珠箔飘灯独自归	zhubopiaodengduzigui
七十者衣帛食肉	qishizheyiboshirou
西风梨枣山园	xifenglizaoshanyuan
不见五陵豪杰墓	bujianwulinghaojiemu
乌不日黔而黑	wuburiqianerhei
无以至今日	wuyizhijinri
可使食无肉	keshishiwurou
一泓海水杯中泻	yihonghaishuibeizhongxie
歌管楼台声细细	geguanloutaishengxixi
瑟瑟谷中风	seseguzhongfeng
小水细通池	xiaoshuixitongchi
巧笑东邻女伴	qiaoxiaodonglinnvban
亦不可行也	yibukexingye
是非君子之道	shifeijunzizhidao
独树老夫家	dushulaofujia
只有天在上	zhiyoutianzaishang
片言可以折狱者	pianyankeyizheyuzhe
先王有不忍人之心	xianwangyouburenrenzhixin
千千石楠树	qianqianshinanshu
试灯无意思	shidengwuyisi
中有尺素书	zhongyouchisushu
乃中经首之会	naizhongjingshouzhihui
向阳花木易逢春	xiangyanghuamuyifengchun
负暄闭目坐	fuxuanbimuzuo
张良西向侍	zhangliangxixiangshi
共说此年丰	gongshuocinianfeng
平仄平平仄	pingzepingpingze
自见而已矣	zijianeryiyi
鸡鸣无安居	jimingwuanju
七十而致仕	qishierzhishi
听其言也厉	tingqiyanyeli
儒冠多误身	ruguanduowushen
百亩庭中半是苔	baimutingzhongbanshitai
且看欲尽花经眼	qiekanyujinhuajingyan
春日莺啼修竹里	chunriyingtixiuzhuli
有颜回者好学	youyanhuizhehaoxue
亲旧知其如此	qinjiuzhiqiruci
樊迟请学稼	fanchiqingxuejia
耿耿星河欲曙天	genggengxingheyushutian
人间要好诗	renjianyaohaoshi
好是相亲夜	haoshixiangqinye
此之谓失其本心	cizhiweishiqibenxin
独立而不改	dulierbugai
轻肌弱骨散幽葩	qingjiruogusanyoupa
昭阳殿里恩爱绝	zhaoyangdianlienaijue
累三而不坠	leisanerbuzhui
要看细雨熟黄梅	yaokanxiyushuhuangmei
不知周之梦为胡蝶与	buzhizhouzhimengweihudieyu
渺渺兮予怀	miaomiaoxiyuhuai
处于天地之间	chuyutiandizhijian
菊蕊独盈枝	juruiduyingzhi
雨打梨花深闭门	yudalihuashenbimen
相过人不知	xiangguorenbuzhi
尽是他乡之客	jinshitaxiangzhike
不洒离别间	busalibiejian
此之谓物化	cizhiweiwuhua
济时敢爱死	jishiganaisi
斯人不可闻	sirenbukewen
芙蓉塘外有轻雷	furongtangwaiyouqinglei
君子疾没世而名不称焉	junzijimoshiermingbuchengyan|junzijimoshiermingbuchenyan
而天下大治	ertianxiadazhi
年既老而不衰	nianjilaoerbushuai
非国之害也	feiguozhihaiye
吴山点点愁	wushandiandianchou
劳劳送客亭	laolaosongketing
二月二日新雨晴	eryueerrixinyuqing
汉家青史上	hanjiaqingshishang
固知一死生为虚诞	guzhiyisishengweixudan
林断山明竹隐墙	linduanshanmingzhuyinqiang
独有懒慢者	duyoulanmanzhe
螮蝀饮河形影联	daidongyinhexingyinglian
青山行不尽	qingshanxingbujin
故失道而后德	gushidaoerhoude
迢迢建业水	tiaotiaojianyeshui
湓浦沙头水馆前	penpushatoushuiguanqian
冕旒俱秀发	mianliujuxiufa
菡萏发荷花	handanfahehua
大抵心安即是家	dadixinanjishijia
孔子之谓集大成	kongzizhiweijidacheng
大德不逾闲	dadebuyuxian
只在芦花浅水边	zhizailuhuaqianshuibian
春深杏花乱	chunshenxinghualuan
墙头马上遥相顾	qiangtoumashangyaoxianggu
梅蕊腊前破	meiruilaqianpo
类之纲纪也	leizhigangjiye
结尽百年月	jiejinbainianyue
骏马骄行踏落花	junmajiaoxingtaluohua
悍吏之来吾乡	hanlizhilaiwuxiang
枕石待云归	zhenshidaiyungui
不耘苗者也	buyunmiaozheye
故木受绳则直	gumushoushengzezhi
赧郎明月夜	nanlangmingyueye
莲子已成荷叶老	lianziyichengheyelao
以道莅天下	yidaolitianxia
门前万竿竹	menqianwanganzhu
四十年来家国	sishinianlaijiaguo
信知生男恶	xinzhishengnane
耸干会参天	songganhuicantian
当垆笑春风	dangluxiaochunfeng
独好亦何益	duhaoyiheyi
雷霆走精锐	leitingzoujingrui
沧海横流安足虑	canghaihengliuanzulv
五六月累丸二而不坠	wuliuyueleiwanererbuzhui
昔日龌龊不足夸	xiriwochuobuzukua
有世臣之谓也	youshichenzhiweiye
使民不为盗	shiminbuweidao
门前秋水可扬舲	menqianqiushuikeyangling
北斗兼春远	beidoujianchunyuan
万里可横行	wanlikehengxing
小溪泛尽却山行	xiaoxifanjinqueshanxing
工拙性不同	gongzhuoxingbutong
玉螺一吹椎髻耸	yuluoyichuizhuijisong
自经放逐来憔悴	zijingfangzhulaiqiaocui
犹不能不以之兴怀	youbunengbuyizhixinghuai
逆旅小子对曰	nilvxiaoziduiyue
槐芽细而丰	huaiyaxierfeng
采桑径里逢迎	caisangjinglifengying
一病讫不痊	yibingqibuquan
其次诎体受辱	qiciqutishouru
始可与言诗已矣	shikeyuyanshiyiyi
春风吹尽不同攀	chunfengchuijinbutongpan
因念远戍卒	yinnianyuanshuzu
村南村北响缫车	cunnancunbeixiangsaoche
烟销日出不见人	yanxiaorichubujianren
金陵凤凰台	jinlingfenghuangtai
深山何处钟	shenshanhechuzhong
黑白分明子数停	heibaifenmingzishuting
送李愿归盘谷序	songliyuanguipanguxu
结妾独守志	jieqiedushouzhi
非谓有乔木之谓也	feiweiyouqiaomuzhiweiye
分我一杯羹	fenwoyibeigeng
正枕当星剑	zhengzhendangxingjian
乘骐骥以驰骋兮	chengqijiyichichengxi
近试上张水部	jinshishangzhangshuibu
沙丘城下寄杜甫	shaqiuchengxiajidufu
不贤者识其小者	buxianzheshiqixiaozhe
阴霞生远岫	yinxiashengyuanxiu
罢官亦由人	baguanyiyouren
使民如承大祭	shiminruchengdaji
东尽白云求	dongjinbaiyunqiu
法令如牛毛	falingruniumao
丛菊两开他日泪	congjuliangkaitarilei
始得西山宴游记	shidexishanyanyouji
早晚下三巴	zaowanxiasanba
北山始与南屏通	beishanshiyunanpingtong
君子有勇而无义为乱	junziyouyongerwuyiweiluan
阳子问其故	yangziwenqigu
仰视浮云驰	yangshifuyunchi
乱山残雪夜	luanshancanxueye
他得非我贤	tadefeiwoxian
弥勒真弥勒	milezhenmile
流水无情草自春	liushuiwuqingcaozichun
次韵章质夫杨花词	ciyunzhangzhifuyanghuaci
与君都盖洛阳城	yujundougailuoyangcheng
游子思故乡	youzisiguxiang
谁家今夜扁舟子	shuijiajinyepianzhouzi
一食或尽粟一石	yishihuojinsuyidan
蝼蚁往还空垄亩	louyiwanghuankonglongmu
秀色固异状	xiuseguyizhuang
何事阴阳工	heshiyinyanggong
卧看古佛凌云阁	wokangufolingyunge
烟柳断肠处	yanliuduanchangchu
称名忆旧容	chengmingyijiurong
五陵年少金市东	wulingnianshaojinshidong
不失其所者久	bushiqisuozhejiu
谷与鱼鳖不可胜食	guyuyubiebukeshengshi
明日又逢春	mingriyoufengchun
国家定两税	guojiadingliangshui
君正莫不正	junzhengmobuzheng
一字偕华星	yizixiehuaxing
君子学道则爱人	junzixuedaozeairen
可以为天地母	keyiweitiandimu
但记得斑斑点点	danjidebanbandiandian
涂山来去熟	tushanlaiqushu
飞出深深杨柳渚	feichushenshenyangliuzhu
新雁过妆楼	xinyanguozhuanglou
敦兮其若朴	duixiqiruopiao|dunxiqiruopu
其次不辱辞令	qiciburuciling
相迎不道远	xiangyingbudaoyuan
非义袭而取之也	feiyixierquzhiye
翦彩为人起晋风	jiancaiweirenqijinfeng
自有同志者在	ziyoutongzhizhezai
俯仰天地间	fuyangtiandijian
百年世事不胜悲	bainianshishibushengbei
吾不得而见之矣	wubudeerjianzhiyi
曾见南迁几个回	cengjiannanqianjigehui
何由得见洛阳春	heyoudejianluoyangchun
而其见愈奇	erqijianyuqi
抚长剑兮玉珥	fuchangjianxiyuer
焦遂五斗方卓然	jiaosuiwudoufangzhuoran
见者惊犹鬼神	jianzhejingyouguishen
服食求神仙	fushiqiushenxian
之死矢靡它	zhisishimita
何必珍珠慰寂寥	hebizhenzhuweijiliao
荷花半成子	hehuabanchengzi
云溪花淡淡	yunxihuadandan
以手抚膺坐长叹	yishoufuyingzuochangtan
平平仄仄平	pingpingzezeping
心心复心心	xinxinfuxinxin
不知香积寺	buzhixiangjisi
岁十一月徒杠成	suishiyiyuetugangcheng
南极老人星	nanjilaorenxing
纵被春风吹作雪	zongbeichunfengchuizuoxue
晚家南山陲	wanjiananshanchui
烧酒初开琥珀香	shaojiuchukaihupoxiang
地僻门深少送迎	dipimenshenshaosongying
坐地日行八千里	zuodirixingbaqianli
五圣联龙衮	wushenglianlonggun
巴陵无限酒	balingwuxianjiu
莫羡三春桃与李	moxiansanchuntaoyuli
四弦一声如裂帛	sixianyishengruliebo
舒而脱脱兮	shuertuotuoxi
天门一长啸	tianmenyichangxiao|tianmenyizhangxiao
焜黄华叶衰	kunhuanghuayeshuai
红入桃花嫩	hongrutaohuanen
梅花年后多	meihuanianhouduo
花满自然秋	huamanziranqiu
残杯与冷炙	canbeiyulengzhi
自此草书长进	zicicaoshuzhangjin
雨中山果落	yuzhongshanguoluo
遥望齐州九点烟	yaowangqizhoujiudianyan
一钩残月向西流	yigoucanyuexiangxiliu
遥指红楼是妾家	yaozhihongloushiqiejia
水上轻盈步微月	shuishangqingyingbuweiyue
功名盖世知谁是	gongminggaishizhishuishi
霹雳一声暴动	piliyishengbaodong
秋千院落夜沉沉	qiuqianyuanluoyechenchen
真妃初出华清池	zhenfeichuchuhuaqingchi
翱翔蓬蒿之间	aoxiangpenghaozhijian
何况人间父子情	hekuangrenjianfuziqing
临风听暮蝉	linfengtingmuchan
帘外芭蕉三两窠	lianwaibajiaosanliangke
厥田惟上上	juetianweishangshang
陟升皇之赫戏兮	zhishenghuangzhihexixi
滕王高阁临江渚	tengwanggaogelinjiangzhu
是夕阳中的新娘	shixiyangzhongdexinniang
出游翰墨场	chuyouhanmochang
不得其言则去	budeqiyanzequ
问翁大庾岭头住	wenwengdayulingtouzhu
谁悲失路之人	shuibeishiluzhiren
我识南屏金鲫鱼	woshinanpingjinjiyu
竹竿何袅袅	zhuganheniaoniao
愿将腰下剑	yuanjiangyaoxiajian
炎风吹沙埃	yanfengchuishaai
夫三年之丧	fusannianzhisang
有钱可使鬼	youqiankeshigui
为天下笑者	weitianxiaxiaozhe
孤舟一系故园心	guzhouyixiguyuanxin
请从吏夜归	qingcongliyegui
仙人王子乔	xianrenwangziqiao
闲来无事不从容	xianlaiwushibucongrong
银瓶乍破水浆迸	yinpingzhaposhuijiangbeng
也曾因梦送钱财	yecengyinmengsongqiancai
无一朝之患也	wuyizhaozhihuanye
恶者贵而美者贱	ezheguiermeizhejian
少壮能几时	shaozhuangnengjishi
细雨湿流光	xiyushiliuguang
代徐敬业传檄天下文	daixujingyechuanxitianxiawen
更无山与齐	gengwushanyuqi
独自怎生得黑	duzizenshengdehei
富贵不相忘	fuguibuxiangwang
不有博弈者乎	buyouboyizhehu
出则无敌国外患者	chuzewudiguowaihuanzhe
今夜清光似往年	jinyeqingguangsiwangnian
满地芦花和我老	mandiluhuahewolao
凌波仙子生尘袜	lingboxianzishengchenwa
高楼当此夜	gaoloudangciye
盖余之勤且艰若此	gaiyuzhiqinqiejianruoci
千片赤英霞烂烂	qianpianchiyingxialanlan
纵使长条似旧垂	zongshichangtiaosijiuchui
走马川行奉送封大夫出师西征	zoumachuanxingfengsongfengdaifuchushixizheng
则失者十一	zeshizheshiyi
尧曰第二十	yaoyuediershi
能使枉者直	nengshiwangzhezhi
五千仞岳上摩天	wuqianrenyueshangmotian
劝君终日酩酊醉	quanjunzhongrimingdingzui
我爱夏日长	woaixiarichang
散入珠帘湿罗幕	sanruzhulianshiluomu
只恐先春鶗鴂鸣	zhikongxianchunchiguiming|zhikongxianchuntijueming
不与梨花同梦	buyulihuatongmeng
上感九庙焚	shangganjiumiaofen
交戟之卫士欲止不内	jiaojizhiweishiyuzhibunei
濯锦清江万里流	zhuojinqingjiangwanliliu
玉树琼花满目春	yushuqionghuamanmuchun
咸阳市中叹黄犬	xianyangshizhongtanhuangquan
酒瓮开新槽	jiuwengkaixincao
至今九年而不复	zhijinjiunianerbufu
惊起却回头	jingqiquehuitou
铭勋悉太公	mingxunxitaigong
句读之不知	judouzhibuzhi
驱车登古原	quchedengguyuan
自是者不彰	zishizhebuzhang
江草江花处处鲜	jiangcaojianghuachuchuxian
垂鞭直拂五云车	chuibianzhifuwuyunche
憔悴支离为忆君	qiaocuizhiliweiyijun
感月吟风多少事	ganyueyinfengduoshaoshi
农民个个同仇	nongmingegetongchou
事无两样人心别	shiwuliangyangrenxinbie
非谓其见彼也	feiweiqijianbiye
收天下之兵	shoutianxiazhibing
回首白云低	huishoubaiyundi
迸水落遥空	bengshuiluoyaokong
酒入琼姬半醉	jiuruqiongjibanzui
邅吾道兮洞庭	zhanwudaoxidongting
被服纨与素	beifuwanyusu
石黛碧玉相因依	shidaibiyuxiangyinyi
易水萧萧西风冷	yishuixiaoxiaoxifengleng
天地终无情	tiandizhongwuqing
可怜后主还祠庙	kelianhouzhuhaicimiao
忽闻水上琵琶声	huwenshuishangpipasheng
行乐须及春	xinglexujichun
静听松风寒	jingtingsongfenghan
冬夜读书示子聿	dongyedushushiziyu
在好为人师	zaihaoweirenshi
虚室有余闲	xushiyouyuxian
万物将自化	wanwujiangzihua
叙德皆仲尼	xudejiezhongni
四时不在家	sishibuzaijia
历历开元事	lilikaiyuanshi
日高头未梳	rigaotouweishu
如今老去无成	rujinlaoquwucheng
野语有之曰	yeyuyouzhiyue
登京口北固亭有怀	dengjingkoubeigutingyouhuai
一波才动万波随	yibocaidongwanbosui
皎若云间月	jiaoruoyunjianyue
如舜而已矣	rushuneryiyi
不是一番寒彻骨	bushiyifanhanchegu
或取诸怀抱	huoquzhuhuaibao
乡人皆好之	xiangrenjiehaozhi
科学的本质就是创新	kexuedebenzhijiushichuangxin
与君生别离	yujunshengbieli
蜀僧抱绿绮	shusengbaolvqi
日暮黄云高	rimuhuangyungao
夫尺有所短	fuchiyousuoduan
不以万物易蜩之翼	buyiwanwuyitiaozhiyi
无家问死生	wujiawensisheng
杖藜叹世者谁子	zhanglitanshizheshuizi
当有来者知	dangyoulaizhezhi
山头南郭寺	shantounanguosi
岸花飞送客	anhuafeisongke
束带立于朝	shudailiyuchao
披衣闲坐养幽情	piyixianzuoyangyouqing
长绳百尺拽碑倒	changshengbaichizhuaibeidao
萱草解忘忧	xuancaojiewangyou
他生未卜此生休	tashengweibucishengxiu
今日欢呼孙大圣	jinrihuanhusundasheng
奔车轮缓旋风迟	benchelunhuanxuanfengchi
万事从今足	wanshicongjinzu
江山为助笔纵横	jiangshanweizhubizongheng
我由未免为乡人也	woyouweimianweixiangrenye
天台一万八千丈	tiantaiyiwanbaqianzhang
我未见力不足者	woweijianlibuzuzhe
则并与斗斛而窃之	zebingyudouhuerqiezhi
弟兄姐妹舞翩跹	dixiongjiemeiwupianxian
剩有离人影	shengyoulirenying
欲罢不能忘	yubabunengwang
啼时惊妾梦	tishijingqiemeng
万树江边杏	wanshujiangbianxing
天下之民归心焉	tianxiazhiminguixinyan
不炼金丹不坐禅	bulianjindanbuzuochan
清诗句句尽堪传	qingshijujujinkanchuan
守道不封己	shoudaobufengji
到处潜悲辛	daochuqianbeixin
中夜尚未安	zhongyeshangweian
玉盘珍羞直万钱	yupanzhenxiuzhiwanqian
忆秦娥娄山关	yiqineloushanguan
古木无人径	gumuwurenjing
吾尝跂而望矣	wuchangqierwangyi
割慈忍爱还租庸	gecirenaihaizuyong
郁郁葱葱佳气浮	yuyucongcongjiaqifu
万物皆妩媚	wanwujiewumei
未可与适道	weikeyushidao
君行吾为发浩歌	junxingwuweifahaoge
云之君兮纷纷而来下	yunzhijunxifenfenerlaixia
经冬犹绿林	jingdongyoululin
天下恶乎定	tianxiaehuding
