更上一层楼	gengshangyicenglou
朱门酒肉臭	zhumenjiurouxiu|zhumenjiurouchou
莫道君行早	modaojunxingzao
虽九死其犹未悔	suijiusiqiyouweihui
人生不如意	renshengburuyi
良药苦口利于病	liangyaokukouliyubing
祸患常积于忽微	huohuanchangjiyuhuwei
大漠孤烟直	damoguyanzhi
不破楼兰终不还	bupoloulanzhongbuhuan
木受绳则直	mushoushengzezhi
唤起工农千百万	huanqigongnongqianbaiwan
葡萄美酒夜光杯	putaomeijiuyeguangbei
非淡泊无以明志	feidanbowuyimingzhi
一寸光阴一寸金	yicunguangyinyicunjin
长河落日圆	changheluoriyuan
霜叶红于二月花	shuangyehongyueryuehua
横眉冷对千夫指	hengmeilengduiqianfuzhi
此时无声胜有声	cishiwushengshengyousheng
无限风光在险峰	wuxianfengguangzaixianfeng
哀民生之多艰	aiminshengzhiduojian
必有我师焉	biyouwoshiyan
清水出芙蓉	qingshuichufurong
花无百日红	huawubairihong
环球同此凉热	huanqiutongciliangre
八千里路云和月	baqianliluyunheyue
可下五洋捉鳖	kexiawuyangzhuobie
百万雄师过大江	baiwanxiongshiguodajiang
以及人之幼	yijirenzhiyou
老夫聊发少年狂	laofuliaofashaoniankuang
人面桃花相映红	renmiantaohuaxiangyinghong
洛阳亲友如相问	luoyangqinyouruxiangwen
金就砺则利	jinjiulizeli
下笔如有神	xiabiruyoushen
万紫千红总是春	wanziqianhongzongshichun
壮观天下无	zhuangguantianxiawu
老大徒伤悲	laodatushangbei
为他人作嫁衣裳	weitarenzuojiayishang
不如退而结网	burutuierjiewang
忠言逆耳利于行	zhongyannierliyuxing
春种一粒粟	chunzhongyilisu
踏遍青山人未老	tabianqingshanrenweilao
不能成方圆	bunengchengfangyuan
淡妆浓抹总相宜	danzhuangnongmozongxiangyi
莫道桑榆晚	modaosangyuwan
民无信不立	minwuxinbuli
若要人不知	ruoyaorenbuzhi
当惊世界殊	dangjingshijieshu
无可奈何花落去	wukenaihehualuoqu
仕而优则学	shieryouzexue
总把新桃换旧符	zongbaxintaohuanjiufu
日啖荔枝三百颗	ridanlizhisanbaike
往来无白丁	wanglaiwubaiding
长沙马王堆汉墓	changshamawangduihanmu
忧国不谋身	youguobumoushen
通古今之变	tonggujinzhibian
女为悦己者容	nvweiyuejizherong
牧童遥指杏花村	mutongyaozhixinghuacun
十年生死两茫茫	shinianshengsiliangmangmang
一骑红尘妃子笑	yijihongchenfeizixiao
借问酒家何处有	jiewenjiujiahechuyou
意恐迟迟归	yikongchichigui
清泉石上流	qingquanshishangliu
雨打风吹去	yudafengchuiqu
昨夜西风凋碧树	zuoyexifengdiaobishu
临行密密缝	linxingmimifeng
南朝四百八十寺	nanchaosibaibashisi
徒善不足以为政	tushanbuzuyiweizheng
国人皆曰可杀	guorenjieyuekesha
歌诗合为事而作	geshiheweishierzuo
重上井冈山	chongshangjinggangshan
天下无难事	tianxiawunanshi
知之为知之	zhizhiweizhizhi
一行白鹭上青天	yixingbailushangqingtian|yihangbailushangqingtian
于我如浮云	yuworufuyun
防范胜于救灾	fangfanshengyujiuzai
黑云压城城欲摧	heiyunyachengchengyucui
只是近黄昏	zhishijinhuanghun
望尽天涯路	wangjintianyalu
千里送鹅毛	qianlisongemao
虽然在城市	suiranzaichengshi
近乡情更怯	jinxiangqinggengqie
春风又绿江南岸	chunfengyoulvjiangnanan
化作春泥更护花	huazuochunnigenghuhua
同是天涯沦落人	tongshitianyalunluoren
人固有一死	renguyouyisi
士为知己者死	shiweizhijizhesi
八月十八潮	bayueshibachao
旧貌变新颜	jiumaobianxinyan
自信人生二百年	zixinrenshengerbainian
此事古难全	cishigunanquan
相看两不厌	xiangkanliangbuyan
一年十二月	yinianshieryue
谈笑有鸿儒	tanxiaoyouhongru
处处闻啼鸟	chuchuwentiniao
花落知多少	hualuozhiduoshao
荆轲刺秦王	jingkeciqinwang
问苍茫大地	wencangmangdadi
众人皆醉我独醒	zhongrenjiezuiwoduxing
乡音无改鬓毛衰	xiangyinwugaibinmaoshuai
来者犹可追	laizheyoukezhui
水善利万物而不争	shuishanliwanwuerbuzheng
弄潮儿向涛头立	nongchaoerxiangtaotouli
诸大夫皆曰可杀	zhudaifujieyuekesha
民亦忧其忧	minyiyouqiyou
左右皆曰可杀	zuoyoujieyuekesha
门前冷落鞍马稀	menqianlengluoanmaxi
国人杀之也	guorenshazhiye
决胜千里之外	jueshengqianlizhiwai
不管风吹浪打	buguanfengchuilangda
不知为不知	buzhiweibuzhi
见贤思齐焉	jianxiansiqiyan
扶摇直上九万里	fuyaozhishangjiuwanli
千里马常有	qianlimachangyou
人穷志不穷	renqiongzhibuqiong
忧民之忧者	youminzhiyouzhe
曲径通幽处	qujingtongyouchu
君子之德风	junzizhidefeng
天翻地覆慨而慷	tianfandifukaierkang
千里江陵一日还	qianlijianglingyirihuan
