阿二	A Er
吉人通	Ji Ren Tong
计无施	Ji Wu Shi
姬晓峰	Ji Xiao Feng
纪晓芙	Ji Xiao Fu
季长老	Ji Zhang Lao
贾布	Jia Bu
假东方不败	Jia Dong Fang Bu Bai
贾老六	Jia Lao Liu
贾老者	Jia Lao Zhe
建除	Jian Chu
简管家	Jian Guan Jia
简捷	Jian Jie
建宁公主	Jian Ning Gong Zhu
简长老	Jian Zhang Lao
江百胜	Jiang Bai Sheng
蒋士铨	Jiang Shi Quan
姜师叔	Jiang Shi Shu
蒋四根	Jiang Si Gen
蒋涛	Jiang Tao
蒋天寿	Jiang Tian Shou
蒋调侯	Jiang Tiao Hou
姜铁山	Jiang Tie Shan
姜文	Jiang Wen
姜小铁	Jiang Xiao Tie
脚夫	Jiao Fu
焦公礼	Jiao Gong Li
焦木和尚	Jiao Mu He Shang
教士	Jiao Shi
教书先生	Jiao Shu Xian Sheng
焦宛儿	Jiao Wan Er
焦文期	Jiao Wen Qi
教长	Jiao Zhang
解风	Jie Feng
杰书	Jie Shu
解文豹	Jie Wen Bao
金花婆婆	Jin Hua Po Po
金轮法王	Jin Lun Fa Wang
静慧	Jing Hui
净济	Jing Ji
静迦	Jing Jia
静空	Jing Kong
净清	Jing Qing
静虚师太	Jing Xu Shi Tai
静玄师太	Jing Xuan Shi Tai
静照	Jing Zhao
静智大师	Jing Zhi Da Shi
鸠摩智	Jiu Mo Zhi
九难	Jiu Nan
九死生	Jiu Si Sheng
菊芳	Ju Fang
菊剑	Ju Jian
俱明宝树王	Ju Ming Bao Shu Wang
菊友	Ju You
觉远	Jue Yuan
觉远大师	Jue Yuan Da Shi
觉月	Jue Yue
喀丝丽	Ka Si Li
凯别兴	Kai Bie Xing
康广陵	Kang Guang Ling
柯万钧	Ke Wan Jun
柯镇恶	Ke Zhen E
空见	Kong Jian
空闻	Kong Wen
空心菜	Kong Xin Cai
空性	Kong Xing
空智	Kong Zhi
枯木	Ku Mu
枯荣长老	Ku Rong Zhang Lao
邝宝官	Kuang Bao Guan
邝天雄	Kuang Tian Xiong
来福儿	Lai Fu Er
蓝凤凰	Lan Feng Huang
兰剑	Lan Jian
蓝秦	Lan Qin
蓝天和	Lan Tian He
郎师傅	Lang Shi Fu
老不死	Lao Bu Si
劳德诺	Lao De Nuo
老李	Lao Li
劳太监	Lao Tai Jian
老头子	Lao Tou Zi
老王	Lao Wang
老吴	Lao Wu
乐厚	Le Hou
雷猛	Lei Meng
雷一啸	Lei Yi Xiao
冷谦	Leng Qian
李春来	Li Chun Lai
李大元	Li Da Yuan
黎夫人	Li Fu Ren
黎刚	Li Gang
李可秀	Li Ke Xiu
李傀儡	Li Kui Lei
李力世	Li Li Shi
李莫愁	Li Mo Chou
李萍	Li Ping
李秋水	Li Qiu Shui
李三	Li San
黎生	Li Sheng
李式开	Li Shi Kai
李四	Li Si
李四摧	Li Si Cui
李天恒	Li Tian Heng
李廷豹	Li Ting Bao
李万山	Li Wan Shan
李文秀	Li Wen Xiu
李西华	Li Xi Hua
李岩	Li Yan
李沅芷	Li Yuan Zhi
李志常	Li Zhi Chang
李自成	Li Zi Cheng
连诚诀	Lian Cheng Jue
梁发	Liang Fa
梁长老	Liang Zhang Lao
梁自进	Liang Zi Jin
梁子翁	Liang Zi Weng
廖自砺	Liao Zi Li
林朝英	Lin Chao Ying
林平之	Lin Ping Zhi
林兴珠	Lin Xing Zhu
林永超	Lin Yong Chao
林玉龙	Lin Yu Long
林远图	Lin Yuan Tu
林震南	Lin Zhen Nan
令狐冲	Ling Hu Chong
凌霜华	Ling Shuang Hua
凌退思	Ling Tui Si
灵虚	Ling Xu
灵智上人	Ling Zhi Shang Ren
刘敖	Liu Ao
刘乘风	Liu Cheng Feng
刘处玄	Liu Chu Xuan
柳大洪	Liu Da Hong
刘芳亮	Liu Fang Liang
刘鹤真	Liu He Zhen
刘菁	Liu Jing
刘培生	Liu Pei Sheng
刘芹	Liu Qin
刘玄处	Liu Xuan Chu
柳燕	Liu Yan
刘一舟	Liu Yi Zhou
刘瑛姑	Liu Ying Gu
刘於义	Liu Yu Yi
刘元鹤	Liu Yuan He
流云使	Liu Yun Shi
刘正风	Liu Zheng Feng
刘之余	Liu Zhi Yu
刘竹庄	Liu Zhu Zhuang
刘宗敏	Liu Zong Min
龙岛主	Long Dao Zhu
龙德邻	Long De Lin
龙骏	Long Jun
聋哑婆婆	Long Ya Po Po
陆伯	Lu Bo
陆乘风	Lu Cheng Feng
陆大有	Lu Da You
鹿鼎记	Lu Ding Ji
陆鼎立	Lu Ding Li
陆二娘	Lu Er Niang
陆菲青	Lu Fei Qing
路副将	Lu Fu Jiang
陆高轩	Lu Gao Xuan
陆冠英	Lu Guan Ying
鲁坤	Lu Kun
鲁连荣	Lu Lian Rong
鹿清笃	Lu Qing Du
陆天抒	Lu Tian Shu
陆无双	Lu Wu Shuang
卢一峰	Lu Yi Feng
鲁有脚	Lu You Jiao
鹿杖客	Lu Zhang Ke
骆冰	Luo Bing
罗大千	Luo Da Qian
罗立如	Luo Li Ru
罗人杰	Luo Ren Jie
罗信	Luo Xin
吕葆中	Lv Bao Zhong
吕留良	Lv Liu Liang
吕七	Lv Qi
吕文德	Lv Wen De
吕小妹	Lv Xiao Mei
吕毅中	Lv Yi Zhong
吕正平	Lv Zheng Ping
绿竹翁	Lv Zhu Weng
马宝	Ma Bao
马博仁	Ma Bo Ren
马超兴	Ma Chao Xing
马春花	Ma Chun Hua
马大鸣	Ma Da Ming
马大挺	Ma Da Ting
马法通	Ma Fa Tong
马夫人	Ma Fu Ren
马公子	Ma Gong Zi
马光佐	Ma Guang Zuo
马家骏	Ma Jia Jun
马敬侠	Ma Jing Xia
马喇	Ma La
玛米尔	Ma Mi Er
马齐	Ma Qi
马青雄	Ma Qing Xiong
马善均	Ma Shan Jun
马五德	Ma Wu De
马行空	Ma Xing Kong
麻衣汉子	Ma Yi Han Zi
马佑	Ma You
马钰	Ma Yu
马真	Ma Zhen
麦鲸	Mai Jing
麦少帮主	Mai Shao Bang Zhu
茅十八	Mao Shi Ba
