张涵予	Zhanghanyu
张清芳	Zhangqingfang
张湘怡	Zhangxiangyi
张澜澜	Zhanglanlan
张特	Zhangte
张琢	Zhangzhuo
张琢	Zhangzhuo
张琳	Zhanglin
张瑞姬	Zhangruiji
张瑞希	Zhangruixi
张瑶	Zhangyao
张纪中	Zhangjizhong
张艺谋	Zhangyimou
张艾嘉	Zhangaijia
张若昀	Zhangruoyun
张若昀	Zhangruoyun
张茜	Zhangqian|zhangxi
张茜	Zhangqian|zhangxi
张萌	Zhangmeng
张蔷	Zhangqiang
张译	Zhangyi
张钧甯	Zhangjunning
张铁林	Zhangtielin
张雨生	Zhangyusheng
张雯	Zhangwen
张靓颖	Zhangliangying
张静东	Zhangjingdong
张静初	Zhangjingchu
张韶涵	Zhangshaohan
张馨予	Zhangxinyu
张鲈	Zhanglu
强尼戴普	Qiangnidaipu
归亚蕾	Guiyalei
彝人	Yiren
彩虹乐团	Caihongyuetuan
彭丹	Pengdan
彭丽媛	Pengliyuan
彭久洋	Pengjiuyang
彭于晏	Pengyuyan
彭佳慧	Pengjiahui
彭海桐	Penghaitong
彭海桐	Penghaitong
彭羚	Pengling
彭靖惠	Pengjinghui
彼威尔	Biweier
彼得杰克逊	Bidejiekexun
徐仁国	Xurenguo
徐克	Xuke
徐婕儿	Xujieer
徐子淇	Xuziqi
徐子珊	Xuzishan
徐小凤	Xuxiaofeng
徐峥	Xuzheng
徐帆	Xufan
徐怀钰	Xuhuaiyu
徐河俊	Xuhejun
徐洋	Xuyang
徐濠萦	Xuhaoying
徐熙媛	Xuxiyuan
徐筠	Xujun
徐若	Xuruo
徐荣	Xurong
徐誉滕	Xuyuteng
徐静蕾	Xujinglei
忧木瞳	Youmutong
惠特尼休斯顿	Huitenixiusidun
成泰	Chengtai
成赫	Chenghe
成龙	Chenglong
戚薇	Qiwei
戚迹	Qiji
戴佩妮	Daipeini
戴军	Daijun
戴安莱恩	Daianlaien
戴爱玲	Daiailing
戴米摩尔	Daimimoer
托马斯哈登丘奇	Tuomasihadengqiuqi
托马斯哈登丘奇	Tuomasihadengqiuqi
摩根弗里曼	Mogenfuliman
文彩元	Wencaiyuan
文根英	Wengenying
文章	Wenzhang
斯嘉丽约翰松	Sijialiyuehansong
斯琴格日乐	Siqingerile
斯琴高娃	Siqingaowa
斯蒂文索德伯格	Sidiwensuodeboge
斯蒂芬道德利	Sidifendaodeli
新垣结衣	Xinyuanjieyi
新山千春	Xinshanqianchun
新山爱里	Xinshanaili
方中信	Fangzhongxin
方力申	Fanglishen
方子璇	Fangzixuan
日吉亚衣	Rijiyayi
昆汀塔伦蒂诺	Kuntingtalundinuo
明道	Mingdao
明骏女孩	Mingjunnvhai
星野亚希	Xingyeyaxi
星野光	Xingyeguang
景岗山	Jinggangshan
景甜	Jingtian
曲山英里	Qushanyingli
曹征	Caozheng
曹承佑	Caochengyou
曹敏莉	Caominli
曹方	Caofang
曹曦文	Caoxiwen
曹格	Caoge
曹璐	Caolu
曹颖	Caoying
曾宝仪	Zengbaoyi
曾志伟	Zengzhiwei
曾黎	Zengli
有栖川志乃	Youqichuanzhinai
有栖川志乃	Youqichuanzhinai
朝冈实岭	Chaogangshiling
朝冈实岭	Chaogangshiling
木下亚由美	Muxiayayoumei
木内晶	Muneijing
木内晶	Muneijing
木内晶子	Muneijingzi
木内晶子	Muneijingzi
木村拓哉	Mucuntuozai
木村衣里	Mucunyili
本尼西奥德尔托罗	Bennixiaodeertuoluo
本尼迪克特康伯巴奇	Bennidiketekangbobaqi
本尼迪克特康伯巴奇	Bennidiketekangbobaqi
本尼迪克特康伯巴奇	Bennidiketekangbobaqi
本艾弗莱克	Benaifulaike
本金斯利	Benjinsili
朱丽叶比诺什	Zhuliyebinuoshen|zhuliyebinuoshi
朱亚文	Zhuyawen
朱俐颖	Zhuliying
朱俐颖	Zhuliying
朱军	Zhujun
朱哲琴	Zhuzheqin
朱国豪	Zhuguohao
朱国豪	Zhuguohao
朱媛媛	Zhuyuanyuan
朱孝天	Zhuxiaotian
朱明瑛	Zhumingying
朱茵	Zhuyin
朱莉亚罗伯茨	Zhuliyaluoboci
朱莉沃尔特斯	Zhuliwoertesi
朱迪丹奇	Zhudidanqi
朱迪丹奇	Zhudidanqi
朱铁	Zhutie
朱铁	Zhutie
朴世荣	Pushirong
朴世荣	Pushirong
朴世荣	Pushirong
朴信阳	Piaoxinyang
朴恩惠	Piaoenhui
朴树	Pushu|poshu
朴正哲	Piaozhengzhe
朴正哲	Piaozhengzhe
朴正哲	Piaozhengzhe
朴炯植	Pujiongzhi
朴炯植	Pujiongzhi
朴炯植	Pujiongzhi
朴真熙	Piaozhenxi|puzhenxi
朴真熙	Piaozhenxi|puzhenxi
朴真熙	Piaozhenxi|puzhenxi
朴蔡琳	Pucailin
朴蔡琳	Pucailin
朴蔡琳	Pucailin
权相宇	Quanxiangyu
杉本知春	Shanbenzhichun
杉本知春	Shanbenzhichun
杉籽伽	Shanzijia
杉籽伽	Shanzijia
杉籽伽	Shanzijia
杉籽伽	Shanzijia
杉籽伽	Shanzijia
杉籽伽	Shanzijia
李东健	Lidongjian
李东旭	Lidongxu
李丽华	Lilihua
李丽珍	Lilizhen
李丽芬	Lilifen
李云迪	Liyundi
李亚鹏	Liyapeng
李依晓	Liyixiao
李保田	Libaotian
李修贤	Lixiuxian
李倩	Liqian
李倩妮	Liqianni
李倩蓉	Liqianrong
李健	Lijian
李光洁	Liguangjie
李克勤	Likeqin
李兵	Libing
李冰冰	Libingbing
李准基	Lizhunji
