萨宾图	Sabintu
萨秉阿敖尔和	Sabingaaoerhe
萨秉阿参彻	Sabingacanche
萨布当阿	Sabudanga
萨察	Sacha
萨敦	Sadun
萨格达	Sageda
萨哈	Saha
萨哈达	Sahada
萨哈连	Sahalian
萨哈纳	Sahana
萨基	Saji
萨克达	Sakeda
萨里甘	Saligan
萨穆哈	Samuha
萨木素	Samusu
萨伊堪	Sayikan
萨伊萨	Sayisa
萨印	Sayin
赛弼甘	Saibigan
赛米尔	Saimier
赛色	Saise
桑阿布	Sangabu
色尔敏	Seermin
色赫	Sehe
色堪	Sekan
色克图	Seketu
色勒	Sele
色棱比	Selengbi
僧吉里宜尔哈	Sengjiliyierha
僧吉谟	Sengjimo
沙浑沙礼	Shahunshali
沙拉	Shala
沙里甘追	Shaliganzhui
善彦布勒翰	Shanyanbulehan
舍里	Sheli
舍图翰	Shetuhan
舍彦谷	Sheyangu
沈佳	Shenjia
生都	Shengdou
施布鲁	Shibulu
石穆鲁	Shimulu
舒彻里宜尔哈	Shucheliyierha
舒鲁	Shulu
舒穆禄	Shumulu
舒恕	Shushu
舒舒勒栋阿	Shushuledonga
舒恕纳	Shushuna
舒宜尔哈	Shuyierha
硕翁科罗	Shuowengkeluo
硕翁科罗巴固鲁	Shuowengkeluobagulu
松阿宜尔哈	Songayierha
松甘	Songgan
松格里	Songgeli
松果备巴图鲁	Songguobeibatulu
宋吉纳	Songjina
嵩佳	Songjia
松克	Songke
松克里宜尔哈	Songkeliyierha
苏白	Subai
苏布礼	Subuli
苏充阿	Suchonga
苏丹	Sudan
苏赫	Suhe
苏和臣	Suhechen
苏勒	Sule
苏穆察	Sumucha
苏瓦彦雅达纳	Suwayanyadana
苏完瓜尔佳	Suwanguaerjia
苏雅	Suya
绥哈	Suiha
绥兰	Suilan
孙佳	Sunjia
孙塔	Sunta
孙札齐	Sunzhaqi
索尔和	Suoerhe
索伦	Suolun
索伦图	Suoluntu
索尼巴克什	Suonibakeshen
索宁巴图鲁	Suoningbatulu
索诺络	Suonuoluo
塔尔曼	Taerman
他哈比巳特	Tahabisite
他克图巴图鲁	Taketubatulu
塔齐布	Taqibu
他塔拉	Tatala
塔塔拉	Tatala
泰芬	Taifen
谈图	Tantu
唐古哈	Tangguha
唐乌勒特	Tangwulete
唐依特	Tangyite
特博勤比	Teboqinbi
特呼尔	Tehuer
田佳	Tianjia
佟佳	Tongjia
图弼赫	Tubihe
图尔浑	Tuerhun
图克坦	Tuketan
图喇	Tula
图礼	Tuli
图里宜琛比	Tuliyichenbi
图门	Tumen
图们	Tumen
图萨	Tusa
屯多	Tunduo
屯多阿克敦	Tunduoakedun
屯多吉尔占	Tunduojierzhan
托	Tuo
陀博	Tuobo
陀瑾	Tuojin
托罗	Tuoluo
瓦浑	Wahun
瓦济麻	Wajima
瓦色	Wase
完颜	Wanyan
汪拉佳	Wanglajia
汪扎尔	Wangzhaer
魏车特	Weichete
魏黑	Weihei
尾伦	Weilun
温察	Wencha
温都	Wendou
温都礼	Wendouli
温特贺	Wentehe
温哲珲	Wenzhehun
翁额洛	Wengeluo
翁库玛法	Wengkumafa
窝克	Woke
窝莫罗	Womoluo
渥西珲	Woxihun
沃新比	Woxinbi
倭依特	Woyite
乌尔登	Wuerdeng
乌尔衮	Wuergun
乌尔衮阿	Wuerguna
乌尔衮色布真	Wuergunsebuzhen
吴尔护	Wuerhu
吴尔佳齐	Wuerjiaqi
邬黑	Wuhei
吴喀达	Wukada
吴库	Wuku
邬库礼	Wukuli
乌库妈妈	Wukumama
乌喇	Wula
吴勒	Wule
乌勒登	Wuledeng
乌勒黑苏	Wuleheisu
吴礼	Wuli
乌梁海	Wulianghai
吴木笃	Wumudu
吴沙库	Wushaku
乌肃	Wusu
吴孙	Wusun
乌扎拉	Wuzhala
伍哲布勒	Wuzhebule
席达	Xida
喜达棱比	Xidalengbi
希尔根	Xiergen
奚尔佳奚赫特	Xierjiaxihete
西尔拉特	Xierlate
喜福	Xifu
希福巴克什	Xifubakeshen
喜吉尔珲	Xijierhun
席锦泰	Xijintai
希克特	Xikete
希克特里	Xiketeli
西兰	Xilan
西里布	Xilibu
西林觉罗	Xilinjueluo
喜塔拉	Xitala
喜特珲比	Xitehunbi
西特库	Xiteku
谢伯乐	Xiebole
辛泰	Xintai
星格里	Xinggeli
邢佳	Xingjia
雅布	Yabu
雅尔甘	Yaergan
雅拉	Yala
