曹成公姬负刍	Caochenggongjifuchu
曹大元	Caodayuan
曹戴伯	Caodaibo
曹戴伯姬苏	Caodaibojisu
曹丹丹	Caodandan
曹悼公	Caodaogong
曹悼公姬午	Caodaogongjiwu
曹方	Caofang
曹芳	Caofang
曹凤珠	Caofengzhu
曹刚川	Caogangchuan
曹格	Caoge
曹宫伯	Caogongbo
曹宫伯姬侯	Caogongbojihou
曹共公	Caogonggong
曹共公姬襄	Caogonggongjixiang
曹国舅	Caoguojiu
曹荭	Caohong
曹桓公	Caohuangong
曹桓公姬终生	Caohuangongjizhongsheng
曹奂	Caohuan
曹惠公	Caohuigong
曹惠公姬兕	Caohuigongjisi
曹建海	Caojianhai
曹健	Caojian
曹谨	Caojin
曹靖公	Caojinggong
曹靖公姬露	Caojinggongjilu
曹靖华	Caojinghua
曹凯胜	Caokaisheng
曹克林	Caokelin
曹克明	Caokeming
曹寇	Caokou
曹锟	Caokun
曹霖	Caolin
曹髦	Caomao
曹孟德	Caomengde
曹穆公	Caomugong
曹穆公姬武	Caomugongjiwu
曹丕	Caopi|caoa
曹平公	Caopinggong
曹平公姬须	Caopinggongjixu
曹仁	Caoren
曹汝霖	Caorulin
曹叡	Caorui
曹盛洁	Caoshengjie
曹叔	Caoshu
曹叔姬振铎	Caoshujizhenduo
曹素功	Caosugong
曹太伯	Caotaibo
曹太伯姬脾	Caotaibojipi
曹天戈	Caotiange
曹天昊	Caotianhao
曹维城	Caoweicheng
曹文公	Caowengong
曹文公姬寿	Caowengongjishou
曹武公	Caowugong
曹武公姬胜	Caowugongjisheng
曹僖公	Caoxigong
曹僖公姬夷	Caoxigongjiyi
曹曦文	Caoxiwen
曹喜蛙	Caoxiwa
曹显兵	Caoxianbing
曹襄公	Caoxianggong
曹襄公姬野	Caoxianggongjiye
曹孝伯	Caoxiaobo
曹孝伯姬云	Caoxiaobojiyun
曹宣公	Caoxuangong
曹宣公姬强	Caoxuangongjiqiang
曹雪	Caoxue
曹雪芹	Caoxueqin
曹薰铉	Caoxunxuan
曹龑	Caoyan
曹燕	Caoyan
曹燕华	Caoyanhua
曹阳	Caoyang
曹夷伯	Caoyibo
曹夷伯姬喜	Caoyibojixi
曹隐公	Caoyingong
曹隐公姬通	Caoyingongjitong
曹颖	Caoying
曹幽伯	Caoyoubo
曹幽伯姬强	Caoyoubojiqiang
曹禺	Caoyu
曹远征	Caoyuanzheng
曹增辉	Caozenghui
曹昭公	Caozhaogong
曹昭公姬班	Caozhaogongjiban
曹贞吉	Caozhenji
曹征	Caozheng
曹植	Caozhi|caoa
曹中铭	Caozhongming
曹仲君	Caozhongjun
曹仲君姬平	Caozhongjunjiping
曹庄公	Caozhuanggong
曹庄公姬夕姑	Caozhuanggongjixigu
曹子建	Caozijian
草圣	Caosheng
岑参	Censhen
岑春煊	Cenchunxuan
岑凯伦	Cenkailun
岑科	Cenke
岑鹏	Cenpeng
岑永康	Cenyongkang
曾宝仪	Zengbaoyi
曾炳权	Cengbingquan
曾参	Zengshen
曾灿灯	Cengcandeng
曾巩	Zenggong
曾国藩	Zengguofan
曾国荃	Zengguoquan
曾璜	Cenghuang
曾会明	Cenghuiming
曾纪泽	Cengjize
曾建徽	Cengjianhui
曾玲	Cengling
曾朴	Cengpu
曾启全	Cengqiquan
曾庆祝	Cengqingzhu|zengqingzhu
曾少宗	Zengshaozong
曾万钟	Cengwanzhong
曾炜	Zengwei
曾宪锋	Cengxianfeng
曾祥金	Cengxiangjin
曾孝谷	Cengxiaogu
曾业辉	Cengyehui
曾荫权	Zengyinquan
曾泽生	Cengzesheng
曾之乔	Zengzhiqiao
曾志伟	Zengzhiwei
曾子	Zengzi
曾子航	Zengzihang
茶圣	Chasheng
查可欣	Chakexin
查理大帝	Chalidadi
查慕新	Chamuxin
查韦斯	Chaweisi
查仙奴	Chaxiannu
查小欣	Zhaxiaoxin
察合台	Chahetai
柴进	Chaijin
柴静	Chaijing
柴荣	Chairong
柴宗训	Chaizongxun
常宝	Changbao
常昊	Changhao
常红利	Changhongli
常宽	Changkuan
常明芳	Changmingfang
常任侠	Changrenxia
常婉华	Changwanhua
常香玉	Changxiangyu
常晓阳	Changxiaoyang
常颖	Changying
常遇春	Changyuchun
常远	Changyuan
嫦娥	Change
晁补之	Chaobuzhi
晁错	Chaocuo
晁盖	Chaogai
晁衡	Chaoheng
车尔尼雪夫斯基	Cheernixuefusiji
车径行	Chejingxing
车太铉	Chetaixuan
车泽武	Chezewu
辰亦儒	Chenyiru
陈哀公	Chenaigong
