阿什哈达摩崖	Ashihadamoya
剑池	Jianchi
见心斋	Jianxinzhai
鉴真纪念堂	Jianzhenjiniantang
将军坟	Jiangjunfen
将军崖岩画	Jiangjunyayanhua
绛守居园池	Jiangshoujuyuanchi
绛州大堂	Jiangzhoudatang
绛州三楼	Jiangzhousanlou
角抵墓	Jiaodimu
焦山	Jiaoshan
焦山碑刻	Jiaoshanbeike
焦山抗英炮台遗址	Jiaoshankangyingpaotaiyizhi
交泰殿	Jiaotaidian
焦庄户地道战遗址	Jiaozhuanghudidaozhanyizhi
碣石观海	Jieshiguanhai
碣石山	Jieshishan
戒台古松	Jietaigusong
戒台寺	Jietaisi
解州关帝庙	Jiezhouguandimiao
金鳖玉蝀桥	Jinbieyudongqiao
晋祠	Jinci
晋祠之铭并序碑	Jincizhimingbingxubei
金代石幢	Jindaishizhuang
金灯寺	Jindengsi
金灯寺石窟	Jindengsishiku
金洞寺	Jindongsi
金刚座舍利宝塔	Jingangzuoshelibaota
金阁寺	Jingesi
晋冀鲁豫烈士陵园	Jinjiluyulieshilingyuan
金莲映日	Jinlianyingri
金人台	Jinrentai
金山	Jinshan
金山长城	Jinshanchangcheng
金山寺	Jinshansi
进士题名碑	Jinshitimingbei
金水桥	Jinshuiqiao
晋水源流	Jinshuiyuanliu
晋绥解放区烈士陵园	Jinsuijiefangqulieshilingyuan
金太祖阿骨打御陵址	Jintaizuagudayulingzhi
金土城遗址	Jintuchengyizhi
近园	Jinyuan
金源乳峰太虚洞	Jinyuanrufengtaixudong
静安寺	Jingansi
靖边营遗址	Jingbianyingyizhi
镜泊湖	Jingbohu
景德桥	Jingdeqiao
景福阁	Jingfuge
净觉寺	Jingjuesi
静明园	Jingmingyuan
景山	Jingshan
景山五亭	Jingshanwuting
景泰陵	Jingtailing
静心斋	Jingxinzhai
靖宇陵园	Jingyulingyuan
景州塔	Jingzhouta
九连城	Jiuliancheng
九龙壁	Jiulongbi
居庸关	Juyongguan
居庸关云台	Juyongguanyuntai
卷阿胜境	Juanashengjing
觉山寺	Jueshansi
觉生寺	Jueshengsi
觉悟社旧址	Juewushejiuzhi
君子长生馆	Junzichangshengguan
开化寺	Kaihuasi
开化寺连理塔	Kaihuasilianlita
开元寺塔	Kaiyuansita
开元寺无梁殿	Kaiyuansiwuliangdian
开元寺钟楼及塔	Kaiyuansizhongloujita
抗美援朝烈士陵园	Kangmeiyuanchaolieshilingyuan
匼河遗址	Keheyizhi
孔庙	Kongmiao
孔望山汉代摩崖造像	Kongwangshanhandaimoyazaoxiang
况公祠	Kuanggongci
昆都仑召	Kundulunzhao
昆明湖	Kunminghu
坤宁宫	Kunninggong
坤柔圣母庙	Kunroushengmumiao
兰陵王碑	Lanlingwangbei
兰亭碎亭	Lantingsuiting
狼山	Langshan
狼牙山烈士增	Langyashanlieshizeng
老虎石	Laohushi
老西开教堂	Laoxikaijiaotang
乐寿堂	Leshoutang
雷锋陵园	Leifenglingyuan
楞严寺	Lengyansi
李成梁石坊	Lichengliangshifang
李大钊故居	Lidazhaoguju
李大钊烈士陵园	Lidazhaolieshilingyuan
历代帝王庙	Lidaidiwangmiao
利玛窦墓	Limadoumu
澧水石桥碑	Lishuishiqiaobei
李塔	Lita
李文忠墓	Liwenzhongmu
蠡园	Liyuan
李兆麟将军墓	Lizhaolinjiangjunmu
丽正门	Lizhengmen
李卓吾墓	Lizhuowumu
莲花池	Lianhuachi
莲花石公园	Lianhuashigongyuan
莲性寺白塔	Lianxingsibaita
梁红玉祠	Lianghongyuci
良乡多室佛塔	Liangxiangduoshifota
辽宁省博物馆	Liaoningshengbowuguan
辽庆陵	Liaoqingling
辽庆州城遗址	Liaoqingzhouchengyizhi
辽上京城遗址	Liaoshangjingchengyizhi
辽沈战役纪念馆	Liaoshenzhanyijinianguan
辽沈战役烈士纪念塔	Liaoshenzhanyilieshijinianta
辽太祖陵	Liaotaizuling
辽阳壁画墓群	Liaoyangbihuamuqun
辽中京城遗址	Liaozhongjingchengyizhi
廖仲恺何香凝墓	Liaozhongkaihexiangningmu
辽祖州城遗址	Liaozuzhouchengyizhi
林东塔	Lindongta
临济寺澄灵塔	Linjisichenglingta
林泉寺	Linquansi
临漪亭	Linyiting
祾恩殿	Lingendian
灵谷寺	Linggusi
灵谷塔	Lingguta
灵光寺	Lingguangsi
灵空山	Lingkongshan
陵口	Lingkou
灵石	Lingshi
棂星门	Lingxingmen
灵悦寺	Lingyuesi
六顶山渤海墓群	Liudingshanbohaimuqun
刘胡兰纪念馆	Liuhulanjinianguan
六郎碑	Liulangbei
琉璃厂	Liulichang
琉璃河商周遗址	Liuliheshangzhouyizhi
留园	Liuyuan
龙帛寺	Longbosi
隆昌寺无梁殿	Longchangsiwuliangdian
龙洞石刻	Longdongshike
龙虎殿	Longhudian
龙虎石刻	Longhushike
龙华	Longhua
龙华烈士陵园	Longhualieshilingyuan
龙门寺	Longmensi
龙泉寺	Longquansi
龙泉寺戚继光诗碑	Longquansiqijiguangshibei
龙泉寺石狮	Longquansishishi
龙沙公园	Longshagongyuan
龙山石窟	Longshanshiku
龙首山	Longshoushan
龙潭	Longtan
龙潭山高句丽山城	Longtanshangaogoulishancheng
龙王堂	Longwangtang
龙祥观	Longxiangguan
隆兴寺	Longxingsi
龙藏寺碑	Longzangsibei|longcangsibei
龙子祠泉	Longziciquan
隆宗门	Longzongmen
卢沟桥	Lugouqiao
鲁化寺	Luhuasi
陆秀夫祠	Luxiufuci
鲁迅故居	Luxunguju
鲁迅墓	Luxunmu
沦泊屿	Lunboyu
沦州铁狮子	Lunzhoutieshizi
罗汉山	Luohanshan
罗汉院遗址	Luohanyuanyizhi
罗睺寺	Luohousi
罗聘故居	Luopinguju
旅顺博物馆	Lvshunbowuguan
吕祖堂	Lvzutang
马桥古文化遗址	Maqiaoguwenhuayizhi
满城汉墓	Manchenghanmu
莽吉塔站故城	Mangjitazhangucheng
茅村汉画像石墓	Maocunhanhuaxiangshimu
泖塔	Maota
毛主席纪念堂	Maozhuxijiniantang
美岱召	Meidaizhao
梅花山	Meihuashan
梅园	Meiyuan
梅园新村	Meiyuanxincun
蒙古文天文图石刻	Mengguwentianwentushike
秘密寺	Mimisi
弥陀殿	Mituodian
米元章墓	Miyuanzhangmu
绵山	Mianshan
妙应寺白塔	Miaoyingsibaita
民族文化宫	Minzuwenhuagong
明代监狱	Mingdaijianyu
明故宫遗址	Minggugongyizhi
明惠大师石塔	Minghuidashishita
明孝陵	Mingxiaoling
明征君碑	Mingzhengjunbei
明祖陵	Mingzuling
莫愁湖	Mochouhu
摩诃庵	Mohean
摩尼殿	Monidian
穆桂英点将台	Muguiyingdianjiangtai
木兰记碑	Mulanjibei
慕陵	Muling
慕田峪长城	Mutianyuchangcheng
奈曼王府	Naimanwangfu
南安寺塔	Nanansita
南朝萧绩墓石刻	Nanchaoxiaojimushike
南湖岛	Nanhudao
南吉祥寺	Nanjixiangsi
南京博物院	Nanjingbowuyuan
南京长江大桥	Nanjingchangjiangdaqiao
南山寺	Nanshansi
南唐两陵	Nantangliangling
南通博物苑	Nantongbowuyuan
南翔寺经幢	Nanxiangsijingchuang
南翔寺砖塔	Nanxiangsizhuanta
南响堂寺石窟	Nanxiangtangsishiku
南阳公主祠	Nanyanggongzhuci
内边长城敌台	Neibianchangchengditai
内园	Neiyuan
娘子关	Niangziguan
宁古塔城遗址	Ninggutachengyizhi
宁武夫	Ningwufu
宁远卫城	Ningyuanweicheng
牛街清真寺	Niujieqingzhensi
牛首山破金故垒	Niushoushanpojingulei
牛王庙戏台	Niuwangmiaoxitai
农安辽塔	Nonganliaota
欧阳修祠	Ouyangxiuci
耦园	Ouyuan
盘谷寺	Pangusi
盘门	Panmen
盘山	Panshan
盘山烈士陵园	Panshanlieshilingyuan
裴祠石刻	Peicishike
辟雍	Piyong
偏脸城	Pianliancheng
平山堂	Pingshantang
平山温泉	Pingshanwenquan
萍香沜	Pingxiangpan
平型夫	Pingxingfu
平型关战役遗址	Pingxingguanzhanyiyizhi
平遥城墙	Pingyaochengqiang
平远楼	Pingyuanlou
普渡寺	Pudusi
普会寺	Puhuisi
普济桥	Pujiqiao
普净寺	Pujingsi
普救寺	Pujiusi
普利寺塔	Pulisita
普宁寺	Puningsi
菩萨顶	Pusading
普彤寺塔	Putongsita
普陀宗乘之庙	Putuozongchengzhimiao
七宝塔	Qibaota
七级浮屠塔	Qijifututa
祈年殿	Qiniandian
七王坟	Qiwangfen
栖霞山	Qixiashan
栖霞寺	Qixiasi
栖岩寺塔	Qiyansita
千佛洞	Qianfodong
乾隆花园	Qianlonghuayuan
乾隆行宫	Qianlongxinggong
前门	Qianmen
乾清宫	Qianqinggong
千山	Qianshan
千像寺	Qianxiangsi
桥楼殿	Qiaoloudian
勤民楼	Qinminlou
沁秋亭	Qinqiuting
庆成富	Qingchengfu
清东陵	Qingdongling
清公主府	Qinggongzhufu
青莲寺	Qingliansi
清凉山	Qingliangshan
清凉寺	Qingliangsi
青龙倒吸水	Qinglongdaoxishui
青龙寺	Qinglongsi
青龙塔	Qinglongta
清宁宫	Qingninggong
清西陵	Qingxiling
清晏舫	Qingyanfang
清怡贤亲王墓	Qingyixianqinwangmu
清与路故城	Qingyulugucheng
清远楼	Qingyuanlou
清真北大寺	Qingzhenbeidasi
清真大寺	Qingzhendasi
清真古寺	Qingzhengusi
清真寺	Qingzhensi
琼岛春阴	Qiongdaochunyin
琼华岛	Qionghuadao
秋风楼	Qiufenglou
全国农业展览馆	Quanguonongyezhanlanguan
全晋会馆	Quanjinhuiguan
犬戏楼	Quanxilou
冉庄地道战遗址	Ranzhuangdidaozhanyizhi
饶阳店古塔	Raoyangdianguta
人达龄	Rendaling
人面石刻	Renmianshike
人民大会堂	Renmindahuitang
人民公园	Renmingongyuan
人民英雄纪念碑	Renminyingxiongjinianbei
仁寿殿	Renshoudian
日涉园	Risheyuan
日坛	Ritan
入崖口有作诗碑	Ruyakouyouzuoshibei
瑞光塔	Ruiguangta
瑞云峰	Ruiyunfeng
