安吉竹鸡	anjizhuji
两来风辣汤	lianglaifenglatang
梁王鱼	liangwangyu
梁溪脆鳝	liangxicuishan
廖排骨	liaopaigu
刘公雅鱼	liugongyayu
熘黄菜	liuhuangcai
溜黄青蟹	liuhuangqingxie
溜子鸡	liuziji
龙抄手	longchaoshou
龙风汤	longfengtang
龙虎斗	longhudou
龙井虾仁	longjingxiaren
龙门鱼	longmenyu
龙女一斛珠	longnvyihuzhu
卤灌大肠	luguandachang
卤鸡	luji
卤肉锅盔	lurouguokui
卤汁豆腐干	luzhidoufugan
伦敦糕	lundungao
麻辣兔头	malatutou
麻辣仔鸡	malaziji
麻辣子鸡	malaziji
麻婆豆腐	mapodoufu
麻仁香酥鸭	marenxiangsuya
蚂蚁上树	mayishangshu
麻圆团	mayuantuan
麦穗鱿鱼	maisuiyouyu
麦子饧	maizitang
幔亭宴	mantingyan
冒菜	maocai
毛肚火锅	maoduhuoguo
毛血旺	maoxuewang
玫瑰瓜子	meiguiguazi
蜜三刀	misandao
蜜汁火方	mizhihuofang
蜜汁山药	mizhishanyao
绵阳米粉	mianyangmifen
绵竹羊肉粉	mianzhuyangroufen
闽生果	minshengguo
魔芋烧鸭	moyushaoya
魔芋系列	moyuxilie
牡丹煎酿蛇脯	mudanjianniangshepu
母油船鸭	muyouchuanya
目鱼炒韭菜	muyuchaojiucai
木鱼大烤	muyudakao
奶汤鸡块	naitangjikuai
奶汤鸡脯	naitangjipu
奶汤生蹄筋	naitangshengtijin
奶汤双味	naitangshuangwei
奶汤银肺	naitangyinfei
奶汤鱼翅	naitangyuchi
奶汤元鱼	naitangyuanyu
南煎丸子	nanjianwanzi
南京湖熟鸭	nanjinghushuya
南京香肚	nanjingxiangdu
南通狼山鸡	nantonglangshanji
脑髓卷	naosuijuan
泥溪芝麻糕	nixizhimagao
酿荷包鲫鱼	nianghebaojiyu
酿苦瓜	niangkugua
酿青椒	niangqingjiao
酿芋子	niangyuzi
宁波烧鹅	ningboshaoe
宁式鳝丝	ningshishansi
宁乡口味蛇	ningxiangkouweishe
牛佛烘肘	niufohongzhou
牛肉豆花	niuroudouhua
牛肉蒸笼	niurouzhenglong
牛油火锅	niuyouhuoguo
牛中三杰	niuzhongsanjie
排南	painan
泡菜半汤桂鱼	paocaibantangguiyu
泡椒凤爪	paojiaofengzhao
泡椒墨鱼仔	paojiaomoyuzai
沛公狗肉	peigonggourou
沛县冬桃	peixiandongtao
沛县狗肉	peixiangourou
沛县广电冷面	peixianguangdianlengmian
喷鼻椿芽	penbichunya
盆盆鸡	penpenji
盆盆虾	penpenxia
彭城鱼丸	pengchengyuwan
烹对虾段	pengduixiaduan
彭山甜皮鸭	pengshantianpiya
啤酒鸭	pijiuya
邳州银杏	pizhouyinxing
拼什锦合菜	pinshijinhecai
乒乓粿	pingpanghua
普宁豆干	puningdougan
普宁豆酱骨	puningdoujianggu
葡萄鱼	putaoyu
麒麟鲈鱼	qilinluyu
麒麟象肚	qilinxiangdu
七星鱼丸	qixingyuwan
千层饼	qiancengbing
炝腰花	qiangyaohua
跷脚牛肉	qiaojiaoniurou
茄汁鸡肉	qiezhijirou
清炒虾仁	qingchaoxiaren
青城山白果炖鸡	qingchengshanbaiguodunji
青城山老腊肉	qingchengshanlaolarou
清炖鸡孚	qingdunjifu
清炖加吉鱼	qingdunjiajiyu
清炖甲鱼	qingdunjiayu
清炖狮子头	qingdunshizitou
清炖蟹粉狮子头	qingdunxiefenshizitou
清风送爽	qingfengsongshuang
青椒鸡	qingjiaoji
青螺炖鸭	qingluodunya
清汤滑鸡球	qingtanghuajiqiu
清汤火方	qingtanghuofang
清汤火方草茹	qingtanghuofangcaoru
清汤蟹丸	qingtangxiewan
清汤鱼肚	qingtangyudu
清汤越鸡外	qingtangyuejiwai
青团子	qingtuanzi
清氽蛎子	qingtunlizi
清油火锅	qingyouhuoguo
清蒸桂鱼	qingzhengguiyu
清蒸加吉鱼	qingzhengjiajiyu
清蒸加力鱼	qingzhengjialiyu
清蒸江团	qingzhengjiangtuan
清蒸石鸡	qingzhengshiji
清蒸鲥鱼	qingzhengshiyu
清蒸鹰龟	qingzhengyinggui
秋叶饺	qiuyejiao
鳅鱼附豆腐汤	qiuyufudoufutang
鳅鱼羹蒸蛋	qiuyugengzhengdan
全家福	quanjiafu
泉水豆花	quanshuidouhua
泉水鸡	quanshuiji
拳头粟饧	quantousutang
全蟹席	quanxiexi
全鸭席	quanyaxi
全鱼席	quanyuxi
雀巢五彩鸡丝	quechaowucaijisi
群龙戏珠	qunlongxizhu
热粥	rezhou
茸汤广肚	rongtangguangdu
肉米鱼唇	roumiyuchun
肉酿面筋	rouniangmianjin
