阿保之劳	abaozhilao
坻崿	chie
斥鴳	chie
持法	chifa
齿发	chifa
痴肥	chifei
赤奋若	chifenruo
痴风	chifeng
赤峯	chifeng
赤峰	chifeng
赤凤来	chifenglai
侈服	chifu
持复	chifu
持服	chifu
赤斧	chifu
赤符	chifu
赤芾	chifu
赤韨	chifu
赤伏符	chifufu
笞妇翁	chifuweng
赤盖	chigai
黐竿	chigan
池阁	chige
褫革	chige
驰割	chige
赤根菜	chigencai
持更	chigeng
敕躬	chigong
饬躬	chigong
吃诟	chigou
痴骨	chigu
鸱顾	chigu
赤谷城	chigucheng
赤骨立	chiguli
尺晷	chigui
赤郭	chiguo
尺翰	chihan
摛翰	chihan
痴汉	chihan
持衡	chiheng
斥候	chihou
噭呼	chihu
噭嘑	chihu
赤鯶公	chihuangong
池隍	chihuang
迟回	chihui
驰晖	chihui
驰辉	chihui
尺蠖	chihuo
斥蠖	chihuo
蚇蠖	chihuo
尺籍	chiji
慸葪	chiji
持寄	chiji
持戟	chiji
湁潗	chiji
赤籍	chiji
赤骥	chiji
持家	chijia
敕甲	chijia
赤岬	chijia
赤甲	chijia
赤颊	chijia
齿颊	chijia
尺简	chijian
赤箭	chijian
齿剑	chijian
吃交	chijiao
赤蛟	chijiao
叱嗟	chijie
慸芥	chijie
持戒	chijie
持节	chijie
敕戒	chijie
炽结	chijie
吃紧	chijin
尺锦	chijin
弛禁	chijin
斥近	chijin
赤斤	chijin
赤槿	chijin
赤金	chijin
赤紧的	chijinde
赤堇山	chijinshan
持久	chijiu
豉酒	chijiu
赤九	chijiu
迟久	chijiu
鸱鸠	chijiu
吃蹶	chijue
痴絶	chijue
痴绝	chijue
齿决	chijue
痴客	chike
侈口	chikou
尺口	chikou
赤口	chikou
吃口令	chikouling
痴狂	chikuang
吃亏	chikui
尺廓	chikuo
吃辣面	chilamian
赤濑	chilai
赤栏湖	chilanhu
持牢	chilao
赤老	chilao
赤老温	chilaowen
敕勒	chile
赤勒	chile
敕勒歌	chilege
齿冷	chileng
侈离	chili
吃力	chili
敕厉	chili
赤立	chili
赤鲤	chili
饬厉	chili
赤练	chilian
持粱齿肥	chiliangchifei
持两端	chiliangduan
炽烈	chilie
齿列	chilie
叱列伏	chiliefu
赤灵符	chilingfu
痴聋	chilong
痴龙	chilong
赤龙	chilong
持禄	chilu
斥卤	chilu
齿录	chilu
笞掠	chilue
侈论	chilun
持论	chilun
叱罗	chiluo
赤罗	chiluo
赤马	chima
尺脉	chimai
斥卖	chimai
持满	chiman
螭魅	chimei
赤眉	chimei
魑魅	chimei
鸱甍	chimeng
侈靡	chimi
赤米	chimi
鸱靡	chimi
絺冕	chimian
敕命	chiming
迟明	chiming
驰名	chiming
迟莫	chimo
尺木	chimu
蚳母	chimu
迟暮	chimu
鸱脑酒	chinaojiu
驰年	chinian
赤鸟	chiniao
蚩儜	chining
叱奴	chinu
笞搒	chipeng
赤贫	chipin
持平	chiping
茌平	chiping
褫魄	chipo
赤朴	chipu
弛期	chiqi
褫气	chiqi
痴钱	chiqian
赤鬜	chiqian
赤鬝	chiqian
吃敲才	chiqiaocai
赤芹	chiqin
赤穷	chiqiong
驰驱	chiqu
赤犮	chiquan
齿让	chirang
赤热	chire
迟任	chiren
饎人	chiren
迟日	chiri
耻辱	chiru
赤沙	chisha
赤山	chishan
赤社	chishe
赤舌	chishe
齿舌	chishe
持身	chishen
敕身	chishen
饬身	chishen
持胜	chisheng
炽盛	chisheng
勑使	chishi
敕使	chishi
翨氏	chishi
鸱视	chishi
赤石脂	chishizhi
敕授	chishou
螭首	chishou
赤手	chishou
尺书	chishu
敕书	chishu
痴叔	chishu
驰爽	chishuang
赤水	chishui
赤水玄珠	chishuixuanzhu
驰说	chishuo
鸱祀	chisi
赤松子	chisongzi
尺素	chisu
赤梀	chisu
絺索	chisuo
侈泰	chitai
叱滩	chitan
噭咷	chitao
赤藤	chiteng
赤缇	chiti
尺铁	chitie
吃铁石	chitieshi
赤亭	chiting
赤桐	chitong
赤铜	chitong
螭头	chitou
尺土	chitu
赤兔	chitu
赤土	chitu
痴顽	chiwan
赤网	chiwang
蚩尾	chiwei
赤尉	chiwei
鸱尾	chiwei
蚩吻	chiwen
鸱吻	chiwen
尺五	chiwu
痴物	chiwu
赤乌	chiwu
驰骛	chiwu
赤舄	chixi
雴霫	chixi
驰檄	chixi
赤瑕	chixia
鸱吓	chixia
痴黠各半	chixiageban
斥仙	chixian
赤县	chixian
赤苋	chixian
噭哮	chixiao
痴小	chixiao
痴笑	chixiao
赤霄	chixiao
鸱枭	chixiao
鸱鸮	chixiao
赤小豆	chixiaodou
池榭	chixie
痴心	chixin
赤心	chixin
弛刑	chixing
持行	chixing
絺绣	chixiu
鵄鸺	chixiu
鸱鸺	chixiu
吃虚	chixu
赤须	chixu
持循	chixun
赤崖	chiya
赤雅	chiya
赤鸦	chiya
侈言	chiyan
尺鷃	chiyan
持掩	chiyan
池盐	chiyan
炽焰	chiyan
蚩妍	chiyan
赤盐	chiyan
持养	chiyang
池阳	chiyang
赤杨	chiyang
尺一	chiyi
弛易	chiyi
赤衣	chiyi
赤邑	chiyi
迟疑	chiyi
驰义	chiyi
驰驿	chiyi
鸱义	chiyi
鸱夷	chiyi
尺一牍	chiyidu
赤衣使者	chiyishizhe
齿印	chiyin
噭应	chiying
持盈	chiying
蚩尤	chiyou
蚩尤旗	chiyouqi
蚩尤戏	chiyouxi
叱驭	chiyu
池籞	chiyu
池鱼	chiyu
痴雨	chiyu
翅羽	chiyu
齿遇	chiyu
池苑	chiyuan
痴云	chiyun
敕葬	chizang
噭噪	chizao
摛藻	chizao
尺泽	chize
斥泽	chize
赤仄	chize
赤帻	chize
赤憎	chizeng
叱咤	chizha
尺宅	chizhai
持斋	chizhai
池毡	chizhan
赤鹯头	chizhantou
弛张	chizhang
笞杖	chizhang
赤章	chizhang
鵄张	chizhang
鸱张	chizhang
齿杖	chizhang
持正	chizheng
敕正	chizheng
痴挣	chizheng
尺纸	chizhi
持质	chizhi
斥埴	chizhi
炽殖	chizhi
褫职	chizhi
赤帜	chizhi
鸱峙	chizhi
赤纸籍	chizhiji
持重	chizhong
池州	chizhou
驰骤	chizhou
齿胄	chizhou
斥逐	chizhu
篪竹	chizhu
踟跦	chizhu
蚩拙	chizhuo
赤子	chizi
弛纵	chizong
瘛瘲	chizong
赤鬃	chizong
赤卒	chizu
赤族	chizu
赤觜乌	chizuiwu
崇阿	chonga
冲暗	chongan
冲闇	chongan
崇安	chongan
崇拜	chongbai
虫白蜡	chongbaila
舂婢	chongbi
崇伯	chongbo
冲操	chongcao
充肠	chongchang
舂常	chongchang
崇朝	chongchao
冲车	chongche
崇城	chongcheng
充斥	chongchi
充充	chongchong
冲冲	chongchong
崇崇	chongchong
忡忡	chongchong
憧憧	chongchong
爞爞	chongchong
虫虫	chongchong
舂锄	chongchu
虫出	chongchu
冲苁	chongcong
崇崒	chongcui
冲淡	chongdan
崇德	chongde
充栋	chongdong
舂牍	chongdu
充耳	chonger
充发	chongfa
冲锋	chongfeng
冲风	chongfeng
充腹	chongfu
崇福	chongfu
冲改	chonggai
崇高	chonggao
舂槁	chonggao
宠光	chongguang
冲华	chonghua
虫荟	chonghui
冲寂	chongji
虫鸡	chongji
冲衿	chongjin
冲静	chongjing
崇酒	chongjiu
舂鉏	chongju
充军	chongjun
冲口	chongkou
充纩	chongkuang
宠贶	chongkuang
宠赉	chonglai
崇兰	chonglan
虫牢	chonglao
宠利	chongli
崇礼	chongli
舂粮	chongliang
宠灵	chongling
崇陵	chongling
舂陵	chongling
冲隆	chonglong
冲龙玉	chonglongyu
宠赂	chonglu
充闾	chonglv
冲脉	chongmai
冲迈	chongmai
冲昧	chongmei
艟艨	chongmeng
宠命	chongming
崇明	chongming
冲末	chongmo
冲漠	chongmo
冲默	chongmo
虫娘	chongniang
冲凝	chongning
崇宁	chongning
充庖	chongpao
崇期	chongqi
崇庆	chongqing
崇丘	chongqiu
充诎	chongqu
充人	chongren
充仞	chongren
充牣	chongren
冲人	chongren
崇仁	chongren
舂人	chongren
崇仁学派	chongrenxuepai
崇日	chongri
浺瀜	chongrong
舂容	chongrong
冲弱	chongruo
充塞	chongse
虫沙	chongsha
崇山	chongshan
崇尚	chongshang
崇圣祠	chongshengci
充实	chongshi
崇实	chongshi
充数	chongshu
舂黍	chongshu
虫书	chongshu
虫霜旱潦	chongshuanghanliao
宠私	chongsi
宠绥	chongsui
舂堂	chongtang
冲替	chongti
崇替	chongti
虫天	chongtian
充庭	chongting
茺蔚	chongwei
崇文观	chongwenguan
崇文馆	chongwenguan
崇文门	chongwenmen
崇文总目	chongwenzongmu
冲喜	chongxi
宠锡	chongxi
冲狭	chongxia
充羡	chongxian
虫蠁	chongxiang
虫邪	chongxie
充信	chongxin
宠信	chongxin
崇信	chongxin
充虚	chongxu
冲虚	chongxu
崇玄馆	chongxuanguan
冲牙	chongya
崇牙	chongya
充衍	chongyan
冲要	chongyao
充依	chongyi
充益	chongyi
冲挹	chongyi
宠异	chongyi
崇仪使	chongyishi
充隐	chongyin
充盈	chongying
崇有论	chongyoulun
充腴	chongyu
宠遇	chongyu
憃愚	chongyu
虫鱼	chongyu
充悦	chongyue
崇祯	chongzhen
宠秩	chongzhi
崇雉	chongzhi
虫豸	chongzhi
虫篆	chongzhuan
冲撞	chongzhuang
宠子	chongzi
仇白	choubai
丑宝	choubao
酬报	choubao
酬币	choubi
筹笔驿	choubiyi
筹边楼	choubianlou
偢睬	choucai
偢采	choucai
筹策	chouce
丑侪	chouchai
惆怅	chouchang
愁肠	chouchang
酬唱	chouchang
愁城	choucheng
仇池	chouchi
仇池笔记	chouchibiji
仇仇	chouchou
仇雠	chouchou
愁愁	chouchou
懤懤	chouchou
丑丑妇	chouchoufu
菗蒢	chouchu
踌躇	chouchu
臭椿	chouchun
愁悴	choucui
酬答	chouda
愁黛	choudai
搊弹家	choudanjia
丑地	choudi
丑诋	choudi
仇敌	choudi
稠迭	choudie
酬对	choudui
丑恶	choue
愁蛾	choue
仇方	choufang
抽分	choufen
抽丰	choufeng
愁妇草	choufucao
臭骨头	chougutou
畴官	chouguan
愁海	chouhai
筹海图编	chouhaitubian
抽毫	chouhao
酬和	chouhe
愁红	chouhong
筹划	chouhua
丑秽	chouhui
抽箕	chouji
稠穊	chouji
紬绩	chouji
仇家	choujia
雠校	choujiao
抽解	choujie
愁絶	choujue
愁绝	choujue
酬赉	choulai
仇览	choulan
酬劳	choulao
丑类	choulei
俦类	choulei
畴类	choulei
愁霖	choulin
丑虏	choulu
筹略	choulue
俦侣	choulv
筹马	chouma
仇矛	choumao
愁眉	choumei
愁眉锦	choumeijin
犨麋	choumi
绸密	choumi
丑末	choumo
愁魔	choumo
仇摩置	choumozhi
绸缪	choumou
畴曩	chounang
仇偶	chouou
仇匹	choupi
俦匹	choupi
臭皮囊	choupinang
搊琵琶	choupipa
抽签	chouqian
愁勤	chouqin
愁懃	chouqin
抽青妃白	chouqingfeibai
搊趣	chouqu
畴人	chouren
稠桑	chousang
抽沙	chousha
搊扇	choushan
抽身	choushen
稠适	choushi
俦似	chousi
愁思	chousi
搊搜	chousou
筹算	chousuan
搊弹词	choutanci
抽替	chouti
抽头	choutou
丑徒	choutu
臭味	chouwei
雠问	chouwen
仇隙	chouxi
畴昔	chouxi
雠隙	chouxi
仇饷	chouxiang
杻械	chouxie
抽心舍	chouxinshe
愁绪	chouxu
抽演	chouyan
丑夷	chouyi
筹议	chouyi
紬绎	chouyi
雠夷	chouyi
酬应	chouying
畴庸	chouyong
仇犹	chouyou
雔由	chouyou
仇怨	chouyuan
抽簪	chouzan
仇兆鳌	chouzhaoao
稠直	chouzhi
绸直	chouzhi
酬直	chouzhi
踌伫	chouzhu
踌竚	chouzhu
稠浊	chouzhuo
畴咨	chouzi
酬咨	chouzi
丑座	chouzuo
酬酢	chouzuo
雠柞	chouzuo
出案	chuan
貙豻	chuan
除拜	chubai
储备	chubei
楮币	chubi
楮帛	chubo
储寀	chucai
储采	chucai
楚材	chucai
樗材	chucai
除残	chucan
楚恻	chuce
初禅	chuchan
出常调	chuchangtiao
出尘	chuchen
楚成王	chuchengwang
出丑	chuchou
出处	chuchu
楚楚	chuchu
畜畜	chuchu
矗矗	chuchu
触处	chuchu
蹰躇	chuchu
触触生	chuchusheng
厨传	chuchuan
初春	chuchun
楚辞	chuci
处当	chudang
除道	chudao
楚悼王	chudaowang
畜德	chude
储邸	chudi
出店	chudian
出定	chuding
初度	chudu
楚毒	chudu
储贰	chuer
处罚	chufa
触藩	chufan
处方	chufang
楚妃	chufei
楚妃叹	chufeitan
处分	chufen
楚氛	chufen
楚凤	chufeng
雏凤	chufeng
储傅	chufu
储副	chufu
出妇	chufu
初伏	chufu
初服	chufu
处妇	chufu
楚服	chufu
刍藁	chugao
出格	chuge
出阁	chuge
杵歌	chuge
楚歌	chuge
储宫	chugong
出恭	chugong
楚宫	chugong
除宫	chugong
楚公钟	chugongzhong
刍狗	chugou
出官	chuguan
初冠	chuguan
楚馆	chuguan
除官	chuguan
俶诡	chugui
出轨	chugui
諔诡	chugui
出号	chuhao
出合	chuhe
滁河	chuhe
除红谱	chuhongpu
储后	chuhou
貙虎	chuhu
雏虎	chuhu
楚呼楚	chuhuchu
黜华	chuhua
楚怀王	chuhuaiwang
刍豢	chuhuan
初篁	chuhuang
褚皇后	chuhuanghou
楚魂	chuhun
出豁	chuhuo
出货	chuhuo
储积	chuji
出继	chuji
初吉	chuji
楮鸡	chuji
樗鸡	chuji
除籍	chuji
出家	chujia
出尖	chujian
樗茧	chujian
触谏	chujian
出疆	chujiang
出降	chujiang
楚江萍	chujiangping
楚江王	chujiangwang
初醮	chujiao
初阶	chujie
除馑女	chujinnv
出九	chujiu
楚鸠	chujiu
出句	chuju
出局	chuju
处决	chujue
触蹶	chujue
储君	chujun
楚郡	chujun
楮君	chujun
楚狂	chukuang
楚葵	chukui
楚老	chulao
楚醪	chulao
楚累	chulei
初历	chuli
樗栎	chuli
樗里	chuli
樗里子	chulizi
储两	chuliang
楚两龚	chulianggong
刍灵	chuling
除灵	chuling
貙刘	chuliu
触龙	chulong
貙膢	chulou
触鹿	chulu
楚掠	chulue
出落	chuluo
滀漯	chuluo
黜落	chuluo
貙氓	chumang
出梅	chumei
楚梦	chumeng
除名	chuming
出没	chumo
刍摩	chumo
刍秣	chumo
楮墨	chumo
除陌钱	chumoqian
出母	chumu
出沐	chumu
褚幕	chumu
触目	chumu
除目	chumu
出纳	chuna
刍尼	chuni
锄麑	chuni
初年	chunian
厨娘	chuniang
处女	chunv
处女吟	chunvyin
出品	chupin
除贫	chupin
初平	chuping
楚平王	chupingwang
怵迫	chupo
摴蒱	chupu
樗蒲	chupu
樗蒲鱼	chupuyu
出妻	chuqi
楮钱	chuqian
楮镪	chuqiang
处妾	chuqie
楚切	chuqie
初秋	chuqiu
楚丘	chuqiu
楚囚	chuqiu
楮券	chuquan
除泉	chuquan
出缺	chuque
楚雀	chuque
俶扰	churao
刍荛	churao
蒭荛	churao
出人	churen
貙人	churen
初日	churi
黜辱	churu
出塞	chusai
楚塞	chusai
樗散	chusan
除丧	chusang
楚骚	chusao
出色	chuse
厨萐	chusha
出山	chushan
处舍	chushe
锄社	chushe
出神	chushen
出身	chushen
除身	chushen
楚声	chusheng
畜生	chusheng
出世	chushi
出师	chushi
初始	chushi
处事	chushi
处势	chushi
处士	chushi
褚师	chushi|zhushi
褚氏	chushi
出师表	chushibiao
出守	chushou
出手	chushou
出首	chushou
初授	chushou
触手	chushou
除授	chushou
除书	chushu
雏鼠	chushu
楚水	chushui
储嗣	chusi
出隧	chusui
初岁	chusui
褚遂良	chusuiliang|zhusuiliang
雏笋	chusun
处所	chusuo
楚挞	chuta
初唐	chutang
怵惕	chuti
楚天	chutian
出挑	chutiao
出跳	chutiao
楚调	chutiao
楚铁	chutie
出头	chutou
除头	chutou
楚焞	chutui
出脱	chutuo
触网	chuwang
储闱	chuwei
出位	chuwei
初文	chuwen
触忤	chuwu
锄铻	chuwu
厨下儿	chuxiaer
俶献	chuxian
初弦	chuxian
初献	chuxian
楮先生	chuxiansheng
出孝	chuxiao
楚些	chuxie
触邪	chuxie
储欣	chuxin
初心	chuxin
触兴	chuxing
楚雄	chuxiong
储胥	chuxu
储蓄	chuxu
初学记	chuxueji
初学集	chuxueji
锄牙	chuya
刍言	chuyan
初筵	chuyan
初阳	chuyang
厨养臣	chuyangchen
楚腰	chuyao
楚謡	chuyao
楚谣	chuyao
初夜	chuye
楮叶	chuye
除夜	chuye
刍议	chuyi
初衣	chuyi
褚衣	chuyi
楚引	chuyin
储与	chuyu
储余	chuyu
储元	chuyuan
初元	chuyuan
初愿	chuyuan
楚圆	chuyuan
楚元王	chuyuanwang
处月	chuyue
处约	chuyue
锄耘	chuyun
出宰	chuzai
除召	chuzhao
厨珍	chuzhen
初真戒律	chuzhenjielv
初真十戒	chuzhenshijie
初政	chuzheng
储偫	chuzhi
储跱	chuzhi
处治	chuzhi
处置	chuzhi
躇跱	chuzhi
黜陟	chuzhi
楮知白	chuzhibai
楚之平	chuzhiping
处置使	chuzhishi
黜陟使	chuzhishi
初钟	chuzhong
处州	chuzhou
滁州	chuzhou
俶装	chuzhuang
楚庄王	chuzhuangwang
出赘	chuzhui
处姊	chuzi
处子	chuzi
楚奏	chuzou
初祖	chuzu
除罪	chuzui
欻忽	chuahu
欻吸	chuaxi
欻翕	chuaxi
揣挫	chuaicuo
揣度	chuaiduo
揣骨	chuaigu
揣量	chuailiang
揣摩	chuaimo
揣情	chuaiqing
揣丸	chuaiwan
揣与	chuaiyu
传芭	chuanba
串板	chuanban
川北	chuanbei
传跸	chuanbi
椽笔	chuanbi
穿鼻	chuanbi
舛驳	chuanbo
船舶	chuanbo
踳驳	chuanbo
船步	chuanbu
传餐	chuancan
串茶	chuancha
传车	chuanche
輲车	chuanche
传乘	chuancheng
船乘	chuancheng
舛驰	chuanchi
川川	chuanchuan
舛错	chuancuo
传代	chuandai
传单	chuandan
传道	chuandao
传灯	chuandeng
传灯录	chuandenglu
传点	chuandian
川奠	chuandian
船矴鱼	chuandingyu
船碇鱼	chuandingyu
川东	chuandong
传讹	chuane
穿耳	chuaner
传发	chuanfa
传法	chuanfa
传法院	chuanfayuan
穿方	chuanfang
遄飞	chuanfei
传柑	chuangan
船宫	chuangong
传鼓	chuangu
川谷	chuangu
传国玺	chuanguoxi
喘喝	chuanhe
川衡	chuanheng
川红	chuanhong
川后	chuanhou
舛互	chuanhu
川花	chuanhua
舡楫	chuanji
船骥	chuanji
传家集	chuanjiaji
船舰	chuanjian
传教	chuanjiao
川椒	chuanjiao
船脚	chuanjiao
穿角履	chuanjiaolv
传戒	chuanjie
传经	chuanjing
传遽	chuanju
穿决	chuanjue
串客	chuanke
穿空	chuankong
川流	chuanliu
传漏	chuanlou
传胪	chuanlu
輲轮	chuanlun
踳落	chuanluo
传马	chuanma
喘鸣	chuanming
舛谬	chuanmiu
川南	chuannan
串票	chuanpiao
川朴	chuanpu
传奇	chuanqi
川气	chuanqi
川禽	chuanqin
传人	chuanren
传瑞	chuanrui
穿腮发	chuansaifa
川沙	chuansha
圌山	chuanshan
穿山甲	chuanshanjia
船山先生	chuanshanxiansheng
传舍	chuanshe
传世	chuanshi
传尸	chuanshi
传食	chuanshi
川室	chuanshi
川师	chuanshi
传是楼	chuanshilou
传受	chuanshou
传书鸽	chuanshuge
船司空	chuansikong
遄台	chuantai
穿蹄	chuanti
传闻	chuanwen
舛午	chuanwu
舛误	chuanwu
串戏	chuanxi
传席	chuanxi
传檄	chuanxi
喘息	chuanxi
传香	chuanxiang
穿孝	chuanxiao
传写	chuanxie
传心	chuanxin
传薪	chuanxin
川芎	chuanxiong
穿胸	chuanxiong
传宣	chuanxuan
穿穴	chuanxue
穿杨	chuanyang
传夜	chuanye
串夷	chuanyi
传疑	chuanyi
传衣	chuanyi
传译	chuanyi
传驿	chuanyi
传衣钵	chuanyibo
传音快字	chuanyinkuaizi
川游	chuanyou
穿窬	chuanyu
穿踰	chuanyu
穿逾	chuanyu
串月	chuanyue
传赞	chuanzan
穿凿	chuanzao
穿札	chuanzha
传真	chuanzhen
穿针楼	chuanzhenlou
传置	chuanzhi
穿执	chuanzhi
传重	chuanzhong
穿中记	chuanzhongji
穿中柱文	chuanzhongzhuwen
传注	chuanzhu
椽烛	chuanzhu
穿锥	chuanzhui
串子	chuanzi
船子和尚	chuanziheshang
传座	chuanzuo
创艾	chuangai
怆恻	chuangce
窗蟾	chuangchan
幢幢	chuangchuang
怆怆	chuangchuang
摐摐	chuangchuang
磢错	chuangcuo
窗稾	chuanggao
窗稿	chuanggao
窗格	chuangge
床公床婆	chuanggongchuangpo
怆恨	chuanghen
怆怀	chuanghuai
怆怳	chuanghuang
怆恍	chuanghuang
怆惶	chuanghuang
怆慌	chuanghuang
创见	chuangjian
闯将	chuangjiang
窗课	chuangke
怆悢	chuangliang
怆囊	chuangnang
窗禽	chuangqin
床裙	chuangqun
创痛	chuangtong
闯王	chuangwang
创痏	chuangwei
床帷	chuangwei
疮痏	chuangwei
床席	chuangxi
创刈	chuangyi
创痍	chuangyi
创议	chuangyi
疮痍	chuangyi
疮疣	chuangyou
创造	chuangzao
创制	chuangzhi
床笫	chuangzi
闯子	chuangzi
床子弩	chuangzinu
垂白	chuibai
炊鼻	chuibi
吹鞭	chuibian
捶表	chuibiao
炊饼	chuibing
垂箔	chuibo
捶策	chuice
垂成	chuicheng
垂翅	chuichi
捶楚	chuichu
棰楚	chuichu
捶床	chuichuang
搥床	chuichuang
垂垂	chuichui
吹唇	chuichun
吹打	chuida
垂钓	chuidiao
捶阸	chuie
垂耳	chuier
垂饵	chuier
垂发	chuifa
垂芳	chuifang
吹拂	chuifu
棰拊	chuifu
垂竿	chuigan
垂櫜	chuigao
垂拱	chuigong
捶钩	chuigou
炊桂	chuigui
垂虹桥	chuihongqiao
垂虹亭	chuihongting
垂胡	chuihu
吹花	chuihua
吹灰	chuihui
垂惠	chuihui
吹火	chuihuo
炊火	chuihuo
垂棘	chuiji
垂迹	chuiji
吹葭	chuijia
垂葭	chuijia
炊家子	chuijiazi
吹剑录	chuijianlu
吹剑首	chuijianshou
垂诫	chuijie
吹金	chuijin
炊臼	chuijiu
捶句	chuiju
垂老	chuilao
捶勒	chuile
炊累	chuilei
垂帘	chuilian
垂旒	chuiliu
垂柳	chuiliu
垂陇	chuilong
垂露	chuilu
垂露书	chuilushu
垂纶	chuilun
槌轮	chuilun
吹纶絮	chuilunxu
垂螺	chuiluo
吹毛	chuimao
垂名	chuiming
垂暮	chuimu
垂年	chuinian
垂泣	chuiqi
垂青	chuiqing
炊人	chuiren
垂荣	chuirong
吹沙	chuisha
吹霎	chuisha
垂裳	chuishang
垂梢	chuishao
垂绅	chuishen
吹笙	chuisheng
垂圣	chuisheng
垂世	chuishi
垂示	chuishi
菙氏	chuishi
垂手	chuishou
炊熟日	chuishuri
垂水	chuishui
垂四	chuisi
垂死	chuisi
垂丝调	chuisitiao
垂绥	chuisui
捶挞	chuita
吹台	chuitai
吹弹	chuitan
垂堂	chuitang
垂洟	chuiti
垂涕	chuiti
捶提	chuiti
搥提	chuiti
垂天	chuitian
垂天翼	chuitianyi
垂龆	chuitiao
垂听	chuiting
垂统	chuitong
垂头	chuitou
垂橐	chuituo
吹万	chuiwan
捶丸	chuiwan
吹网	chuiwang
垂文	chuiwen
垂涎	chuixian
垂象	chuixiang
吹箫	chuixiao
吹嘘	chuixu
垂杨	chuiyang
垂曜	chuiyao
垂意	chuiyi
垂翼	chuiyi
垂衣	chuiyi
垂衣裳	chuiyishang
垂阴	chuiyin
吹竽	chuiyu
垂腴	chuiyu
垂裕	chuiyu
垂鱼	chuiyu
吹云	chuiyun
吹云泼墨	chuiyunpomo
垂针书	chuizhenshu
垂珠	chuizhu
淳安	chunan
淳熬	chunao
春榜	chunbang
醇备	chunbei
醇碧	chunbi
春冰	chunbing
春饼	chunbing
春不老	chunbulao
春草	chuncao
春潮	chunchao
纯臣	chunchen
唇齿	chunchi
春锄	chunchu
惷惷	chunchun
淳淳	chunchun
纯纯	chunchun
蠢蠢	chunchun
春葱	chuncong
淳粹	chuncui
纯粹	chuncui
醇粹	chuncui
春凳	chundeng
春灯谜	chundengmi
蠢动	chundong
淳笃	chundu
纯笃	chundu
春端帖	chunduantie
春幡	chunfan
春坊	chunfang
春方	chunfang
春风	chunfeng
淳风	chunfeng
春风面	chunfengmian
鹑服	chunfu
春膏纸	chungaozhi
春宫	chungong
春工	chungong
纯钩	chungou
淳古	chungu
纯嘏	chungu
鹑觚	chungu
鹑觚原	chunguyuan
春关	chunguan
春官	chunguan
春光	chunguang
春光好	chunguanghao
春闺	chungui
淳和	chunhe
春鳸	chunhu
纯狐	chunhu
春扈氏	chunhushi
春华	chunhua
淳化	chunhua
醇化	chunhua
春唤	chunhuan
春皇	chunhuang
春晖	chunhui
春辉	chunhui
鹑火	chunhuo
春祭	chunji
春茧	chunjian
春蠒	chunjian
淳谨	chunjin
春酒	chunjiu
春鉏	chunju
春驹	chunju
鹑居	chunju
淳钧	chunjun
纯钧	chunjun
醇钧	chunjun
春困	chunkun
春兰	chunlan
春醪	chunlao
醇醪	chunlao
纯吏	chunli
醇醨	chunli
春联	chunlian
淳良	chunliang
春料	chunliao
椿龄	chunling
纯留	chunliu
淳卤	chunlu
春罗	chunluo
春忙	chunmang
春梦	chunmeng
纯庬	chunmeng
春梦婆	chunmengpo
春明	chunming
椿年	chunnian
春牛	chunniu
醇醲	chunnong
春女	chunnv
春盘	chunpan
淳朴	chunpu
纯朴	chunpu
春卿	chunqing
春情	chunqing
春秋	chunqiu
春秋传	chunqiuchuan
春秋繁露	chunqiufanlu
春秋三传	chunqiusanchuan
春秋释例	chunqiushili
春秋纬	chunqiuwei
春人	chunren
春荣	chunrong
纯儒	chunru
醇儒	chunru
春赛	chunsai
春色	chunse
春纱	chunsha
唇舌	chunshe
春社	chunshe
春申江	chunshenjiang
春申君	chunshenjun
春胜	chunsheng
春盛担子	chunshengdanzi
春事	chunshi
春试	chunshi
鹑首	chunshou
春书	chunshu
纯熟	chunshu
醇驷	chunsi
春搜	chunsou
春笋	chunsun
春台	chuntai
春田	chuntian
春帖	chuntie
春帖子	chuntiezi
椿庭	chunting
春王正月	chunwangzhengyue
春闱	chunwei
淳维	chunwei
鹑尾	chunwei
唇吻	chunwen
淳毋	chunwu
春禊	chunxi
淳熙	chunxi
淳熙阁帖	chunxigetie
春纤	chunxian
春宵	chunxiao
春缬	chunxie
春心	chunxin
椿萱	chunxuan
春汛	chunxun
春阳	chunyang
纯阳	chunyang
纯阳巾	chunyangjin
淳耀	chunyao
春意	chunyi
淳懿	chunyi
纯懿	chunyi
纯衣	chunyi
鹑衣	chunyi
纯阴	chunyin
鹑阴	chunyin
春莺啭	chunyingzhuan
淳佑	chunyou
惷愚	chunyu
春畬	chunyu
春鱼	chunyu
淳于	chunyu
蠢愚	chunyu
錞于	chunyu
淳于髡	chunyukun
淳于意	chunyuyi
淳于越	chunyuyue
春苑	chunyuan
春月柳	chunyueliu
春在堂	chunzaitang
春瘴	chunzhang
淳制	chunzhi
醇酎	chunzhou
春渚纪闻	chunzhujiwen
戳包儿	chuobaoer
绰菜	chuocai
龊茶	chuocha
辍朝	chuochao
惙惙	chuochuo
绰绰	chuochuo
逴逴	chuochuo
龊龊	chuochuo
惙怛	chuoda
戳灯	chuodeng
惙顿	chuodun
辍耕录	chuogenglu
绰号	chuohao
啜哄	chuohong
辍斤	chuojin
踔絶	chuojue
踔绝	chuojue
绰立	chuoli
逴龙	chuolong
逴跞	chuoluo
啜茗	chuoming
齱齵	chuoou
啜泣	chuoqi
