阿保之劳	abaozhilao
熬油费火	aoyoufeihuo
鳌鱼脱钓	aoyutuodiao
鳌掷鲸呿	aozhijingqu
鳌掷鲸吞	aozhijingtun
巴巴急急	babajiji
巴巴结结	babajiejie
八拜定交	babaidingjiao
八百孤寒	babaiguhan
八拜之交	babaizhijiao
八拜至交	babaizhijiao
拔本塞源	babensaiyuan
把臂入林	babirulin
把臂徐去	babixuqu
八病九痛	babingjiutong
把持不定	bachibuding
罢黜百家	bachubaijia
八窗玲珑	bachuanglinglong
拔丛出类	bacongchulei
拔萃出类	bacuichulei
拔萃出群	bacuichuqun
八大人觉	badarenjue
霸道横行	badaohengxing
拔刀相济	badaoxiangji
拔刀相向	badaoxiangxiang
拔刀相助	badaoxiangzhu
拔地参天	badicantian
拔地擎天	badiqingtian
拔地摇山	badiyaoshan
拔地倚天	badiyitian
拔丁抽楔	badingchouxie
疤丁解牛	badingjieniu
八斗陈思	badouchensi
八斗之才	badouzhicai
把饭叫饥	bafanjiaoji
八方风雨	bafangfengyu
八方呼应	bafanghuying
八方来财	bafanglaicai
八方支持	bafangzhichi
八方支援	bafangzhiyuan
八府巡按	bafuxunan
扒高踩低	bagaocaidi
巴高望上	bagaowangshang
巴高枝儿	bagaozhier
拔锅卷席	baguojuanxi
八恒河沙	bahenghesha
八纮同轨	bahongtonggui
跋扈飞扬	bahufeiyang
跋胡疐尾	bahuzhiwei|bahudiwei
跋扈恣睢	bahuzisui
跋扈自恣	bahuzizi
八花九裂	bahuajiulie
八荒九垓	bahuangjiugai
八荒之外	bahuangzhiwai
把家成人	bajiachengren
拔剑论功	bajianlungong
八角长锤	bajiaochangchui
拔角脱距	bajiaotuoju
八街九陌	bajiejiumo
把酒持螯	bajiuchiao
拔葵啖枣	bakuidanzao
拔葵去织	bakuiquzhi
拔葵饮水	bakuiyinshui
跋来报去	balaibaoqu
拔来报往	balaibaowang
跋来报往	balaibaowang
拔类超群	baleichaoqun
八两半斤	baliangbanjin
霸陵醉尉	balingzuiwei
跋履山川	balvshanchuan
疤麻歪嘴	bamawaizui
拔毛济世	bamaojishi
拔毛连茹	bamaolianru
拔茅连茹	bamaolianru
八门五花	bamenwuhua
八面见光	bamianjianguang
八面见线	bamianjianxian
八面玲珑	bamianlinglong
八面驶风	bamianshifeng
八面受敌	bamianshoudi
八面威风	bamianweifeng
八面莹澈	bamianyingche
八面圆通	bamianyuantong
八面张罗	bamianzhangluo
拔苗助长	bamiaozhuzhang|bamiaozhuchang
八难三灾	banansanzai
跋前踕后	baqianjiehou
巴前算后	baqiansuanhou
跋前疐后	baqianzhihou|baqiandihou
拔群出萃	baqunchucui
拔群出类	baqunchulei
巴人下里	barenxiali
拔刃张弩	barenzhangnu
罢软无为	baruanwuwei
巴三揽四	basanlansi
拔山超海	bashanchaohai
巴山度岭	bashanduling|bashanduoling
