就不告诉你	jiubugaosuni
开什么玩笑	kaishenmewanxiao
可惜不是你	kexibushini
快刀斩乱麻	kuaidaozhanluanma
老鼠爱大米	laoshuaidami
列车时刻表	liecheshikebiao
临时抱佛脚	linshibaofojiao
另一个天堂	lingyigetiantang
录取通知书	luqutongzhishu
路遥知马力	luyaozhimali
驴唇不对马嘴	lvchunbuduimazui
迈克杰克逊	maikejiekexun
玫瑰花的葬礼	meiguihuadezangli
梦里花落知多少	menglihualuozhiduoshao
明天会更好	mingtianhuigenghao
命中注定我爱你	mingzhongzhudingwoaini
那可不一定	nakebuyiding
南京大屠杀	nanjingdatusha
你别生气了	nibieshengqile
你到底怎么了	nidaodizenmele
你还不知道	nihaibuzhidao
你是我老婆	nishiwolaopo
你说怎么办	nishuozenmeban
你有什么事	niyoushenmeshi
你在我心里	nizaiwoxinli
你在想什么	nizaixiangshenme
你怎么知道的	nizenmezhidaode
牛头不对马嘴	niutoubuduimazui
挪威的森林	nuoweidesenlin
女大十八变	nvdashibabian
皮蛋瘦肉粥	pidanshourouzhou
披着羊皮的狼	pizheyangpidelang
平凡的世界	pingfandeshijie
破罐子破摔	poguanziposhuai
前言不搭后语	qianyanbudahouyu
情人眼里出西施	qingrenyanlichuxishi
人不可貌相	renbukemaoxiang
人鬼情未了	renguiqingweiliao
人力资源部	renliziyuanbu
人善被人欺	renshanbeirenqi
人生若只如初见	renshengruozhiruchujian
任务管理器	renwuguanliqi
日久见人心	rijiujianrenxin
如果我变成回忆	ruguowobianchenghuiyi
傻人有傻福	sharenyoushafu
射雕英雄传	shediaoyingxiongzhuan
舍命陪君子	shemingpeijunzi
神不知鬼不觉	shenbuzhiguibujue
身在福中不知福	shenzaifuzhongbuzhifu
生米煮成熟饭	shengmizhuchengshufan
生生世世爱	shengshengshishiai
石头剪子布	shitoujianzibu
手机客户端	shoujikehuduan
说好的幸福呢	shuohaodexingfune
死了都要爱	siledouyaoai
思念是一种病	sinianshiyizhongbing
搜狗拼音输入法	sougoupinyinshurufa
天机不可泄露	tianjibukexielou
天使的翅膀	tianshidechibang
天时地利人和	tianshidilirenhe
天无绝人之路	tianwujuerenzhilu
天下有情人	tianxiayouqingren
天涯何处无芳草	tianyahechuwufangcao
铁血真汉子	tiexuezhenhanzi
听妈妈的话	tingmamadehua
同是天涯沦落人	tongshitianyalunluoren
突然好想你	turanhaoxiangni
往事不堪回首	wangshibukanhuishou
