阿鼻	abi
路迦那他	lujianata
路迦祇夜	lujiaqiye
庐江冶父山寺	lujiangyefushansi
陆浚	lujun
陆康成	lukangcheng
鲁梅楚臣喜饶	lumeichuchenxirao
鲁梅楚臣喜绕	lumeichuchenxirao
卢梅楚臣喜饶	lumeichuchenxirao
颅器	luqi
庐山东林寺	lushandonglinsi
庐山海会寺	lushanhaihuisi
庐山慧日雅禅师	lushanhuiriyachanshi
庐山慧远法师	lushanhuiyuanfashi
庐山莲花峰祥庵主	lushanlianhuafengxianganzhu
庐山莲宗宝鉴	lushanlianzongbaojian
鲁山令元德秀	lushanlingyuandexiu
庐山罗汉小南禅师	lushanluohanxiaonanchanshi
庐山释慧永	lushanshihuiyong
麓山寺	lushansi
鲁山琢宗	lushanzuozong|lushanzhuozong
陆省庵	lushengan
陆氏	lushi
卢士衍	lushiyan
漉水囊	lushuinang
麓亭法师	lutingfashi
炉香赞	luxiangzan
炉香乍热	luxiangzhare
芦墟泗洲禅寺	luxusizhouchansi
鹿野苑	luyeyuan
卢伊巴	luyiba
卢伊波	luyibo
陆羽煎茶	luyujiancha
陆与绳	luyusheng
露源	luyuan
鹿苑	luyuan
鹿苑时	luyuanshi
卢源一	luyuanyi
陆子元	luziyuan
鲁祖	luzu
陆佐公	luzuogong
乱善	luanshan
卵生	luansheng
乱心	luanxin
略轨	luegui
略论安乐净土义	luelunanlejingtuyi
略释新华严经修行次第决疑论	lueshixinhuayanjingxiuxingcidijueyilun
略义	lueyi
轮宝	lunbao
伦比尼	lunbini
轮波迦罗	lunbojialuo
论部	lunbu
论藏	luncang|lunzang
轮藏	luncang
论典	lundian
轮回古寺	lunhuigusi
轮回学家	lunhuixuejia
轮回也有	lunhuiyeyou
轮涅	lunnie
论师	lunshi
论疏	lunshu
轮王	lunwang
轮王七珍	lunwangqizhen
轮转	lunzhuan
轮转不断	lunzhuanbuduan
罗布林卡	luobulinka
洛叉	luocha
罗刹	luocha
罗刹鬼	luochagui
罗刹国	luochaguo
罗刹界	luochajie
啰底崛多	luodijueduo
罗浮山显如	luofushanxianru
罗汉	luohan
罗汉供	luohangong
罗汉南禅师	luohannanchanshi
罗侯罗	luohouluo
罗睺罗	luohouluo
罗侯罗跋陀罗	luohouluobatuoluo
啰睺罗金刚	luohouluojingang
罗怙罗尊者	luohuluozunzhe
罗湖野录	luohuyelu
罗迦陵	luojialing
骆见于	luojianyu
罗君章	luojunzhang
落泪满面风	luoleimanmianfeng
罗罗嗦嗦草莓汁	luoluosuosuocaomeizhi
罗摩功行录	luomogongxinglu
罗摩克里希纳	luomokelixina
罗摩难陀	luomonantuo
罗摩奴闍	luomonudu
罗摩衍那	luomoyanna
罗姆摩罕罗易	luomumohanluoyi
落魄僧	luoposeng
落浦	luopu
洛浦安禅师	luopuanchanshi
罗晴湖	luoqinghu
洛热巴旺秀尊哲	luorebawangxiuzunzhe
罗桑丹贝坚赞	luosangdanbeijianzan
洛桑丹增嘉措	luosangdanzengjiacuo
洛桑丹增札巴	luosangdanzengzhaba
罗桑华丹益希	luosanghuadanyixi
罗桑嘉措	luosangjiacuo
罗桑却吉坚赞	luosangquejijianzan
罗桑确吉坚赞	luosangquejijianzan
洛桑却吉尼玛	luosangquejinima
洛桑益西	luosangyixi
洛桑扎巴	luosangzhaba
罗僧	luoseng
罗山道闲	luoshandaoxian
罗山灵山寺	luoshanlingshansi
罗山闲	luoshanxian
罗山元磨	luoshanyuanmo
洛阳伽蓝记	luoyangqielanji
罗玙妻费氏	luoyuqifeishi
洛卓炯勒	luozhuojiongle
洛卓扎	luozhuozha
绿财神心咒	lvcaishenxinzhou
律藏	lvcang
律忏	lvchan
律乘	lvcheng
吕澄先生	lvchengxiansheng
绿度母	lvdumu
绿度母心咒	lvdumuxinzhou
律二十二明了论	lvershiermingliaolun
吕佛庭居士	lvfotingjushi
律航法师	lvhangfashi
律航上人	lvhangshangren
吕宏妻吴氏	lvhongqiwushi
吕晦叔	lvhuishu
律经	lvjing
吕居仁	lvjuren
律师	lvshi
律师法砺	lvshifali
律师法愿	lvshifayuan
律师法证	lvshifazheng
律师惠琏	lvshihuilian
律师慧满	lvshihuiman
律师灵藏	lvshilingcang
律师灵彻	lvshilingche
律师灵澈	lvshilingche
律师上弘	lvshishanghong
律师元照	lvshiyuanzhao
律师允堪	lvshiyunkan
律师智首	lvshizhishou
吕铁船	lvtiechuan
吕童女	lvtongnv
律相	lvxiang
律行	lvxing
吕许公	lvxugong
吕岩真人	lvyanzhenren
律仪	lvyi
律仪戒	lvyijie
吕正己	lvzhengji
律宗	lvzong
马邦良	mabangliang
玛达根巴	madagenba
玛尔巴曲吉洛哲	maerbaqujiluozhe
马嘎塔	magata
麻谷	magu
麻谷寺	magusi
玛哈嘎拉	mahagala
玛哈嘎那	mahagana
马哈果提答	mahaguotida
马哈咖比那	mahakabina
马哈咖沙巴	mahakashaba
马哈咖吒亚那	mahakazhayana
马哈摩嘎喇那	mahamogalana
马哈那马	mahanama
马哈希西亚多	mahaxixiyaduo
马迹和尚	majiheshang
马拉拉西迦拉博士	malalaxijialaboshi
马郎妇	malangfu
玛莉咖	malika
马鸣	maming
马鸣菩萨	mamingpusa
马鸣尊者	mamingzunzhe
马那答	manada
玛瑙颠	manaodian
玛尼巴札	manibazha
玛宁青楚	maningqingchu
马秋儿	maqiuer
玛却吉喜饶	maquejixirao
玛饶却吉喜	maraoquejixi
马蹄寺石窟	matisishiku
玛维僧格	maweisengge
马希巴	maxiba
马兴德	maxingde
麻衣和尚	mayiheshang
蚂蚁身	mayishen
马阴藏相	mayincangxiang
马永逸之妻王氏	mayongyizhiqiwangshi
马仲玉	mazhongyu
马子云	maziyun
马祖禅师法语	mazuchanshifayu
马祖道一	mazudaoyi
卖饼婆	maibingpo
麦积山石窟	maijishanshiku
麦彭	maipeng
麦彭仁波切	maipengrenboqie
麦彭仁波切造	maipengrenboqiezao
麦协饶桑布	maixieraosangbu
曼慈法师	mancifashi
曼怛罗	mandaluo
满分戒	manfenjie
慢见	manjian
慢结	manjie
满起真参	manqizhencan
慢使	manshi
曼殊	manshu
曼殊迦佉耶颂	manshujiaquyesong
曼殊师利	manshushili
漫随天边也无灭	mansuitianbianyewumie
曼荼罗	mantuluo
曼荼罗教	mantuluojiao
曼陀罗	mantuoluo
曼陀罗华	mantuoluohua
满贤	manxian
满业	manye
缦衣	manyi
满意四	manyisi
曼扎	manzha
满州语译大藏经	manzhouyuyidazangjing
慢幢	manzhuang
满字教	manzijiao
芒嘎那姑汝	mangganaguru
莽会首	manghuishou
盲聋喑哑	manglongyinya
忙莽鸡菩萨	mangmangjipusa
盲人点灯	mangrendiandeng
盲修	mangxiu
忙修瞎练	mangxiuxialian
盲修瞎练	mangxiuxialian
毛道	maodao
茂峰法师	maofengfashi
毛凌云居士	maolingyunjushi
茂蕊法师	maoruifashi
毛头	maotou
毛钰龙	maoyulong
美德亚	meideya
梅帝尼	meidini
梅果巴	meiguoba
梅花尽处杏花开	meihuajinchuxinghuakai
梅花岭上追吴主	meihualingshangzhuiwuzhu
眉间白毫相	meijianbaihaoxiang
眉间光	meijianguang
眉沙迦山	meishajiashan
梅松	meisong
没诵	meisong
梅屋禅师念常	meiwuchanshinianchang
门措	mencuo
门措上师	mencuoshangshi
门迹	menji
门明雅	menmingya
门前町	menqianding
门前红幅飘千里	menqianhongfupiaoqianli
门叶记	menyeji
门扎巴	menzhaba
梦笔和尚	mengbiheshang
梦参老和尚	mengcanlaoheshang
梦窗禅师智曤	mengchuangchanshizhihuo
梦窗敕石	mengchuangchishi
梦窗嗣清禅师	mengchuangsiqingchanshi
蒙佛接引	mengfojieyin
梦观成就法	mengguanchengjiufa
孟加拉佛教	mengjialafojiao
蒙羯国王居士	mengjieguowangjushi
梦居禅师	mengjuchanshi
猛厉	mengli
梦里看花却非花	menglikanhuaquefeihua
蒙润	mengrun
蒙润法师	mengrunfashi
蒙山智明	mengshanzhiming
梦是回头醒是家	mengshihuitouxingshijia
梦堂噩公	mengtangegong
孟顗	mengyi
梦在醒时方知幻	mengzaixingshifangzhihuan
猛咒	mengzhou
密庵禅师	mianchanshi
密庵杰禅师	mianjiechanshi
密庵咸杰	mianxianjie
密庵咸杰禅师	mianxianjiechanshi
密藏	micang
秘藏宝钥	micangbaoyao
密乘	micheng
密乘戒律	michengjielv
密乘三昧耶戒	michengsanmeiyejie
密法	mifa
秘法	mifa
密法上师	mifashangshi
密供	migong
弥光	miguang
米和尚	miheshang
迷惑	mihuo
密集金刚	mijijingang
密迹力士	mijilishi
密教	mijiao
秘教	mijiao
迷界	mijie
密经	mijing
秘经	mijing
米拉日巴	milariba
弥兰王	milanwang
弥勒	mile
弥勒出世	milechushi
弥勒净土	milejingtu
弥勒净土变	milejingtubian
弥勒论师	milelunshi
弥勒内院	mileneiyuan
弥勒菩萨	milepusa
弥勒菩萨所问本愿经	milepusasuowenbenyuanjing
米勒日巴	mileriba
密勒日巴尊者	mileribazunzhe
弥勒三部	milesanbu
弥勒三经	milesanjing
弥勒三尊	milesanzun
弥勒寺	milesi
弥勒五论	milewulun
弥戾车	miliche
弥林达	milinda
密林山部	milinshanbu
米岭	miling
迷律	milv
秘密藏	mimicang
秘密乘	mimicheng
秘密号	mimihao
秘密集会怛特罗	mimijihuidateluo
秘密教	mimijiao
秘密戒	mimijie
秘密经	mimijing
秘密咒	mimizhou
秘密宗	mimizong
秘魔岩	mimoyan
米那巴	minaba
弥那波	minabo
迷情	miqing
弥沙塞部和酰五分律	mishasaibuhexianwufenlv
弥授	mishou
弥梯罗城	mitiluocheng
弥陀	mituo
弥陀本愿	mituobenyuan
弥陀慈光照大千	mituociguangzhaodaqian
弥陀弘誓九界全收	mituohongshijiujiequanshou
弥陀见真颜	mituojianzhenyan
弥陀三部	mituosanbu
弥陀三圣	mituosansheng
弥陀三尊	mituosanzun
弥陀寺	mituosi
弥陀天堂	mituotiantang
迷妄	miwang
迷悟如隐显	miwuruyinxian
迷悟一如	miwuyiru
迷悟因果	miwuyinguo
迷信	mixin
密行	mixing
密续	mixu
密严净土	miyanjingtu
秘要	miyao
密义	miyi
密意	miyi
密意界	miyijie
密印	miyin
密因	miyin
秘印	miyin
密印寺	miyinsi
密语	miyu
密云圆悟禅师	miyunyuanwuchanshi
米则玛	mizema
弥遮迦	mizhejia
迷执	mizhi
密咒	mizhou
密宗	mizong
密宗道次第广论	mizongdaocidiguanglun
密宗要决钞	mizongyaojuechao
缅甸佛教	miandianfojiao
免丁钱	miandingqian
面山瑞芳	mianshanruifang
妙参法师	miaocanfashi
庙产兴学	miaochanxingxue
妙德	miaode
妙灯法师	miaodengfashi
妙典	miaodian
妙恩	miaoen
妙法	miaofa
妙法藏	miaofacang
妙法宫	miaofagong
妙法华寺	miaofahuasi
妙法莲华	miaofalianhua
妙法莲华经	miaofalianhuajing
妙法轮	miaofalun
妙法人	miaofaren
妙法寺	miaofasi
妙法院	miaofayuan
妙峰法师	miaofengfashi
妙峰善禅师	miaofengshanchanshi
妙高禅师	miaogaochanshi
妙高山	miaogaoshan
妙观	miaoguan
妙观察智	miaoguanchazhi
妙光	miaoguang
妙果	miaoguo
妙果法师	miaoguofashi
妙好人传	miaohaorenchuan
妙慧	miaohui
妙慧勇	miaohuiyong
妙吉祥	miaojixiang
妙吉祥友	miaojixiangyou
妙吉祥智	miaojixiangzhi
妙见菩萨	miaojianpusa
妙戒	miaojie
妙境法师	miaojingfashi
妙觉	miaojue
妙觉地	miaojuedi
妙抉法师	miaojuefashi
妙堪禅师	miaokanchanshi
妙空	miaokong
妙空智讷禅师	miaokongzhinechanshi
妙快	miaokuai
妙乐	miaole
妙理	miaoli
妙莲	miaolian
妙莲华	miaolianhua
妙莲老和尚	miaolianlaoheshang
妙莲寺	miaoliansi
妙满寺	miaomansi
妙门	miaomen
妙明	miaoming
妙葩	miaopa
妙钦法师	miaoqinfashi
妙清	miaoqing
妙然	miaoran
妙色	miaose
妙善法师	miaoshanfashi
妙树斋姑	miaoshuzhaigu
妙土	miaotu
妙文讲主	miaowenjiangzhu
妙喜老师	miaoxilaoshi
妙喜世界	miaoxishijie
妙喜足天	miaoxizutian
妙显寺	miaoxiansi
妙相	miaoxiang
妙祥	miaoxiang
妙心	miaoxin
妙心寺	miaoxinsi
妙心寺派	miaoxinsipai
秒牙签哦	miaoyaqiano
妙严寺	miaoyansi
妙祎	miaoyi
妙音	miaoyin
妙音大士	miaoyindashi
妙音佛	miaoyinfo
妙音念佛堂	miaoyinnianfotang
妙音菩萨	miaoyinpusa
妙音天	miaoyintian
妙音天女心咒	miaoyintiannvxinzhou
妙音乐天	miaoyinyuetian
妙应寺	miaoyingsi
妙有	miaoyou
妙有禅师	miaoyouchanshi
妙有真空	miaoyouzhenkong
妙源	miaoyuan
妙云	miaoyun
妙云集	miaoyunji
妙云兰若	miaoyunlanre
妙湛法师	miaozhanfashi
妙智	miaozhi
妙智明瑄二师	miaozhimingxuanershi
妙幢	miaozhuang
妙幢相三昧	miaozhuangxiangsanmei
妙总	miaozong
妙总禅师	miaozongchanshi
灭道	miedao
灭谛	miedi
灭定	mieding
灭度	miedu
灭法	miefa
灭法忍	miefaren
灭法智	miefazhi
灭法智忍	miefazhiren
灭后	miehou
灭尽定	miejinding
灭尽妙离	miejinmiaoli
灭尽三昧	miejinsanmei
灭类忍	mieleiren
灭类智	mieleizhi
灭类智忍	mieleizhiren
灭理	mieli
灭受想定	mieshouxiangding
灭智	miezhi
旻禅师	minchanshi
旻法师	minfashi
民国本泉	minguobenquan
民国曹宜人	minguocaoyiren
民国曹云荪	minguocaoyunsun
民国查童女	minguochatongnv
民国柴祖尧	minguochaizuyao
民国常慧	minguochanghui
民国长龄	minguochangling
民国陈德	minguochende
民国陈镜潭	minguochenjingtan
民国陈琴轩	minguochenqinxuan
民国陈性良	minguochenxingliang
民国陈益卿	minguochenyiqing
民国陈贞女	minguochenzhennv
民国陈治	minguochenzhi
民国程蓉孙	minguochengrongsun
民国澄松	minguochengsong
民国持心	minguochixin
民国传性	minguochuanxing
民国大悟	minguodawu
民国单德尊	minguodandezun
民国德堂	minguodetang
民国德智	minguodezhi
民国邓女士	minguodengnvshi
民国丁菉馨	minguodingluxin
民国窦母	minguodoumu
民国二节妇	minguoerjiefu
民国方海生	minguofanghaisheng
民国冯日南	minguofengrinan
民国冯宜人	minguofengyiren
民国佛乘	minguofocheng
民国葛夫人	minguogefuren
民国古虚	minguoguxu
民国果仁	minguoguoren
民国贺国昌	minguoheguochang
民国何王氏	minguohewangshi
民国宏源	minguohongyuan
民国江庵南	minguojiangannan
民国江邦济	minguojiangbangji
民国江任铨	minguojiangrenquan
民国焦女士	minguojiaonvshi
民国戒然	minguojieran
民国戒心	minguojiexin
民国今彩	minguojincai
民国金荣轩	minguojinrongxuan
民国晋贞女	minguojinzhennv
民国金浊	minguojinzhuo
民国静亮	minguojingliang
民国觉照	minguojuezhao
民国空三	minguokongsan
民国赖德祥	minguolaidexiang
民国赖祥麟	minguolaixianglin
民国了定	minguoleding
民国乐妇	minguolefu
民国李夫人	minguolifuren
民国李国泉	minguoliguoquan
民国李荩臣	minguolijinchen
民国李四姑	minguolisigu
民国李幼澄	minguoliyoucheng
民国李贞女	minguolizhennv
民国莲贞	minguolianzhen
民国林夫人	minguolinfuren
民国林鸿猷	minguolinhongyou
民国柳步瀛	minguoliubuying
民国刘春才	minguoliuchuncai
民国刘二姑	minguoliuergu
民国刘翰廷	minguoliuhanting
民国刘开难	minguoliukainan
民国陆鸿逵	minguoluhongkui
民国陆贞女	minguoluzhennv
民国罗禹曾	minguoluoyuceng
民国明果	minguomingguo
民国某校书	minguomouxiaoshu
民国尼德成	minguonidecheng
民国尼能开	minguoninengkai
民国念佛僧	minguonianfoseng
民国欧阳柱	minguoouyangzhu
民国潘贞桂	minguopanzhengui
民国任恭人	minguorengongren
民国如觉	minguorujue
民国如智	minguoruzhi
民国桑氏女	minguosangshinv
民国沙元炳	minguoshayuanbing
民国绍英	minguoshaoying
民国沈荷生	minguoshenhesheng
民国沈善长	minguoshenshanzhang|minguoshenshanchang
民国沈同文	minguoshentongwen
民国沈筱荃	minguoshenxiaoquan
民国圣道	minguoshengdao
民国省元	minguoshengyuan
民国孙克绳	minguosunkesheng
民国汤居士	minguotangjushi
民国童养正	minguotongyangzheng
民国王逢源	minguowangfengyuan
民国汪夫人	minguowangfuren
民国王桂祥	minguowangguixiang
民国王景栴	minguowangjingzhan
民国王燕济	minguowangyanji
民国王贻善	minguowangyishan
民国吴志福	minguowuzhifu
民国吴钟镕	minguowuzhongrong
民国香亭	minguoxiangting
民国萧俞氏	minguoxiaoyushi
民国徐夫人	minguoxufuren
民国徐雷	minguoxulei
民国杨莲航	minguoyanglianhang
民国姚夫人	minguoyaofuren
民国叶久诚	minguoyejiucheng
民国郁贞女	minguoyuzhennv
民国鱼贞女	minguoyuzhennv
民国袁保治	minguoyuanbaozhi
民国岳泰元	minguoyuetaiyuan
民国张炳桢	minguozhangbingzhen
民国张夫人	minguozhangfuren
民国张荣深	minguozhangrongshen
民国张文甫	minguozhangwenfu
民国张珍午	minguozhangzhenwu
民国赵可	minguozhaoke
民国赵尊仁	minguozhaozunren
民国郑伯仪	minguozhengboyi
民国正诚	minguozhengcheng
民国钟子良	minguozhongziliang
民国周明谦	minguozhoumingqian
民国周乃勋	minguozhounaixun
民国周廷弼	minguozhoutingbi
民国朱节母	minguozhujiemu
民国朱少章	minguozhushaozhang
民国朱烜奎	minguozhuxuankui
民国朱兆法	minguozhuzhaofa
民国宗律	minguozonglv
愍生法师	minshengfashi
敏智法师	minzhifashi
敏竹林	minzhulin
明暗不相离	minganbuxiangli
明庵荣西	minganrongxi
明暗元不二	minganyuanbuer
明白洪禅师	mingbaihongchanshi
明白鹦鹉	mingbaiyingwu
明板大藏经	mingbandazangjing
冥报记	mingbaoji
明宝珠	mingbaozhu
明鲍宗肇	mingbaozongzhao
明本禅师	mingbenchanshi
明本明	mingbenming
明辩	mingbian
明辩安	mingbianan
明蔡承植	mingcaichengzhi
明璨	mingcan
明彻	mingche
明琛	mingchen
明陈道民	mingchendaomin
明陈瓒	mingchenzan
明陈至善	mingchenzhishan
明程见山	mingchengjianshan
明成静	mingchengjing
明处	mingchu
明传灯	mingchuandeng
明达	mingda
明大云	mingdayun
明诞	mingdan
明导	mingdao
鸣道集说	mingdaojishuo
名德	mingde
明得	mingde
明德禅师	mingdechanshi
明德清	mingdeqing
明得萨埵	mingdesaduo
明地	mingdi
明颠	mingdian
酩酊不知空日用	mingdingbuzhikongriyong
明杜居士	mingdujushi
明法祥	mingfaxiang
明梵琦	mingfanqi
明芬	mingfen
冥府	mingfu
明感	minggan
明戈以安	minggeyian
命根	minggen
明恭	minggong
明古松	minggusong
明顾源	mingguyuan
明观法师	mingguanfashi
名光佛	mingguangfo
明光火中无	mingguanghuozhongwu
明广觉	mingguangjue
明光抹山寺	mingguangmoshansi
明广制	mingguangzhi
明郭大林	mingguodalin
明海宝	minghaibao
明郝熙载	minghaoxizai
明护	minghu
明华居士	minghuajushi
明黄承惠	minghuangchenghui
明诲	minghui
明慧	minghui
明慧比丘尼	minghuibiqiuni
明慧日	minghuiri
明鸡	mingji
明极楚俊	mingjichujun
明寂光	mingjiguang
冥加	mingjia
明建阳德应庵主	mingjianyangdeyinganzhu
明教禅师嵩公	mingjiaochanshisonggong
明教大师契嵩	mingjiaodashiqisong
明教契嵩禅师	mingjiaoqisongchanshi
明教嵩禅师	mingjiaosongchanshi
冥界	mingjie
明金童庙僧	mingjintongmiaoseng
明景隆	mingjinglong
明净寺	mingjingsi
名句文身	mingjuwenshen
明觉禅师语录	mingjuechanshiyulu|mingjiaochanshiyulu
明浚	mingjun
明开法师	mingkaifashi
明可授	mingkeshou
明旷	mingkuang
明刘通志	mingliutongzhi
明龙	minglong
明龙禅师	minglongchanshi
明卢氏	minglushi
明妙法师	mingmiaofashi
明妙叶	mingmiaoye
冥冥发现	mingmingfaxian
命命鸟	mingmingniao
明明玉	mingmingyu
明明证	mingmingzheng
明那耶夫	mingnayefu
明瓯宁发吾张居士	mingouningfawuzhangjushi
明潘氏	mingpanshi
明普智	mingpuzhi
明仁孝徐皇后	mingrenxiaoxuhuanghou
明如清	mingruqing
明如荣	mingrurong
名色	mingse
明色仁波切	mingserenboqie
名僧传	mingsengchuan
明僧绍	mingsengshao
明僧绍居士	mingsengshaojushi
明赡	mingshan
茗山法师	mingshanfashi
明沈咸	mingshenxian
明生法师	mingshengfashi
冥使	mingshi
明室道人本明	mingshidaorenbenming
名数	mingshu
明舜	mingshun
明叟昌禅师	mingsouchangchanshi
明孙叔子	mingsunshuzi
明唐时	mingtangshi
明唐廷任	mingtangtingren
冥通	mingtong
冥途	mingtu
明脱	mingtuo
明王	mingwang
明王醇	mingwangchun
名闻佛	mingwenfo
名闻光佛	mingwenguangfo
名闻利养	mingwenliyang
明闻启初	mingwenqichu
明吴大恩	mingwudaen
明吴继勋	mingwujixun
明吴浇烛	mingwujiaozhu
明吴鸣珙	mingwuminggong
明吴氏女	mingwushinv
明吴瞻楼	mingwuzhanlou
名相	mingxiang
明心见性	mingxinjianxing
明心见性灯	mingxinjianxingdeng
冥性	mingxing
明行道六成就法	mingxingdaoliuchengjiufa
明性专	mingxingzhuan
明行足	mingxingzu
明休烈	mingxiulie
明许氏妇	mingxushifu
明学法师	mingxuefashi
明雪梅	mingxuemei
冥熏	mingxun
明严澄	mingyancheng
名言种子	mingyanzhongzi
明旸法师	mingyangfashi
明杨嘉祎	mingyangjiayi
明杨选一妻	mingyangxuanyiqi
明义秀	mingyixiu
明隐	mingyin
明驭	mingyu
明虞淳熙	mingyuchunxi
明玉法师	mingyufashi
明圆果	mingyuanguo
明袁宏道	mingyuanhongdao
明月灵光照迷途	mingyuelingguangzhaomitu
明月摩尼	mingyuemoni
明月清泉凌光耀	mingyueqingquanlingguangyao
明月自在清风落	mingyuezizaiqingfengluo
明瓒	mingzan
明瓒禅师	mingzanchanshi
明瞻	mingzhan
明张爱	mingzhangai
明张守约	mingzhangshouyue
明张太宜人	mingzhangtaiyiren
明招谦	mingzhaoqian
命者	mingzhe
明真	mingzhen
明真法师	mingzhenfashi
明真清	mingzhenqing
明真缘	mingzhenyuan
明仲光	mingzhongguang
明咒	mingzhou
明州和庵主	mingzhouheanzhu
明州黄氏	mingzhouhuangshi
明州启霞宏禅师	mingzhouqixiahongchanshi
明州孙媪	mingzhousunao
明周廷璋	mingzhoutingzhang
明州智朋禅师	mingzhouzhipengchanshi
明朱纲	mingzhugang
明袾宏	mingzhuhong
明袾锦	mingzhujin
明朱鹭	mingzhulu
明朱元正	mingzhuyuanzheng
明传记	mingzhuanji
明庄广还	mingzhuangguanghai
明庄严	mingzhuangyan
明准	mingzhun
命浊	mingzhuo
明孜	mingzi
明祖香	mingzuxiang
明祖与咸	mingzuyuxian
默摈	mobin
魔病	mobing
魔波旬	moboxun
摩触	mochu
摩触戒	mochujie
摩呾理迦	modalijia
末代念佛授手印	modainianfoshoushouyin
魔道	modao
莫到白发空自老	modaobaifakongzilao
莫道正觉无觅处	modaozhengjuewumichu
默德加拉	modejiala
摩登伽	modengjia|modengga
摩登伽经	modengjiajing|modenggajing
末底僧诃	modisenghe
摩咥里制咤	modielizhizha
摩顶	moding
摩顶授记	modingshouji
末法	mofa
末法时代	mofashidai
魔梵	mofan
魔佛	mofo
莫哥西亚多	mogexiyaduo
摩诃	mohe
摩诃般涅槃那	mohebanniepanna
摩诃波闍波提	moheboduboti
摩诃般若	mohebore
摩诃般若波罗蜜多	moheboreboluomiduo
摩诃迦叶	mohejiaye
摩诃迦旃延	mohejiazhanyan
摩诃劫宾那	mohejiebinna
摩诃俱絺罗	mohejuchiluo
摩诃摩耶	mohemoye
摩诃摩耶经	mohemoyejing
摩诃目犍连	mohemujianlian
摩诃男	mohenan
摩诃婆罗多	mohepoluoduo
摩诃菩提协会	moheputixiehui
摩诃萨	mohesa
摩诃萨埵	mohesaduo
摩诃僧祇律	mohesengqilv|mohesengchilv
摩诃衍	moheyan
摩诃衍那	moheyanna
摩诃止观	mohezhiguan
摩侯罗伽	mohouluoga|mohouluojia
摩睺罗伽	mohouluojia
摩呼洛伽	mohuluojia
末伽梨拘舍梨	mogalijusheli|mojialijusheli
莫叫失落去	mojiaoshiluoqu
魔戒	mojie
魔界	mojie
摩揭陀国	mojietuoguo
魔眷	mojuan
魔军	mojun
摩喀罗	mokaluo
摩腊婆国	molapoguo
摩利支天	molizhitian
魔罗	moluo
魔罗道	moluodao
摩罗国	moluoguo
摩罗难陀	moluonantuo
莫迷路景堕小河	momilujingduoxiaohe
末摩	momo
摩那埵	monaduo
末那识	monashi
摩尼宝	monibao
摩奴法典	monufadian
默如	moru
默如法师	morufashi
摩晒陀	moshaituo
摩哂陀	moshentuo
魔事	moshi
默室焉智	moshiyanzhi
摩腾	moteng
魔天	motian
摩田地	motiandi
末田地	motiandi
末田地尊者	motiandizunzhe
摩突罗国	motuluoguo
魔王也躲藏	mowangyeduocang
莫谓念佛很简单	moweinianfohenjiandan
摩醯首罗天	moxishouluotian
磨崖佛	moyafo
摩耶夫人	moyefuren
莫因西亚多	moyinxiyaduo
魔障	mozhang
默照禅	mozhaochan
莫正熹居士	mozhengxijushi
魔众	mozhong
磨砖成镜	mozhuanchengjing
磨砖做镜	mozhuanzuojing
莫做外求向外寻	mozuowaiqiuxiangwaixun
牟那	mouna
牟尼	mouni
牟尼王	mouniwang
牟尼仙	mounixian
牟尼业	mouniye
牟子居士	mouzijushi
牟子理惑论	mouzilihuolun
牟宗三	mouzongsan
木庵永禅师	muanyongchanshi
牧庵忠禅师	muanzhongchanshi
木叉提婆师	muchatiposhi
木村泰贤	mucuntaixian
目犍连	mujianlian
目犍连子帝须	mujianlianzidixu
目犍连尊者	mujianlianzunzhe
牧口常三郎	mukouchangsanlang
木兰色	mulanse
目连	mulian
目连救母	mulianjiumu
木零如花风姿开	mulingruhuafengzikai
木平	muping
穆山瑾英	mushanjinying
牧田谛亮	mutiandiliang
牧翁性钦	muwengxingqin
慕西法师	muxifashi
母续	muxu
木严植公	muyanzhigong
目冶	muye
木鱼	muyu
牧云禅师	muyunchanshi
慕喆	muzhe
睦州陈道明	muzhouchendaoming
睦州陈尊宿	muzhouchenzunsu
睦州和尚	muzhouheshang
纳波杰巴	nabojieba
纳川法师	nachuanfashi
拏错	nacuo
拿贡巴东	nagongbadong
拿古纳	naguna
那含	nahan
那伽	najia
那迦菩提	najiaputi
那迦希尊者	najiaxizunzhe
纳戒	najie
那揭罗曷国	najieluoheguo
纳具	naju
纳卡波笛	nakabodi
那烂陀寺	nalantuosi
那力拿巴	nalinaba
那连提黎耶舍	naliantiliyeshe
那连耶舍	nalianyeshe
那洛巴	naluoba
那洛波	naluobo
那落迦	naluojia
那洛空行母	naluokongxingmu
那罗提黎耶舍	naluotiliyeshe
那罗延天	naluoyantian
那律	nalv
那么口里面念诵一个观音心咒	namekoulimianniansongyigeguanyinxinzhou
南无	namo
南无阿弥陀佛	namoemituofo
南无佛	namofo
南无观世音菩萨圣号	namoguanshiyinpusashenghao
南无喝啰怛那哆罗夜耶	namoheluodanaduoluoyeye
那南多杰敦珠	nananduojiedunzhu
那南生移喜德	nananshengyixide
那南头	nanantou
那瞿波	naqubo
那森渣华蒋操	nasenzhahuajiangcao
纳塘巴协饶僧格	natangbaxieraosengge
那提三藏	natisanzang
那锡克	naxike
那先比丘经	naxianbiqiujing
那需向外来寻求	naxuxiangwailaixunqiu
衲衣	nayi
纳衣	nayi
那由他	nayouta
那吒	nazha
那这样不合理	nazheyangbuheli
衲子	nazi
奈良大佛	nailiangdafo
奈良佛教	nailiangfojiao
耐秣陀河	naimotuohe
