阿鼻	abi
八圣	basheng
八胜处	bashengchu
八圣道	bashengdao
八圣道分	bashengdaofen
八圣吉祥祈请文	bashengjixiangqiqingwen
八圣吉祥颂	bashengjixiangsong
八识	bashi
八十八使	bashibashi
八十八祖道影传赞	bashibazudaoyingchuanzan
八识二无我	bashierwuwo
八世风	bashifeng
八识规矩颂	bashiguijusong
八十劫以后	bashijieyihou
八十九心	bashijiuxin
八识聚	bashiju
八十诵律	bashisonglv
八十随形好	bashisuixinghao
八识体别	bashitibie
八识体一	bashitiyi
八识田	bashitian
八识心王	bashixinwang
八十亿劫	bashiyijie
八十一品思惑	bashiyipinsihuo
八十种好	bashizhonghao
八思巴	basiba
八思巴洛哲坚赞	basibaluozhejianzan
八思巴文字	basibawenzi
八天	batian
跋陀罗尊者	batuoluozunzhe
巴哇希	bawaxi
八万次	bawanci
八万大劫	bawandajie
八万法门	bawanfamen
八万法藏	bawanfazang
八万四千病	bawansiqianbing
八万四千法门	bawansiqianfamen
八万四千光明	bawansiqianguangming
八万四千劳尘	bawansiqianlaochen
八万四千岁	bawansiqiansui
八万四千相好	bawansiqianxianghao
八万威仪	bawanweiyi
八万细行	bawanxixing
八万总持门	bawanzongchimen
八妄想	bawangxiang
八味	bawei
八未曾有	baweicengyou
八位胎藏	baweitaicang
八惟无	baweiwu
把握机缘	bawojiyuan
拔希	baxi
巴西佛教	baxifojiao
把溪寺	baxisi
吧县官	baxianguan
八相	baxiang
八相成道	baxiangchengdao
八邪	baxie
巴谢那地	baxienadi
八叶九尊	bayejiuzun
八叶莲花	bayelianhua
八叶莲华观	bayelianhuaguan
八叶莲台	bayeliantai
八叶肉团心	bayeroutuanxin
八叶印	bayeyin
八叶院	bayeyuan
八叶中台	bayezhongtai
八音	bayin
八游行	bayouxing
八月桂花层层开	bayueguihuacengcengkai
八灾患	bazaihuan
巴札力巴	bazhaliba
八遮	bazhe
八折诵经	bazhesongjing
八正道	bazhengdao
八智	bazhi
八支甘露心要秘密教授续	bazhiganluxinyaomimijiaoshouxu
八指头陀	bazhitoutuo
八指头陀诗集	bazhitoutuoshiji
巴支汪朱	bazhiwangzhu
巴支星叽	bazhixingji
巴支移喜	bazhiyixi
八支瑜伽	bazhiyujia
八支斋	bazhizhai
八重	bazhong|bachong
八种别解脱戒	bazhongbiejietuojie
八种法	bazhongfa
八种谬	bazhongmiu
八种胜法	bazhongshengfa
八种事	bazhongshi
八种施	bazhongshi
八中洲	bazhongzhou
巴宙	bazhou
霸州市净心佛堂	bazhoushijingxinfotang
霸州市龙泉禅寺	bazhoushilongquanchansi
