大连枫叶职业技术学院	dalianfengyezhiyejishuxueyuan
大连海事大学	dalianhaishidaxue
大连交通大学	dalianjiaotongdaxue
大连理工大学	dalianligongdaxue
大连软件职业学院	dalianruanjianzhiyexueyuan
大连商务职业学院	dalianshangwuzhiyexueyuan
大连铁道学院	daliantiedaoxueyuan
大连医科大学	dalianyikedaxue
大连艺术学院	dalianyishuxueyuan
大连职业技术学院	dalianzhiyejishuxueyuan
大庆师范学院	daqingshifanxueyuan
大庆医学高等专科学校	daqingyixuegaodengzhuankexuexiao
大兴安岭职业学院	daxinganlingzhiyexueyuan
德宏师范高等专科学校	dehongshifangaodengzhuankexuexiao
德州学院	dezhouxueyuan
定西师范高等专科学校	dingxishifangaodengzhuankexuexiao
东北财经大学	dongbeicaijingdaxue
东北大学	dongbeidaxue
东北电力大学	dongbeidianlidaxue
东北林业大学	dongbeilinyedaxue
东北农业大学	dongbeinongyedaxue
东北师范大学	dongbeishifandaxue
东莞理工学院	dongguanligongxueyuan
东海学院	donghaixueyuan
东华大学	donghuadaxue
东华理工大学	donghualigongdaxue
东南大学	dongnandaxue
东营职业学院	dongyingzhiyexueyuan
对外经济贸易大学	duiwaijingjimaoyidaxue
恩施职业技术学院	enshizhiyejishuxueyuan
防灾科技学院	fangzaikejixueyuan
佛山职业技术学院	foshanzhiyejishuxueyuan
复旦大学	fudandaxue
福建电力职业技术学院	fujiandianlizhiyejishuxueyuan
福建对外经济贸易职业技术学院	fujianduiwaijingjimaoyizhiyejishuxueyuan
福建工程学院	fujiangongchengxueyuan
福建广播电视大学	fujianguangbodianshidaxue
福建林业职业技术学院	fujianlinyezhiyejishuxueyuan
福建农林大学	fujiannonglindaxue
福建农业职业技术学院	fujiannongyezhiyejishuxueyuan
福建生物工程职业技术学院	fujianshengwugongchengzhiyejishuxueyuan
福建师范大学	fujianshifandaxue
福建体育职业技术学院	fujiantiyuzhiyejishuxueyuan
福建卫生职业技术学院	fujianweishengzhiyejishuxueyuan
福建信息职业技术学院	fujianxinxizhiyejishuxueyuan
福建行政学院	fujianxingzhengxueyuan
福建医科大学	fujianyikedaxue
福建艺术职业学院	fujianyishuzhiyexueyuan
抚顺师范高等专科学校	fushunshifangaodengzhuankexuexiao
抚顺职业技术学院	fushunzhiyejishuxueyuan
阜新高等专科学校	fuxingaodengzhuankexuexiao
福州大学	fuzhoudaxue
福州黎明职业技术学院	fuzhoulimingzhiyejishuxueyuan
福州职业技术学院	fuzhouzhiyejishuxueyuan
赣南医学院	gannanyixueyuan
甘肃钢铁职业技术学院	gansugangtiezhiyejishuxueyuan
甘肃工业职业技术学院	gansugongyezhiyejishuxueyuan
甘肃交通职业技术学院	gansujiaotongzhiyejishuxueyuan
甘肃警察职业学院	gansujingchazhiyexueyuan
甘肃林业职业技术学院	gansulinyezhiyejishuxueyuan
甘肃农业大学	gansunongyedaxue
