哀公	aigong
江湖小集	jianghuxiaoji
江湖小集拾遗	jianghuxiaojishiyi
江淮异人录	jianghuaiyirenlu
蒋骥	jiangji
江南别录	jiangnanbielu
江南经略	jiangnanjinglue
江南通志	jiangnantongzhi
江南野史	jiangnanyeshi
江南馀载	jiangnanyuzai
蒋汝藻	jiangruzao
江上云林阁藏书目	jiangshangyunlingecangshumu
江少虞	jiangshaoyu
江声	jiangsheng
匠体	jiangti
绛帖平	jiangtieping
蒋廷锡	jiangtingxi
江文通集	jiangwentongji
江翁	jiangweng
江西通志	jiangxitongzhi
绛雪园古方选注	jiangxueyuangufangxuanzhu
江永	jiangyong
江有诰	jiangyougao
江有汜	jiangyousi
江月松风集	jiangyuesongfengji
绛云楼	jiangyunlou
绛云楼书目	jiangyunloushumu
将仲子	jiangzhongzi
斠补	jiaobu
剿捕临清逆匪纪略	jiaobulinqingnifeijilue
剿捕逆匪纪略	jiaobunifeijilue
校雠备论	jiaochoubeilun
校雠略	jiaochoulue
校雠通义	jiaochoutongyi
教坊记	jiaofangji
蛟峰文集	jiaofengwenji
角弓	jiaogong
焦竑	jiaohong
郊祭	jiaoji
教理群书	jiaoliqunshu
椒聊	jiaoliao
脚气集	jiaoqiji
脚气治法总要	jiaoqizhifazongyao
椒邱文集	jiaoqiuwenji
郊社禘祫问	jiaoshedixiawen
焦氏笔乘	jiaoshibicheng
焦氏类林	jiaoshileilin
焦氏易	jiaoshiyi
焦氏易林	jiaoshiyilin
郊祀志	jiaosizhi
狡童	jiaotong
焦循	jiaoxun
焦延寿	jiaoyanshou
校正	jiaozheng
斠注	jiaozhu
校注	jiaozhu
介庵词	jieanci
解蔽	jiebi
解诂	jiegu
羯鼓录	jiegulu
解老	jielao
节南山	jienanshan
节南山之什	jienanshanzhishi|jienanshanzhishen
痎疟论疏	jienuelunshu
解题	jieti
节孝语录	jiexiaoyulu
界行	jiexing
结一庐	jieyilu
结一庐书目	jieyilushumu
芥隐笔记	jieyinbiji
节用	jieyong
节用上	jieyongshang
节用下	jieyongxia
节用中	jieyongzhong
节葬	jiezang
节葬上	jiezangshang
节葬下	jiezangxia
戒子通录	jiezitonglu
金鳌退食笔记	jinaotuishibiji
金榜	jinbang
今本竹书纪年疏证	jinbenzhushujinianshuzheng
禁扁	jinbian
矜伐	jinfa
近光集	jinguangji
金华子杂编	jinhuazizabian
金匮钩玄	jinkuigouxuan
金匮要略论注	jinkuiyaoluelunzhu
觐礼	jinli
锦里耆旧传	jinliqijiuchuan
金陵百咏	jinlingbaiyong
金楼子	jinlouzi
金履祥	jinlvxiang
金农	jinnong
金史	jinshi
金石	jinshi
金石材料	jinshicailiao
金石萃编	jinshicuibian
近事会元	jinshihuiyuan
金石经眼录	jinshijingyanlu
金石例	jinshili
金石林时地考	jinshilinshidikao
金石录	jinshilu
金石录补	jinshilubu
金石略	jinshilue
金石史	jinshishi
金石索	jinshisuo
金石文考略	jinshiwenkaolue
金石文字跋尾	jinshiwenzibawei
金石文字记	jinshiwenziji
金石要例	jinshiyaoli
晋书	jinshu
禁书目录	jinshumulu
禁书总目	jinshuzongmu
近思录	jinsilu
近思录集注	jinsilujizhu
金台集	jintaiji
金檀	jintan
金滕	jinteng
金文靖集	jinwenjingji
今文尚书经说考	jinwenshangshujingshuokao
今文尚书考证	jinwenshangshukaozheng
靳文襄奏疏	jinwenxiangzoushu
金文雅	jinwenya
金文最	jinwenzui
今献备遗	jinxianbeiyi
巾箱本	jinxiangben
金薤琳琅	jinxielinlang
尽心上	jinxinshang
尽心下	jinxinxia
锦绣万花谷	jinxiuwanhuagu
尽言集	jinyanji
晋阳秋	jinyangqiu
金渊集	jinyuanji
金漳兰谱	jinzhanglanpu
晋灼	jinzhuo
静庵	jingan
静庵集	jinganji
经稗	jingbai
鲸背吟集	jingbeiyinji
京本	jingben
经部	jingbu
经部乐类	jingbulelei
经部五经总义类	jingbuwujingzongyilei
经厂	jingchang
经厂本	jingchangben
荆楚岁时记	jingchusuishiji
荆川稗编	jingchuanbaibian
荆川集	jingchuanji
静春堂诗集	jingchuntangshiji
经典集林	jingdianjilin
经典稽疑	jingdianjiyi
经典释文	jingdianshiwen
经典文字考异	jingdianwenzikaoyi
景定建康志	jingdingjiankangzhi
景定严州续志	jingdingyanzhouxuzhi
京房	jingfang
经方	jingfang
泾皋藏稿	jinggaocanggao
井观琐言	jingguansuoyan
精核	jinghe
静洪	jinghong
精华录	jinghualu
经籍	jingji
经籍跋文	jingjibawen
经籍会通	jingjihuitong
经籍举要	jingjijuyao
经济类编	jingjileibian
经济文衡	jingjiwenheng
经济文集	jingjiwenji
经济佚文	jingjiyiwen
经籍志	jingjizhi
经籍籑诂	jingjizhuangu
经戒	jingjie
经解	jingjie
菁菁者莪	jingjingzhee
靖康缃素杂记	jingkangxiangsuzaji
靖康要录	jingkangyaolu
京口耆旧传	jingkouqijiuchuan
经礼补逸	jinglibuyi
景鸾	jingluan
荆南倡和诗集	jingnanchangheshiji
静女	jingnv
竟山乐录	jingshanlelu
精神训	jingshenxun
经史图书纲目	jingshitushugangmu
京氏易	jingshiyi
京氏易传	jingshiyizhuan
经史正音切韵指南	jingshizhengyinqieyunzhinan
经说	jingshuo
经说上	jingshuoshang
经说下	jingshuoxia
静思集	jingsiji
经外杂钞	jingwaizachao
经问	jingwen
经幄管见	jingwoguanjian
荆溪林下偶谈	jingxilinxiaoutan
敬乡录	jingxianglu
景星	jingxing
静修集	jingxiuji
敬轩文集	jingxuanwenji
经学史	jingxueshi
静学文集	jingxuewenji
敬业堂诗集	jingyetangshiji
泾野子内篇	jingyezineipian
精义	jingyi
经迻	jingyi
经义考	jingyikao
经义考补正	jingyikaobuzheng
经义论策	jingyilunce
经义模范	jingyimofan
经义述闻	jingyishuwen
经义杂记	jingyizaji
精语	jingyu
景岳全书	jingyuequanshu
经韵楼集	jingyunlouji
敬斋古今黈	jingzhaigujintou
敬斋古今注	jingzhaigujinzhu
经折装	jingzhezhuang
敬之	jingzhi
经咫	jingzhi
敬止集	jingzhiji
经传释词	jingzhuanshici
经子	jingzi
经子法语	jingzifayu
经子难字	jingzinanzi
冏命	jiongming
泂酌	jiongzhuo
酒边词	jiubianci
九朝编年备要	jiuchaobiannianbeiyao
九厄谶	jiuechen
九峰	jiufeng
酒诰	jiugao
九华集	jiuhuaji
九华诗集	jiuhuashiji
救荒本草	jiuhuangbencao
救荒活民书	jiuhuanghuominshu
九家集注杜诗	jiujiajizhudushi
九经辨字渎蒙	jiujingbianzidumeng
九经补韵	jiujingbuyun
九经古义	jiujingguyi
九经三传沿革例	jiujingsanchuanyangeli
九经通论	jiujingtonglun
九经误字	jiujingwuzi
九经字样	jiujingziyang
九灵山房集	jiulingshanfangji
九流绪论	jiuliuxulun
九路十七史本	jiulushiqishiben
纠谬	jiumiu
樛木	jiumu
酒谱	jiupu
九丘	jiuqiu
旧事	jiushi
旧唐书	jiutangshu
旧闻证误	jiuwenzhengwu
旧五代史	jiuwudaishi
旧五代史笺注	jiuwudaishijianzhu
旧五代史考异	jiuwudaishikaoyi
九罭	jiuyu
九章录要	jiuzhangluyao
九章算术	jiuzhangsuanshu
榘庵集	juanji
具茨集	juciji
局方发挥	jufangfahui
句股矩测解原	jugujucejieyuan
句股引蒙	juguyinmeng
居济一得	jujiyide
菊磵集	jujianji
句解	jujie
句解本	jujieben
橘录	julu
句曲外史集	juquwaishiji
矩山存稿	jushancungao
橘山四六	jushansiliu
拘守	jushou
剧谈录	jutanlu
居业录枫山语录	juyelufengshanyulu
居易录	juyilu
聚珍本	juzhenben
居竹轩诗集	juzhuxuanshiji
卷阿	juana
卷耳	juaner
卷轴制度	juanzhouzhidu
卷轴装	juanzhouzhuang
绝妙好词笺	juemiaohaocijian
君陈	junchen
君道	jundao
菌谱	junpu
君奭	junshi
君事实辨	junshishibian
筠溪乐府	junxiyuefu
郡县迁革志	junxianqiangezhi
筠轩集	junxuanji
君牙	junya
郡斋读书志	junzhaidushuzhi
军政	junzheng
捃摭	junzhi
君子	junzi
君子偕老	junzixielao
君子阳阳	junziyangyang
君子于役	junziyuyi
开春论	kaichunlun
凯风	kaifeng
开国方略	kaiguofanglue
开化榜纸	kaihuabangzhi
开化纸	kaihuazhi
开庆续志	kaiqingxuzhi
开天传信记	kaitianchuanxinji
开有益斋	kaiyouyizhai
开有益斋读书志	kaiyouyizhaidushuzhi
开元释教录	kaiyuanshijiaolu
开元天宝遗事	kaiyuantianbaoyishi
勘校	kanjiao
刊谬补缺切韵	kanmiubuqueqieyun
刊误	kanwu
刊正九经三传沿革例	kanzhengjiujingsanchuanyangeli
亢仓子	kangcangzi
亢仓子注	kangcangzizhu
康范诗集	kangfanshiji
康诰	kanggao
康济录	kangjilu
康王之诰	kangwangzhigao
康熙字典	kangxizidian
康斋集	kangzhaiji
考辨	kaobian
考工	kaogong
考工创物小记	kaogongchuangwuxiaoji
考功集	kaogongji
考工记	kaogongji
考工记解	kaogongjijie
考工记图注	kaogongjituzhu
考工轮舆私笺	kaogonglunyusijian
考工之属	kaogongzhishu
考古编	kaogubian
考古录	kaogulu
考古图	kaogutu
考古续说	kaoguxushuo
考古质疑	kaoguzhiyi
栲栳山人诗集	kaolaoshanrenshiji
考灵曜	kaolingyao
考盘	kaopan
考信录	kaoxinlu
考曜文	kaoyaowen
考异	kaoyi
考异邮	kaoyiyou
刻版	keban
刻本	keben
可传集	kechuanji
客亭类稿	ketingleigao
可闲老人集	kexianlaorenji
珂雪词	kexueci
刻意	keyi
克斋词	kezhaici
克斋集	kezhaiji
可斋杂藁	kezhaizagao
孔安国	konganguo
孔霸	kongba
孔北海集	kongbeihaiji
孔壁	kongbi
孔传	kongchuan
孔丛子	kongcongzi
孔鲋	kongfu
孔广德	kongguangde
孔广森	kongguangsen
孔伋	kongji
孔录法	konglufa
孔疏	kongshu
空疏	kongshu
空同集	kongtongji
空囗	kongwei
孔子编年	kongzibiannian
孔子改制考	kongzigaizhikao
孔子集语	kongzijiyu
孔子家语	kongzijiayu
孔子三朝记	kongzisanzhaoji
孔子闲居	kongzixianju
口授图	koushoutu
会稽掇英总集	kuaijiduoyingzongji
会稽三赋	kuaijisanfu
会稽志	kuaijizhi
匡衡	kuangheng
匡谬正俗	kuangmiuzhengsu
頍弁	kuibian
睽车志	kuichezhi
愧郯录	kuitanlu
夔一足	kuiyizu
昆虫草木略	kunchongcaomulue
坤灵图	kunlingtu
鲲溟诗集	kunmingshiji
困学纪闻	kunxuejiwen
困学纪闻笺	kunxuejiwenjian
困学斋杂录	kunxuezhaizalu
坤舆图说	kunyutushuo
困知记	kunzhiji
来鹤亭集	laihetingji
来斋金石刻考略	laizhaijinshikekaolue
兰皋集	langaoji
蓝涧集	lanjianji
孏窟词	lankuci
览冥训	lanmingxun
蓝山集	lanshanji
兰室秘藏	lanshimicang
兰台轨范	lantaiguifan
兰庭集	lantingji
兰亭考	lantingkao
兰亭续考	lantingxukao
兰轩集	lanxuanji
谰言长语	lanyanchangyu
懒真子	lanzhenzi
兰州纪略	lanzhoujilue
狼跋	langba
阆风集	langfengji
郎觊	langji
浪语集	langyuji
劳经元	laojingyuan
劳氏碎金	laoshisuijin
老学庵笔记	laoxueanbiji
老庄申韩论	laozhuangshenhanlun
老子本义	laozibenyi
老子道德经	laozidaodejing
老子道德经考异	laozidaodejingkaoyi
老子解	laozijie
老子说略	laozishuolue
老子衍	laoziyan
老子翼	laoziyi
老子指略	laozizhilue
老子指略例	laozizhilueli
乐庵语录	leanyulu
乐记	leji|yueji
乐郊私语	lejiaosiyu
乐类	lelei
乐略	lelue
乐论	lelun
乐史	leshi
乐纬	lewei
了斋易说	lezhaiyishuo
类博稿	leibogao
类经	leijing
类篇	leipian
类书类	leishulei
类说	leishuo
雷学淇	leixueqi
类证普济本事方	leizhengpujibenshifang
雷柱	leizhu
冷斋夜话	lengzhaiyehua
李北海集	libeihaiji
隶辨	libian
礼部集	libuji
礼部韵略	libuyunlue
礼部志稿	libuzhigao
李超孙	lichaosun
李慈铭	liciming
历代兵制	lidaibingzhi
历代帝王宅京记	lidaidiwangzhaijingji
历代赋汇	lidaifuhui
历代甲子考	lidaijiazikao
历代建元考	lidaijianyuankao
历代名臣奏议	lidaimingchenzouyi
历代名画记	lidaiminghuaji
历代名贤确论	lidaimingxianquelun
历代诗话	lidaishihua
历代诗馀	lidaishiyu
历代题画诗类	lidaitihuashilei
历代通鉴辑览	lidaitongjianjilan
历代通略	lidaitonglue
历代制度详说	lidaizhiduxiangshuo
历代职官表	lidaizhiguanbiao
历代钟鼎彝器款识法帖	lidaizhongdingyiqikuanzhifatie
李道平	lidaoping
李登	lideng
李鼎祚	lidingzuo
厉鹗	lie
李昉	lifang
栗丰	lifeng
李槩	ligai
李龏	ligong
李轨	ligui
蠡海集	lihaiji
礼记补疏	lijibushu
礼记大全	lijidaquan
礼记集解	lijijijie
礼记集说	lijijishuo
礼记偶笺	lijioujian
礼记释注	lijishizhu
礼记述注	lijishuzhu
礼记析疑	lijixiyi
礼记训义择言	lijixunyizeyan
礼记训纂	lijixunzuan
礼记音	lijiyin
礼记郑读考	lijizhengdukao
礼记正义	lijizhengyi
礼记识误	lijizhiwu
礼记注疏	lijizhushu
礼记纂言	lijizuanyan
李嘉绩	lijiaji
礼笺	lijian
礼经本义	lijingbenyi
礼经宫室答问	lijinggongshidawen
礼经会元	lijinghuiyuan
礼经释例	lijingshili
礼经通论	lijingtonglun
礼类	lilei
李靓	liliang
离娄上	liloushang
离娄下	lilouxia
礼略	lilue
礼论	lilun
李攀龙	lipanlong
历谱	lipu
礼器	liqi
醴泉	liquan
里仁	liren
李如圭	lirugui
离骚草木疏	lisaocaomushu
离骚解	lisaojie
离骚全图	lisaoquantu
李善	lishan
李少通	lishaotong
隶释	lishi
李氏学乐录	lishixuelelu
历书	lishu
历数	lishu
礼书	lishu
礼书纲目	lishugangmu
礼书通故	lishutonggu
礼说	lishuo
离俗览	lisulan
历算全书	lisuanquanshu
李太白集分类补注	litaibaijifenleibuzhu
李太白集注	litaibaijizhu
李太白文集	litaibaiwenji
李焘	litao|lidao
历体略	litilue
礼纬	liwei
李卫公问对	liweigongwendui
李文田	liwentian
李希圣	lixisheng
李相国论事集	lixiangguolunshiji
历象考成	lixiangkaocheng
历象考成后编	lixiangkaochenghoubian
理校	lixiao
隶续	lixu
李虚中命书	lixuzhongmingshu
李铉	lixuan
理学经窟	lixuejingku
理学类编	lixueleibian
礼学巵言	lixuezhiyan
李寻	lixun
李贻德	liyide
李育	liyu
礼乐志	liyuezhi
礼运	liyun
丽泽论说集录	lizelunshuojilu
丽则遗音	lizeyiyin
立斋遗文	lizhaiyiwen
离章判句	lizhangpanju
立政	lizheng
荔枝谱	lizhipu
李周翰	lizhouhan
李柱国	lizhuguo
李佐贤	lizuoxian
练兵实纪	lianbingshiji
莲峰集	lianfengji
廉吏传	lianlichuan
濂洛风雅	lianluofengya
廉石居藏书记	lianshijucangshuji
楝亭书目	liantingshumu
莲洋诗钞	lianyangshichao
两朝纲目备要	liangchaogangmubeiyao
两汉笔记	lianghanbiji
两汉博闻	lianghanbowen
两汉订误	lianghandingwu
两汉刊误补遗	lianghankanwubuyi
两汉书勘误	lianghanshukanwu
两汉诏令	lianghanzhaoling
两汉纂误补遗	lianghanzuanwubuyi
两河经略	lianghejinglue
两河清汇	liangheqinghui
梁惠王上	lianghuiwangshang
梁惠王下	lianghuiwangxia
梁克家	liangkejia
梁履绳	lianglvsheng
梁丘临	liangqiulin
梁书	liangshu
梁书札记	liangshuzhaji
良耜	liangsi
两宋名贤小集	liangsongmingxianxiaoji
两同书	liangtongshu
梁文纪	liangwenji
梁溪漫志	liangximanzhi
两溪文集	liangxiwenji
梁玉绳	liangyusheng
梁园寓稿	liangyuanyugao
两垣奏议	liangyuanzouyi
两浙古刊本考	liangzhegukanbenkao
蓼莪	liaoe|lue
廖平	liaoping
辽史	liaoshi
辽史拾遗	liaoshishiyi
辽史拾遗补	liaoshishiyibu
辽文萃	liaowencui
辽文存	liaowencun
蓼萧	liaoxiao
廖莹中	liaoyingzhong
列国世纪编	lieguoshijibian
烈文	liewen
列仙传	liexianzhuan|liexianchuan
列御寇	lieyukou
列子	liezi
烈祖	liezu
临安集	linanji
林伯桐	linbotong
林登州集	lindengzhouji
临皋文集	lingaowenji
临汉隐居诗话	linhanyinjushihua
林蕙堂全集	linhuitangquanji
林间录	linjianlu
林岊	linjie
林駉	linjiong
林泉高致集	linquangaozhiji
麟台故事	lintaigushi
林外野言	linwaiyeyan
林希逸	linxiyi
麟原文集	linyuanwenji
林之奇	linzhiqi
麟之趾	linzhizhi
林尊	linzun
岭表录异	lingbiaoluyi
灵城精义	lingchengjingyi
陵川集	lingchuanji
泠丰	lingfeng
岭海舆图	linghaiyutu
令狐楚	linghuchu
岭南风物记	lingnanfengwuji
灵棋经	lingqijing
泠然斋诗集	lingranzhaishiji
凌曙	lingshu
灵枢经	lingshujing
灵台	lingtai
灵台秘苑	lingtaimiyuan
淩廷堪	lingtingkan
岭外代答	lingwaidaida
灵岩集	lingyanji
凌忠介公集	lingzhongjiegongji
刘攽	liuban
刘宝楠	liubaonan
流别	liubie
刘宾客嘉话录	liubinkejiahualu
刘昌宗	liuchangzong
刘焯	liuchao
六朝事迹编类	liuchaoshijibianlei
六朝通鉴博议	liuchaotongjianboyi
六臣注文选	liuchenzhuwenxuan
刘鹗	liue
六反	liufan
刘逢禄	liufenglu
六籍	liuji
刘蕺山集	liujishanji
六家	liujia
六家诗名物疏	liujiashimingwushu
刘瑾	liujin
六经奥论	liujingaolun
六经皆史	liujingjieshi
六经天文编	liujingtianwenbian
六经天文篇	liujingtianwenpian
六经图	liujingtu
六经正误	liujingzhengwu
六经注我	liujingzhuwo
刘恺	liukai
六科	liuke
六科十哲	liukeshizhe
刘克庄	liukezhuang
六历甄微	liulizhenwei
刘良	liuliang
刘略	liulue
刘青莲	liuqinglian
六壬大全	liurendaquan
刘人熙	liurenxi
流沙坠简	liushazhuijian
刘善经	liushanjing
刘氏春秋传	liushichunqiuchuan
刘氏春秋意林	liushichunqiuyilin
刘氏菊谱	liushijupu
刘寿曾	liushouzeng
六书本义	liushubenyi
六书故	liushugu
六书略	liushulue
六书统	liushutong
六书音均表	liushuyinjunbiao
六书正讹	liushuzhenge
刘台拱	liutaigong
柳塘外集	liutangwaiji
六韬	liutao
六韬讲义	liutaojiangyi
柳体	liuti
六帖补	liutiebu
六微	liuwei
刘文淇	liuwenqi
刘熙	liuxi
刘显	liuxian
刘献之	liuxianzhi
刘向	liuxiang
刘孝标	liuxiaobiao
刘歆	liuxin
柳兴恩	liuxingen
刘炫	liuxuan
刘瑄	liuxuan
刘彦昺集	liuyanbingji
六研斋笔记	liuyanzhaibiji
六一词	liuyici
六艺纲目	liuyigangmu
六艺略	liuyilue
六艺论	liuyilun
六一诗话	liuyishihua
六艺之一录	liuyizhiyilu
刘毓崧	liuyusong
刘渊	liuyuan
六月	liuyue
刘昭	liuzhao
刘知几	liuzhiji
刘子	liuzi
刘子遗书	liuziyishu
刘子政左氏说	liuzizhengzuoshishuo
龙川词	longchuanci
龙川集	longchuanji
龙川略志	longchuanluezhi
龙筋凤髓判	longjinfengsuipan
龙龛手鉴	longkanshoujian
隆礼重法	longlizhongfa
隆平集	longpingji
龙启瑞	longqirui
龙沙纪略	longshajilue
龙洲词	longzhouci
龙洲集	longzhouji
楼昉	loufang
娄机	louji
楼居杂著	loujuzazhu
楼钥	louyao
陆澄	lucheng
芦川词	luchuanci
陆淳	luchun
陆佃	ludian
陆玑	luji
陆绩	luji
陆玑疏考证	lujishukaozheng
陆贾赋之属	lujiafuzhishu
鲁郊礼	lujiaoli
陆凯	lukai
鲁礼禘祫论	lulidixialun
卢令	luling
陆漻	luliu|luliao
鲁论	lulun
鲁论说	lulunshuo
鹿鸣	luming
鹿鸣之什	lumingzhishi|lumingzhishen
鹿皮子集	lupiziji
芦浦笔记	lupubiji
庐山记	lushanji
庐山集	lushanji
卢升之集	lushengzhiji
路史	lushi
鲁诗	lushi
陆氏南唐书	lushinantangshu
陆氏诗疏广要	lushishishuguangyao
陆氏易解	lushiyijie
鲁诗遗说考	lushiyishuokao
陆时雍	lushiyong
鲁颂	lusong
陆土龙集	lutulongji
鲁问	luwen
卢文弨	luwenchao
颅囟经	luxinjing
陆心源	luxinyuan
陆学	luxue
鲁訔	luyin
陆友	luyou
录运法	luyunfa
鲁斋集	luzhaiji
鲁斋遗书	luzhaiyishu
卢植	luzhi
鹿洲初集	luzhouchuji
陆子馀集	luziyuji
栾城遗言	luanchengyiyan
滦京杂咏	luanjingzayong
论风俗扎子	lunfengsuzhazi
论衡	lunheng
仑昆河源考	lunkunheyuankao
论孟	lunmeng
论孟或问	lunmenghuowen
论孟集注	lunmengjizhu
论孟集注考证	lunmengjizhukaozheng
论孟精义	lunmengjingyi
论学绳尺	lunxueshengchi
论语笔解	lunyubijie
论语补疏	lunyubushu
论语后案	lunyuhouan
论语后录	lunyuhoulu
论语集解义疏	lunyujijieyishu
论语稽求篇	lunyujiqiupian
论语集说	lunyujishuo
论语集注述疏	lunyujizhushushu
论语类考	lunyuleikao
论语骈枝	lunyupianzhi
论语全解	lunyuquanjie
论语商	lunyushang
论语拾遗	lunyushiyi
论语释疑	lunyushiyi
论语述义	lunyushuyi
论语说义	lunyushuoyi
论语竢质	lunyusizhi
论语学案	lunyuxuean
论语训蒙口义	lunyuxunmengkouyi
论语要义	lunyuyaoyi
论语意原	lunyuyiyuan
论语馀说	lunyuyushuo
论语章句	lunyuzhangju
论语正义	lunyuzhengyi
论语注	lunyuzhu
论语注疏	lunyuzhushu
论赞	lunzan
骆丞集	luochengji
洛诰	luogao
罗湖野录	luohuyelu
珞琭子赋注	luoluzifuzhu
珞琭子三命消息赋注	luoluzisanmingxiaoxifuzhu
洛书	luoshu
洛水集	luoshuiji
罗纹纸	luowenzhi
罗莘	luoxin
洛学	luoxue
洛阳搢绅旧闻记	luoyangjinshenjiuwenji
洛阳名园记	luoyangmingyuanji
洛阳牡丹记	luoyangmudanji
洛阳伽蓝记	luoyangqielanji
罗愿	luoyuan
旅獒	lvao
吕本中	lvbenzhong
吕步舒	lvbushu
吕忱	lvchen
吕大防	lvdafang
吕大圭	lvdagui
吕静	lvjing
吕览	lvlan
律历	lvli
律历书	lvlishu
律历志	lvlizhi
吕留良	lvliuliang
律吕阐微	lvlvchanwei
律吕成书	lvlvchengshu
律吕新论	lvlvxinlun
律吕新书	lvlvxinshu
闾丘卿	lvqiuqing
吕荣义	lvrongyi
旅舍备要方	lvshebeiyaofang
吕氏春秋	lvshichunqiu
吕氏春秋补校	lvshichunqiubuxiao
吕氏春秋或问	lvshichunqiuhuowen
吕氏春秋集解	lvshichunqiujijie
吕氏家塾读诗记	lvshijiashudushiji
吕氏杂记	lvshizaji
律书	lvshu
郘亭知见传本书目	lvtingzhijianchuanbenshumu
吕向	lvxiang
吕刑	lvxing
吕延济	lvyanji
绿衣	lvyi
履斋遗稿	lvzhaiyigao
吕忠穆年谱	lvzhongmunianpu
吕祖谦	lvzuqian
马端肃奏议	maduansuzouyi
马宫	magong
马国翰	maguohan
马融	marong
马瑞辰	maruichen
马氏南唐书	mashinantangshu
马骕	masu
马蹄	mati
马永易	mayongyi
马政纪	mazhengji
麻纸	mazhi
马宗梿	mazonglian
脉诀刊误	maijuekanwu
脉望馆	maiwangguan
脉望馆书目	maiwangguanshumu
满昌君都	manchangjundou
蛮书	manshu
漫塘集	mantangji
幔亭集	mantingji
满洲祭神祭天典礼	manzhoujishenjitiandianli
满洲源流考	manzhouyuanliukao
满珠蒙古汉字三合切音清文鉴	manzhumengguhanzisanheqieyinqingwenjian
毛边纸	maobianzhi
毛萇	maochang
毛传	maochuan
毛公	maogong
毛亨	maoheng
毛晃	maohuang
毛晋	maojin
茅坤	maokun
茆泮林	maopanlin
毛奇龄	maoqiling
旄丘	maoqiu
毛诗	maoshi
毛诗补疏	maoshibushu
毛诗草木虫鱼疏	maoshicaomuchongyushu
毛诗草木鸟兽虫鱼疏	maoshicaomuniaoshouchongyushu
毛诗传笺通释	maoshichuanjiantongshi
毛诗大序	maoshidaxu
毛诗地理考试	maoshidilikaoshi
毛诗订韵	maoshidingyun
毛诗古音考	maoshiguyinkao
毛诗后笺	maoshihoujian
毛诗稽古编	maoshijigubian
毛诗集解	maoshijijie
毛诗讲义	maoshijiangyi
毛诗类释	maoshileishi
毛诗李黄集解	maoshilihuangjijie
毛诗名物解	maoshimingwujie
毛诗名物图说	maoshimingwutushuo
毛诗谱	maoshipu
毛诗天文考	maoshitianwenkao
毛诗通义	maoshitongyi
毛诗写官记	maoshixieguanji
毛诗序	maoshixu
毛诗正义	maoshizhengyi
毛诗指说	maoshizhishuo
毛诗识小	maoshizhixiao
毛诗注疏	maoshizhushu
毛太纸	maotaizhi
茂堂	maotang
茅亭客话	maotingkehua
茅檐集	maoyanji
眉庵集	meianji
梅村集	meicunji
梅鼎祚	meidingzuo
梅花百咏	meihuabaiyong
梅花道人遗墨	meihuadaorenyimo
梅花字字香	meihuazizixiang
梅山续藁	meishanxugao
梅屋集	meiwuji
梅溪词	meixici
梅岩文集	meiyanwenji
梅野集	meiyeji
梅苑	meiyuan
梅赜	meize
梅鷟	meizhuo
蒙川遗稿	mengchuanyigao
梦窗稿	mengchuanggao
孟春纪	mengchunji
孟冬纪	mengdongji
蒙古源流	mengguyuanliu
梦观集	mengguanji
孟康	mengkang
梦粱录	menglianglu
萌气枢	mengqishu
孟卿	mengqing
孟秋纪	mengqiuji
蒙求集注	mengqiujizhu
孟氏易	mengshiyi
孟喜	mengxi
梦溪笔谈	mengxibitan
梦溪补笔谈	mengxibubitan
孟夏纪	mengxiaji
梦郼艸堂吉金图	mengyicaotangjijintu
梦泽集	mengzeji
蒙斋集	mengzhaiji
蒙斋中庸讲义	mengzhaizhongyongjiangyi
孟子传	mengzichuan
孟子集疏	mengzijishu
孟子集注	mengzijizhu
孟子解	mengzijie
孟子事实录	mengzishishilu
孟子师说	mengzishishuo
孟子四考	mengzisikao
孟子音义	mengziyinyi
孟子杂记	mengzizaji
孟子赵注补正	mengzizhaozhubuzheng
孟子正义	mengzizhengyi
孟子注疏	mengzizhushu
孟子字义疏证	mengziziyishuzheng
密庵集	mianji
秘殿珠林	midianzhulin
秘阁	mige
秘书监志	mishujianzhi
密斋笔记	mizhaibiji
绵蛮	mianman
沔水	mianshui
渑水燕谈录	mianshuiyantanlu
勉学	mianxue
勉斋	mianzhai
勉斋集	mianzhaiji
妙绝古今	miaojuegujin
苗夔	miaokui
庙学典礼	miaoxuedianli
庙制图考	miaozhitukao
蠛蠓集	miemengji
闵公	mingong
闽刻本	minkeben
民劳	minlao
闽学	minxue
闵予小子	minyuxiaozi
闽中海错疏	minzhonghaicuoshu
闽中理学渊源考	minzhonglixueyuanyuankao
闽中十子诗	minzhongshizishi
明本排字九经直音	mingbenpaizijiujingzhiyin
明本释	mingbenshi
名臣碑传琬琰之集	mingchenbeichuanwanyanzhiji
名臣经济录	mingchenjingjilu
明臣谥考	mingchenshikao
名臣言行录前集	mingchenyanxingluqianji
明词综	mingcizong
明代内府经厂本书目	mingdaineifujingchangbenshumu
冥都	mingdou
明宫史	minggongshi
明鬼	minggui
明鬼上	mingguishang
明鬼下	mingguixia
鸣鹤山记	mingheshanji
明皇杂录	minghuangzalu
明会典	minghuidian
明集礼	mingjili
名迹录	mingjilu
蓂荚	mingjia
明假借	mingjiajie
命历序	minglixu
明名臣琬琰录	mingmingchenwanyanlu
名人	mingren
明儒学案	mingruxuean
明儒言行录	mingruyanxinglu
鸣沙石室古籍丛残	mingshashishigujicongcan
鸣沙石室古佚书	mingshashishiguyishu
