阿笛	adi
文丁	wending
文贵人	wenguiren
文和	wenhe
文衡	wenheng
文洪	wenhong
文虎	wenhu
温璜	wenhuang
文惠	wenhui
文慧科	wenhuike
文姬	wenji
汶江道	wenjiangdao
文节	wenjie
文进	wenjin
温敬修	wenjingxiu
文举	wenju
文礼	wenli
闻连茹	wenlianru
闻良珍	wenliangzhen
温满红	wenmanhong
文楠	wennan
文沛然	wenpeiran
文彭	wenpeng
文聘	wenpin
文其焕	wenqihuan
文谦	wenqian
文钦	wenqin
文然	wenran
温汝能	wenruneng
温汝适	wenrushi
温汝遂	wenrusui
温睿临	wenruilin
文若	wenruo
文掞	wenshan
温世霖	wenshilin
文士英	wenshiying
文士域	wenshiyu
文舒	wenshu
文淑	wenshu
文台	wentai
文泰运	wentaiyun
温体仁	wentiren
文天祥	wentianxiang
闻渟	wenting
闻珽	wenting
温廷敬	wentingjing
文同	wentong
温王	wenwang
温王李重茂	wenwanglizhongmao
文蔚	wenwei
文伟	wenwei
温文禾	wenwenhe
文先	wenxian
汶县	wenxian
温显	wenxian
文向	wenxiang
文翔凤	wenxiangfeng
闻信	wenxin
文休	wenxiu
文选	wenxuan
文宣帝	wenxuandi
文宣帝高洋	wenxuandigaoyang
文仪	wenyi
闻一多	wenyiduo
温一贞	wenyizhen
文应熊	wenyingxiong
文永丰	wenyongfeng
文永周	wenyongzhou
文幼章	wenyouzhang
温玉成	wenyucheng
温玉明	wenyuming
文元发	wenyuanfa
文元善	wenyuanshan
文元星	wenyuanxing
文约	wenyue
温曰鉴	wenyuejian
文则	wenze
温肇江	wenzhaojiang
文昭王	wenzhaowang
文昭王乞伏炽盘	wenzhaowangqifuchipan
文肇祉	wenzhaozhi
文震亨	wenzhenheng
文震孟	wenzhenmeng
文徵明	wenzhengming
温子升	wenzisheng
文字狱	wenziyu
温醉白	wenzuibai
翁苞封	wengbaofeng
翁传煦	wengchuanxu
翁春	wengchun
翁纯礼	wengchunli
翁大年	wengdanian
翁方纲	wengfanggang
翁广平	wengguangping
翁介寿	wengjieshou
翁俊明	wengjunming
翁良毓	wengliangyu
翁良瑜	wengliangyu
翁陵	wengling
翁履绥	wenglvsui
翁溥	wengpu
翁孺安	wengruan
翁森	wengsen
翁叔	wengshu
翁澍	wengshu
翁树培	wengshupei
翁叔元	wengshuyuan
翁嵩年	wengsongnian
翁同祜	wengtonghu
翁同书	wengtongshu
翁心存	wengxincun
翁炫	wengxuan
翁逊	wengxun
翁瑛	wengying
翁友梅	wengyoumei
翁禹训	wengyuxun
翁元圻	wengyuanqi
翁运标	wengyunbiao
翁泽生	wengzesheng
翁照	wengzhao
翁振基	wengzhenji
翁振翼	wengzhenyi
翁芝	wengzhi
翁子瑜	wengziyu
沃丁	woding
沃甲	wojia
沃沮	woju
窝阔台	wokuotai
斡离不	wolibu
沃野	woye
吴阿仑	wualun
吴嫒	wuai
吴安	wuan
武安国	wuanguo
吴班	wuban
吴邦宪	wubangxian
吴宝书	wubaoshu
吴宝秀	wubaoxiu
武备寺	wubeisi
吴本忠	wubenzhong
吴璧	wubi
无编	wubian
吴标	wubiao
吴表臣	wubiaochen
邬彬	wubin
吴镔	wubin
吴秉权	wubingquan
吴博厚	wubohou
吴伯理	wuboli
吴伯箫	wuboxiao
武伯英	wuboying
吾粲	wucan
武曾保	wucengbao
吴曾贯	wucengguan
吴长	wuchang
吴昌济	wuchangji
吴昌莹	wuchangying
吴焯	wuchao
吴臣	wuchen
乌程	wucheng
吴珵	wucheng
武成	wucheng
武成帝	wuchengdi
武成帝高湛	wuchengdigaozhan
乌程侯	wuchenghou
乌程侯孙皓	wuchenghousunhao
吴成基	wuchengji
吴承励	wuchengli
吴承仕	wuchengshi
吴成仪	wuchengyi
吴成佐	wuchengzuo
吴篪	wuchi
吴崇节	wuchongjie
吴崇礼	wuchongli
伍崇曜	wuchongyao
吴俶	wuchu
吴楚材	wuchucai
吴传玉	wuchuanyu
吴醇	wuchun
吴纯	wuchun
吴春照	wuchunzhao
吴慈鹤	wucihe
吴大澄	wudacheng
吴大帝	wudadi
吴大帝孙权	wudadisunquan
吴大桂	wudagui
吴大钧	wudajun
吴大琨	wudakun
吴大素	wudasu
吴大酞	wudatai
吴大震	wudazhen
吴岱	wudai
吴岱豪	wudaihao
吴旦	wudan
毋单	wudan
吴道昌	wudaochang
吴道镕	wudaorong
武悼天王	wudaotianwang
武悼天王冉闵	wudaotianwangranmin
吴道心	wudaoxin
吴道子	wudaozi
武德	wude
吴德福	wudefu
吴德功	wudegong
吴德襄	wudexiang
伍德彝	wudeyi
武登清	wudengqing
武帝	wudi
武帝萧赜	wudixiaoze
吴点	wudian
吴甸	wudian
吴鼎	wuding
武丁	wuding
吾定保	wudingbao
吴鼎铨	wudingquan
吴鼎元	wudingyuan
吴定璋	wudingzhang
吴东发	wudongfa
吴东峰	wudongfeng
武都道	wududao
武都郡	wudujun
吴兑	wudui
吴敦	wudun
伍敦元	wudunyuan
吴谔	wue
吴尔芙	wuerfu
吴房	wufang
吴芳吉	wufangji
吴芳培	wufangpei
吴馡	wufei
吴朏	wufei
吴飞鹏	wufeipeng
吴凤典	wufengdian
伍孚	wufu
吴辅	wufu
吴复	wufu
吴复古	wufugu
吴夫人	wufuren
吴福孙	wufusun
吴淦	wugan
吴纲	wugang
吴诰	wugao
吴高增	wugaozeng
吴格	wuge
吴赓枚	wugengmei
吴赓扬	wugengyang
吴琯	wuguan
吴瓘	wuguan
吴观岱	wuguandai
吴观礼	wuguanli
五官掾	wuguanyuan
吴广	wuguang
吴光浩	wuguanghao
伍光健	wuguangjian
伍光瑜	wuguangyu
吴光悦	wuguangyue
吴规臣	wuguichen
武贵人	wuguiren
吴桂森	wuguisen
吴国太	wuguotai
吴国云	wuguoyun
吴国桢	wuguozhen
吴海菁	wuhaijing
吴涵	wuhan
武衡	wuheng
吴恒夫	wuhengfu
吴衡昭	wuhengzhao
伍洪	wuhong
吴弘道	wuhongdao
武后	wuhou
武后武曌	wuhouwuzhao
吴湖帆	wuhufan
吴怀保	wuhuaibao
乌桓	wuhuan
吴奂	wuhuan
吴焕采	wuhuancai
乌桓触	wuhuanchu
吴回春	wuhuichun
吴辉生	wuhuisheng
吴火狮	wuhuoshi
伍骥	wuji
吴霁	wuji
吴极	wuji
吴激	wuji
吴继	wuji
毋极	wuji
巫继学	wujixue
吴济运	wujiyun
吴家灿	wujiacan
吴嘉经	wujiajing
吴佳龙	wujialong
吴嘉枚	wujiamei
吴嘉谟	wujiamo
吴嘉善	wujiashan
吴嘉棠	wujiatang
吴嘉行	wujiaxing
五监	wujian
吴剑平	wujianping
吴将	wujiang
吴节	wujie
吴阶升	wujiesheng
吴晋	wujin
吾进	wujin
吴锦城	wujincheng
吴近仁	wujinren
吴金寿	wujinshou
吴晋元	wujinyuan
吴景	wujing
吴暻	wujing
吴璥	wujing
吴经	wujing
吴景澄	wujingcheng
吴景帝	wujingdi
吴景帝孙休	wujingdisunxiu
吴景隆	wujinglong
吴镜汀	wujingting
吴敬羲	wujingxi
吴经熊	wujingxiong
吴菊花	wujuhua
舞涓	wujuan
吴郡	wujun
吴钧	wujun
吴军	wujun
吴浚	wujun
吴君懋	wujunmao
吴俊卿	wujunqing
吴恺	wukai
吴康侯	wukanghou
吴可读	wukedu
吴克华	wukehua
吴克俊	wukejun
吴克让	wukerang
吴克仁	wukeren
吴孔嘉	wukongjia
吴匡	wukuang
邬昆	wukun
吴坤修	wukunxiu
吴兰	wulan
屋兰	wulan
吴兰修	wulanxiu
伍郎	wulang
吴雷发	wuleifa
吴冷西	wulengxi
吴里	wuli
吴历	wuli
毋敛	wulian
吴良止	wuliangzhi
吴烈	wulie
吴霖	wulin
吴麟	wulin
武林任	wulinren
吴麟征	wulinzheng
吴令	wuling
武陵郡	wulingjun
武陵王	wulingwang
吴琉	wuliu
武隆阿	wulonga
吴龙翰	wulonghan
吴隆元	wulongyuan
吴禄贞	wuluzhen
吴鸾	wuluan
吴娈	wuluan
吴纶	wulun
吴荦	wuluo
吴履	wulv
吴履中	wulvzhong
武曼	wuman
吴枚	wumei
吴梅	wumei
吴梅玉	wumeiyu
吴孟庚	wumenggeng
吴敏树	wuminshu
吴末帝	wumodi
吴末帝孙皓	wumodisunhao
吴南	wunan
吴讷	wune
巫宁	wuning
吴农祥	wunongxiang
吴培风	wupeifeng
吴佩孚	wupeifu
吴鹏	wupeng
吴鹏兵	wupengbing
吴彭年	wupengnian
吴溥	wupu
吴起	wuqi
吴妻	wuqi
吴绮	wuqi
吴其浚	wuqijun
吴其泰	wuqitai
吴奇伟	wuqiwei
吴洽林	wuqialin
吴谦牧	wuqianmu
吴芊芊	wuqianqian
无强	wuqiang
吴芹	wuqin
吴钦烈	wuqinlie
吴檠	wuqing
吴庆云	wuqingyun
伍琼	wuqiong
吴琼仙	wuqiongxian
毋丘甸	wuqiudian
毋丘俭	wuqiujian
吴秋声	wuqiusheng
吾丘衍	wuqiuyan
吴铨	wuquan
武泉	wuquan
吴全节	wuquanjie
吴群	wuqun
吴仞	wuren
吴任臣	wurenchen
吴仁杰	wurenjie
吴仞之	wurenzhi
吴榕	wurong
吴溶	wurong
吴荣光	wurongguang
吴荣生	wurongsheng
吴汝然	wururan
吴如愚	wuruyu
吴孺子	wuruzi
吴睿	wurui
伍瑞隆	wuruilong
伍瑞卿	wuruiqing
吴若准	wuruozhun
吴三桂	wusangui
吴三锡	wusanxi
吴沙	wusha
吴山	wushan
吴山涛	wushantao
吴山秀	wushanxiu
乌伤	wushang
吴韶	wushao
吴绍诗	wushaoshi
吴绍周	wushaozhou
五省	wusheng
吴升	wusheng
吴绳基	wushengji
吴省兰	wushenglan
吴省钦	wushengqin
乌氏	wushi
吴栻	wushi
吴氏	wushi
吴石	wushi
吴士旦	wushidan
吴士谔	wushie
吴世璠	wushifan
吴式芬	wushifen
吴士功	wushigong
吴师机	wushiji
吴士杰	wushijie
吴十九	wushijiu
吴士锴	wushikai
吴士模	wushimo
吴世泰	wushitai
吴世贤	wushixian
吴士瑛	wushiying
吴寿旸	wushouyang
吴书	wushu
吴恕	wushu
吴淑英	wushuying
吴叔元	wushuyuan
吴说	wushuo
吴硕	wushuo
乌斯道	wusidao
吴嗣爵	wusijue
吴思敏	wusimin
伍思业	wusiye
吴颂今	wusongjin
吴嵩梁	wusongliang
吴诵清	wusongqing
吴淞笙	wusongsheng
乌苏氏	wusushi
武肃王	wusuwang
武肃王钱缪	wusuwangqianmiu
吴肃云	wusuyun
吴燧	wusui
武遂	wusui
乌孙	wusun
乌孙族	wusunzu
吴泰	wutai
吴泰来	wutailai
吴棠	wutang
吴唐林	wutanglin
吴汤兴	wutangxing
吴悌	wuti
吴琠	wutian
吴天保	wutianbao
伍天锡	wutianxi
吴调元	wutiaoyuan
吴铁城	wutiecheng
五听	wuting
吴廷琛	wutingchen
吴廷栋	wutingdong
伍廷芳	wutingfang
吴廷翰	wutinghan
吴廷华	wutinghua
吴廷康	wutingkang
武庭麟	wutinglin
吴廷钦	wutingqin
吴亭思	wutingsi
吴廷熙	wutingxi
吴廷燮	wutingxie
吴廷扬	wutingyang
兀突骨	wutugu
务涂谷	wutugu
吴王	wuwang
吴王夫差	wuwangfuchai
吴王阖闾	wuwanghelv
吴韦	wuwei
吴伟	wuwei
吴渭	wuwei
武威	wuwei
吴蔚光	wuweiguang
吴维翰	wuweihan
武炜华	wuweihua
武威郡	wuweijun
武卫强	wuweiqiang
吴伟业	wuweiye
吴维岳	wuweiyue
吴雯	wuwen
吴文炳	wuwenbing
吴文景	wuwenjing
吴文朗	wuwenlang
吴文冕	wuwenmian
吴文溥	wuwenpu
吴文企	wuwenqi
吴雯清	wuwenqing
吴文熔	wuwenrong
吴文元	wuwenyuan
吴沃尧	wuwoyao
伍习	wuxi
吴熙	wuxi
吴锡嘏	wuxigu
吴锡璜	wuxihuang
吴锡麟	wuxilin
吴锡麒	wuxiqi
邬希文	wuxiwen
吴晞渊	wuxiyuan
邬县	wuxian
吴献	wuxian
巫县	wuxian
梧县	wuxian
吴先声	wuxiansheng
吴贤湘	wuxianxiang
吴显忠	wuxianzhong
伍宪子	wuxianzi
吴襄	wuxiang
吴向东	wuxiangdong
吴翔凤	wuxiangfeng
吴祥麟	wuxianglin
吴绡	wuxiao
吴晓邦	wuxiaobang
吴心来	wuxinlai
吴信泉	wuxinquan
吴新祐	wuxinyou
吴新宇	wuxinyu
吴兴祚	wuxingzuo
吴修	wuxiu
吴秀淑	wuxiushu
吴煦	wuxu
吴宣	wuxuan
吴煊	wuxuan
武宣王	wuxuanwang
武宣王沮渠蒙逊	wuxuanwangjuqumengxun
吴循古	wuxungu
吴浔源	wuxunyuan
吴巽斋	wuxunzhai
乌雅氏	wuyashi
吴押狱	wuyayu
吴雅之	wuyazhi
伍延	wuyan
吴炎	wuyan
吾彦	wuyan
伍延鎏	wuyanliu
舞阳君	wuyangjun
吴耀宗	wuyaozong
吴弈	wuyi
吴懿	wuyi
武乙	wuyi
武亿	wuyi
吴以畅	wuyichang
吴翌凤	wuyifeng
吴贻弓	wuyigong
吴以观	wuyiguan
吴一璘	wuyilin
吴一鹏	wuyipeng
吴贻先	wuyixian
吴贻咏	wuyiyong
吴乙照	wuyizhao
吴一舟	wuyizhou
舞阴	wuyin
吴茵	wuyin
吴隐	wuyin
吴颖芬	wuyingfen
吴应棻	wuyingfen
吴应和	wuyinghe
吴应箕	wuyingji
吴应枚	wuyingmei
吴应熊	wuyingxiong
吴映瑜	wuyingyu
吴英樾	wuyingyue
吴永刚	wuyonggang
吴用仪	wuyongyi
吴优	wuyou
吴有磐	wuyoupan
吴有容	wuyourong
邬有坦	wuyoutan
吴有性	wuyouxing
吴有训	wuyouxun
吴虞	wuyu
吴豫	wuyu
吴与弼	wuyubi
吴玉墀	wuyuchi
吴玉搢	wuyujin
吴玉林	wuyulin
吴玉纶	wuyulun
吴余庆	wuyuqing
吴宇厦	wuyusha
吴郁生	wuyusheng
吴于宣	wuyuxuan
吴玉章	wuyuzhang
伍宇昭	wuyuzhao
五原	wuyuan
武原	wuyuan
武垣	wuyuan
吴元臣	wuyuanchen
五原郡	wuyuanjun
吴元龙	wuyuanlong
吴源起	wuyuanqi
吴元润	wuyuanrun
吴元泰	wuyuantai
武元王	wuyuanwang
武元王乞伏乾归	wuyuanwangqifuqiangui
伍元薇	wuyuanwei
吴元维	wuyuanwei
吴樾	wuyue
武云	wuyun
吴运铎	wuyunduo
吴芸华	wuyunhua
吴云纪	wuyunji
吴允嘉	wuyunjia
吴允升	wuyunsheng
吴藻	wuzao
吴灶	wuzao
伍造炉	wuzaolu
武则天武曌	wuzetianwuzhao
吴湛	wuzhan
伍长华	wuzhanghua
吴钊	wuzhao
吴照	wuzhao
武曌	wuzhao
武瞾	wuzhao
吴兆璧	wuzhaobi
吴兆宽	wuzhaokuan
吴钊森	wuzhaosen
吴兆棠	wuzhaotang
武昭王	wuzhaowang
武昭王李暠	wuzhaowangligao
吴肇毅	wuzhaoyi
吴镇	wuzhen
吴振民	wuzhenmin
吴震生	wuzhensheng
吴振棫	wuzhenyu
吴正伦	wuzhenglun
邬正伟	wuzhengwei
吴正治	wuzhengzhi
吴质	wuzhi
吴植	wuzhi
吴之昌	wuzhichang
吴之淳	wuzhichun
吴志淳	wuzhichun
吴之璠	wuzhifan
吴之黼	wuzhifu
吴智豪	wuzhihao
吴之俊	wuzhijun
吴之龙	wuzhilong
武之望	wuzhiwang
兀之伟	wuzhiwei
吴之英	wuzhiying
吴之渶	wuzhiying
吴之振	wuzhizhen
吴志忠	wuzhizhong
无终	wuzhong
伍忠光	wuzhongguang
武钟临	wuzhonglin
吴钟峦	wuzhongluan
吴仲禧	wuzhongxi
吴忠信	wuzhongxin
吴中行	wuzhonghang|wuzhongxing
吴中秀	wuzhongxiu
吴仲虚	wuzhongxu
武州	wuzhou
伍洲彤	wuzhoutong
吴铸	wuzhu
吴主传	wuzhuchuan
毋畷	wuzhui
吴浊流	wuzhuoliu
吴卓信	wuzhuoxin
吴鼒	wuzi
武子	wuzi
吴自冲	wuzichong
吴子兰	wuzilan
吴子良	wuziliang
吴自肃	wuzisu
吴子孝	wuzixiao
吴自新	wuzixin
伍子胥	wuzixu
吴子瑜	wuziyu
吴宗濂	wuzonglian
吴宗麟	wuzonglin
吴宗儒	wuzongru
吴宗周	wuzongzhou
吴组缃	wuzuxiang
吴尊熹	wuzunxi
吴作人	wuzuoren
西安平	xianping
西安阳	xianyang
西贝斯	xibeisi
西曹掾	xicaoyuan
西城	xicheng
西楚霸王	xichubawang
西楚霸王项羽	xichubawangxiangyu
奚大野	xidaye
西鄂	xie
禧妃	xifei
西盖马	xigaima
奚冈	xigang
洗桂奇	xiguiqi
奚昊	xihao
西河郡	xihejun
席慧文	xihuiwen
席鉴	xijian
西晋	xijin
习经	xijing
西卷	xijuan
席君宇	xijunyu
西辽	xiliao
西楼公	xilougong
郗虑	xilv
奚泥	xini
席佩兰	xipeilan
僖嫔	xipin
熙嫔	xipin
熙平	xiping
西平昌	xipingchang
西曲阳	xiquyang
牺人	xiren
西省	xisheng
席世臣	xishichen
席士琦	xishiqi
席树馨	xishuxin
西随	xisui
巂唐	xitang
奚廷瑜	xitingyu
西夏	xixia
西县	xixian
锡县	xixian
析县	xixian
西乡侯	xixianghou
细阳	xiyang
奚疑	xiyi
西于	xiyu
席煜	xiyu
西域马	xiyuma
席元禧	xiyuanxi
锡缜	xizhen
郄正	xizheng
戏志才	xizhicai
戏之战	xizhizhan
席仲甫	xizhongfu
西周	xizhou
熙宗	xizong
熙宗完颜亶	xizongwanyandan
夏必达	xiabida
下辨	xiabian
下博	xiabo
夏伯和	xiabohe
下蔡	xiacai
夏曾佑	xiacengyou
夏大霖	xiadalin
夏大贞	xiadazhen
下大夫	xiadaifu
夏鼎	xiading
夏光洛	xiaguangluo
夏光宇	xiaguangyu
夏国章	xiaguozhang
夏荷生	xiahesheng
夏宏	xiahong
夏厚	xiahou
夏侯覇	xiahouba
夏侯霸	xiahouba
夏侯存	xiahoucun
夏侯徳	xiahoude
夏侯德	xiahoude
夏侯惇	xiahoudun
夏侯敦	xiahoudun
夏侯恩	xiahouen
夏侯和	xiahouhe
夏侯恵	xiahouhui
夏侯惠	xiahouhui
夏侯杰	xiahoujie
夏侯兰	xiahoulan
夏侯楙	xiahoumao
夏侯尚	xiahoushang
夏侯威	xiahouwei
夏侯咸	xiahouxian
夏侯玄	xiahouxuan
夏侯渊	xiahouyuan
夏翚	xiahui
夏挥凯	xiahuikai
夏季屏	xiajiping
夏桀	xiajie
夏桀癸	xiajiegui
夏敬观	xiajingguan
夏敬渠	xiajingqu
夏炯	xiajiong
下隽	xiajuan
夏考昌	xiakaochang
夏良朴	xialiangpu
夏銮	xialuan
下洛	xialuo
下密	xiami
下邳	xiapi
下邳国	xiapiguo
夏丕雉	xiapizhi
夏丘	xiaqiu
瑕丘	xiaqiu
下曲阳	xiaquyang
夏榕	xiarong
夏柔嘉	xiaroujia
夏汝弼	xiarubi
夏尚朴	xiashangpu
夏寿康	xiashoukang
夏寿田	xiashoutian
夏树常	xiashuchang
夏树芳	xiashufang
夏书绅	xiashushen
夏孙桐	xiasuntong
夏同	xiatong
夏同光	xiatongguang
夏同善	xiatongshan
夏味堂	xiaweitang
夏文彦	xiawenyan
下相	xiaxiang
夏小嫣	xiaxiaoyan
夏炘	xiaxin
夏恂	xiaxun
夏阳	xiayang
夏业良	xiayeliang
下邑	xiayi
夏义甫	xiayifu
夏骃	xiayin
夏颖	xiaying
夏禹	xiayu
夏于乔	xiayuqiao
夏恽	xiayun
夏云集	xiayunji
下雉	xiazhi
夏之鼎	xiazhiding
夏之蓉	xiazhirong
夏之勋	xiazhixun
夏僎	xiazun|xiazhuan
夏子言	xiaziyan
鲜卑乞氏	xianbeiqishi
咸淳	xianchun
鲜丹丹	xiandandan
显道	xiandao
献帝	xiandi
险渎	xiandu
贤妃	xianfei
娴妃	xianfei
咸丰	xianfeng
显甫	xianfu
显更	xiangeng
宪和	xianhe
县侯	xianhou
咸欢	xianhuan
纤离	xianli
县令长	xianlingchang
显美	xianmei
咸宁	xianning
咸平	xianping
显亲	xianqin
咸清	xianqing
狝氏	xianshi
显思	xiansi
献文帝	xianwendi
献文帝拓跋弘	xianwendituobahong
献武帝	xianwudi
献武帝慕容德	xianwudimurongde
咸熙	xianxi
咸阳	xianyang
显奕	xianyi
鲜于枢	xianyushu
贤卓	xianzhuo
献宗	xianzong
献宗李德旺	xianzonglidewang
相邦	xiangbang
襄贲	xiangben
向炳焜	xiangbingkun
项伯	xiangbo
向曹军	xiangcaojun
向宠	xiangchong
项传霖	xiangchuanlin
项德明	xiangdeming
项笃寿	xiangdushou
祥妃	xiangfei
项皋谟	xianggaomo
襄公	xianggong
襄公李安全	xianggonglianquan
襄国	xiangguo
相国	xiangguo
向海公	xianghaigong
相海泉	xianghaiquan
项藉	xiangji
项茧章	xiangjianzhang
项介石	xiangjieshi
项景襄	xiangjingxiang
向举	xiangju
项奎	xiangkui
向朗	xianglang
祥驎	xianglin
翔麟紫	xianglinzi
襄陵	xiangling
象龙	xianglong
项梦昶	xiangmengchang
项穆	xiangmu
项佩鱼	xiangpeiyu
襄嫔	xiangpin
襄平	xiangping
向日贞	xiangrizhen
湘濡	xiangru
相润	xiangrun
向燊	xiangshen
详生	xiangsheng
项圣谟	xiangshengmo
相室	xiangshi
向守志	xiangshouzhi
向廷赓	xiangtinggeng
项维仁	xiangweiren
项文彦	xiangwenyan
襄武	xiangwu
项锡昌	xiangxichang
项县	xiangxian
向县	xiangxian
相县	xiangxian
襄乡	xiangxiang
项昕	xiangxin
向璇	xiangxuan
襄阳	xiangyang
向阳红	xiangyanghong
襄邑	xiangyi
项絪	xiangyin
项元汴	xiangyuanbian
项元淇	xiangyuanqi
项增钰	xiangzengyu
相职	xiangzhi
襄子	xiangzi
萧宝卷	xiaobaojuan
萧宝融	xiaobaorong
萧炳	xiaobing
萧博仁	xiaoboren
萧伯章	xiaobozhang
萧察	xiaocha
萧长华	xiaochanghua
萧超伍	xiaochaowu
萧晨	xiaochen
萧翀	xiaochong
萧楚	xiaochu
笑楚	xiaochu
萧楚女	xiaochunv
孝慈高皇后	xiaocigaohuanghou
萧琮	xiaocong
萧大亨	xiaodaheng
晓答应	xiaodaying
萧道成	xiaodaocheng
萧道管	xiaodaoguan
萧德祥	xiaodexiang
萧德藻	xiaodezao
萧得周	xiaodezhou
萧栋	xiaodong
萧方智	xiaofangzhi
萧福庵	xiaofuan
肖刚	xiaogang
萧纲	xiaogang
肖革联	xiaogelian
萧公权	xiaogongquan
效谷	xiaogu
萧观音	xiaoguanyin
萧国宝	xiaoguobao
萧何	xiaohe
孝侯	xiaohou
小耤臣	xiaojichen
肖纪美	xiaojimei
萧冀勉	xiaojimian
萧吉珊	xiaojishan
小甲	xiaojia
孝建	xiaojian
肖劲	xiaojin
萧劲光	xiaojinguang
萧京	xiaojing
孝静帝	xiaojingdi
孝敬帝	xiaojingdi
孝静帝元善见	xiaojingdiyuanshanjian
萧岿	xiaokui
肖利华	xiaolihua
萧立之	xiaolizhi
萧良有	xiaoliangyou
肖良志	xiaoliangzhi
小林觉	xiaolinjue
萧龙友	xiaolongyou
萧鸾	xiaoluan
孝明帝	xiaomingdi
孝明帝元诩	xiaomingdiyuanxu
小明王	xiaomingwang
小明王韩林儿	xiaomingwanghanliner
萧培元	xiaopeiyuan
萧品清	xiaopinqing
孝起	xiaoqi
小乔	xiaoqiao|xiaoa
萧秋水	xiaoqiushui
萧全夫	xiaoquanfu
校人	xiaoren
萧三	xiaosan
萧三发	xiaosanfa
肖山令	xiaoshanling
萧善斋	xiaoshanzhai
萧稍	xiaoshao
萧绍文	xiaoshaowen
萧诗	xiaoshi
校事	xiaoshi
小十政	xiaoshizheng
萧塔不烟	xiaotabuyan
萧昙	xiaotan
萧统	xiaotong
萧同兹	xiaotongzi
萧蜕	xiaotui
孝文帝	xiaowendi
孝文帝萧岿	xiaowendixiaokui
孝文帝元宏	xiaowendiyuanhong
萧文玖	xiaowenjiu
萧文荣	xiaowenrong
孝武帝	xiaowudi
孝武帝刘骏	xiaowudiliujun
孝武帝元脩	xiaowudiyuanxiu
肖县	xiaoxian
萧显	xiaoxian
孝先	xiaoxian
洨县	xiaoxian
肖晓琳	xiaoxiaolin
小辛	xiaoxin
萧埙	xiaoxun
萧衍	xiaoyan
萧耀南	xiaoyaonan
萧绎	xiaoyi
萧翊	xiaoyi
小乙	xiaoyi
小仪	xiaoyi
萧毅肃	xiaoyisu
肖永银	xiaoyongyin
萧友梅	xiaoyoumei
萧瑜	xiaoyu
孝裕	xiaoyu
小媛	xiaoyuan
萧云从	xiaoyuncong
萧赜	xiaoze
萧崱	xiaoze
孝昭帝	xiaozhaodi
孝昭帝高演	xiaozhaodigaoyan
萧昭文	xiaozhaowen
萧昭业	xiaozhaoye
萧正模	xiaozhengmo
孝直	xiaozhi
萧智汉	xiaozhihan
萧厔泉	xiaozhiquan
崤之战	xiaozhizhan
小主	xiaozhu
萧庄	xiaozhuang
孝庄大玉儿	xiaozhuangdayuer
孝庄帝	xiaozhuangdi
孝庄帝元子攸	xiaozhuangdiyuanziyou
谢安	xiean
谢翱	xieao
谢北亭	xiebeiting
谢昌年	xiechangnian
谢承举	xiechengju
谢纯祚	xiechunzuo
谢谠	xiedang
谢道承	xiedaocheng
谢东山	xiedongshan
谢冬远	xiedongyuan
谢铎	xieduo
谢枋得	xiefangde
谢奉琦	xiefengqi
谢凤孙	xiefengsun
谢辅	xiefu
谢甘树	xieganshu
谢耿民	xiegengmin
谢观	xieguan
谢观生	xieguansheng
谢冠生	xieguansheng
谢贯一	xieguanyi
谢光洁	xieguangjie
谢国城	xieguocheng
谢国文	xieguowen
谢国章	xieguozhang
谢国桢	xieguozhen
谢鹤	xiehe
谢洪赉	xiehonglai
谢怀柔	xiehuairou
谢济世	xiejishi
谢皎	xiejiao
谢阶树	xiejieshu
谢晋	xiejin
谢缙	xiejin
谢晋元	xiejinyuan
谢旌	xiejing
谢景章	xiejingzhang
谢俊民	xiejunmin
谢克铭	xiekeming
谢坤	xiekun
谢兰生	xielansheng
谢良	xieliang
谢良琦	xieliangqi
谢灵运	xielingyun
谢六逸	xieliuyi
谢隆岗	xielonggang
谢沐	xiemu
谢乃实	xienaishi
谢念功	xieniangong
谢启昆	xieqikun
谢启祚	xieqizuo
谢迁	xieqian
谢汝明	xieruming
谢三宾	xiesanbin
谢少南	xieshaonan
谢升贤	xieshengxian
谢时臣	xieshichen
谢石钦	xieshiqin
谢师宗	xieshizong
谢寿康	xieshoukang
谢松梁	xiesongliang
谢淞洲	xiesongzhou
谢太后	xietaihou
谢泰交	xietaijiao
谢堂	xietang
谢天祐	xietianyou
谢调梅	xietiaomei
谢廷谅	xietingliang
谢庭芝	xietingzhi
谢廷柱	xietingzhu
谢伟思	xieweisi
谢为宪	xieweixian
谢文洊	xiewencun
谢武	xiewu
谢希曾	xiexiceng
谢希德	xiexide
谢显	xiexian
谢向荣	xiexiangrong
谢小茜	xiexiaoqian
谢小双	xiexiaoshuang
谢欣颖	xiexinying
谢星焕	xiexinghuan
谢雄	xiexiong
谢玄	xiexuan
谢雪	xiexue
谢养源	xieyangyuan
谢以闻	xieyiwen
谢荫昌	xieyinchang
谢应芳	xieyingfang
谢颖颖	xieyingying
谢应芝	xieyingzhi
谢墉	xieyong
谢有顺	xieyoushun
谢宇澄	xieyucheng
谢玉琼	xieyuqiong
谢垣	xieyuan
谢远定	xieyuanding
谢兆申	xiezhaoshen
谢肇浙	xiezhaozhe
谢震	xiezhen
谢桢	xiezhen
谢榛	xiezhen
谢振定	xiezhending
谢振华	xiezhenhua
