还牢旦	hailaodan
浣花溪	huanhuaxi
黄花峪	huanghuayu
黄花寨	huanghuazhai
祭三王	jisanwang
借布衫	jiebushan
荆娘怨	jingniangyuan
聚兽牌	jushoupai
勘金环	kanjinhuan
蓝采和	lancaihe
蓝关记	languanji
连环记	lianhuanji
两团圆	liangtuanyuan
梦天台	mengtiantai
明昌梦	mingchangmeng
奶干儿	naiganer
南牢记	nanlaoji
闹法场	naofachang
闹铜台	naotongtai
闹阴司	naoyinsi
闹元宵	naoyuanxiao
女学士	nvxueshi
女真观	nvzhenguan
骗英布	pianyingbu
破风诗	pofengshi
破天阵	potianzhen
娶小乔	quxiaoqiao
三件宝	sanjianbao
三贤妇	sanxianfu
森罗殿	senluodian
升堂记	shengtangji
圣姑姑	shenggugu
十样锦	shiyangjin
石榴园	shiliuyuan
双斗医	shuangdouyi
水帘寨	shuilianzhai
四国旦	siguodan
锁白猿	suobaiyuan
桃符记	taofuji
滕王阁	tengwangge
望思台	wangsitai
望香亭	wangxiangting
挝怨鼓	woyuangu
梧桐树	wutongshu
午时牌	wushipai
贤孝牌	xianxiaopai
相国寺	xiangguosi
消灾寺	xiaozaisi
销金帐	xiaojinzhang
小尉迟	xiaoyuchi
谢金吾	xiejinwu
杏林庄	xinglinzhuang
血手记	xueshouji
延安府	yananfu
燕山梦	yanshanmeng
衣袄车	yiaoche
鱼篮记	yulanji
渔樵记	yuqiaoji
云台观	yuntaiguan
云台门	yuntaimen
斩蔡阳	zhancaiyang
斩健蛟	zhanjianjiao
争报恩	zhengbaoen
纸扇记	zhishanji
朱砂记	zhushaji
赚蒯通	zhuankuaitong
捉彭宠	zhuopengchong
霸王举鼎	bawangjuding
班超投笔	banchaotoubi
陈母教子	chenmujiaozi
崔护谒浆	cuihuyejiang
高凤漂麦	gaofengpiaomai
高祖归庄	gaozuguizhuang
管宁割席	guanninggexi
鸡鸣度关	jimingduguan
箭射双雕	jiansheshuangdiao
借尸还魂	jieshihuanhun|jieshihaihun
敬德降唐	jingdejiangtang
廉颇负荆	lianpofujing
绿珠坠楼	lvzhuzhuilou
买臣负薪	maichenfuxin
门神诉冤	menshensuyuan
孟良盗骨	mengliangdaogu
潘安掷果	pananzhiguo
裴度还带	peiduhaidai
贫儿乍富	pinerzhafu
墙头马上	qiangtoumashang
疏者下船	shuzhexiachuan
驷马奔阵	simabenzhen
孙康映雪	sunkangyingxue
孙恪遇猿	sunkeyuyuan
相如题柱	xiangrutizhu
因祸致福	yinhuozhifu
渔父辞剑	yufucijian
冤家债主	yuanjiazhaizhu
凿壁偷光	zaobitouguang
张敞画眉	zhangchanghuamei
赵尧辞金	zhaoyaocijin
织锦回文	zhijinhuiwen
周处三害	zhouchusanhai
抱石投江	baoshitoujiang
伯道弃子	bodaoqizi
伯瑜泣杖	boyuqizhang
陈抟高卧	chentuangaowo
崔和担生	cuihedansheng
登坛拜将	dengtanbaijiang
狄青扑马	diqingpuma
