安重荣	anzhongrong
裨将	pijiang
白马之祸	baimazhihuo
白马驿	baimayi
柏乡	baixiang
楚王	chuwang
大将	dajiang
大军	dajun
大唐	datang
德州	dezhou
丁会	dinghui
定州	dingzhou
福建	fujian
府尹	fuyin
割据势力	gejushili
广东	guangdong
归顺	guishun
河南尹	henanyin
怀州	huaizhou
宦官	huanguan
黄巢	huangchao
黄河	huanghe
皇室	huangshi
监军	jianjun
检校司徒	jianjiaositu
剑南	jiannan
节度使	jiedushi
禁军	jinjun
开平	kaiping
康王	kangwang
李柷	lizhu
李存勖	licunxu
李克用	likeyong
李嗣源	lisiyuan
李唐宾	litangbin
李晔	liye
梁末帝	liangmodi
梁王	liangwang
两浙	liangzhe
辽宁	liaoning
领导	lingdao
刘仁恭	liurengong
刘隐	liuyin
龙德	longde
潞州	luzhou
马殷	mayin
闽王	minwang
南方	nanfang
南梁	nanliang
年号	nianhao
农民起义	nongminqiyi
乾化	qianhua
沙陀	shatuo
神策军	shencejun
蜀王	shuwang
唐昭宗	tangzhaozong
唐庄宗	tangzhuangzong
讨伐	taofa
天雄	tianxiong
天佑	tianyou
王建	wangjian
王审知	wangshenzhi
王彦章	wangyanzhang
魏王	weiwang
五代十国	wudaishiguo
西都	xidu
下博	xiabo
新乡	xinxiang
杨刘	yangliu
杨行密	yangxingmi
幽禁	youjin
元年	yuannian
宰相	zaixiang
泽州	zezhou
战争	zhanzheng
张汉杰	zhanghanjie
昭德	zhaode
赵州	zhaozhou
贞明	zhenming
中都	zhongdu
朱梁	zhuliang
朱全忠	zhuquanzhong
朱温	zhuwen
朱友珪	zhuyougui
朱珍	zhuzhen
郓州	yunzhou
汴梁	bianliang
濮州	puzhou
别驾	biejia
布泉	buquan
长江	changjiang
程咬金	chengyaojin
池盐	chiyan
大都督	dadudu
大同	datong
大统	datong
大象	daxiang
大员	dayuan
大周	dazhou
大冢宰	dazhongzai
翟让	zhairang
地方	difang
地官	diguan
地盘	dipan
东汉	donghan
敦煌石窟	dunhuangshiku
敦教化	dunjiaohua
高澄	gaocheng
高欢	gaohuan
工部	gongbu
瓜州	guazhou
关中	guanzhong
官僚	guanliao
郭彦	guoyan
海盐	haiyan
韩褒	hanbao
河西	hexi
户籍	huji
计帐	jizhang
监察	jiancha
监察制度	jianchazhidu
匠师	jiangshi
禁旅	jinlv
尽地利	jindili
荆州	jingzhou
井盐	jingyan
均赋役	junfuyi
均田	juntian
军阀	junfa
郡县	junxian
郡丞	juncheng
科举考试	kejukaoshi
李元霸	liyuanba
吏部	libu
梁州	liangzhou
六官	liuguan
六条问事	liutiaowenshi
六条诏书	liutiaozhaoshu
麻田	matian
孟贲	mengben
南北	nanbei
奴婢	nubi
破六韩拔陵	poliuhanbaling
蒲州	puzhou
迁徙	qianxi
羌人	qiangren
侨郡	qiaojun
秦琼	qinqiong
清心	qingxin
榷盐	queyan
申徽	shenhui
蜀地	shudi
水芝	shuizhi
司仓	sicang
司农少卿	sinongshaoqing
司水	sishui
寺院	siyuan
苏绰	suchuo
隋朝	suichao
隋炀帝	suiyangdi
太师	taishi
天王	tianwang
统领	tongling
统治	tongzhi
土断	tuduan
屯田	tuntian
拓跋廓	tuobakuo
王宣	wangxuan
五行大布	wuxingdabu
五铢	wuzhu
西川	xichuan
西凉州	xiliangzhou
夏阳	xiayang
仙人	xianren
县令	xianling
襄樊	xiangfan
孝武帝	xiaowudi
形盐	xingyan
恤狱讼	xuyusong
永通万国	yongtongwanguo
永熙	yongxi
宇文泰	yuwentai
玉壁	yubi
元宝炬	yuanbaoju
元廓	yuankuo
元脩	yuanxiu
元钦	yuanqin
元善见	yuanshanjian
元修	yuanxiu
载师	zaishi
正长	zhengchang
治中	zhizhong
中央	zhongyang
州郡	zhoujun
柱国	zhuguo
宗室	zongshi
族正	zuzheng
擢贤良	zhuoxianliang
饴盐	yiyan
澧州	lizhou
窦泰	doutai
北狄	beidi
北汉	beihan
北邻	beilin
大理国	daliguo
大夏	daxia
董昌	dongchang
都金陵	dujinling
都洛阳	douluoyang
二赵	erzhao
扶风	fufeng
