按察官	anchaguan
三卫博士	sanweiboshi
三卫府	sanweifu
三卫官	sanweiguan
三卫郎	sanweilang
三卫侍郎	sanweishilang
三卫中郎	sanweizhonglang
三卫主簿	sanweizhubu
三牙	sanya
三衙	sanya
三衙推狱	sanyatuiyu
三衙诸军	sanyazhujun
散员	sanyuan
上閤	shangge
上将	shangjiang
上将军	shangjiangjun
上四军	shangsijun
上铁林	shangtielin
神卫	shenwei
神卫右厢	shenweiyouxiang
神卫左厢	shenweizuoxiang
神武统军	shenwutongjun
十将	shijiang
侍卫马军	shiweimajun
侍卫马司	shiweimasi
侍卫司	shiweisi
属鞬之职	shujianzhizhi
四方	sifang
四方馆	sifangguan
四方馆使	sifangguanshi
司圊	siqing
四色官	siseguan
四厢	sixiang
天武	tianwu
天武右厢	tianwuyouxiang
天武左厢	tianwuzuoxiang
铁骑	tieqi
同管	tongguan
统军	tongjun
统领	tongling
通事	tongshi
通事舍人	tongshisheren
同统制	tongtongzhi
同知	tongzhi
统制	tongzhi
屯卫	tunwei
外殿直	waidianzhi
卫官	weiguan
卫将军	weijiangjun
武德	wude
武德司	wudesi
武官舍人	wuguansheren
西班承旨	xibanchengzhi
西上	xishang
西上閤门	xishanggemen
下班祗应	xiabanzhiying
厢都校	xiangdouxiao
相扑	xiangpu
厢使	xiangshi
厢主	xiangzhu
小底	xiaodi
小将军	xiaojiangjun
骁卫	xiaowei
骁卫将军	xiaoweijiangjun
宣事舍人	xuanshisheren
宣赞	xuanzan
宣赞舍人	xuanzansheren
训练官	xunlianguan
勋卫	xunwei
勋卫府郎	xunweifulang
勋卫官	xunweiguan
押队	yadui
押官	yaguan
押拥队	yayongdui
翊卫	yiwei
翊卫府郎	yiweifulang
翊卫官	yiweiguan
引见	yinjian
引见司	yinjiansi
引进	yinjin
引进副使	yinjinfushi
引进使	yinjinshi
引进司	yinjinsi
引进司使	yinjinsishi
银枪班	yinqiangban
拥队	yongdui
右金吾	youjinwu
右龙武	youlongwu
右龙武军	youlongwujun
右神武	youshenwu
右神武军	youshenwujun
右屯卫	youtunwei
右卫	youwei
右卫将军	youweijiangjun
右卫郎将	youweilangjiang
右骁卫	youxiaowei
右羽林	youyulin
右羽林军	youyulinjun
御带	yudai
御带器械	yudaiqixie
虞侯	yuhou
羽林统军	yulintongjun
御龙弩直	yulongnuzhi
御龙四直	yulongsizhi
御龙右直	yulongyouzhi
御龙左直	yulongzuozhi
御器械	yuqixie
御前忠佐	yuqianzhongzuo
云骑军	yunqijun
招箭班	zhaojianban
镇殿将军	zhendianjiangjun
正将	zhengjiang
知閤	zhige
知閤门	zhigemen
知閤门事	zhigemenshi
祗侯军员	zhihoujunyuan
指挥	zhihui
指挥使	zhihuishi
知客省事	zhikeshengshi
制领	zhiling
祗应	zhiying
中郎将	zhonglangjiang
忠佐	zhongzuo
忠佐军头	zhongzuojuntou
忠佐司	zhongzuosi
诸班	zhuban
诸班都知	zhubandouzhi
诸班押班	zhubanyaban
诸班直	zhubanzhi
诸卫将军	zhuweijiangjun
诸直	zhuzhi
诸直都头	zhuzhidoutou
诸直队长	zhuzhiduizhang
诸直十将	zhuzhishijiang
准备将	zhunbeijiang
左金吾	zuojinwu
左龙武	zuolongwu
左龙武军	zuolongwujun
左神武	zuoshenwu
左神武军	zuoshenwujun
左卫	zuowei
左卫将军	zuoweijiangjun
左卫郎将	zuoweilangjiang
左骁卫	zuoxiaowei
左右厢	zuoyouxiang
左羽林	zuoyulin
左羽林军	zuoyulinjun
霸府	bafu
北道	beidao
北道总管	beidaozongguan
兵马都监	bingmadoujian
兵马监押	bingmajianya
兵马钤辖	bingmaqianxia
兵马司	bingmasi
兵马元帅	bingmayuanshuai
兵钤	bingqian
兵钤辖	bingqianxia
部署	bushu
部署司	bushusi
部辖	buxia
参谋	canmou
参谋官	canmouguan
参谋军事	canmoujunshi
参议	canyi
参议官	canyiguan
参赞	canzan
承受	chengshou
承受公事	chengshougongshi
储帅	chushuai
大将	dajiang
大使	dashi
大使司	dashisi
大元帅	dayuanshuai
大元帅府	dayuanshuaifu
大制阃	dazhikun
大制司	dazhisi
东道	dongdao
都部管	doubuguan
都部署	doubushu
都部署司	doubushusi
都府	doufu
都排阵使	doupaizhenshi
都钤	douqian
都钤辖	douqianxia
都同巡检	doutongxunjian
都巡	douxun
都巡检	douxunjian
都巡检使	douxunjianshi
都巡检司	douxunjiansi
都巡司	douxunsi
都总管	douzongguan
都总管司	douzongguansi
督参	ducan
都督	dudu
都督府	dudufu
都督行府	duduxingfu
督府	dufu
都护	duhu
都护府	duhufu
督军	dujun
督视	dushi
督视府	dushifu
督视军马	dushijunma
都统	dutong
都统司	dutongsi
都统四路	dutongsilu
督议	duyi
鄂州都统	ezhoudutong
鄂州总领	ezhouzongling
副部署	fubushu
副都制	fudouzhi
副都统	fudutong
副度总管	fuduzongguan
副钤辖	fuqianxia
副帅	fushuai
副司	fusi
副宣抚	fuxuanfu
抚谕官	fuyuguan
抚谕使	fuyushi
副元帅	fuyuanshuai
副总管	fuzongguan
干办官	ganbanguan
湖广总领	huguangzongling
湖广总司	huguangzongsi
淮东总领	huaidongzongling
淮西总领	huaixizongling
淮西总司	huaixizongsi
机密	jimi
监军	jianjun
建康总领	jiankangzongling
监库	jianku
监押	jianya
将副	jiangfu
将官	jiangguan
将领	jiangling
江上诸军	jiangshangzhujun
将帅	jiangshuai
将司	jiangsi
节帅	jieshuai
经抚	jingfu
经抚司	jingfusi
经干	jinggan
经略	jinglue
经略安抚	jinglueanfu
经略副使	jingluefushi
经略判官	jingluepanguan
经略使	jinglueshi
经略使司	jinglueshisi
经略司	jingluesi
经帅	jingshuai
经司	jingsi
经制	jingzhi
经制副使	jingzhifushi
军监押	junjianya
军将	junjiang
郡总管	junzongguan
廉访	lianfang
廉访使	lianfangshi
廉访使者	lianfangshizhe
廉访所	lianfangsuo
陇右都护	longyouduhu
路都监	ludoujian
路分	lufen
路分都监	lufendoujian
路分钤辖	lufenqianxia
路钤	luqian
路钤辖	luqianxia
谋议官	mouyiguan
南都	nandu
南都总管	nanduzongguan
排阵使	paizhenshi
裨将	pijiang
偏裨	pianbi
钤辖	qianxia
钤辖兵马	qianxiabingma
钤辖司	qianxiasi
戎司	rongsi
儒将	rujiang
陕西诏讨	shanxizhaotao
十都统制	shidoutongzhi
使司	shisi
事务官	shiwuguan
书写文字	shuxiewenzi
四川诸军	sichuanzhujun
四川总领	sichuanzongling
四总	sizong
四总管	sizongguan
四总领	sizongling
四总领所	sizonglingsuo
随军漕臣	suijuncaochen
同都督	tongdudu
统帅	tongshuai
统帅府	tongshuaifu
同巡检	tongxunjian
同巡检使	tongxunjianshi
同巡检司	tongxunjiansi
同巡司	tongxunsi
统制官	tongzhiguan
同总领	tongzongling
头领	touling
五司厅	wusiting
西道	xidao
西道都统	xidaodutong
西道总管	xidaozongguan
行府	xingfu
行营都监	xingyingdoujian
宣参	xuancan
宣副	xuanfu
宣抚	xuanfu
宣抚大使	xuanfudashi
宣抚副使	xuanfufushi
宣抚判官	xuanfupanguan
宣抚使	xuanfushi
宣抚使司	xuanfushisi
宣抚司	xuanfusi
宣机	xuanji
宣判	xuanpan
宣使	xuanshi
宣司	xuansi
宣台	xuantai
宣相	xuanxiang
宣谕官	xuanyuguan
宣谕使	xuanyushi
宣谕使司	xuanyushisi
宣谕司	xuanyusi
宣总司	xuanzongsi
巡捕官	xunbuguan
巡检	xunjian
巡检使	xunjianshi
巡检使臣	xunjianshichen
巡检司	xunjiansi
巡警	xunjing
巡司	xunsi
押队使臣	yaduishichen
沿江副司	yanjiangfusi
沿江制副	yanjiangzhifu
沿江制阃	yanjiangzhikun
沿江制司	yanjiangzhisi
议官	yiguan
元帅	yuanshuai
元帅府	yuanshuaifu
诏安使	zhaoanshi
招抚	zhaofu
招抚副使	zhaofufushi
招抚判官	zhaofupanguan
招抚使	zhaofushi
招抚使司	zhaofushisi
招抚司	zhaofusi
招讨	zhaotao
诏讨	zhaotao
招讨使	zhaotaoshi
招讨使司	zhaotaoshisi
镇抚	zhenfu
镇抚使	zhenfushi
镇抚使司	zhenfushisi
镇抚司	zhenfusi
镇江总领	zhenjiangzongling
正任总管	zhengrenzongguan
制副	zhifu
制府	zhifu
制干	zhigan
制机	zhiji
制阃	zhikun
制使	zhishi
置使	zhishi
制帅	zhishuai
制司	zhisi
置司	zhisi
制垣	zhiyuan
制置	zhizhi
制置大使	zhizhidashi
制置副使	zhizhifushi
制置使	zhizhishi
制置使司	zhizhishisi
制置司	zhizhisi
中军将	zhongjunjiang
州都监	zhoudoujian
州钤	zhouqian
州钤厅	zhouqianting
州钤辖	zhouqianxia
驻泊都监	zhubodoujian
驻泊钤辖	zhuboqianxia
驻泊巡检	zhuboxunjian
主管机密	zhuguanjimi
主帅	zhushuai
