按察官	anchaguan
判群牧	panqunmu
判三司事	pansansishi
判使	panshi
判史观事	panshiguanshi
判昭文馆	panzhaowenguan
凭由	pingyou
骑案	qian
钱帛案	qianboan
曲案	quan
权三司使	quansansishi
权使	quanshi
权使公事	quanshigongshi
权使事	quanshishi
群牧	qunmu
群牧都监	qunmudoujian
群牧副使	qunmufushi
群牧判官	qunmupanguan
群牧使	qunmushi
群牧司	qunmusi
群牧行司	qunmuxingsi
群牧置使	qunmuzhishi
群牧制置	qunmuzhizhi
热撰	rezhuan
儒馆	ruguan
三部	sanbu
三部副使	sanbufushi
三部勾院	sanbugouyuan
三部使	sanbushi
三勾院	sangouyuan
三馆	sanguan
三馆秘阁	sanguanmige
三馆士	sanguanshi
三馆学士	sanguanxueshi
三计使	sanjishi
三司大将	sansidajiang
三司副使	sansifushi
三司勾院	sansigouyuan
三司军将	sansijunjiang
三司吏	sansili
三司判勾	sansipangou
三司判官	sansipanguan
三司使	sansishi
三司使厅	sansishiting
三司推官	sansituiguan
三司巡官	sansixunguan
三司衙司	sansiyasi
三司帐司	sansizhangsi
赏给案	shanggeian
上供案	shanggongan
商税案	shangshuian
设案	shean
省案	shengan
省副	shengfu
省府	shengfu
省府判官	shengfupanguan
省官	shengguan
省司	shengsi
省主	shengzhu
史观	shiguan
史观编修	shiguanbianxiu
史观检讨	shiguanjiantao
史观校勘	shiguanjiaokan
史观修撰	shiguanxiuzhuan
史观祗侯	shiguanzhihou
石渠	shiqu
史讨	shitao
史撰	shizhuan
受事司	shoushisi
枢密学士	shumixueshi
枢密直	shumizhi
枢直	shuzhi
四馆	siguan
死龙	silong
随驾三司	suijiasansi
提举河渠	tijuhequ
天章待制	tianzhangdaizhi
天章侍讲	tianzhangshijiang
天章学士	tianzhangxueshi
天制	tianzhi
铁案	tiean
贴职	tiezhi
贴职修撰	tiezhixiuzhuan
通判三司	tongpansansi
同群牧使	tongqunmushi
同制置使	tongzhizhishi
文馆	wenguan
文明学士	wenmingxueshi
文谟次对	wenmocidui
文资	wenzi
西馆	xiguan
显谟待制	xianmodaizhi
显谟学士	xianmoxueshi
校理	xiaoli
小龙	xiaolong
校书集贤	xiaoshujixian
行司	xingsi
行在三司	xingzaisansi
修国史	xiuguoshi
修造案	xiuzaoan
修撰	xiuzhuan
宣徽	xuanhui
宣徽北院	xuanhuibeiyuan
宣徽南院	xuanhuinanyuan
宣徽使	xuanhuishi
宣徽院	xuanhuiyuan
学士	xueshi
牙司	yasi
延恩	yanen
延康	yankang
盐铁	yantie
盐铁副使	yantiefushi
盐铁勾院	yantiegouyuan
盐铁判官	yantiepanguan
盐铁使	yantieshi
盐铁院	yantieyuan
衣料案	yiliaoan
右大计	youdaji
右计	youji
右计勾院	youjigouyuan
右计判官	youjipanguan
右计使	youjishi
右计司	youjisi
右文	youwen
右厢	youxiang
右厢提点	youxiangtidian
在外坊监	zaiwaifangjian
帐籍司	zhangjisi
昭文	zhaowen
昭文馆	zhaowenguan
正馆职	zhengguanzhi
征欠司	zhengqiansi
直宝谟阁	zhibaomoge
直宝文阁	zhibaowenge
直宝章阁	zhibaozhangge
直殿	zhidian
直敷文阁	zhifuwenge
直阁	zhige
直官	zhiguan
直馆	zhiguan
直华文阁	zhihuawenge
直焕章阁	zhihuanzhangge
直徽猷阁	zhihuiyouge
直集贤院	zhijixianyuan
直龙	zhilong
直龙图	zhilongtu
直龙图阁	zhilongtuge
直秘阁	zhimige
直睿思殿	zhiruisidian
直史观	zhishiguan
直天章阁	zhitianzhangge
直显谟阁	zhixianmoge
直显文阁	zhixianwenge
直延阁	zhiyange
直昭文馆	zhizhaowenguan
中秘	zhongmi
胄案	zhouan
诸道判官	zhudaopanguan
主判官	zhupanguan
准馆职	zhunguanzhi
紫宸	zichen
资殿	zidian
孳生监	zishengjian
孳生马监	zishengmajian
资政	zizheng
资政殿	zizhengdian
总计判官	zongjipanguan
总计司	zongjisi
左大计	zuodaji
左计	zuoji
左计勾院	zuojigouyuan
左计判官	zuojipanguan
左计使	zuojishi
左计司	zuojisi
左厢	zuoxiang
左厢提点	zuoxiangtidian
鲍彪	baobiao
伯颜	boyan
蔡州	caizhou
春秋传	chunqiuchuan
大繁荣	dafanrong
大理	dali
大散关	dasanguan
东都事略	dongdushilue
读史管见	dushiguanjian
杜田	dutian
鄂州	ezhou
樊城	fancheng
范文虎	fanwenhu
福州	fuzhou
耕种	gengzhong
恭帝	gongdi
勾栏	goulan
官窑	guanyao
归德	guide
海丰	haifeng
韩侂胄	hantuozhou
韩世忠	hanshizhong
航海技术	hanghaijishu
合州	hezhou
河南	henan
忽必烈	hubilie
胡安国	huanguo
胡寅	huyin
淮水	huaishui
黄河	huanghe
黄天荡	huangtiandang
徽宗	huizong
贾似道	jiasidao
建立	jianli
建炎	jianyan
姜夔	jiangkui
蒋捷	jiangjie
金哀宗	jinaizong
金世宗	jinshizong
金熙宗	jinxizong
金宣宗	jinxuanzong
金源	jinyuan
经济	jingji
开封	kaifeng
开禧	kaixi
康王	kangwang
理学	lixue
李纯甫	lichunfu
李纲	ligang
李清照	liqingzhao
李庭芝	litingzhi
林之奇	linzhiqi
临安	linan
刘光世	liuguangshi
刘克庄	liukezhuang
刘豫	liuyu
刘子翚	liuzihui
陆秀夫	luxiufu
陆游	luyou
吕文德	lvwende
吕祖谦	lvzuqian
论语解	lunyujie
蒙哥	mengge
蒙哥汗	menggehan
蒙古	menggu
孟子传	mengzichuan
末帝	modi
南海	nanhai
南京	nanjing
南宋	nansong
偏安	pianan
钦宗	qinzong
秦王	qinwang
秦州	qinzhou
秦桧	qinhui
庆元党禁	qingyuandangjin
陕西	shanxi
商船	shangchuan
尚书全解	shangshuquanjie
生产关系	shengchanguanxi
圣传论	shengzhuanlun
施全	shiquan
史弥远	shimiyuan
丝绸之	sichouzhi
四川	sichuan
宋朝	songchao
宋高宗	songgaozong
宋恭帝	songgongdi
宋光宗	songguangzong
宋理宗	songlizong
宋宁宗	songningzong
宋太祖	songtaizu
宋孝宗	songxiaozong
岁币	suibi
孙觌	sundi
唐州	tangzhou
通鉴	tongjian
吐蕃	tufan|tubo
瓦舍	washe
完颜亮	wanyanliang
王绩	wangji
王伦	wanglun
王若虚	wangruoxu
文天祥	wentianxiang
窝阔台	wokuotai
无名氏	wumingshi
吴文英	wuwenying
西辽	xiliao
西夏	xixia
襄阳	xiangyang
祥兴	xiangxing
谢道清	xiedaoqing
辛弃疾	xinqiji
新会	xinhui
崖山	yashan
燕京	yanjing
杨万里	yangwanli
杨云翼	yangyunyi
叶适	yeshi
幼帝	youdi
幼主	youzhu
虞允文	yuyunwen
元结	yuanjie
远洋贸易	yuanyangmaoyi
岳飞	yuefei
岳云	yueyun
张栻	zhangshi
张邦昌	zhangbangchang
张九成	zhangjiucheng
张浚	zhangjun
张世杰	zhangshijie
张顺	zhangshun
赵惇	zhaodun
赵构	zhaogou
赵弘	zhaohong
赵扩	zhaokuo
赵汝愚	zhaoruyu
赵显	zhaoxian
赵昀	zhaoyun
真德秀	zhendexiu
郑州	zhengzhou
指南针	zhinanzhen
朱仙镇	zhuxianzhen
朱子语类	zhuziyulei
朱熹	zhuxi
资治通鉴	zizhitongjian
宗泽	zongze
左氏博议	zuoshiboyi
兀术	wushu
郾城	yancheng
汴京	bianjing
滹南集	hunanji
滹南诗话	hunanshihua
濠州	haozhou
白沟	baigou
包青天	baoqingtian
包拯	baozheng
保守派	baoshoupai
北汉	beihan
北宋	beisong
蔡京	caijing
蔡文姬	caiwenji
蔡邕	caiyong
册府元龟	cefuyuangui
陈桥兵变	chenqiaobingbian
成都	chengdu
崇宁	chongning
崔颢	cuihao
大相国寺	daxiangguosi
邓拓	dengtuo
邓州	dengzhou
殿试	dianshi
定窑	dingyao
东大寺	dongdasi
东海	donghai
东京	dongjing
范文澜	fanwenlan
范仲淹	fanzhongyan
坊本	fangben
方腊	fangla
冯友兰	fengyoulan
福建	fujian
哥窑	geyao
贵德	guide
海州	haizhou
杭州	hangzhou
河东路	hedonglu
河州	hezhou
后晋	houjin
后蜀	houshu
后周	houzhou
湖南	hunan
怀德军	huaidejun
黄袍加身	huangpaojiashen
惠民河	huiminhe
火药	huoyao
监本	jianben
建州	jianzhou
江陵	jiangling
交子	jiaozi
金陵	jinling
金水河	jinshuihe
禁军	jinjun
荆湘	jingxiang
京东	jingdong
靖康之变	jingkangzhibian
钧窑	junyao
康定	kangding
兰州	lanzhou
两广	liangguang
辽国	liaoguo
民族英雄	minzuyingxiong
穆青	muqing
南汉	nanhan
南唐	nantang
欧阳修	ouyangxiu
培养人才	peiyangrencai
契丹	qidan
钱引	qianyin
庆历	qingli
仁宗	renzong
汝窑	ruyao
阮籍	ruanji
舍利	sheli
神宗	shenzong
宋徽宗	songhuizong
宋江	songjiang
宋钦宗	songqinzong
宋仁宗	songrenzong
宋太宗	songtaizong
宋真宗	songzhenzong
绥州	suizhou
太平广记	taipingguangji
太平御览	taipingyulan
天禧	tianxi
童贯	tongguan
王安石	wanganshi
文苑英华	wenyuanyinghua
斡离不	wolibu
吴越	wuyue
五代十国	wudaishiguo
熙宁	xining
西川	xichuan
西京	xijing
峡路	xialu
咸平	xianping
厢军	xiangjun
乡兵	xiangbing
新法	xinfa
叙州	xuzhou
宣和	xuanhe
杨家将	yangjiajiang
扬州	yangzhou
姚雪垠	yaoxueyin
英宗	yingzong
禹王台	yuwangtai
御史台	yushitai
粘罕	zhanhan
张伯行	zhangboxing
掌教	zhangjiao
赵光义	zhaoguangyi
赵桓	zhaohuan
赵匡胤	zhaokuangyin
赵曙	zhaoshu
赵佶	zhaoji
赵顼	zhaoxu
赵祯	zhaozhen
哲宗	zhezong
钟嗣成	zhongsicheng
周恭帝	zhougongdi
谏官	jianguan
谏院	jianyuan
岷山	minshan
汴河	bianhe
泸州	luzhou
洮州	taozhou
澶渊之盟	chanyuanzhimeng
澶州	chanzhou
婺州	wuzhou
邕州	yongzhou
阿尔泰山	aertaishan
白马岭	baimaling
保大	baoda
保宁	baoning
北面官	beimianguan
北魏	beiwei
长城	changcheng
承天后	chengtianhou
出帝	chudi
大辽	daliao
大清河	daqinghe
大同	datong
道宗	daozong
德兴	dexing
封建社会	fengjianshehui
封建王朝	fengjianwangchao
富弼	fubi
高梁河	gaolianghe
高祖	gaozu
海河	haihe
韩德让	handerang
韩延徽	hanyanhui
汉军	hanjun
好水川	haoshuichuan
后汉	houhan
后唐	houtang
怀柔	huairou
皇帝	huangdi
皇都	huangdu
回鹘	huihu
惠宗	huizong
会同	huitong
夹山	jiashan
建国	jianguo
金国	jinguo
晋阳	jinyang
京府	jingfu
景福	jingfu
景宗	jingzong
居庸关	juyongguan
寇准	kouzhun
老哈河	laohahe
李元昊	liyuanhao
辽道宗	liaodaozong
辽河	liaohe
辽景宗	liaojingzong
辽圣宗	liaoshengzong
辽世宗	liaoshizong
辽太宗	liaotaizong
辽太祖	liaotaizu
辽兴宗	liaoxingzong
林牙	linya
伶官	lingguan
刘继元	liujiyuan
刘六符	liuliufu
刘知远	liuzhiyuan
蒙古高原	menggugaoyuan
蒙古人	mengguren
穆宗	muzong
南面官	nanmianguan
宁州	ningzhou
契丹大字	qidandazi
乾统	qiantong
柔然	rouran
上党	shangdang
上京	shangjing
神册	shence
圣宗	shengzong
石敬瑭	shijingtang
石重贵	shizhonggui
世宗	shizong
首领	shouling
述律平	shulvping
太宗	taizong
天锡皇帝	tianxihuangdi
天显	tianxian
天祚帝	tianzuodi
统和	tonghe
拓跋氏	tuobashi
斡鲁朵	woluduo
乌古	wugu
鲜卑	xianbei
显德	xiande
萧绰	xiaochuo
萧观音	xiaoguanyin
萧塔不烟	xiaotabuyan
萧太后	xiaotaihou
兴宗	xingzong
宣宗	xuanzong
延庆	yanqing
燕州	yanzhou
雁门关	yanmenguan
杨继业	yangjiye
耶律倍	yelvbei
耶律大石	yelvdashi
耶律德光	yelvdeguang
耶律洪基	yelvhongji
耶律隆绪	yelvlongxu
耶律阮	yelvruan
耶律屋质	yelvwuzhi
耶律贤	yelvxian
耶律斜轸	yelvxiezhen
耶律休哥	yelvxiuge
耶律延禧	yelvyanxi
耶律夷列	yelvyilie
耶律重元	yelvzhongyuan
耶律宗真	yelvzongzhen
伊朗	yilang
应历	yingli
应州	yingzhou
幽州	youzhou
羽陵	yuling
原始社会	yuanshishehui
云州	yunzhou
张俭	zhangjian
中京	zhongjing
中央集权	zhongyangjiquan
重熙	zhongxi
宗元	zongyuan
阻卜	zubu
瀛州	yingzhou
栾城	luancheng
镔铁	bintie
鞑靼	dada
安抚大使司	anfudashisi
安抚大使司参谋官	anfudashisicanmouguan
安抚大使司参议官	anfudashisicanyiguan
安抚使司参议官	anfushisicanyiguan
安抚使司幕属官厅	anfushisimushuguanting
安抚使司佥厅	anfushisiqianting
安抚司抚僚	anfusifuliao
安抚司干办公事	anfusiganbangongshi
安抚司勾当公事	anfusigoudanggongshi
安抚司管勾官	anfusiguangouguan
安抚司机宜	anfusijiyi
安抚司幕官	anfusimuguan
安抚司帅属	anfusishuaishu
白波发运使	baibofayunshi
常平广惠仓使者	changpingguanghuicangshizhe
常平司主管	changpingsizhuguan
出卖解盐司	chumaijieyansi
催促装纲官	cuicuzhuanggangguan
措置籴便司	cuozhidibiansi
措置坑冶铸钱司	cuozhikengyezhuqiansi
措置铁冶铸钱司	cuozhitieyezhuqiansi
点检行在赡军激赏酒库所	dianjianxingzaishanjunjishangjiukusuo
都大催遣辇运	doudacuiqiannianyun
都大发运使	doudafayunshi
都大管勾催遣辇运	doudaguangoucuiqiannianyun
都大提举茶马官	doudatijuchamaguan
都大提举茶马事	doudatijuchamashi
都大提举茶马司	doudatijuchamasi
都大提举茶事司	doudatijuchashisi
都大提举辇运	doudatijunianyun
都大制置发运使	doudazhizhifayunshi
都大制置发运司	doudazhizhifayunsi
都大铸钱司	doudazhuqiansi
都转运按察使	douzhuanyunanchashi
都转运使兼按察使	douzhuanyunshijiananchashi
都转运使司	douzhuanyunshisi
福建路市舶司	fujianlushibosi
福建路提举市舶司	fujianlutijushibosi
福建市舶司	fujianshibosi
福建提举市舶司	fujiantijushibosi
府界三路提举保甲	fujiesanlutijubaojia
弓箭手指挥	gongjianshouzhihui
勾当营田公事	goudangyingtiangongshi
管勾安抚司	guangouanfusi
管勾安抚司公事	guangouanfusigongshi
管勾市舶司公事	guangoushibosigongshi
管勾市舶司使臣	guangoushibosishichen
管内安抚使	guanneianfushi
广南东路提举市舶司	guangnandonglutijushibosi
广南市舶司	guangnanshibosi
杭州市舶务	hangzhoushibowu
河北籴便司	hebeidibiansi
河北四路安抚使司	hebeisiluanfushisi
淮南等路制置发运司	huainandengluzhizhifayunsi
监市舶司使者	jianshibosishizhe
检踏坑冶官	jiantakengyeguan
江淮等路发运副使	jianghuaidenglufayunfushi
江淮等路发运使	jianghuaidenglufayunshi
江淮等路经制判官	jianghuaidenglujingzhipanguan
江淮等路经制司	jianghuaidenglujingzhisi
江淮等路运使	jianghuaidengluyunshi
江淮发运使	jianghuaifayunshi
江淮铸钱公事	jianghuaizhuqiangongshi
江阴军市舶务	jiangyinjunshibowu
江浙巡抚使	jiangzhexunfushi
解盐制置使	jieyanzhizhishi
经制边防财用司	jingzhibianfangcaiyongsi
经制财用司	jingzhicaiyongsi
经制发运使	jingzhifayunshi
经制发运使司	jingzhifayunshisi
经制两浙江东路	jingzhiliangzhejiangdonglu
坑冶司干官	kengyesiganguan
坑冶铸钱司	kengyezhuqiansi
两浙路市舶官	liangzhelushiboguan
两浙路提举市舶司	liangzhelutijushibosi
两浙市舶司	liangzheshibosi
两浙提举市舶	liangzhetijushibo
临安府市舶务	linanfushibowu
路察访副使	luchafangfushi
路提点刑狱公事	lutidianxingyugongshi
路提点刑狱司	lutidianxingyusi
路提举常平广惠仓司	lutijuchangpingguanghuicangsi
路提举市舶司	lutijushibosi
路提举学事官	lutijuxueshiguan
路提举学事司	lutijuxueshisi
路提举盐事司	lutijuyanshisi
路同提点刑狱	lutongtidianxingyu
路同提点刑狱公事	lutongtidianxingyugongshi
路盐事司勾当公事	luyanshisigoudanggongshi
明州市舶司	mingzhoushibosi
明州市舶务	mingzhoushibowu
权措置财用	quancuozhicaiyong
权发遣转运使	quanfaqianzhuanyunshi
三门白波都监	sanmenbaibodoujian
三门白波发运	sanmenbaibofayun
三门白波发运使	sanmenbaibofayunshi
三门白波发运司	sanmenbaibofayunsi
三门白波辇运司	sanmenbaibonianyunsi
三门发运使	sanmenfayunshi
陕西路制置解盐使	shanxiluzhizhijieyanshi
陕西路制置解盐司	shanxiluzhizhijieyansi
四川茶马司	sichuanchamasi
随军转运使	suijunzhuanyunshi
提点府界公事	tidianfujiegongshi
提点纲马驿程	tidiangangmayicheng
提点坑冶铸钱	tidiankengyezhuqian
提点坑冶铸钱司	tidiankengyezhuqiansi
提点刑狱副使	tidianxingyufushi
提点刑狱兼提举义勇	tidianxingyujiantijuyiyong
提点刑狱劝农副使	tidianxingyuquannongfushi
提点刑狱劝农使	tidianxingyuquannongshi
提点刑狱司干办公事	tidianxingyusiganbangongshi
提点刑狱司干办公事司	tidianxingyusiganbangongshisi
提点刑狱司检法官	tidianxingyusijianfaguan
提点刑狱所	tidianxingyusuo
提督两浙路市舶事务	tiduliangzhelushiboshiwu
提举保甲司	tijubaojiasi
提举茶盐官	tijuchayanguan
提举茶盐司	tijuchayansi
提举常平仓农田水利差役	tijuchangpingcangnongtianshuilichaiyi
提举常平茶盐公事	tijuchangpingchayangongshi
提举常平茶盐司	tijuchangpingchayansi
提举常平茶盐司干办公事	tijuchangpingchayansiganbangongshi
提举常平等事	tijuchangpingdengshi
提举常平官	tijuchangpingguan
提举常平广惠仓	tijuchangpingguanghuicang
提举常平司	tijuchangpingsi
提举常平司勾当公事	tijuchangpingsigoudanggongshi
提举常平司主管官	tijuchangpingsizhuguanguan
提举出卖解盐司	tijuchumaijieyansi
提举出卖解盐司勾当公事	tijuchumaijieyansigoudanggongshi
提举籴便司	tijudibiansi
提举福建路市舶	tijufujianlushibo
提举弓箭手司	tijugongjianshousi
提举广南东路市舶官	tijuguangnandonglushiboguan
提举广南东西路坑冶司	tijuguangnandongxilukengyesi
提举广南路市舶	tijuguangnanlushibo
提举河北籴便粮草司	tijuhebeidibianliangcaosi
提举河北籴便司	tijuhebeidibiansi
提举江东淮南路坑冶司	tijujiangdonghuainanlukengyesi
提举江淮等路铜事	tijujianghuaidenglutongshi
提举江南东路坑冶司	tijujiangnandonglukengyesi
提举解盐司	tijujieyansi
提举荆湖南北路坑冶司	tijujinghunanbeilukengyesi
提举京西路坑冶司	tijujingxilukengyesi
提举开封府界常平等事	tijukaifengfujiechangpingdengshi
提举开封府界诸县镇公事	tijukaifengfujiezhuxianzhengongshi
提举坑冶司	tijukengyesi
提举坑冶铸钱司	tijukengyezhuqiansi
提举两浙福建坑冶司	tijuliangzhefujiankengyesi
提举两浙路市舶官	tijuliangzhelushiboguan
提举某路坑冶司	tijumoulukengyesi
提举三白渠公事	tijusanbaiqugongshi
提举三门白波辇运	tijusanmenbaibonianyun
提举市舶官	tijushiboguan
提举市舶司干办公事	tijushibosiganbangongshi
提举市舶司官	tijushibosiguan
提举市舶务	tijushibowu
提举学事官	tijuxueshiguan
提举学士司	tijuxueshisi
提举盐税司	tijuyanshuisi
提举义勇保甲司	tijuyiyongbaojiasi
提举制置解盐司	tijuzhizhijieyansi
体量安抚使	tilianganfushi
提领措置财用	tilingcuozhicaiyong
提领诸路铸钱官	tilingzhuluzhuqianguan
提领诸路铸钱所	tilingzhuluzhuqiansuo
提领铸钱所	tilingzhuqiansuo
提辖措置坑冶铸钱司	tixiacuozhikengyezhuqiansi
提辖措置司	tixiacuozhisi
提刑司干官	tixingsiganguan
同管勾安抚司	tongguangouanfusi
同管勾安抚司公事	tongguangouanfusigongshi
同管勾经制	tongguangoujingzhi
同提点刑狱	tongtidianxingyu
同提点刑狱使臣	tongtidianxingyushichen
同提举茶马	tongtijuchama
同主管经制	tongzhuguanjingzhi
温州市舶务	wenzhoushibowu
五路提举保甲	wulutijubaojia
五路提举义勇保甲	wulutijuyiyongbaojia
熙河经制司	xihejingzhisi
熙河路都大经制司	xiheludoudajingzhisi
行在赡军激赏酒库所	xingzaishanjunjishangjiukusuo
秀州市舶务	xiuzhoushibowu
沿江三大安抚使司	yanjiangsandaanfushisi
制置发运判官	zhizhifayunpanguan
制置发运使	zhizhifayunshi
制置解盐使	zhizhijieyanshi
制置解盐司	zhizhijieyansi
主管安抚司公事	zhuguananfusigongshi
主管某路提举市舶司公事	zhuguanmoulutijushibosigongshi
主管市舶务	zhuguanshibowu
诸路市舶司	zhulushibosi
诸路铸钱司	zhuluzhuqiansi
诸州常平管勾官	zhuzhouchangpingguangouguan
诸州常平主管官	zhuzhouchangpingzhuguanguan
诸州主管官	zhuzhouzhuguanguan
转运使兼按察使	zhuanyunshijiananchashi
转运司干办公事	zhuanyunsiganbangongshi
转运司勾当公事	zhuanyunsigoudanggongshi
转运司勾当官	zhuanyunsigoudangguan
转运司管勾文字	zhuanyunsiguangouwenzi
转运司管勾帐司	zhuanyunsiguangouzhangsi
转运司判官	zhuanyunsipanguan
转运司主管文字	zhuanyunsizhuguanwenzi
转运司主管文字厅	zhuanyunsizhuguanwenziting
转运司主管帐司	zhuanyunsizhuguanzhangsi
伴饭都指挥使	banfanduzhihuishi
伴饭指挥使	banfanzhihuishi
步军都军头	bujundoujuntou
步军都虞侯	bujundouyuhou
步军都指挥使	bujunduzhihuishi
步军副都指挥使	bujunfuduzhihuishi
步军司虎翼军	bujunsihuyijun
点检閤门簿书	dianjiangemenbushu
点检閤门簿书公事	dianjiangemenbushugongshi
殿前都虞侯	dianqiandouyuhou
殿前都指挥使	dianqianduzhihuishi
殿前副都点检	dianqianfudoudianjian
殿前副都指挥使	dianqianfuduzhihuishi
殿前司兵案	dianqiansibingan
殿前司步军诸指挥	dianqiansibujunzhuzhihui
殿前司仓案	dianqiansicangan
殿前司差使磨勘案	dianqiansichaishimokanan
殿前司都点检	dianqiansidoudianjian
殿前司都虞侯	dianqiansidouyuhou
殿前司都虞侯司	dianqiansidouyuhousi
殿前司都指挥使	dianqiansiduzhihuishi
殿前司都指挥使司	dianqiansiduzhihuishisi
殿前司法司	dianqiansifasi
殿前司副都点检	dianqiansifudoudianjian
殿前司副都指挥使	dianqiansifuduzhihuishi
殿前司拱圣军	dianqiansigongshengjun
殿前司广勇军	dianqiansiguangyongjun
殿前司虎翼军	dianqiansihuyijun
殿前司开拆司	dianqiansikaichaisi
殿前司捧日天武四厢都指挥使	dianqiansipengritianwusixiangduzhihuishi
殿前司骑军诸指挥	dianqiansiqijunzhuzhihui
殿前司骑胄案	dianqiansiqizhouan
殿前司神勇军	dianqiansishenyongjun
殿前司胜捷军	dianqiansishengjiejun
殿前司推案	dianqiansituian
殿前司骁骑军	dianqiansixiaoqijun
殿前司右翼军	dianqiansiyouyijun
殿前司左翼军	dianqiansizuoyijun
殿前御龙诸直	dianqianyulongzhuzhi
殿前指挥使都虞侯	dianqianzhihuishidouyuhou
殿前指挥使右班	dianqianzhihuishiyouban
殿前指挥使左班	dianqianzhihuishizuoban
东京司备军	dongjingsibeijun
东上閤门副使	dongshanggemenfushi
东上閤门使	dongshanggemenshi
东上閤门司	dongshanggemensi
东西班殿侍院	dongxibandianshiyuan
干办皇城司	ganbanhuangchengsi
干办皇城司公事	ganbanhuangchengsigongshi
干办军头引见司	ganbanjuntouyinjiansi
干办御前忠佐军头引见司	ganbanyuqianzhongzuojuntouyinjiansi
閤门觉察舍人	gemenjuechasheren
閤门看班祗侯	gemenkanbanzhihou
閤门通事舍人	gementongshisheren
閤门宣事舍人	gemenxuanshisheren
閤门宣赞舍人	gemenxuanzansheren
勾当皇城司公事	goudanghuangchengsigongshi
勾当军头司	goudangjuntousi
勾当引见司	goudangyinjiansi
勾当御前忠佐军头司	goudangyuqianzhongzuojuntousi
勾当御前忠佐军头引见司	goudangyuqianzhongzuojuntouyinjiansi
勾当御前忠佐引见司	goudangyuqianzhongzuoyinjiansi
环卫中郎将	huanweizhonglangjiang
皇城司干办	huangchengsiganban
皇城司探事司	huangchengsitanshisi
健饭指挥使	jianfanzhihuishi
金吾上将军	jinwushangjiangjun
金吾卫大将军	jinwuweidajiangjun
军都指挥使	junduzhihuishi
钧容直第二班	junrongzhidierban
钧容直第一班	junrongzhidiyiban
军头司马步两直	juntousimabuliangzhi
军头司散员副兵马使	juntousisanyuanfubingmashi
军头司散指挥使	juntousisanzhihuishi
军头引见司	juntouyinjiansi
宽衣天武指挥	kuanyitianwuzhihui
六军仪仗司	liujunyizhangsi
龙神卫四厢都指挥使	longshenweisixiangduzhihuishi
龙卫上四军	longweishangsijun
龙卫神卫四厢都指挥使	longweishenweisixiangduzhihuishi
龙武二将军	longwuerjiangjun
马步都军头	mabudoujuntou
马步副都军头	mabufudoujuntou
马步军都军头	mabujundoujuntou
马步军副都军头	mabujunfudoujuntou
马步军龙卫神卫四厢都指挥使	mabujunlongweishenweisixiangduzhihuishi
马步军指挥使	mabujunzhihuishi
马军都军头	majundoujuntou
马军都虞侯	majundouyuhou
马军都指挥使	majunduzhihuishi
马军副都军头	majunfudoujuntou
马军副都指挥使	majunfuduzhihuishi
南宋三衙军职	nansongsanyajunzhi
内殿直右第二班	neidianzhiyoudierban
内殿直右第一班	neidianzhiyoudiyiban
内殿直左第二班	neidianzhizuodierban
内殿直左第一班	neidianzhizuodiyiban
内客省使厅事	neikeshengshitingshi
内外步军都军头	neiwaibujundoujuntou
内外马步军都军头	neiwaimabujundoujuntou
内外马步军副都军头	neiwaimabujunfudoujuntou
判四方馆事	pansifangguanshi
捧日上三军	pengrishangsanjun
捧日以下诸军指挥	pengriyixiazhujunzhihui
千牛卫将军	qianniuweijiangjun
亲卫府中郎	qinweifuzhonglang
权殿前司公事	quandianqiansigongshi
权主管殿前司公事	quanzhuguandianqiansigongshi
散都头右班	sandoutouyouban
散都头左班	sandoutouzuoban
散员右第二班	sanyuanyoudierban
散员右第一班	sanyuanyoudiyiban
散员左第二班	sanyuanzuodierban
散员左第一班	sanyuanzuodiyiban
散祗侯右班	sanzhihouyouban
散祗侯左班	sanzhihouzuoban
散指挥右第二班	sanzhihuiyoudierban
散指挥右第一班	sanzhihuiyoudiyiban
散指挥左第二班	sanzhihuizuodierban
散指挥左第一班	sanzhihuizuodiyiban
散直右第二班	sanzhiyoudierban
散直右第一班	sanzhiyoudiyiban
散直左第二班	sanzhizuodierban
散直左第一班	sanzhizuodiyiban
侍卫步军都虞侯	shiweibujundouyuhou
侍卫步军副都指挥使	shiweibujunfuduzhihuishi
侍卫步军司	shiweibujunsi
侍卫步军司都指挥使	shiweibujunsiduzhihuishi
侍卫步军指挥使	shiweibujunzhihuishi
侍卫都虞侯	shiweidouyuhou
侍卫马军司	shiweimajunsi
侍卫亲军步军	shiweiqinjunbujun
侍卫亲军都虞侯	shiweiqinjundouyuhou
侍卫亲军马军	shiweiqinjunmajun
侍卫亲军马军司	shiweiqinjunmajunsi
侍卫亲军马军行司	shiweiqinjunmajunxingsi
守阙入内院子	shouqueruneiyuanzi
四厢都指挥使	sixiangduzhihuishi
四直都虞侯	sizhidouyuhou
提点皇城司	tidianhuangchengsi
提点御前忠佐军头引见司	tidianyuqianzhongzuojuntouyinjiansi
提举皇城司	tijuhuangchengsi
天武以下诸军指挥	tianwuyixiazhujunzhihui
同知閤门事	tongzhigemenshi
同知閤门事同兼客省四方馆事	tongzhigemenshitongjiankeshengsifangguanshi
同主管閤门公事	tongzhuguangemengongshi
屯卫上将军	tunweishangjiangjun
五重禁卫军	wuzhongjinweijun
西上閤门副使	xishanggemenfushi
西上閤门使	xishanggemenshi
