孙权	sunquan
益州郡	yizhoujun
滇池	dianchi
俞元	yuyuan
胜休	shengxiu
建伶	jianling
连然	lianran
谷昌	guchang
昆泽	kunze
同劳	tonglao
同濑	tonglai
味县	weixian
牧靡	mumi
秦臧	qinzang
挵栋	nongdong
毋畷	wuzhui
律高	lvgao
贲古	bengu
永昌郡	yongchangjun
不韦	buwei
巂唐	xitang
比苏	bisu
柴榆	chaiyu
邪龙	xielong
云南	yunnan
哀牢	ailao
濮部部族	pububuzu
闽濮部	minpubu
武都郡	wudujun
下辨	xiabian
河道	hedao
故道	gudao
沮县	juxian
上禄	shanglu
武都道	wududao
羌道	qiangdao
陇西郡	longxijun
狄道	didao
安故	angu
大夏	daxia
枹罕	baohan
白石	baishi
河关	heguan
首阳	shouyang
鄣县	zhangxian
襄武	xiangwu
临洮	lintao
氐道	didao
汉阳郡	hanyangjun
冀县	jixian
西县	xixian
上郭	shangguo
陇县	longxian
略阳	lueyang
显亲	xianqin
阿阳	ayang
平襄	pingxiang
勇士	yongshi
安定郡	andingjun
临泾	linjing
阴盘	yinpan
鹑觚	chungu
乌氏	wushi
朝那	chaona
彭阳	pengyang
北地郡	beidijun
富平	fuping
廉县	lianxian
灵州	lingzhou
参辔	canpei
泥阳	niyang
弋居	yiju
武威郡	wuweijun
姑臧	guzang
休屠	xiutu
显美	xianmei
宣威	xuanwei
武威	wuwei
苍松	cangsong
张掖	zhangye
朴劓	puyi
媪围	aowei
颤阴	chanyin
祖厉	zuli
金城郡	jinchengjun
允吾	yunwu
枝阳	zhiyang
金城	jincheng
允街	yunjie
榆中	yuzhong
浩亹	haowei
令居	lingju
破羌	poqiang
安夷	anyi
临羌	linqiang
张掖郡	zhangyejun
触得	chude
昭武	zhaowu
屋兰	wulan
删丹	shandan
氐池	dichi
日勒	rile
番和	fanhe
骊肝	ligan
居延属国	juyanshuguo
居延	juyan
酒泉郡	jiuquanjun
禄福	lufu
安弥	anmi
会水	huishui
乐涫	leguan
表氏	biaoshi
玉门	yumen
延寿	yanshou
干齐	ganqi
沙头	shatou
敦煌郡	dunhuangjun
敦煌	dunhuang
龙勒	longle
效谷	xiaogu
广至	guangzhi
冥安	mingan
渊泉	yuanquan
上党部	shangdangbu
长子	zhangzi
泫氏	xuanshi
高都	gaodu
阳阿	yanga
际氏	jishi
潞县	luxian
壶关	huguan
屯留	tunliu
谷远	guyuan
涅县	niexian
沾县	zhanxian
太原郡	taiyuanjun
晋阳	jinyang
榆次	yuci
阳邑	yangyi
祁县	qixian
中都	zhongdu
邬县	wuxian
平陶	pingtao
大陵	daling
兹氏	zishi
狼孟	langmeng
盂县	yuxian
阳曲	yangqu
虑厩	lvjiu
京陵	jingling
西河郡	xihejun
离石	lishi
中阳	zhongyang
平周	pingzhou
蔺县	linxian
圜阳	huanyang
圜阴	huanyin
平定	pingding
广衍	guangyan
美稷	meiji
上郡	shangjun
肤施	fushi
龟兹	qiuci
白土	baitu
桢林	zhenlin
奢延	sheyan
高奴	gaonu
定阳	dingyang
雕阴	diaoyin
漆垣	qiyuan
雁门郡	yanmenjun
阴馆	yinguan
马邑	mayi
埒县	liexian
楼烦	loufan
广武	guangwu
原平	yuanping
卤城	lucheng
汪陶	wangtao
繁畤	fanchou
剧阳	juyang
崞县	guoxian
武州	wuzhou
平城	pingcheng
强阳	qiangyang
云中郡	yunzhongjun
云中	yunzhong
沙陵	shaling
箕陵	jiling
成乐	chengle
武进	wujin
原阳	yuanyang
定襄	dingxiang
咸阳	xianyang
武泉	wuquan
北舆	beiyu
定襄郡	dingxiangjun
善无	shanwu
中陵	zhongling
武成	wucheng
骆县	luoxian
桐过	tongguo
五原郡	wuyuanjun
九原	jiuyuan
河阴	heyin
临沃	linwo
五原	wuyuan
宜梁	yiliang
西安阳	xianyang
武曼	wuman
曼柏	manbai
朔方郡	shuofangjun
临戎	linrong
沃野	woye
广牧	guangmu
朔方	shuofang
大城	dacheng
三封	sanfeng
代郡	daijun
高柳	gaoliu
马城	macheng
道人	daoren
北平邑	beipingyi
班氏	banshi
东安阳	donganyang
桑干	sanggan
当城	dangcheng
代县	daixian
上谷郡	shanggujun
沮阳	juyang
居肃	jusu
涿鹿	zhuolu
潘县	panxian
碓瞀	duimao
下洛	xialuo
广宁	guangning
宁县	ningxian
涿郡	zhuojun
涿县	zhuoxian
良乡	liangxiang
方城	fangcheng
范阳	fanyang
遒国	qiuguo
故安	guan
北新城	beixincheng
广阳郡	guangyangjun
蓟县	jixian
广阳	guangyang
昌平	changping
军都	jundou
安次	anci
渔阳郡	yuyangjun
渔阳	yuyang
犷平	guangping
厩奚	jiuxi
安乐	anle
狐奴	hunu
平谷	pinggu
雍奴	yongnu
泉州	quanzhou
右北平郡	youbeipingjun
土垠	tuyin
徐无	xuwu
无终	wuzhong
俊靡	junmi
辽西郡	liaoxijun
阳乐	yangle
临渝	linyu
肥如	feiru
海阳	haiyang
令支	lingzhi
辽东郡	liaodongjun
襄平	xiangping
辽队	liaodui
新昌	xinchang
安市	anshi
汶县	wenxian
平郭	pingguo
沓氏	tashi
西安平	xianping
番汗	fanhan
望平	wangping
无虑	wulv
辽东属国	liaodongshuguo
昌黎	changli
扶黎	fuli
宾徒	bintu
徒河	tuhe
房县	fangxian
险渎	xiandu
玄菟郡	xuantujun
高句丽	gaogouli
候城	houcheng
西盖马	xigaima
辽阳	liaoyang
高显	gaoxian
乐浪郡	lelangjun
朝鲜	chaoxian
占蝉	zhanchan
遂城	suicheng
让邯	ranghan
浑弥	hunmi
增地	zengdi
骊望	liwang
镂方	loufang
乐都	ledu
灞水	bashui
屯有	tunyou
含资	hanzi
提奚	tixi
带方	daifang
海冥	haiming
昭明	zhaoming
列口	liekou
长岑	changcen
南海郡	nanhaijun
番禺	panyu
增城	zengcheng
博罗	boluo
龙川	longchuan
揭阳	jieyang
四会	sihui
中宿	zhongsu
苍梧郡	cangwujun
广信	guangxin
端溪	duanxi
高要	gaoyao
猛陵	mengling
封阳	fengyang
临贺	linhe
冯乘	fengcheng
谢沐	xiemu
荔浦	lipu
合浦郡	hepujun
合浦	hepu
高凉	gaoliang
临允	linyun
徐闻	xuwen
郁林郡	yulinjun
布山	bushan
中溜	zhongliu
桂林	guilin
潭中	tanzhong
定周	dingzhou
领方	lingfang
安广	anguang
增食	zengshi
临尘	linchen
广郁	guangyu
交趾郡	jiaozhijun
龙编	longbian
北带	beidai
稽徐	jixu
安定	anding
朱戟	zhuji
梅海	meihai
西于	xiyu
封溪	fengxi
娄伶	louling
苟漏	goulou
嬴队	yingdui
九真郡	jiuzhenjun
胥浦	xupu
居风	jufeng
无功	wugong
无编	wubian
咸欢	xianhuan
日南郡	rinanjun
西卷	xijuan
卢容	lurong
朱吾	zhuwu
比景	bijing
朱崖洲	zhuyazhou
西域都护	xiyuduhu
延城	yancheng
尉黎	weili
危须	weixu
交河城	jiaohecheng
务涂谷	wutugu
欢泥	huanni
且末	qiemo
精绝	jingjue
宁弥	ningmi
子合	zihe
莎车	shache
疏勒	shule
温宿	wensu
赤谷城	chigucheng
贵山城	guishancheng
戊部侯城	wubuhoucheng
鲜卑	xianbei
大幕	damu
匈奴	xiongnu
坚昆	jiankun
呼揭	hujie
夫余	fuyu
挹娄	yilou
沃沮	woju
唐旄	tangmao
发羌	faqiang
烧羌	shaoqiang
白马羌	baimaqiang
蝥牛羌	maoniuqiang
大牂	dazang
马羌	maqiang
麓牛羌	luniuqiang
大烊等	dayangdeng
乌孙族	wusunzu
讨伐董卓	taofadongzhuo
刘备取蜀	liubeiqushu
攻取汉中	gongquhanzhong
荆州混战	jingzhouhunzhan
夷陵之战	yilingzhizhan
南中平叛	nanzhongpingpan
七擒七纵	qiqinqizong
孔明北伐	kongmingbeifa
魏灭蜀汉	weimieshuhan
晋灭东吴	jinmiedongwu
丈八蛇矛	zhangbashemao
龙胆枪	longdanqiang
梨花枪	lihuaqiang
金虎枪	jinhuqiang
万石弓	wanshigong
青鬃马	qingzongma
方天画戟	fangtianhuaji
三尖刀	sanjiandao
大宛马	dawanma
绣花大锤	xiuhuadachui
双铁戟	shuangtieji
白羽扇	baiyushan
青缸剑	qinggangjian
古锭刀	gudingdao
花鬃马	huazongma
神刀	shendao
青犊	qingdu
漏景	loujing
百辟刀	baipidao
含章	hanzhang
灵宝	lingbao
龙鳞	longlin
飞景	feijing
流采	liucai
华铤	huating
孟德剑	mengdejian
杨修剑	yangxiujian
白虹	baihong
紫电	zidian
辟邪	bixie
流星	liuxing
青冥	qingming
百里	baili
千古剑	qiangujian
赤兔	chitu
绝影	jueying
白鹤	baihe
紫马辛	zimaxin
惊帆	jingfan
卧龙	wolong
凤雏	fengchu
小霸王	xiaobawang
虎痴	huchi
锦马超	jinmachao
锦帆贼	jinfanzei
皇叔	huangshu
关二爷	guanerye
三姓家奴	sanxingjianu
环眼贼	huanyanzei
农业	nongye
商业	shangye
技术	jishu
改修	gaixiu
治安	zhian
征兵	zhengbing
训练	xunlian
突击	tuji
骑兵	qibing
火矢	huoshi
弓兵	gongbing
一齐	yiqi
步兵	bubing
镇静	zhenjing
鼓舞	guwu
奇袭	qixi
隐密	yinmi
同讨	tongtao
足止	zuzhi
诱引	youyin
天文	tianwen
地理	dili
石阵	shizhen
回复	huifu
气合	qihe
白马寺	baimasi
始皇陵	shihuangling
桃园	taoyuan
孔庙	kongmiao
玉泉寺	yuquansi
黄鹤楼	huanghelou
甘露寺	ganlusi
气炎	qiyan
受返	shoufan
弹返	danfan
三段	sanduan
螺旋	luoxuan
威压	weiya
抗辩	kangbian
反论	fanlun
扬足	yangzu
论破	lunpo
挑拨	tiaobo
面骂	mianma
提督	tidu
间谍	jiandie
酒豪	jiuhao
医者	yizhe
仙人	xianren
割须断袍	gexuduanpao
望梅止渴	wangmeizhike
三顾茅庐	sangumaolu
鞭打督邮	biandaduyou
火烧新野	huoshaoxinye
草船借箭	caochuanjiejian
借东风	jiedongfeng
六出祁山	liuchuqishan
空城计	kongchengji
七擒孟获	qiqinmenghuo
失街亭	shijieting
斩马谡	zhanmasu
三气周瑜	sanqizhouyu
水淹七军	shuiyanqijun
单刀赴会	dandaofuhui
赤壁大战	chibidazhan
蒋干盗书	jianggandaoshu
献连环计	xianlianhuanji
孟德献刀	mengdexiandao
董卓进京	dongzhuojinjing
挑灯夜战	tiaodengyezhan
骂死王朗	masiwanglang
隆中对	longzhongdui
出师表	chushibiao
虎豹骑	hubaoqi
南蛮兵	nanmanbing
三曹	sancao
魏书	weishu
吴书	wushu
蜀书	shushu
英杰	yingjie
奇才	qicai
高俊	gaojun
奇士	qishi
令士	lingshi
人杰	renjie
美士	meishi
才士	caishi
虎臣	huchen
良臣	liangchen
良将	liangjiang
五子良将	wuziliangjiang
五虎上将	wuhushangjiang
刘关张	liuguanzhang
方技传	fangjichuan
刘二牧传	liuermuchuan
先主传	xianzhuchuan
后主传	houzhuchuan
诸葛亮传	zhugeliangchuan
吴主传	wuzhuchuan
三嗣主传	sansizhuchuan
妃嫔转	feipinzhuan
宗室传	zongshichuan
陆逊传	luxunchuan
献帝	xiandi
初平	chuping
兴平	xingping
建安	jianan
延康	yankang
长沙桓王	changshahuanwang
魏明帝	weimingdi
太和	taihe
青龙	qinglong
景初	jingchu
齐王	qiwang
正始	zhengshi
嘉平	jiaping
高贵乡公	gaoguixianggong
正元	zhengyuan
甘露	ganlu
元帝	yuandi
陈留王	chenliuwang
景元	jingyuan
咸熙	xianxi
昭烈帝	zhaoliedi
蜀后主	shuhouzhu
安乐公	anlegong
建兴	jianxing
延熙	yanxi
景耀	jingyao
炎兴	yanxing
黄武	huangwu
黄龙	huanglong
嘉禾	jiahe
赤乌	chiwu
太元	taiyuan
神凤	shenfeng
会稽王	kuaijiwang
五凤	wufeng
太平	taiping
吴景帝	wujingdi
乌程侯	wuchenghou
归命侯	guiminghou
元兴	yuanxing
宝鼎	baoding
建衡	jianheng
凤凰	fenghuang
天册	tiance
天玺	tianxi
天纪	tianji
西晋武帝	xijinwudi
泰始	taishi
咸宁	xianning
太康	taikang
太熙	taixi
木铜铃	mutongling
薤叶芸香	xieyeyunxiang
灵山妙药	lingshanmiaoyao
北斗天浆	beidoutianjiang
雪山灵芝	xueshanlingzhi
灵芝	lingzhi
人参	renshen
长白人参	changbairenshen
琼浆玉液	qiongjiangyuye
玉屑金丹	yuxiejindan
黑麒麟	heiqilin
火麒麟	huoqilin
白玉麒麟	baiyuqilin
天马	tianma
龙马	longma
四不像	sibuxiang
穷奇	qiongqi
飞镰	feilian
追风白凰	zhuifengbaihuang
赤兔马	chituma
龙炮兵令	longpaobingling
黄帝剑	huangdijian
炼狱魔刀	lianyumodao
苍天帝剑	cangtiandijian
五光宝扇	wuguangbaoshan
通天战马	tongtianzhanma
炼狱战马	lianyuzhanma
金甲雄狮	jinjiaxiongshi
干将莫邪	ganjiangmoye|ganjiangmoxie
草剃	caoti
冰凰炎凤	binghuangyanfeng
巨阙剑	juquejian
魑魅魍魉	chimeiwangliang
玩具槌	wanjuchui
朱雀扇	zhuqueshan
玄冥法扇	xuanmingfashan
金羽扇	jinyushan
雷公鞭	leigongbian
虎贲大刀	hubendadao
日月双锤	riyueshuangchui
凤凰枪	fenghuangqiang
追魂弓	zhuihungong
爆炎弓	baoyangong
骷髅马	kulouma
时空宝珠	shikongbaozhu
幽冥军旗	youmingjunqi
妖狐裘	yaohuqiu
木尸偶	mushiou
虎王牙炼	huwangyalian
火鬼葫芦	huoguihulu
山岳骑	shanyueqi
连刺	lianci
斩铁	zhantie
烈风	liefeng
龙卷	longjuan
迷魂	mihun
流萤	liuying
拖刀	tuodao
挑斩	tiaozhan
一击	yiji
旋樱	xuanying
豪烈	haolie
暴雨	baoyu
贯日	guanri
血翼	xueyi
电光	dianguang
大喝	dahe
乱舞	luanwu
灭绝	miejue
霸者之威	bazhezhiwei
王者之风	wangzhezhifeng
皇者之路	huangzhezhilu
饕餮凶颅	taotiexionglu
南郑侯	nanzhenghou
蚩尤之首	chiyouzhishou
传国玉玺	chuanguoyuxi
西乡侯	xixianghou
顺平侯	shunpinghou
威侯	weihou
关内侯	guanneihou
南蛮霸王	nanmanbawang
火神娘娘	huoshenniangniang
孱亭侯	chantinghou
江陵侯	jianglinghou
孝侯	xiaohou
东吴郡主	dongwujunzhu
东吴娘娘	dongwuniangniang
东吴公主	dongwugongzhu
高安乡侯	gaoanxianghou
憨侯	hanhou
陈王	chenwang
郑侯	zhenghou
牟乡侯	mouxianghou
阳平侯	yangpinghou
晋阳侯	jinyanghou
飞将	feijiang
贪狼天将	tanlangtianjiang
天公将军	tiangongjiangjun
地公将军	digongjiangjun
人公将军	rengongjiangjun
大贤良师	daxianliangshi
绝代佳人	juedaijiaren
祸国大师	huoguodashi
医圣	yisheng
卑弥呼	beimihu
青龙逆鳞	qinglongnilin
朱雀炎羽	zhuqueyanyu
玄武灵壳	xuanwulingke
麒麟金角	qilinjinjiao
白虎银牙	baihuyinya
逃至	taozhi
编为	bianwei
之势	zhishi
屯田续资	tuntianxuzi
军主力	junzhuli
又利用	youliyong
二子	erzi
的矛盾	demaodun
袁氏	yuanshi
四州之地	sizhouzhidi
统一了	tongyile
北方大部	beifangdabu
曹军	caojun
侵扰北方	qinraobeifang
曹军南下	caojunnanxia
之子	zhizi
的刘备	deliubei
鲁肃受	lusushou
之命	zhiming
与备	yubei
诸葛亮又	zhugeliangyou
受备之命	shoubeizhiming
与孙权	yusunquan
刘联军	liulianjun
曹军水师	caojunshuishi
于赤壁	yuchibi
迫使曹军	poshicaojun
退回中原	tuihuizhongyuan
促使形成	cushixingcheng
北归以后	beiguiyihou
用兵于	yongbingyu
统一范围	tongyifanwei
整个北方	zhenggebeifang
进入益州	jinruyizhou
占据了	zhanjule
的地盘	dedipan
备从	beicong
夺得汉中	duodehanzhong
关羽也	guanyuye
向曹军	xiangcaojun
发起进攻	faqijingong
但是孙权	danshisunquan
遣军	qianjun
隔三峡	gesanxia
与刘备	yuliubei
汉军	hanjun
出峡	chuxia
与吴军	yuwujun
相持于	xiangchiyu
共抗曹魏	gongkangcaowei
南北之间	nanbeizhijian
虽然还	suiranhai
常有战事	changyouzhanshi
还比较大	haibijiaoda
维持了	weichile
三国志	sanguozhi
晋代	jindai
陈寿	chenshou
编写的	bianxiede
时期的	shiqide
黄初元年	huangchuyuannian
晋武帝	jinwudi
太康元年	taikangyuannian
六十年	liushinian
的历史	delishi
三十卷	sanshijuan
十五卷	shiwujuan
二十卷	ershijuan
陈寿是	chenshoushi
晋朝朝臣	jinchaochaochen
晋承魏	jinchengwei
而得天下	erdetianxia
尊魏	zunwei
为正统	weizhengtong
为曹操	weicaocao
写了本纪	xielebenji
则记	zeji
刘备为	liubeiwei
记孙权称	jisunquancheng
均只有传	junzhiyouchuan
没有纪	meiyouji
位列	weilie
中国古代	zhongguogudai
二十四史	ershisishi
司马迁	simaqian
汉书	hanshu
班固	bangu
后汉书	houhanshu
范晔	fanye
司马彪	simabiao
并称	bingcheng
前四史	qiansishi
史学巨著	shixuejuzhu
文学巨著	wenxuejuzhu
陈寿在	chenshouzai
尊重史实	zunzhongshishi
的基础上	dejichushang
东汉末年	donghanmonian
动乱时期	dongluanshiqi
的结束	dejieshu
三国时代	sanguoshidai
灵帝驾崩	lingdijiabeng
被立为	beiliwei
执政的	zhizhengde
入洛阳	ruluoyang
废黜少帝	feichushaodi
地方牧守	difangmushou
的内战	deneizhan
东汉三公	donghansangong
关东州郡	guandongzhoujun
挟持献帝	xiechixiandi
扬州的	yangzhoude
士燮	shixie
置祭酒	zhijijiu
割据者	gejuzhe
刘备军	liubeijun
之父	zhifu
字子上	zizishang
字子尚	zizishang
河内温人	heneiwenren
次子	cizi
景初二年	jingchuernian
新城乡侯	xinchengxianghou
正始初	zhengshichu
大将军	dajiangjun
专揽国政	zhuanlanguozheng
甘露五年	ganluwunian
魏帝曹髦	weidicaomao
景元四年	jingyuansinian
三路伐蜀	sanlufashu
灭之	miezhi
自称晋公	zichengjingong
后加晋王	houjiajinwang
咸熙二年	xianxiernian
昭死数月	zhaosishuyue
子司马炎	zisimayan
代魏称帝	daiweichengdi
建晋朝	jianjinchao
追尊	zhuizun
为文帝	weiwendi
庙号太祖	miaohaotaizu
字孟德	zimengde
小名阿瞒	xiaomingaman
沛国谯县	peiguoqiaoxian
官爵至	guanjuezhi
冀州牧	jizhoumu
魏国的	weiguode
缔造者	dizaozhe
奠基者	dianjizhe
政治军事	zhengzhijunshi
消灭了	xiaomiele
北方的	beifangde
割据势力	gejushili
中国北方	zhongguobeifang
并实行	bingshixing
经济生产	jingjishengchan
社会秩序	shehuizhixu
奠定了	diandingle
曹魏立国	caoweiliguo
的基础	dejichu
文学方面	wenxuefangmian
曹操父子	caocaofuzi
的推动下	detuidongxia
形成了	xingchengle
曹丕	caopi|caoa
为代表的	weidaibiaode
建安文学	jiananwenxue
建安风骨	jiananfenggu
文学史	wenxueshi
留下了	liuxiale
曹丕代汉	caopidaihan
被尊称为	beizunchengwei
魏太祖	weitaizu
字伯符	zibofu
吴郡富春	wujunfuchun
孙坚之子	sunjianzhizi
孙权长兄	sunquanzhangxiong
割据江东	gejujiangdong
汉末群雄	hanmoqunxiong
追谥	zhuishi
字仲达	zizhongda
三国时期	sanguoshiqi
西晋王朝	xijinwangchao
魏国丞相	weiguochengxiang
封宣王	fengxuanwang
追尊为	zhuizunwei
晋宣帝	jinxuandi
家族背景	jiazubeijing
重黎	zhongli
夏官	xiaguan
祝融	zhurong
司马仰	simayang
赵将	zhaojiang
伐秦	faqin
秦亡	qinwang
立为	liwei
殷王	yinwang
都河内	douhenei
东汉安帝	donghanandi
字叔平	zishuping
司马钧	simajun
豫章太守	yuzhangtaishou
字公度	zigongdu
颍川太守	yingchuantaishou
司马俊	simajun
字元异	ziyuanyi
字建公	zijiangong
的父亲	defuqin
晋书	jinshu
宣帝纪	xuandiji
本诸生家	benzhushengjia
传礼来久	chuanlilaijiu
礼志	lizhi
曹魏	caowei
孙吴	sunwu
三个国家	sangeguojia
汉末三国	hanmosanguo
经济发展	jingjifazhan
战争需求	zhanzhengxuqiu
东汉献帝	donghanxiandi
建国曹魏	jianguocaowei
东汉灭亡	donghanmiewang
黄巾之乱	huangjinzhiluan
州牧制度	zhoumuzhidu
地方割据	difanggeju
天下分裂	tianxiafenlie
离开洛阳	likailuoyang
东汉朝廷	donghanchaoting
已经崩溃	yijingbengkui
形成雏型	xingchengchuxing
政权实体	zhengquanshiti
群雄割据	qunxionggeju
三国雏型	sanguochuxing
魏代汉	weidaihan
罗贯中	luoguanzhong
历史小说	lishixiaoshuo
三国演义	sanguoyanyi
裴松	peisong
三国题材	sanguoticai
斗转星斜	douzhuanxingxie
字奉先	zifengxian
领徐州牧	lingxuzhoumu
爵位	juewei
侯爵	houjue
温侯	wenhou
正妻	zhengqi
次妻	ciqi
貂蝉	diaochan
四大美女	sidameinv
坐骑	zuoqi|zuoji
辕门射戟	yuanmensheji
被绞死	beijiaosi
白门楼	baimenlou
宁教我负天下人	ningjiaowofutianxiaren
休教天下人负我	xiujiaotianxiarenfuwo
中郎将	zhonglangjiang
阿会喃	ahuinan
俄何焼戈	eheshaoge
鄂焕	ehuan
甘宁	ganning
龚都	gongdu|gongdou
巩志	gongzhi
关定	guanding
管亥	guanhai
管辂	guanlu
关平	guanping
关索	guansuo
关统	guantong
关兴	guanxing
关彝	guanyi
关羽	guanyu|guana
郭淮	guohuai
郭焏	guoji
郭嘉	guojia|guoa
郭石	guoshi
郭図	guotu
郭奕	guoyi
郭攸之	guoyouzhi
韩当	handang
韩馥	hanfu
韩浩	hanhao
韩嵩	hansong
韩遂	hansui
韩暹	hanxian
韩玄	hanxuan
韩忠	hanzhong
郝昭	haozhao|haoa
何进	hejin
贺齐	heqi
何太后	hetaihou
何晏	heyan
何仪	heyi
华核	huahe
华佗	huatuo
华歆	huaxin
华雄	huaxiong
桓范	huanfan
霍峻	huojun
霍弋	huoyi
纪灵	jiling
贾充	jiachong
贾范	jiafan
贾逵	jiakui
贾余	jiayu
简雍	jianyong
姜维	jiangwei|jianga
金环三结	jinhuansanjie
金旋	jinxuan
阚沢	kanze
轲比能	kebineng
蒯良	kuailiang
蒯越	kuaiyue
乐进	lejin
楽林	lelin
母丘倹	muqiujian
牛辅	niufu
牛金	niujin
乔国老	qiaoguolao
桥瑁	qiaomao
丘力居	qiuliju
区星	quxing
麹义	quyi
王粲	wangcan
王昶	wangchang
王甫	wangfu
王浑	wanghun
王基	wangji
王経	wangjing
王浚	wangjun
王伉	wangkang
王匡	wangkuang
王朗	wanglang|wanga
王累	wanglei
王平	wangping
王戎	wangrong
王双	wangshuang
王威	wangwei
王欣	wangxin
王修	wangxiu
王允	wangyun
王忠	wangzhong
魏延	weiyan
魏攸	weiyou
韦昭	weizhao
郄正	xizheng
戏志才	xizhicai
夏侯覇	xiahouba
夏侯徳	xiahoude
夏侯惇	xiahoudun
夏侯恩	xiahouen
夏侯和	xiahouhe
夏侯恵	xiahouhui
夏侯楙	xiahoumao
夏侯尚	xiahoushang
夏侯威	xiahouwei
夏侯玄	xiahouxuan
夏侯渊	xiahouyuan
献帝	xiandi
刑道栄	xingdaorong
许贡	xugong
许靖	xujing
许劭	xushao
许仪	xuyi
许攸	xuyou
许诸	xuzhu
雅丹	yadan
严纲	yangang
颜良	yanliang
阎圃	yanpu|yana
阎柔	yanrou
阎象	yanxiang
严颜	yanyan
阎宇	yanyu
严政	yanzheng
伊籍	yiji
异民族	yiminzu
尹大目	yindamu
尹黙	yinmo
尹赏	yinshang
虞翻	yufan
于夫罗	yufuluo
于吉	yuji
于禁	yujin
于诠	yuquan
袁尚	yuanshang
袁绍	yuanshao
袁术	yuanshu
袁谭	yuantan
袁煕	yuanxi
袁耀	yuanyao
袁遗	yuanyi
袁胤	yuanyin
越吉	yueji
云玲	yunling
安世	anshi
白兔	baitu
本初	benchu
宾伯	binbo
邠卿	binqing
伯安	boan
伯达	boda
伯符	bofu
伯恭	bogong
伯圭	bogui
伯海	bohai
伯和	bohe
伯济	boji
伯喈	bojie
伯苗	bomiao
伯宁	boning
伯歧	boqi
伯求	boqiu
伯仁	boren
伯绪	boxu
伯言	boyan
伯业	boye
伯奕	boyi
伯益	boyi
伯舆	boyu
伯玉	boyu
伯瑜	boyu
伯约	boyue
长倩	changqian
长文	changwen
承先	chengxian
承渊	chengyuan
处道	chudao
次曾	ciceng
慈明	ciming
次阳	ciyang
大初	dachu
大明	daming
大荣	darong
德昂	deang
德操	decao
德达	deda
德度	dedu
德高	degao
德谋	demou
德容	derong
德枢	deshu
德伟	dewei
德信	dexin
德艳	deyan
德瑜	deyu
德祖	dezu
定公	dinggong
奉先	fengxian
奉孝	fengxiao
根矩	genju
公曾	gongceng
公达	gongda
公覆	gongfu
公衡	gongheng
公祜	gonghu
公纪	gongji
公绩	gongji
公节	gongjie
公瑾	gongjin
公礼	gongli
公刘	gongliu
公路	gonglu
公闾	gonglv
公明	gongming
公祺	gongqi
公仁	gongren
公山	gongshan
公寿	gongshou
公嗣	gongsi
恭嗣	gongsi
公台	gongtai
公悌	gongti
公伟	gongwei
公威	gongwei
恭武	gongwu
龚袭	gongxi
公孝	gongxiao
公休	gongxiu
公绪	gongxu
公琰	gongyan
公业	gongye
公奕	gongyi
公昭	gongzhao
公至	gongzhi
公祖	gongzu
恭祖	gongzu
国辅	guofu
国让	guorang
国山	guoshan
汉升	hansheng
鸿豫	hongyu
惠恕	huishu
季弼	jibi
机伯	jibo
季才	jicai
季常	jichang
季珪	jigui
季宁	jining
季平	jiping
季权	jiquan
季然	jiran
季行	jixing
季休	jixiu
季彦	jiyan
季玉	jiyu
季重	jizhong
季佐	jizuo
建公	jiangong
建阳	jianyang
敬才	jingcai
景春	jingchun
敬达	jingda
敬风	jingfeng
敬礼	jingli
景明	jingming
景倩	jingqian
景升	jingsheng
景兴	jingxing
敬仲	jingzhong
巨达	juda
巨高	jugao
巨先	juxian
巨源	juyuan
君郎	junlang
君荣	junrong
君嗣	junsi
亢宗	kangzong
孔才	kongcai
孔明	kongming
孔硕	kongshuo
孔休	kongxiu
孔璋	kongzhang
兰卿	lanqing
兰石	lanshi
梁道	liangdao
林叔	linshu
令明	lingming
令先	lingxian
令元	lingyuan
曼才	mancai
曼成	mancheng
茂先	maoxian
孟德	mengde
孟溥	mengpu
孟起	mengqi
孟玉	mengyu
孟卓	mengzhuo
妙才	miaocai
彭祖	pengzu
平叔	pingshu
钦仲	qinzhong
仁笃	rendu
睿冲	ruichong
申甫	shenfu
升济	shengji
士季	shiji
世议	shiyi
世元	shiyuan
始宗	shizong
寿成	shoucheng
叔弼	shubi
叔明	shuming
叔盘	shupan
叔嗣	shusi
叔武	shuwu
叔治	shuzhi
叔子	shuzi
思然	siran
思远	siyuan
遂高	suigao
孙德	sunde
泰雍	taiyong
土元	tuyuan
土载	tuzai
土治	tuzhi
土宗	tuzong
伟度	weidu
威公	weigong
威硕	weishuo
伟台	weitai
伟章	weizhang
文达	wenda
文德	wende
文和	wenhe
文衡	wenheng
文惠	wenhui
文姬	wenji
文节	wenjie
文进	wenjin
文举	wenju
文礼	wenli
文明	wenming
文谦	wenqian
文然	wenran
文若	wenruo
文舒	wenshu
文台	wentai
文蔚	wenwei
文伟	wenwei
文先	wenxian
文向	wenxiang
文休	wenxiu
文选	wenxuan
文仪	wenyi
文约	wenyue
文则	wenze
翁叔	wengshu
显甫	xianfu
宪和	xianhe
显思	xiansi
显奕	xianyi
孝起	xiaoqi
孝先	xiaoxian
孝裕	xiaoyu
孝直	xiaozhi
兴霸	xingba
休先	xiuxian
休元	xiuyuan
休渊	xiuyuan
休昭	xiuzhao
休徵	xiuzheng
玄伯	xuanbo
玄冲	xuanchong
玄德	xuande
