孙权	sunquan
土安	tuan
王美人	wangmeiren
王允	wangyun
王匡	wangkuang
王方	wangfang
王颀	wangqi
王昌	wangchang
王邑	wangyi
王立	wangli
王朗	wanglang|wanga
王则	wangze
王楷	wangkai
王子服	wangzifu
王忠	wangzhong
王植	wangzhi
王修	wangxiu
王琰	wangyan
王威	wangwei
王粲	wangcan
王累	wanglei
王基	wangji
王必	wangbi
王平	wangping
王甫	wangfu
王谋	wangmou
王双	wangshuang
王伉	wangkang
王连	wanglian
王肃	wangsu
王建	wangjian
王观	wangguan
王夫人	wangfuren
王昶	wangchang
王韬	wangtao
王经	wangjing
王敦	wangdun
王真	wangzhen
王含	wanghan
王沈	wangshen
王业	wangye
王瓘	wangguan
王买	wangmai
王祥	wangxiang
王氏	wangshi
王戎	wangrong
汪昭	wangzhao
吴匡	wukuang
吴景	wujing
吴敦	wudun
吴子兰	wuzilan
吴硕	wushuo
吴臣	wuchen
吴懿	wuyi
吴夫人	wufuren
吴兰	wulan
吴班	wuban
吴质	wuzhi
吴氏	wushi
吴押狱	wuyayu
吴妻	wuqi
吴纲	wugang
吴国太	wuguotai
伍琼	wuqiong
伍孚	wufu
伍习	wuxi
伍延	wuyan
吾彦	wuyan
吾粲	wucan
卫弘	weihong
卫凯	weikai
卫仲道	weizhongdao
卫演	weiyan
卫瓘	weiguan
文丑	wenchou
文聘	wenpin
文钦	wenqin
文淑	wenshu
文虎	wenhu
魏续	weixu
魏延	weiyan
魏邈	weimiao
魏平	weiping
韦康	weikang
韦晃	weihuang
万政	wanzheng
万彧	wanyu
舞阳君	wuyangjun
武安国	wuanguo
乌桓触	wuhuanchu
兀突骨	wutugu
毋丘俭	wuqiujian
毋丘甸	wuqiudian
小乔	xiaoqiao|xiaoa
夏侯敦	xiahoudun
夏侯渊	xiahouyuan
夏侯兰	xiahoulan
夏侯恩	xiahouen
夏侯杰	xiahoujie
夏侯尚	xiahoushang
夏侯德	xiahoude
夏侯存	xiahoucun
夏侯楙	xiahoumao
夏侯霸	xiahouba
夏侯威	xiahouwei
夏侯惠	xiahouhui
夏侯和	xiahouhe
夏侯玄	xiahouxuan
夏侯咸	xiahouxian
夏恽	xiayun
夏恂	xiaxun
许劭	xushao
许昌	xuchang
许韶	xushao
许攸	xuyou
许褚	xuchu|xuzhu
许汜	xusi
许贡	xugong
许贡家客	xugongjiake
许靖	xujing
许芝	xuzhi
许慈	xuci
许允	xuyun
许晏	xuyan
许仪	xuyi
徐荣	xurong
徐晃	xuhuang
徐康	xukang
徐母	xumu
徐盛	xusheng
徐氏	xushi
徐商	xushang
徐夫人	xufuren
徐质	xuzhi
荀攸	xunyou|xuna
荀爽	xunshuang
荀谌	xunchen|xunshen
荀彧	xunyu
荀绲	xungun
荀正	xunzheng
荀恽	xunyun
荀勖	xunxu
荀恺	xunkai
辛评	xinping
辛明	xinming
辛毗	xinpi
辛敞	xinchang
辛宪英	xinxianying
薛兰	xuelan
薛礼	xueli
薛综	xuezong
薛悌	xueti
薛则	xueze
薛乔	xueqiao
薛莹	xueying
向朗	xianglang
向举	xiangju
向宠	xiangchong
刑道荣	xingdaorong
刑贞	xingzhen
郗虑	xilv
奚泥	xini
却正	quezheng
谢旌	xiejing
谢雄	xiexiong
严政	yanzheng
严纲	yangang
严白虎	yanbaihu
严舆	yanyu
严氏	yanshi
严畯	yanjun
严颜	yanyan
阎象	yanxiang
阎圃	yanpu|yana
阎晏	yanyan
阎芝	yanzhi
阎宇	yanyu
颜良	yanliang
晏明	yanming
袁逢	yuanfeng
袁隗	yuanwei
袁遗	yuanyi
袁胤	yuanyin
袁谭	yuantan
袁熙	yuanxi
袁尚	yuanshang
杨琦	yangqi
杨密	yangmi
杨奉	yangfeng
杨丑	yangchou
杨龄	yangling
杨秋	yangqiu
杨阜	yangfu
杨修	yangxiu|yanga
杨怀	yanghuai
杨氏	yangshi
杨柏	yangbai
杨松	yangsong
杨洪	yanghong
杨昂	yangang
杨任	yangren
杨锋	yangfeng
杨仪	yangyi
杨陵	yangling
杨暨	yangji
杨顒	yangyong|yangyu
杨祚	yangzuo
杨综	yangzong
杨欣	yangxin
杨济	yangji
阳群	yangqun
于禁	yujin
于糜	yumi
于吉	yuji
于诠	yuquan
俞氏	yushi
俞涉	yushe
虞翻	yufan
虞松	yusong
乐进	lejin
乐就	lejiu
尹楷	yinkai
尹奉	yinfeng
尹默	yinmo
尹赏	yinshang
尹大目	yindamu
云英	yunying
应劭	yingshao
阴夔	yinkui
殷馗	yinkui
殷纯	yinchun
爰邵	yuanshao
伊籍	yiji
雍闿	yongkai
雅丹	yadan
越吉	yueji
羊祜	yanghu
诸葛瑾	zhugejin|zhugea
诸葛珪	zhugegui
诸葛玄	zhugexuan
诸葛均	zhugejun
诸葛原	zhugeyuan
诸葛虔	zhugeqian
诸葛恪	zhugeke
诸葛瞻	zhugezhan
诸葛诞	zhugedan
诸葛靓	zhugeliang
诸葛绪	zhugexu
诸葛尚	zhugeshang
张让	zhangrang
张角	zhangjiao
张梁	zhangliang
张宝	zhangbao
张飞	zhangfei
张世平	zhangshiping
张均	zhangjun
张举	zhangju
张纯	zhangchun
张济	zhangji
张邈	zhangmiao
张超	zhangchao
张杨	zhangyang
张俭	zhangjian
张虎	zhanghu
张温	zhangwen
张闿	zhangkai
张燕	zhangyan
张昭	zhangzhao|zhanga
张纮	zhanghong
张英	zhangying
张勋	zhangxun
张绣	zhangxiu
张陵	zhangling
张衡	zhangheng
张先	zhangxian
张合	zhanghe
张津	zhangjin
张南	zhangnan
张武	zhangwu
张允	zhangyun
张横	zhangheng
张既	zhangji
张卫	zhangwei
张松	zhangsong|zhanga
张任	zhangren
张肃	zhangsu
张翼	zhangyi
张著	zhangzhu
张音	zhangyin
张爽	zhangshuang
张裔	zhangyi
张达	zhangda
张苞	zhangbao
张绍	zhangshao
张氏	zhangshi
张嶷	zhangyi
张韬	zhangtao
张普	zhangpu
张休	zhangxiu
张承	zhangcheng
张球	zhangqiu
张茂	zhangmao
张弥	zhangmi
张当	zhangdang
张特	zhangte
张约	zhangyue
张缉	zhangji
张皇后	zhanghuanghou
张明	zhangming
张布	zhangbu
张遵	zhangzun
张峻	zhangjun
张节	zhangjie
张华	zhanghua
张悌	zhangti
张尚	zhangshang
张象	zhangxiang
张辽	zhangliao
赵忠	zhaozhong
赵弘	zhaohong
赵萌	zhaomeng
赵岑	zhaocen
赵云	zhaoyun|zhaoa
赵岐	zhaoqi
赵彦	zhaoyan
赵睿	zhaorui
赵范	zhaofan
赵韪	zhaowei
赵衢	zhaoqu
赵昂	zhaoang
赵月	zhaoyue
赵颜	zhaoyan
赵祚	zhaozuo
赵融	zhaorong
赵咨	zhaozi
赵统	zhaotong
赵广	zhaoguang
赵直	zhaozhi
朱治	zhuzhi
朱灵	zhuling
朱桓	zhuhuan
朱光	zhuguang
朱然	zhuran
朱褒	zhubao
朱赞	zhuzan
朱恩	zhuen
朱芳	zhufang
朱异	zhuyi
朱太后	zhutaihou
周毖	zhoubi
周奂	zhouhuan
周瑜	zhouyu|zhoua
周尚	zhoushang
周泰	zhoutai
周昕	zhouxin
周仓	zhoucang
周循	zhouxun
周胤	zhouyin
周善	zhoushan
周群	zhouqun
周平	zhouping
周舫	zhoufang
周旨	zhouzhi
邹靖	zoujing
邹氏	zoushi
郑玄	zhengxuan
郑泰	zhengtai
郑宝	zhengbao
郑度	zhengdu
郑文	zhengwen
郑袤	zhengmao
郑伦	zhenglun
钟邵	zhongshao
钟缙	zhongjin
钟绅	zhongshen
钟繇	zhongyao
钟进	zhongjin
钟会	zhonghui
钟毓	zhongyu
笮融	zerong
种拂	zhongfu
种辑	zhongji
宗宝	zongbao
宗预	zongyu
紫虚上人	zixushangren
左丰	zuofeng
左灵	zuoling
左贤王	zuoxianwang
左慈	zuoci
左咸	zuoxian
脂习	zhixi
祝融夫人	zhurongfuren
祖茂	zumao
祖弼	zubi
翟元	zhaiyuan
州泰	zhoutai
曾宣	cengxuan
蒋干	jianggan
蒋琬	jiangwan|jianga
魏蜀吴	weishuwu
魏王	weiwang
汉中王	hanzhongwang
吴王	wuwang
三国上限	sanguoshangxian
晋灭吴	jinmiewu
三国下限	sanguoxiaxian
东汉末	donghanmo
中平元年	zhongpingyuannian
中平二年	zhongpingernian
中平三年	zhongpingsannian
中平四年	zhongpingsinian
中平五年	zhongpingwunian
统领	tongling
宦官	huanguan
密谋	mimou
州牧	zhoumu
洛阳	luoyang
废黜	feichu
汉献帝	hanxiandi
专横	zhuanheng
激起	jiqi
地方	difang
冀州	jizhou
三公	sangong
分屯要害	fentunyaohai
盟主	mengzhu
相机进攻	xiangjijingong
初平二年	chupingernian
关东兵	guandongbing
彼此	bici
欺诈并吞	qizhabingtun
分崩离析	fenbenglixi
混乱	hunluan
割据	geju
兖豫二州	yanyuerzhou
凉州	liangzhou
幽州	youzhou
辽东	liaodong
徐州	xuzhou
扬州	yangzhou
淮南部分	huainanbufen
荆州	jingzhou
益州	yizhou
江东部分	jiangdongbufen
交州	jiaozhou
汉中	hanzhong
祭酒	jijiu
势力	shili
活跃	huoyue
开封	kaifeng
豪强地主	haoqiangdizhu
武装	wuzhuang
建安二年	jiananernian
建安三年	jianansannian
建安四年	jianansinian
屯田积谷	tuntianjigu
以弱胜强	yiruoshengqiang
主力	zhuli
青冀幽并	qingjiyoubing
建安六年	jiananliunian
建安七年	jiananqinian
建安八年	jiananbanian
建安九年	jiananjiunian
建安十年	jiananshinian
卢龙塞	lulongsai
攻占	gongzhan
奔逃	bentao
江东	jiangdong
会晤	huiwu
结盟	jiemeng
水师	shuishi
迫使	poshi
促使	cushi
北归	beigui
扩及	kuoji
率部	shuaibu
地盘	dipan
夺得	duode
袭杀	xisha
相持	xiangchi
延康元年	yankangyuannian
黄初	huangchu
汉昭烈帝	hanzhaoliedi
建元	jianyuan
封号	fenghao
武昌	wuchang
湖北宜都	hubeiyidu
吴将	wujiang
蜀中	shuzhong
迁都	qiandu
吴国	wuguo
结盟关系	jiemengguanxi
维持	weichi
疆域	jiangyu
魏得北方	weidebeifang
司州	sizhou
西域	xiyu
秦岭	qinling
淮河	huaihe
相接	xiangjie
汉末	hanmo
魏晋	weijin
士族	shizu
影响	yingxiang
阶层	jieceng
政治	zhengzhi
杀戮	shalu
兖州	yanzhou
讨曹檄文	taocaoxiwen
网罗	wangluo
教令	jiaoling
治国用兵	zhiguoyongbing
选官	xuanguan
德行	dexing
笼统	longtong
帷幄	weiwo
搜罗	souluo
耕农	gengnong
地主	dizhu
征收	zhengshou
正礼	zhengli
承渊	chengyuan
建阳	jianyang
彦靖	yanjing
敬礼	jingli
文则	wenze
君荣	junrong
巨源	juyuan
伯玉	boyu
翁叔	wengshu
季常	jichang
德信	dexin
孟起	mengqi
幼常	youchang
寿成	shoucheng
子师	zishi
子全	ziquan
子均	zijun
公节	gongjie
睿冲	ruichong
伟台	weitai
国山	guoshan
文仪	wenyi
处道	chudao
子雍	ziyong
叔治	shuzhi
玄冲	xuanchong
文舒	wenshu
孔硕	kongshuo
休徵	xiuzheng
景兴	jingxing
伯舆	boyu
元泰	yuantai
仲宣	zhongxuan
土治	tuzhi
元将	yuanjiang
子义	ziyi
孝先	xiaoxian
升济	shengji
伯圭	bogui
仲若	zhongruo
仲业	zhongye
次曾	ciceng
土载	tuzai
伯苗	bomiao
玄茂	xuanmao
公绪	gongxu
世元	shiyuan
文举	wenju
子邦	zibang
仲恭	zhonggong
兴霸	xingba
元放	yuanfang
子干	zigan
义举	yiju
元皓	yuanhao
子泰	zitai
国让	guorang
公刘	gongliu
文谦	wenqian
休元	xiuyuan
子元	ziyuan
建公	jiangong
安世	anshi
子尚	zishang
