晋军	jinjun
荆楚	jingchu
荆南	jingnan
荆卿	jingqing
荆轲	jingke
经营者	jingyingzhe
敬仲	jingzhong
九夷	jiuyi
巨子	juzi
康叔	kangshu
孔甲	kongjia
老彭	laopeng
礼记	liji
厉山氏	lishanshi
历史	lishi
列御寇	lieyukou
列子	liezi
烈山氏	lieshanshi
灵均	lingjun
灵娲	lingwa
流刑	liuxing
陇西	longxi
鲁孝公	luxiaogong
吕不韦	lvbuwei
率土之滨	shuaituzhibin
论语	lunyu
蛮族	manzu
门客	menke
孟轲	mengke
铭文	mingwen
莫非王臣	mofeiwangchen
莫非王土	mofeiwangtu
墨翟	modi
墨刑	moxing
穆王	muwang
南华经	nanhuajing
南淮夷	nanhuaiyi
内部	neibu
女帝	nvdi
女娇	nvjiao
女英	nvying
女莹	nvying
女志	nvzhi
女娲	nvwa
女娲氏	nvwashi
彭祖	pengzu
彭铿	pengkeng
秦越人	qinyueren
禽滑釐	qinhuali
青铜时代	qingtongshidai
庆卿	qingqing
屈平	quping
屈原	quyuan
人民	renmin
荣夷公	rongyigong
三皇五帝	sanhuangwudi
商朝	shangchao
商君	shangjun
商纣	shangzhou
赏赐	shangci
少皞	shaohao
少伯	shaobo
少康	shaokang
少昊	shaohao
社会	shehui
申包胥	shenbaoxu
申不害	shenbuhai
申子	shenzi
申胥	shenxu
神媒	shenmei
神农氏	shennongshi
生产	shengchan
失败	shibai
诗经	shijing
石器时代	shiqishidai
实力	shili
史皇	shihuang
史书	shishu
使者	shizhe
氏族	shizu
首领	shouling
赎刑	shuxing
水帝	shuidi
税制	shuizhi
舜帝	shundi
死不旋踵	sibuxuanzhong
死刑	sixing
肃慎	sushen
孙卿	sunqing
孙子	sunzi
孙子兵法	sunzibingfa
太皞	taihao
太康	taikang
太原	taiyuan
太昊	taihao
太皓	taihao
唐尧	tangyao
陶朱公	taozhugong
统一	tongyi
吞并	tunbing
王师	wangshi
微子启	weiziqi
卫尉	weiwei
卫鞅	weiyang
文命	wenming
文王	wenwang
文种	wenzhong
文字	wenzi
问鼎中原	wendingzhongyuan
吴钩	wugou
吴王	wuwang
武庚	wugeng
武王克商	wuwangkeshang
五经	wujing
伍员	wuyuan
西戎	xirong
西陲	xichui
戏皇	xihuang
夏朝	xiachao
夏禹	xiayu
先进技术	xianjinjishu
相里勤	xiangliqin
湘夫人	xiangfuren
湘君	xiangjun
销售	xiaoshou
小霸	xiaoba
小昊	xiaohao
胁迫	xiepo
新工艺	xingongyi
刑罚	xingfa
刑名	xingming
轩辕氏	xuanyuanshi
玄奇	xuanqi
亚圣	yasheng
炎帝	yandi
杨朱	yangzhu
杨子	yangzi
阳城	yangcheng
阳翟	yangdi|yangzhai
阳生	yangsheng
阳子居	yangziju
尧帝	yaodi
伊挚	yizhi
宜臼	yijiu
易经	yijing
尹喜	yinxi
由余	youyu
有熊氏	youxiongshi
有虞氏	youyushi
迂阔	yukuo
元年	yuannian
原始部落	yuanshibuluo
允许	yunxu
曾子	zengzi
战国	zhanguo
昭王	zhaowang
赵盾	zhaodun
召公	zhaogong
征收	zhengshou
整军经武	zhengjunjingwu
正则	zhengze
政治革命	zhengzhigeming
中国	zhongguo
中兴	zhongxing
中庸	zhongyong
中原	zhongyuan
中原地区	zhongyuandiqu
重华	chonghua|zhonghua
仲康	zhongkang
周公	zhougong
周康王	zhoukangwang
周厉王	zhouliwang
周穆王	zhoumuwang
周人	zhouren
周文王	zhouwenwang
周武王	zhouwuwang
周孝王	zhouxiaowang
周宣王	zhouxuanwang
周夷王	zhouyiwang
周易	zhouyi
周原	zhouyuan
周昭王	zhouzhaowang
周懿王	zhouyiwang
周赧王	zhounanwang
朱宣	zhuxuan
诸侯	zhuhou
诸侯争霸	zhuhouzhengba
诸子	zhuzi
诸子百家	zhuzibaijia
子车	ziche
子思	zisi
子舆	ziyu
宗周	zongzhou
左丘明	zuoqiuming
作过	zuoguo
禀赋	bingfu
嬴渠梁	yingquliang
荀况	xunkuang
荀卿	xunqing
岐山	qishan
庖牺	paoxi
沣水	fengshui
溥天之下	putianzhixia
骊山	lishan
栎阳	yueyang
轺车	yaoche
禅让制	shanrangzhi
颛顼	zhuanxu
邹忌讽齐王纳谏	zoujifengqiwangnajian
司母戊大方鼎	simuwudafangding
土地公有制	tudigongyouzhi
